Title_val,CurrentYear_Funding_val,CurrentYear_Text_val,@SOURCE_FILENAME,@RECORDID,@ROWID,PriorYear_Funding_val,PriorYear_Text_val,@PARENTROWID,@PARENT
"Nanotechnology Research","8.000","Conducted Congressionally-directed effort.","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ee78466bc18735b199ebe2c076a20fc524262f500c05ff7f3c9a86e416863f7e","0-9daeaa88ae077f9b3031b314b1c749b6c50b932a5e48023068c013bf8adf934a","0.000","N/A.","0-0b461c62c993eddb8c8bf4368c08ed51a8dc691c125c809b714d59ee1b0e0bd1","root.record.ProgramElement.ProjectList.Project"
"Capabilities Insertion Program (CIP)","0.000","Not applicable","2013-BASE_RDTE-2013-AIRFORCE_V2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0bce201a53f394579bebd5442cebbb506e459fb1b9674ccc5650c6c6051e39a6","0-c10b3db2aff896da2285fb2c1acace3d3b1bff25c36a01602860d3c79ed4918d","37.452","Began activities for an enhanced channelizer to provide increased capacity in Ka and X-band.","0-ed8f5ac93759ffde4e82998f9e40b612b38d6cb574cc3f0b560922582c6bb679","root.record.ProgramElement.ProjectList.Project"
"AEHF Capabilities  Insertion Program (CIP)","","","2013-BASE_RDTE-2013-AIRFORCE_V2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3090e63499a601fe1ba0e58c8eee5986bc5547cd46de0ddcf74cf4448127c471","0-60e41dbebc96a1a14233bf7043f9439e47d9b94610a5bfc9e2b77afd53dec450","39.700","In June 2011, awarded the AEHF CIP Phase B extension to continue architecture development and risk reduction efforts for AEHF CIP 1a.  AEHF CIP 1a is a software upgrade to increase the number of users that AEHF can support and increase data rates to disadvantaged terminals and improves operational flexibility through coverage areas and modes of operation that support downlink frequency reuse. Analyze CIP 1a payload/Mission Control Segment (MCS) architecture, refine 1a system changes with MCS and terminal segments, and develop a test and evaluation infrastructure.","0-90f1ab029717afa905140950fcd33a071d4b861e5f91c2a237b17195fa69afa5","root.record.ProgramElement.ProjectList.Project"
"Weather Satellite Follow-on (WSF)","123.681","Conduct Analysis of Alternatives (AoA) and pre-acquisition activities for a follow-on to the Defense Meteorological Satellite Program (DMSP) Block 5; develop analytical tools and evaluate ground, space, and user architectures; conduct system trades and analysis and requirements development; perform risk reduction activities for optical, infra-red, space weather, microwave sensors and spacecraft; investigate and implement alternatives for exploitation of non-traditional weather data sources; provide experimental satellite data to DoD users to mitigate the risk of weather forecasting gaps due to termination of the Defense Weather Satellite System (DWSS).","2013-BASE_RDTE-2013-AIRFORCE_V2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","45130b1e0d103a6bf7ee7469b7b2c501a03cfa0aa6c8d81b84f814fc0b9a16ab","0-48fdc723bfa82920dd00170b5ef0efb8ab58949f1819705018c4416511f4f189","","","0-1457012d8be192510ee3b18f43c3ca91f409c1e3a691c34537ab31fe3db3fc91","root.record.ProgramElement.ProjectList.Project"
"Acquisition Planning and Studies","","","2013-BASE_RDTE-2013-AIRFORCE_V2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","de6c2e88f19fbd0ceab0cdcc93dccc6cc42b4bc5a765533317dfa3ac2cb661cf","0-9d94aaa2adcb1276c79a41c2ca8f4c41e378032133b775a954feba7d0b99549b","19.898","Funded the extension of three commercial Broad Agency Announcement studies.  Funded support of the Resilient Basis for Satellite Communications (RBS) in Joint Operations study and other related activities.  The RBS will assess the future of satellite communications within the context of the National Security Space Strategy in the nuclear, contested, and benign operating environments and will focus on worldwide protected and wideband communications services.  Funded Lincoln Laboratories development of a Local Area Sensor System (LASS) processor for a future MILSATCOM satellite.","0-dc2f7d1634a33a30381782839de0494c6284b9cfa1a99646a8150d438560284f","root.record.ProgramElement.ProjectList.Project"
"Responsive Launch Capability","25.000","Continue the ORS Enabler Mission and selected launch vehicle improvements leading to a launch in 4QFY13.  Continue developing an ultra-low cost, rail launched new small launch capability.  Continue development and qualification testing of autonomous flight safety assemblies, on-board metric tracking, and space based range.","2013-BASE_RDTE-2013-AIRFORCE_V2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3e201142b31265d495334f4e1c1ac54fbb60bff6f927146f2561a3d334932626","0-6e6163af8506df425f5decdd92442c3c6787104d54222650cd444f048ada9b35","31.492","Continued developing a responsive launch capability focused on six key components:  storable launch vehicles, including ultra low cost versions; rapid orbital trajectory automation; autonomous flight safety; on-board metric tracking; space based range; and automated range safety analyses.","1-9b6603cb288f86b71f2489d0a13b62d1431423faeac6d86b93649801a0b47054","root.record.ProgramElement.ProjectList.Project"
"ENTERPRISE SENSING PROTOTYPE (ESP) III","","","2013-BASE_RDTE-2013-AIRFORCE_V2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","88d424fd64c1cd062b0fa54aa989018e6b515c524e84c1b21a1a150fc8b47d62","0-b3f01a144c83acc0b38aadf2c314574ba9223681ae7bc4aba0412d1fe0c4e285","3.963","Congressional add to support Defense Micro-Electronics Agency (DMEA) execution of the Enterprise Sensing Prototype (ESP) for space situational awareness maturation.","2-06cc18c635ff2a393ea27acd73205ef4b32394b5f1d82cc421481e06c6dea04a","root.record.ProgramElement.ProjectList.Project"
"F136 Propulsion System","","","2013-BASE_RDTE-2013-AIRFORCE_V2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f180a7e97c0a024af28a425d8ad3d0fd07abefaf09591c6dfd90ac9b03f29188","0-9a360114267b9dea55528a90adcf976b78e9dd1a1741cc4f896bb008d7d7aa03","69.288","Continued F136 Propulsion System development effort by the General Electric/Rolls Royce Fighter Engine Team (GE/RR FET)","0-19429aad3bdc1a5f59362fb929c92836c93d1d796d517a2783e4bde6e00a3128","root.record.ProgramElement.ProjectList.Project"
"Fast Steering Mirror","0.000","Complete Fast Steering Mirror technology insertion into the Northrop Litening pod.","2013-BASE_RDTE-2013-AIRFORCE_V2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b7dcc04457d9a25d8a9f3601ccfd5d4782cccccebb3f4aa5fcc576962b4f27fd","0-6ee60d61f646107c326a2e57467b2ad58148f4266bc8f50184b028aadd35e399","0.000","Continued to insert Fast Steering Mirror technology into the Northrop Litening pod.","0-52239a94056782dd7805188960d6b1e7d91c62d510eb0b57b2c94235e2d49707","root.record.ProgramElement.ProjectList.Project"
"Common Upper Stage","","","2013-BASE_RDTE-2013-AIRFORCE_V2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","79099cdff406db597e86f1954da08e97f56615d401faecf3296903d912914551","0-4ee2bcde566683cce495d1426460e0f6747eceee8df2b3ae86b00a35d26eb1d6","25.000","Continued Development of RL-10C to achieve a Common Upper Stage.","0-ac4f7b6246ec4e28bc8e66d634dc77a5fd21b61f82e00ba27ff8b23fc9142d82","root.record.ProgramElement.ProjectList.Project"
"BLOS C2","50.000","Continuation of BLOS C2","2013-BASE_RDTE-2013-AIRFORCE_V3B-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","2aa984b19a2f044eb12ce7d6be69a09b37135f52497f12b1606eda72031626a6","0-9c8f490c9175461080bd277d2a1d5f3f4985f1c06ba2fb85002ffe594e8e54ea","115.300","The BLOS C2 initiative was designed to support a CENTCOM Capability Gap and CONPLAN to satisfy a NAVCENT force protection threat.  AF A2Q offered the BLOS C2 architecture as the first instantiation of its RAIN architecture.  AF A3/5 coordinated with USD AT&L.  Twelve month in-theater delivery.    The BLOS C2 architecture leverages existing air and ground platforms with software modified CDL radios to include ROVER. As a result of the software modification (NET-T), this family of CDL radios will establish a battlefield Internet like capability with Type I and AES encryption.","0-f35a99f4dadb127e4eee52a7351895757204e5258fca0bace9cda23b826b8e29","root.record.ProgramElement.ProjectList.Project"
"Advanced Targeting Pod Integration - Congressional Add","","","2013-BASE_RDTE-2013-AIRFORCE_V3B-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b0de8f306006d37116607f367b813be477e707393907872cad39d26eac8e0efb","0-45824c265df888df249dd1ba2d195c1eca68565e898922917238c51c55f33c66","6.500","Congressional add used to develop software updates to integrate the LITENING Gen-4 ATP on the B-52.","0-a48ed676b4d2fed6aeafb6776ce6d226484dbf0aa6c8798fb60b7375ac572e50","root.record.ProgramElement.ProjectList.Project"
"Capabilities Insertion Program (CIP)","0.000","Not applicable","2013-BASE_RDTE-2013-AIRFORCE_V2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","344908af9fb87db17ef2cd1d2a9ae868602ded802e54b656eb6da28660ffb7c8","0-348bdf84f991653f7b3ccca76bb33a2d7c2a803fe5e4ff7b0eef5152ed5df009","37.452","Began activities for an enhanced channelizer to provide increased capacity in Ka and X-band.","0-7da58f8c4a6629b2e0724a73caeafa2b0a6b5e2da3324883407bd30d79d29242","root.record.ProgramElement.ProjectList.Project"
"AEHF Capabilities  Insertion Program (CIP)","","","2013-BASE_RDTE-2013-AIRFORCE_V2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","7ec2e4cec74fba338b69355e856f9ed786ad97796d50ce823d3abc8066c5721d","0-28acb1cd0da88eab741383b086c80d9b57081df859eb1bab95940d9074f5c0fd","39.700","In June 2011, awarded the AEHF CIP Phase B extension to continue architecture development and risk reduction efforts for AEHF CIP 1a.  AEHF CIP 1a is a software upgrade to increase the number of users that AEHF can support and increase data rates to disadvantaged terminals and improves operational flexibility through coverage areas and modes of operation that support downlink frequency reuse. Analyze CIP 1a payload/Mission Control Segment (MCS) architecture, refine 1a system changes with MCS and terminal segments, and develop a test and evaluation infrastructure.","0-3c263d7ec4965b032c142dc9b827232a5a22cc86edeeaa691f5888398f39cbdd","root.record.ProgramElement.ProjectList.Project"
"Weather Satellite Follow-on (WSF)","123.681","Conduct Analysis of Alternatives (AoA) and pre-acquisition activities for a follow-on to the Defense Meteorological Satellite Program (DMSP) Block 5; develop analytical tools and evaluate ground, space, and user architectures; conduct system trades and analysis and requirements development; perform risk reduction activities for optical, infra-red, space weather, microwave sensors and spacecraft; investigate and implement alternatives for exploitation of non-traditional weather data sources; provide experimental satellite data to DoD users to mitigate the risk of weather forecasting gaps due to termination of the Defense Weather Satellite System (DWSS).","2013-BASE_RDTE-2013-AIRFORCE_V2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","965f1cf0f648392e61f6c03b10c914e7bbea5a997f49d5683e45cd667fe78527","0-8dfd3a23a45d0381e8d795458c65e807b756a07108748b2767bd9c734cac9727","","","0-0bc3ecf6f334f5a9237c6f2d62ac859aab145885d538d6b7767aadb6aa80964a","root.record.ProgramElement.ProjectList.Project"
"Acquisition Planning and Studies","","","2013-BASE_RDTE-2013-AIRFORCE_V2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","54eb9f7a5cf4e62ce1ef7f42d1cbce9c0d823c8db8b2c3222b980cb654ded89d","0-ff2af7d0f21c9e5998737397a60c9f865a0f1bcc1884b8d3775a377019fdb336","19.898","Funded the extension of three commercial Broad Agency Announcement studies.  Funded support of the Resilient Basis for Satellite Communications (RBS) in Joint Operations study and other related activities.  The RBS will assess the future of satellite communications within the context of the National Security Space Strategy in the nuclear, contested, and benign operating environments and will focus on worldwide protected and wideband communications services.  Funded Lincoln Laboratories development of a Local Area Sensor System (LASS) processor for a future MILSATCOM satellite.","0-719e7ddd27c8c521ace7755e5a8cdcb282dd117821ddf89dc14fd9e769df57c0","root.record.ProgramElement.ProjectList.Project"
"Responsive Launch Capability","25.000","Continue the ORS Enabler Mission and selected launch vehicle improvements leading to a launch in 4QFY13.  Continue developing an ultra-low cost, rail launched new small launch capability.  Continue development and qualification testing of autonomous flight safety assemblies, on-board metric tracking, and space based range.","2013-BASE_RDTE-2013-AIRFORCE_V2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","9319a060601610761aed9ee14d58681c0096879c91057ebb495c5797b4f84730","0-89307334047aadc23599f6e6de778668c033c96d9f98afe4d595aa635e13e239","31.492","Continued developing a responsive launch capability focused on six key components:  storable launch vehicles, including ultra low cost versions; rapid orbital trajectory automation; autonomous flight safety; on-board metric tracking; space based range; and automated range safety analyses.","1-0ce2a82c0e42f698ce5bd87f74380a266dea5a58248903e33b9b76c87f623293","root.record.ProgramElement.ProjectList.Project"
"ENTERPRISE SENSING PROTOTYPE (ESP) III","","","2013-BASE_RDTE-2013-AIRFORCE_V2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","6458d7cc3eb952d36fd30f99d4ce91f96328475892517283455b8d359993cb54","0-9a557612e7ede1619f54a2eea8b12bf2cc58f6841b9fbe294ffcaa09e3e3379d","3.963","Congressional add to support Defense Micro-Electronics Agency (DMEA) execution of the Enterprise Sensing Prototype (ESP) for space situational awareness maturation.","2-9eb9dcaf2cb8ff6126ad246aad3150147ba82a2a5aa92d93184860855aba1925","root.record.ProgramElement.ProjectList.Project"
"F136 Propulsion System","","","2013-BASE_RDTE-2013-AIRFORCE_V2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","0d4897ecbec40c60f5e45814fc2754a9252569f41f2a09a97cf2f5fe0feb6c26","0-077ce6eefaaa3d1d124853026b0fb84284edc0649a53b88d3f60b3dfba7485b0","69.288","Continued F136 Propulsion System development effort by the General Electric/Rolls Royce Fighter Engine Team (GE/RR FET)","0-fdbdbbb73fff0ebc091faea91c90f834a7c1b268bc36b7fccb288db7cdda008a","root.record.ProgramElement.ProjectList.Project"
"Fast Steering Mirror","0.000","Complete Fast Steering Mirror technology insertion into the Northrop Litening pod.","2013-BASE_RDTE-2013-AIRFORCE_V2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e402d5fb509c02878e01d01d488d447a16e8aa4cfd56d8b740fd3f5c70695b83","0-29cb39f0f10064ff3f94cec3fe41f1f5f2c6f8b59f2200bd573a51ec1a1f8a6c","0.000","Continued to insert Fast Steering Mirror technology into the Northrop Litening pod.","0-4d41c422f55156d82724953ea82c2026fd82ffa882137776a07f599f291728bb","root.record.ProgramElement.ProjectList.Project"
"Common Upper Stage","","","2013-BASE_RDTE-2013-AIRFORCE_V2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5c35e3fb6d343ec7f34072c00b56feb1f68e3e0d545235ede7db4bf2a5942acd","0-6604c9b526160b3b8226c943d1b8dfd7a8d764c25342a4e4f0c129c1a601a112","25.000","Continued Development of RL-10C to achieve a Common Upper Stage.","0-3d0dc879e4e061f998ac97b449995d69d01965a24aa55a86a4f67d992770ad35","root.record.ProgramElement.ProjectList.Project"
"Cyber Security Research","12.000","Conduct Congressionally-directed effort on cyber security.","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","18f9091ab87f75f3d74aacc45ce7e0d1076d3a7432130ee8db4676ff8985dc91","0-8b33ec8c080f2171b263c0be64efb4633a7c8aada9a21dea3a0ee22c6c819160","","","0-099ade3b23cad8adbcaae1bd21b3e6b2b997ee1debfafe3304440dd3a5cc6a23","root.record.ProgramElement.ProjectList.Project"
"Ground Optical Imaging Research and Technology.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","d2b711a0e31e320f152b75bbccdbbaedf54369c0fee4301847a5e27e5d32fbe1","0-01c07b95c8b37f7d5a59e99d4f1877a967ccd089dd4ca15d765b34b784d8d252","11.143","Conducted Congressionally-directed effort.","0-e190800e441821cb6f56cc2665bfbfe649f7d12f411aca073c141684bce17998","root.record.ProgramElement.ProjectList.Project"
"Space Situational Awareness.","30.000","Conduct Congressionally-directed effort.","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","d2b711a0e31e320f152b75bbccdbbaedf54369c0fee4301847a5e27e5d32fbe1","1-d247d78b93da83dee063a2dbde01390a275982f8f350bcd1fe56423b2122bdc3","0.000","N/A","0-e190800e441821cb6f56cc2665bfbfe649f7d12f411aca073c141684bce17998","root.record.ProgramElement.ProjectList.Project"
"Metals Affordability Initiative","0.000","N/A.","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","85573aed65bf9e36565a6fe28f5eb5ce12ca19f2ea399dbaebf6f88c2f20ac32","0-eea48668db6bb138541f8438608983d0046ed2a4b1290d24c0a3ffe4f0767c20","8.000","Conducted Congressionally-directed effort.","2-55e9de4a2c4fcbdcf4668769e7ab849eb028fb5d15c7e955a96a783a8426135c","root.record.ProgramElement.ProjectList.Project"
"Silicon Carbide Composites Research","12.500","Conducted Congressionally-directed effort.","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","85573aed65bf9e36565a6fe28f5eb5ce12ca19f2ea399dbaebf6f88c2f20ac32","1-993a6071cd15ef59db8995ba418b53eb4e556ca455d92ccc153d6614eafa253e","0.000","N/A.","2-55e9de4a2c4fcbdcf4668769e7ab849eb028fb5d15c7e955a96a783a8426135c","root.record.ProgramElement.ProjectList.Project"
"Advanced Materials Research","8.500","Conducted Congressionally-directed effort.","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","85573aed65bf9e36565a6fe28f5eb5ce12ca19f2ea399dbaebf6f88c2f20ac32","2-8d6e692a429cb8a6f3f7d7e87bcbb2e4f209621dfd85fd656e977bf1bea34848","0.000","N/A.","2-55e9de4a2c4fcbdcf4668769e7ab849eb028fb5d15c7e955a96a783a8426135c","root.record.ProgramElement.ProjectList.Project"
"Program Increase","10.000","Conduct Congressionally-directed effort for Program Increase.","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","291aaeaafb92be0ec861a71161d612f46567b6861148d25690ab163994579ab4","0-89ab73d1f71467a6cd4baad48363999f63e278ca05f9e76948e729ef188936b2","0.000","N/A","0-8426f661ed8f35527ae11e086e8b8d2842e1c176851380864c62db7a02d0b1df","root.record.ProgramElement.ProjectList.Project"
"Blue Devil 1","58.600","Support Blue Devil 1 technology demonstration in theater.","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","291aaeaafb92be0ec861a71161d612f46567b6861148d25690ab163994579ab4","1-f6997a62eecc15bc1a664253ef1c60e026639e74bce7698ef1cf7f027fa7009e","0.000","N/A","0-8426f661ed8f35527ae11e086e8b8d2842e1c176851380864c62db7a02d0b1df","root.record.ProgramElement.ProjectList.Project"
"Space Situational Awareness.","20.000","Conduct Congressionally-directed effort.","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","3edd037dff2868ed8ac0bec03412848f214f3cbdf67ef99f1982360556921676","0-c13e009eef71c7350f798a215ffde679f770d9f12dc55521094dd4ecc050dd17","0.000","N/A","0-40a52a356b22e4f9e3cc6034a2acc6e529e5ff8cacb6d10d7bd7336f593e7f86","root.record.ProgramElement.ProjectList.Project"
"Best Industrial Processes for Department of Defense Depots","0.000","N/A.","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","be2fe6cfbffae7765bc75a2b2ee42b4e48cc8c2aa90f7037cd6007753cfdc770","0-b045d7bd62f321c2d10e5a8ed8cc3bbb6c3356d7c700612f6f6c8a8ccb438293","8.000","Conducted Congressionally-directed effort.","0-6a79d8d7a2cc13596ae3a3297dcf81e2a8983e156b7bee2b3f40626e4cd71c87","root.record.ProgramElement.ProjectList.Project"
"Nanotechnology Research","8.000","Conducted Congressionally-directed effort.","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","387efc46796bf983cecdbc8a79f8989c071d85d9ce606a895776c60b22e4ae1f","0-e9727583285443e58c4d21c7c546eab04fe3f3f92feca4ea09e6b281ae2ee67d","0.000","N/A.","0-492389dfbf6e7949e8e6179b287f3620c848cbdaf5f65e8f8418e24689d903be","root.record.ProgramElement.ProjectList.Project"
