Title_val,Description_val,Accomplishment_PriorYear_Funding_val,Accomplishment_PriorYear_Text_val,Accomplishment_PriorYear_Articles_val,PlannedProgram_CurrentYear_Funding_val,PlannedProgram_CurrentYear_Text_val,PlannedProgram_CurrentYear_Articles_val,PlannedProgram_BudgetYearOne_Funding_val,PlannedProgram_BudgetYearOneBase_Funding_val,PlannedProgram_BudgetYearOneBase_Text_val,PlannedProgram_BudgetYearOneOCO_Funding_val,PlannedProgram_BudgetYearOneOCO_Text_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Major Thrust 1.","Perform dynamics and control research to develop innovative techniques for design and analysis of complex control systems.","18.286","Further developed heterogeneous and mixed human-robot interaction concepts for the design and analysis of cooperative control systems in dynamic, uncertain, adversarial environments with applications to swarms of smart munitions, remotely piloted aircraft (RPAs), and constellations of small satellites. Developed increased levels of high-confidence adaptive control and machine learning techniques for teams of micro air vehicles operating at various altitudes in complex environments to execute assigned missions with variable operator intervention. Continued development of control methodologies to improve non-equilibrium behavior of complex, nonlinear systems. Advanced image processing and sensor technologies for use in cooperative teams of RPAs and smart munitions to include multiple target tracking, ownship and world state estimation. Continued development of mathematical control theoretic models that capture the robust, nonlinear, hybrid dynamics of microbiological systems. Further developed methods for design and analysis of bio-inspired sensing systems, controls, and computational systems. Continued development of algorithms for control of and over dynamic, large-scale networks. Continued development of theory and algorithms for specification, design, verification, and validation of distributed embedded control systems.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-d1ca1be6ec0bd1911a2683bfc72f57bad741efd4f97a3c09110a47b838f47ddb","3-e70662f122076db33cdcccf9117538163a684f4b5f033e4ce304a3bb94eb9d42","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Conduct research in optimization, as well as computational and discrete mathematics, to validate and further advance mathematical methods, algorithms, and modeling and simulation.","17.659","Continued developing mathematically rigorous numerical algorithms for enhancing the modeling and simulations of large, complex, multi-scale, and nonlinear systems and phenomena of interest to the Air Force. The application areas in plasma, aerodynamics, structural mechanics, and materials emphasized the increasing challenges in capturing the unsteady, dynamic, multi-physics, and multi-scale nature of the problems. Supported development and integration of novel optimization strategies with high order, time-accurate solutions for superior design of Air Force systems.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","1-853100bc82825cfa35020d26ff482f7838b22336a1dff419a3e7f5cfaf35be35","3-e70662f122076db33cdcccf9117538163a684f4b5f033e4ce304a3bb94eb9d42","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 1.","Investigate novel detector and electronic materials, device concepts, and circuit architecture and implementation schemes important to future military space platforms.","10.438","Continued investigating novel multi-modal electromagnetic spectra detection approaches and concepts utilizing increased understanding of phenomenological interactions between target/background radiation and novel nanomaterials, structures, and devices. Specific emphasis was placed on achieving material structures yielding linearly-graded semiconductor bandgap behavior or capable of dynamic bandgap tuning over the range ~ 0.2 - 2.5eV. In addition, novel materials and/or device structures capable of dynamic absorption coefficient tuning were studied, along with concepts for thin-film spectra-filter tuning. Continued emphasis was placed on physics controlling semiconductor hetero-interface band misalignments that critically control carrier transport properties.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-1b2ca90ccf66ab639373937edb13234a9339260bf0e84c3b2051ef6e3b4a016d","4-392b38c95373c97bcf6f1361b93876d4ab1115e2970f88654eae5775247762be","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Investigate quantum and optoelectronic materials/devices, memory, information processing, and nanoscience for wide-field spectral sensors and critical, high-speed communication.","16.416","Continued efforts to better determine the optimal implementation of multi-ferroic materials for a wide variety of technologically advanced applications for the warfighter. Continued to explore the suitability of spintronic device elements that can be integrated into high performance, ultra-miniature logic and control systems. Explored special semiconducting and electronic materials that enable all photonic signal processing and logic technology, and began to explore integration of these advanced technologies with radio frequency (RF) micro electro-mechanical systems concepts. Explored wide band gap semiconductors for high performance, high power RF applications with an in-depth understanding of device reliability issues. Continued research on special materials and nanostructures that will permit an expansion of device functionality beyond the current limits on silicon technology.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","1-3162b31d32001a03139923860af38a2b26a0e2b6675c32f953df94c1003b756f","4-392b38c95373c97bcf6f1361b93876d4ab1115e2970f88654eae5775247762be","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 3.","Exploit advances in nanotechnology to support multi-spectral detection technology, chip-scale optical networks, and compact power.","7.777","Pursued research in light localization below the wavelength scale, using concepts of plasmon optics, photonic crystal, and metamaterial nanophotonics for ultra-compact integrated photonic systems, ultra-compact optically functional devices, light-harvesting elements for molecular and nanocrystalline-based photovoltaic devices, lithographic patterning at deep sub-wavelength dimensions, and aberration-free lenses that enable optical imaging with unprecedented resolution. Continued to exploit silicon-compatible components for photonics and take advantage of the mature processing and manufacturing expertise that silicon technology affords. Pursued smaller and more highly integrated optical subsystems for telecommunications applications and high speed processing. Explored thermoelectric applications of silicon and germanium based nanomembranes made into nanowires and nanoribbons plus nanowire photovoltaic devices. Enhanced solar-energy conversion through plasmon enhanced photovoltaic films, and investigated the feasibilities of nitride based and non-traditional material nanostructures for applications in photoelectrochemical cell technology, and thermoelectric device technology.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","2-97a748f7dd143bc856bb3ac5ca086372dec64ecc43d33675710b8f0fdd39549c","4-392b38c95373c97bcf6f1361b93876d4ab1115e2970f88654eae5775247762be","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 4.","Investigate quantum electronic solids phenomena to explore superconducting, magnetic, negative index, and nanoscopic materials.","8.234","Utilized implanted defect structures in diamond films to produce a system of addressable electron spin states that can be manipulated and entangled so that concepts in quantum information science may be tested at room temperature. Investigated nanoelectronic elements utilizing carbon nanotubes to form the basis for a new generation of sensors and circuit elements. Continued metamaterials research in coordination with Air Force laboratories to produce more efficient and smaller, omni-directional antennas. Continued search for new classes of superconductors to begin to produce several new superconducting materials that will be much more cost effective.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","3-84d9ae54339f9f1ef806f9f2a5164bbfa0b5c4211a714c904f9964e37a706985","4-392b38c95373c97bcf6f1361b93876d4ab1115e2970f88654eae5775247762be","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 1.","Perform non-metallic, ceramic, and hybrid materials research to identify/design new materials and composites with very-high (above 1400 degrees Fahrenheit) and ultra-high (above 2500 degrees Fahrenheit) temperatures.","12.419","Investigated the impact of incorporation of carbon nanotubes in carbon fibers. Studied the incorporation of nano-particle incorporation in thermoplastic composites to improve its crystallization rate in filament winding conditions. Investigated the influence of nanoparticle networks within amorphous materials on high temperature mechanical properties. Continued modeling of interfacial properties between matrix and fiber in fiber reinforced composites.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-d051be2f0b461193b966fe9f1fff1195fbab3180bde81c695f69dd86ee793335","5-d4d6e5589d56b5fdaeadedb3a817d76db0bbd9143ee83bfc3c83e687e55c27c0","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Perform research in metallic, ceramic and hybrid materials to understand their properties at temperatures above 1000 degrees Celsius.","13.326","Continued optimizing the thermal and mechanical stability of high temperature aerospace materials for air and space applications. Exploited new approaches to designing hybrid high temperature materials to enhance performance in harsh thermal environments. Further examined innovative concepts for developing stronger and more damage-tolerant high temperature hybrid materials. Further explored opportunities to reduce system weight and/or size, increased operational lifetime, and high temperature performance of aerospace structures.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","1-e9982ffc36421fd10ba8cee79236a31f85e8f8e23abe11eee21e1c306eff0171","5-d4d6e5589d56b5fdaeadedb3a817d76db0bbd9143ee83bfc3c83e687e55c27c0","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 3.","Explore mimetics, natural materials, and natural/synthetic interfaces to enable development of novel sensors, engineering processes, and mechanisms.","4.936","Continued to manipulate materials to mimic the desirable properties found in autonomous materials for maintenance, self-healing, and repair. Continued to probe and manipulate chromophores and photoluminescent characteristics in natural systems for applications to military sensor systems. Expanded the research of natural materials’ extension into new electronic and photonic systems by utilizing the self-assembly of these materials into unique electronic and optical architectures for ISR applications.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","2-114ed84c59dfbe44dfb5f886a62c2a784f31056ed3e8f849f73d44be81fd8c79","5-d4d6e5589d56b5fdaeadedb3a817d76db0bbd9143ee83bfc3c83e687e55c27c0","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 1.","Investigate and characterize complex phenomena in supersonic, hypersonic, boundary layers, and turbulent flows to enable and optimize the design of air and space vehicles systems.","8.940","Characterized and modeled fundamental phenomena of high-speed boundary layers, including interactions between multiple instability modes in laminar-turbulent transition and the influence of realistic surface conditions including roughness, ablation and surface chemistry. Continued validation of high-fidelity, unsteady numerical simulation methodologies for shock-dominated flows, including non-equilibrium effects and laminar-turbulent transition and implementation of potential control methods via simulation of benchmark canonical problems. Refined strategies for control of excessive heat transfer, unsteadiness, and separation in hypersonic flows to reduce severe local loads on systems. Developed multidisciplinary simulation capability for prediction of interactions between severe phenomena in aerothermodynamic environment and high-temperature vehicle materials with the goal of reducing thermal protection system complexity and increasing system performance.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-6b8313e2c7dc75485c9b73255c484f531d4551feadce4d6d91c9f30205164bff","6-9a03701dc4af184eb552522e259eea734dcf0d8aab98c9544713c60337692988","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Expand fundamental knowledge of unsteady flows in integrated theoretical, experimental, and computational efforts. Study complex flow phenomena related to unsteady phenomena.","9.881","Developed physically accurate descriptions of unsteady flows over complex geometries and highly flexible structures. Derived and assessed reduced order models of canonical flow problems that lead to robust, closed loop flow control approaches. Refined modeling of promising flow control techniques to optimize fluid-structure interactions and aerodynamic efficiency for a wider range of flight operating conditions. Continue dvalidation of tools for predicting and controlling unsteady, vortex-dominated flows on RPAs in a range of scales. Developed numerical tools for multidisciplinary simulation of unsteady fluid-structure interactions.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","1-ad968a27ede64288164580993617ea5020c13535f98bbc6a4caffdafa5efa5ba","6-9a03701dc4af184eb552522e259eea734dcf0d8aab98c9544713c60337692988","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 3.","Research novel sensing and control mechanisms applicable to small RPAs and low Reynolds Number flight regimes. Expand fundamental knowledge of natural flight control and navigation.","6.758","Investigated natural flight capabilities applicable to multiple, coordinated air vehicles operating in cluttered and/or unpredictable environments. Developed mathematical approaches for intelligent, autonomous flight control and navigation in multi-vehicle arrays and cooperative swarms, based upon natural systems of sensing and guidance, with emphasis on possible applications to small RPAs operating in low Reynolds Number regimes. Continued to develop mathematical and neuromorphic algorithms based upon sensorimotor information processing to enable new capabilities in autonomous flight.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","2-a817dcc35b308b4dbd25e02faa47a64c7d67a56ac9cf2ff10878a70b05bad318","6-9a03701dc4af184eb552522e259eea734dcf0d8aab98c9544713c60337692988","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 1.","Research and model space propulsion and power in the areas of chemistry, electronics, miniaturization, and contamination/signature.","12.246","Continued the study of novel energetic propellants for space propulsion, including nano-aluminum, ammonium borane, silicon, and hydrogen peroxide to achieve cryogenic propellant performance with non-cryogenic propellants in both launch and in-space systems. Continued investigation of nano-energetics in liquid and gel propellants to increase specific impulse in liquid propulsion systems, and studied the dynamic behavior of such systems, including three-phase, high-pressure, and temperature combustion phenomena. Continued investigating alternate launch systems using electromagnetic forces and beamed energy. Investigated new electric propulsion concepts for nano, micro, and macro satellites, including electrodeless and propellantless systems, and power regeneration through thermoelectric materials. Conducted research on near-space propulsion alternatives, including air-breathing plasma propulsion systems.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-e83a486329537f68c4d832c8735a469f5483a0f61cdc37a254db95074ce5ef7d","7-cf43dfe47775840b320ba4d007011e3699b6042e6838d7a8b214c9bb9e305a2d","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Explore combustion, propulsion, and diagnostics in subsonics, supersonics, and hypersonics. Investigate multi-phase, turbulent reacting flows.","14.218","Continued improving laser diagnostic measurement capabilities, investigations of molecular transport effects causing and enhancing thermal destabilization of hydrocarbon fuels under supercritical thermodynamic conditions, and prediction methodologies, which are both quantitatively accurate and computationally tractable, for turbulent combustion models. Continued research on the coupling between plasma chemistry and fuel combustion chemistry to understand ignition and combustion enhancement by plasmas. Continued exploitation of strategies for using alternate hydrocarbon fuels by inserting reduced fuel representations into comprehensive combustion models such as large eddy simulations. In support of the Energy Conservation-Assured Fuels Initiative, continued studies of novel propulsion system design based on alternative fuel properties to achieve optimization with respect to performance, environmental impact, cost, and assured supply.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","1-a9ddbfdddb97ec2967007f7ed54b871016ae7ef8393c258e0778266a6a50ff95","7-cf43dfe47775840b320ba4d007011e3699b6042e6838d7a8b214c9bb9e305a2d","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 3.","Identify, characterize, and bioengineer photosynthetic and/or non-photosynthetic microorganisms and their metabolic pathways.","6.865","Continued to study biosolar hydrogen research to redirect the photosynthetic flow of electrons to the hydrogen-generating enzyme by eliminating and/or adding genes that code for alternative pathways of electron flow and for the oxygen-sensitive inhibition of the hydrogen-generating enzyme. Expanded bio-prospecting research to identify and clone unique algal oil-generating genes that metabolically engineer into one strain, optimizing the control and enhancement of algal oil for use as a future source of jet fuel. Continued research on microbial fuel cells that may potentially enhance power generation by exploring and characterizing newly discovered bacterial nanowires to understand their role in transporting electrons from microbial biofilms to electrodes.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","2-91bf70628d2dafca3ef83627176912c60dd0f90cee8950c04c63890cf685db69","7-cf43dfe47775840b320ba4d007011e3699b6042e6838d7a8b214c9bb9e305a2d","root.record.ProgramElement.ProjectList.Project"
