LineItem_val,Title_val,Funding_PriorYear_val,Funding_CurrentYear_val,Funding_BudgetYearOne_val,Funding_BudgetYearOneBase_val,Funding_BudgetYearOneOCO_val,Funding_BudgetYearTwo_val,Funding_BudgetYearThree_val,Funding_BudgetYearFour_val,Funding_BudgetYearFive_val,Funding_CostToComplete_val,Funding_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"OPAF: BA 03: 836730","Navstar GPS Space","2.065","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.065","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ed57bb350d86b96949d6959d15a36eb603df1c2dfa66c97fb3a0d420f2a441c1","0-35f8b10c7da49e590fbf47b16e24584d4bf8b3d76793e1a653c4457839dc4bcd","0-c96e075e4437fdd214e5dc7f7bc54d6b1efb49457a09b4d7aec547deaeccaf86","root.record.ProjectList.Project"
"SPAF: BA 01: GPSSPC","Navstar GPS Space","0.000","2.029","2.169","2.169","0.000","2.193","2.199","2.238","2.278","0.000","13.106","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ed57bb350d86b96949d6959d15a36eb603df1c2dfa66c97fb3a0d420f2a441c1","1-151596f989a507d66f156ac5a84d81e9b97c1d97db421e5beb37805f4cd042e5","0-c96e075e4437fdd214e5dc7f7bc54d6b1efb49457a09b4d7aec547deaeccaf86","root.record.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","c30eac180213affa001548368900091cde1bdc3fb2ffc11ed3f6a4d10a3e2bd5","0-450008b1c8dfff5f6fd5a23eead692112dadc1dc81351eb0f3fd5ac23b82b9d3","0-1bfea6499a256b02e49417c540c63aacf49779cc8ee0dd4f57e5ae1046ca4796","root.record.ProjectList.Project"
"APAF:  BA06:  Line Item # 000999","Initial Spares/Repair Parts","4.248","0.875","0.000","0.000","0.000","4.449","2.631","2.679","2.728","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","2c84a432f01267c64886079095cef5df05eb91992d21ef2ebe1691ad4b30b114","0-7908e79b8ab18dc6a7fe1be2ec243b96feae906d636975aa86c7efcf30d8ac7a","0-2ea1ada3f4aad4013aed014fafbeb1e4862815ef5da0d31f814b475cc2f7403c","root.record.ProjectList.Project"
"APAF:  BA05:  Line Item # JPAT00","T-6","14.484","14.968","12.765","12.765","0.000","51.127","26.035","26.486","26.975","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","2c84a432f01267c64886079095cef5df05eb91992d21ef2ebe1691ad4b30b114","1-b649eaa6588fc87418e3eaa525705c409e7a0e4b4f4d41346ab3547e7babd7fa","0-2ea1ada3f4aad4013aed014fafbeb1e4862815ef5da0d31f814b475cc2f7403c","root.record.ProjectList.Project"
"APN:  BA03:  Line Item #  033900","JPATS","0.000","8.914","5.849","5.849","0.000","0.000","0.000","0.000","0.000","0.000","2036.802","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","2c84a432f01267c64886079095cef5df05eb91992d21ef2ebe1691ad4b30b114","2-bd569e7676b1b6925b4cd77114fc3ad565c6793054446cbf6afaa862640ea02c","0-2ea1ada3f4aad4013aed014fafbeb1e4862815ef5da0d31f814b475cc2f7403c","root.record.ProjectList.Project"
"APN:  BA05:  Line Item # 057100","JPATS Series","1.085","12.537","17.401","17.401","0.000","38.354","52.303","38.872","39.655","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","2c84a432f01267c64886079095cef5df05eb91992d21ef2ebe1691ad4b30b114","3-e1d0e19b48b7d7cf936b1371584128eb7d4789cf0dcf2b776dc63e94b3259505","0-2ea1ada3f4aad4013aed014fafbeb1e4862815ef5da0d31f814b475cc2f7403c","root.record.ProjectList.Project"
"APN:  BA06:  Line Item # 060500","Spares and Repair Parts","0.127","0.264","0.264","0.264","0.000","0.140","0.000","0.000","0.000","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","2c84a432f01267c64886079095cef5df05eb91992d21ef2ebe1691ad4b30b114","4-8241d1b091a83b01858c03320dadfaec07efdf0c6bd73545c8f3743bda434a6f","0-2ea1ada3f4aad4013aed014fafbeb1e4862815ef5da0d31f814b475cc2f7403c","root.record.ProjectList.Project"
"APAF:  BA05:  Line Item # T03800","T-38","28.845","30.604","45.090","45.090","0.000","54.692","97.503","25.795","26.269","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","2c84a432f01267c64886079095cef5df05eb91992d21ef2ebe1691ad4b30b114","0-323d97b4fb70f3ef0547973be0d433d5b7f0130963796cced8cf2a53c336a1a6","1-e12f58d241f43f8b4ced06aada53a1d84dceea3d1d0737ef44863ad8bf9915b0","root.record.ProjectList.Project"
"PAAF: BA01: Line Item # 356010","Flares","103.296","120.935","159.046","159.046","0.000","149.793","142.884","132.018","115.896","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ff588b524c6e3c2419ae8be42de6ebdea0ea5e5bc8d49386bc63fc0b4667fa91","0-f11c38de2de337dde06f68652c2623866d6c0083c38df011cdb6a3791f00cec5","0-a0e5a190a3e85067df7b7cc21f986f80d8cf473c18f34a50fee3b8ec97f362a8","root.record.ProjectList.Project"
"RDTE: BA07: PE 0207448F","C2ISR TDL","1.699","1.674","1.515","1.515","0.000","1.749","1.750","1.782","1.814","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","0-7a9f97c279b99800fe018e369eccb7c235afc7a803f9f024842469eabbe5b193","0-5e5f12c8a799803500c737eaa67d777ffcf59c859120a76676e59e01f50e83e0","root.record.ProjectList.Project"
"APAF: BA05: Line Item #F01500","F-15","0.002","2.837","0.000","0.000","0.000","5.266","46.903","53.211","40.167","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","1-bbe3c07c0c405fb56b370bd4f195875c04b462c359587f3ec280b83882abab8a","0-5e5f12c8a799803500c737eaa67d777ffcf59c859120a76676e59e01f50e83e0","root.record.ProjectList.Project"
"APAF: BA05: Line Item #F01600","F-16","0.000","3.200","6.447","6.447","0.000","6.117","6.755","8.371","8.525","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","2-f4c97e12e100882e66fa32a61d61803e7df9d0ca71a8d5ce6e1bca8e97a94660","0-5e5f12c8a799803500c737eaa67d777ffcf59c859120a76676e59e01f50e83e0","root.record.ProjectList.Project"
"APAF: BA05: Line Item #B00200","B-2A","0.049","0.474","0.415","0.415","0.000","0.295","0.247","0.201","0.206","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","3-4bb14069c20c2a7cd1ba8147f5066fcfce5b749ec410103edf03f6b77a715ce7","0-5e5f12c8a799803500c737eaa67d777ffcf59c859120a76676e59e01f50e83e0","root.record.ProjectList.Project"
"APAF: BA05: Line Item #B01B00","B-1B","0.223","1.011","1.380","1.380","0.000","0.535","0.794","0.000","0.000","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","4-550600be7250e753606d5ce189df325f7b0b8dd0282053db4d47568f9809179f","0-5e5f12c8a799803500c737eaa67d777ffcf59c859120a76676e59e01f50e83e0","root.record.ProjectList.Project"
"APAF: BA05: Line Item #OTHACF","Other Aircraft","0.000","0.239","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","5-9a7a1f65e8e3e9b19740cac5b99e7b939f6db0d044d987fba9bdd32b29b95ea2","0-5e5f12c8a799803500c737eaa67d777ffcf59c859120a76676e59e01f50e83e0","root.record.ProjectList.Project"
"OPAF: BA03: Line Item #834010","General Information Technology","0.000","0.002","3.422","3.422","0.000","1.799","1.665","1.694","1.725","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","6-df5b2fb9d67d657077443fa04254ec6b23b1e5519da93bd1abf77a8983a8be51","0-5e5f12c8a799803500c737eaa67d777ffcf59c859120a76676e59e01f50e83e0","root.record.ProjectList.Project"
"OPAF: BA03:Line Item #831010","Comsec Equipment","0.000","2.426","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","7-1faf1629cba2546e18116079b321f64c0d4b2eab7dfe01fc527aa08d2ea258b2","0-5e5f12c8a799803500c737eaa67d777ffcf59c859120a76676e59e01f50e83e0","root.record.ProjectList.Project"
"RDTE: BA07: PE 0207448F","C2ISR TDL","1.699","1.674","1.515","1.515","0.000","1.749","1.750","1.782","1.814","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","0-868c6bb6a0e564363e84488185673c882632c97801ea54c87708e966d78e3eea","1-f0c5382828460b6ba082ddaf539f8cd651ee8b00926dde8507dd4fd23fcd3994","root.record.ProjectList.Project"
"APAF: BA05: Line Item #F01500","F-15","0.002","2.837","0.000","0.000","0.000","5.266","46.903","53.211","40.167","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","1-88e3ccd1fb41e79fe7bb0b69bf994fd48196b4551557c5039c2b73f9892929b0","1-f0c5382828460b6ba082ddaf539f8cd651ee8b00926dde8507dd4fd23fcd3994","root.record.ProjectList.Project"
"APAF: BA05: Line Item #F01600","F-16","0.000","3.200","6.447","6.447","0.000","6.117","6.755","8.371","8.525","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","2-3b20329112d55ef0649e5b3813c048a9ce54415f295538f1a1ae35ee23c2f1bd","1-f0c5382828460b6ba082ddaf539f8cd651ee8b00926dde8507dd4fd23fcd3994","root.record.ProjectList.Project"
"APAF: BA05: Line Item #B00200","B-2A","0.049","0.474","0.415","0.415","0.000","0.295","0.247","0.201","0.206","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","3-33f9d593ec19acc07ef283f0e753ecd0debb890cfccd58b18d350cd14dd8e5ec","1-f0c5382828460b6ba082ddaf539f8cd651ee8b00926dde8507dd4fd23fcd3994","root.record.ProjectList.Project"
"APAF: BA05: Line Item #B01B00","B-1B","0.223","1.011","1.380","1.380","0.000","0.535","0.794","0.000","0.000","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","4-8e5ad741122f08281a7955f0e1188ef52628c7d115aa77648088888781273333","1-f0c5382828460b6ba082ddaf539f8cd651ee8b00926dde8507dd4fd23fcd3994","root.record.ProjectList.Project"
"APAF: BA05: Line Item #OTHACF","Other Aircraft","0.000","0.239","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","5-c72b27f462594f57bfcbb532346281d0787c9c9b8b054e34fdcb2129f570d986","1-f0c5382828460b6ba082ddaf539f8cd651ee8b00926dde8507dd4fd23fcd3994","root.record.ProjectList.Project"
"OPAF: BA03: Line Item #834010","General Information Technology","0.000","0.002","3.422","3.422","0.000","1.799","1.665","1.694","1.725","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","6-d0629c167f7a6ffe64dcf867feebd22386b0a09539ab3b39c286dbb508b2f0dc","1-f0c5382828460b6ba082ddaf539f8cd651ee8b00926dde8507dd4fd23fcd3994","root.record.ProjectList.Project"
"OPAF: BA03: Line Item #831010","COMSEC Equipment","0.000","2.246","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","832df6efc3ca6df47f81010c9d26f3aa0bab09511a186cd6dfd0dc5f7cfe9943","7-1dba4329269e7865157a6c3625c9536d0172c82e27ad3d964e2d5dd06d2fc1ce","1-f0c5382828460b6ba082ddaf539f8cd651ee8b00926dde8507dd4fd23fcd3994","root.record.ProjectList.Project"
"OPAF: BA03: Line Item #28","Air Force Physical Security System","26.157","75.849","84.482","84.482","0.000","53.768","79.674","75.650","49.740","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","8c8c28e42487178eb5af0c0bcde70f985d9701439a09f6ef6aaabcc10129713f","0-38b660c412b2c2d55feab5b531a1cea6296a2f9cd8447c471a234f7b1b2479e9","0-ed58dc223b2c9ce691ba4126d2d733d0f277f5a588a16d1305d8504cf5eac0b2","root.record.ProjectList.Project"
"MPAF: BA05: Line Item # SDB000","Small Diameter Bomb","51.298","135.117","260.161","92.361","167.800","78.963","69.200","169.435","334.512","1177.716","2276.402","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","6f841b54d1c886fa02aded18286b04d512af97f6c79c054ddc5def04b2d154bf","0-9af4d216a70ad345bac76f7486add14586b1bcfba3ec9d02f23da745f294f8dc","0-b3664148ab8b0d039bcaea33bc0147fc082c1d09bc1e89e69606d29bc5b55078","root.record.ProjectList.Project"
"RDT&E: BA05: PE 0604329N","Small Diameter Bomb","11.159","29.329","37.605","37.605","0.000","57.913","72.769","70.921","56.340","21.856","500.727","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","6f841b54d1c886fa02aded18286b04d512af97f6c79c054ddc5def04b2d154bf","1-cd987f8a31412e17674ac4c1ec3fab5ba2d18fdb734d062a8f89e0495dec43e1","0-b3664148ab8b0d039bcaea33bc0147fc082c1d09bc1e89e69606d29bc5b55078","root.record.ProjectList.Project"
