Title_val,Description_val,Accomplishment_PriorYear_Funding_val,Accomplishment_PriorYear_Text_val,PlannedProgram_CurrentYear_Funding_val,PlannedProgram_CurrentYear_Text_val,PlannedProgram_BudgetYearOne_Funding_val,PlannedProgram_BudgetYearOneBase_Funding_val,PlannedProgram_BudgetYearOneBase_Text_val,PlannedProgram_BudgetYearOneOCO_Funding_val,PlannedProgram_BudgetYearOneOCO_Text_val,PlannedProgram_AppChangeSummary_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Hypersonic Scramjet Technologies","Develop robust hydrocarbon fueled scramjet engine components and technologies to improve performance, operability, durability, and scalability for future platforms.","17.250","Continued to develop advanced engine components to improve scramjet operating margin and to refine scramjet scaling laws for reusable applications. Continued to develop techniques to decrease scramjet take-over from Mach 4.5 to Mach 3.5 to provide robust options for combined cycle engines (CCEs). Completed assessment of distortion impact on isolator operability. Continued to develop low internal drag flame stabilization devices and flight test engine components. Continued fabrication of heavyweight direct connect scramjet combustors in medium scale (ten times). Initiated direct connect testing of first performing contractor medium scale (ten times) scramjet combustors from Mach 3.5 to Mach 7.  Continue fabrication of second performing contractor medium scale scramjet combustor.","19.670","Continue to develop advanced engine components to improve scramjet operating margin and to refine scramjet scaling laws for reusable applications. Continue to develop techniques to decrease scramjet take-over from Mach 4.5 to Mach 3.5 to provide robust options for CCEs. Continue to develop low internal drag flame stabilization devices and flight test engine components. Test advanced materials for application to scramjet engines. Continue to fabricate heavyweight direct connect scramjet combustors in medium scale (ten times). Complete direct connect testing of first performing contractor medium scale (ten times) scramjet combustor from Mach 3.5 to Mach 7. Complete fabrication of second performing contractor medium scale scramjet combustor.","27.095","27.095","Continue to develop advanced engine components to improve scramjet operating margin and to refine scramjet scaling laws for reusable applications. Continue to develop techniques to decrease scramjet take-over from Mach 4.5 to Mach 3.5 to provide robust options for CCEs. Continue to develop low internal drag flame stabilization devices and flight test engine components. Continue testing advanced materials for application to scramjet engines. Complete direct connect testing of second performing contractor medium scale (ten times) scramjet combustor from Mach 3.5 to Mach 7.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","0-53bdc94505eff57b6c69090eee3903bc4f11ec8d8050e0e8da0f4ec8064f6cb0","0-2d5e895510e5bac3202d267ef8b37c7d3dba7eb37aeef3dfaa606b5f87aa1476","root.record.ProjectList.Project"
"Combustion Technologies","Develop, test, and evaluate revolutionary combustion and propulsion concepts for gas turbine, pulse detonation, and combined cycle engines for missiles, manned and unmanned systems.","4.559","Developed combustor, augmentor and constant volume combustion or pressure gain combustion technologies such as rotational detonation engines (RDEs) to enable the next generation of gas turbine engines, new engine cycles, and combined-cycles. Explored the interactions and effects of compressor and turbine components on the combustor and combustor materials, to reduce engine weight and increase efficiency. Continued using advanced diagnostics to obtain high-quality datasets that can be made available to and used by academia and industry for model development. Maintained efforts to determine necessary reference performance and operability combustion systems and metrics to decrease the cost of certifying new and alternative fuels in weapon systems. Transitioned ultra-compact combustor technology to performing contractor. Designed full annular High G Ultra Compact Combustor. Demonstrated RDE and turbine integration. Demonstrated gaseous heavy fuel detonation in RDE.","4.520","Continue development of combustor, augmentor, constant volume combustion and pressure gain combustion technologies such as RDEs, Inner-turbine burners (ITBs), and ultra-compact combustors (UCCs) to enable the next generation of gas turbine engines, new engine cycles, and combined-cycles.  Continue using advanced diagnostics to obtain high-quality datasets that can be made available to and used by academia and industry for model development.  Maintain efforts to determine necessary reference performance and operability combustion systems and metrics to decrease the cost of certifying new and alternative fuels in weapon systems.","4.402","4.402","Continue to explore interactions and effects of compressor and turbine components on the combustor and combustor materials to reduce engine weight and increase efficiency. Continue using advanced diagnostics to obtain high-quality datasets that can be made available to and used by academia and industry for model development.  Maintain efforts to determine necessary reference performance and operability combustion systems and metrics to decrease the cost of certifying new and alternative fuels in weapon systems. Support development of advanced computational fluid dynamics (CFD) models to reduce combustor and augmentor design costs. Maintain efforts to determine necessary reference performance and operability combustion systems and metrics to decrease the cost of certifying new and alternative fuels in weapon systems.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","0-a897cd36f5c75f5b5bf79ab9090d3d03975439897ceda082b1c2d6a3728b5420","1-29a147f932d18e1f4468f7583e38e9d6e8fb3dd9fbf18517ea09eb0e06e62845","root.record.ProjectList.Project"
"Diagnostic Technologies","Develop and demonstrate optical, electromechanical, and laser diagnostic tools and sensors for application to revolutionary propulsion technologies.","0.865","Continued development and demonstration of diagnostic systems for high-bandwidth kilo-hertz to mega-hertz (kHz-MHz) measurements of combustion chemistry and physics based on 1) time-division-multiplexed hyperspectral absorption spectroscopy, 2) pulse-burst lasers, and 3) ultrashort-pulse (picosecond, femtosecond) lasers. Applied to laboratory flame test rigs, engine test cells, and fielded systems.","0.900","Continue development and demonstration of diagnostic systems for high-bandwidth kHZ-MHz measurements of combustion chemistry and physics based on 1) time-division-multiplexed hyperspectral absorption spectroscopy, 2) pulse-burst lasers, and 3) ultrashort-pulse (picosecond, femtosecond) lasers. Continue application to engine test cells, and fielded systems.  Initiate providing sufficient data to support CFD combustion model development.","0.700","0.700","Continue development and demonstration of diagnostic systems for high-bandwidth kHz-MHz measurements of combustion chemistry and physics based on 1) time-division-multiplexed hyperspectral absorption spectroscopy, 2) pulse-burst lasers, and 3) ultrashort-pulse (picosecond, femtosecond) lasers. Continue application to engine test cells and fielded systems. Continue to provide sufficient data to support CFD combustion model development.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","1-0a998e805dbe6852e0e55d26b9a92f876d836585a32b14f2c53bcc69f88603e2","1-29a147f932d18e1f4468f7583e38e9d6e8fb3dd9fbf18517ea09eb0e06e62845","root.record.ProjectList.Project"
"Lubricant Technologies","Develop, test, and qualify advanced turbine engine lubricants. Generate and maintain military specifications for aviation engine lubricants.","3.057","Executed plan for transitioning Enhanced Ester (EE) oils into the fleet. Developed transition plans for mechanical system health monitoring system technologies. Continued investigating advanced lube system thermal management technologies for fuel efficient and hi-mach engine applications.","3.030","Demonstrate EE oils in F119 and F135 Component Improvement Program (CIP) Accelerated Maturation Testing (AMT) engines in preparation for transition to F-22 & F-35. Begin developing Grade 4 oil Phase-out plan (F-22 & F-35). Plan for F-22 & F-35 flight tests of EE oils. Initiate Research and Development (R&D) investigation of novel ionic fluids as potential lubricants for extreme environments (i.e., hi-Mach).","2.701","2.701","Continue investigating advanced thermal management technologies for fuel efficient engines & beyond. Continue developing Grade 4 oil Phase-out plan (F-22 & F-35). Continue developing on-line lube system health monitoring technologies. Continue supporting warfighter on field-related mechanical system issues.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","2-82bf2333feec71e6cbef3cb94022efb4911722d8d59a6685cf3724bb0345330c","1-29a147f932d18e1f4468f7583e38e9d6e8fb3dd9fbf18517ea09eb0e06e62845","root.record.ProjectList.Project"
"Bearing Technologies","Develop and test advanced bearing material technology and bearing concepts for small, intermediate, and large-scale turbine engine applications.","3.272","Continued full-scale bearing rig testing in support of adaptive, fuel efficient engines. Continued oil-free, foil bearing R&D in support of supersonic expendable engines and remotely piloted aircraft. Continued developing improved bearing material life model. Continued maturing active bearing thrust control system and fuse with engine prognostics health monitoring system for future fuel efficient engines.","3.202","Complete full-scale bearing rig testing in support of adaptive, fuel efficient engines. Complete oil-free, foil bearing R&D in support of supersonic expendable engines and remotely piloted aircraft. Experimentally validate improved bearing material life model. Investigate failure mechanisms of advanced bearing alloys. Continue maturing active bearing thrust control system and fuse with engine prognostics health monitoring system for future efficient engines.  Initiate development of active thrust-balance/prognostic health management (PHM) system for large man-rated and medium-scale propulsion.","2.771","2.771","Continue developing physics-based bearing life model based on bearing alloy fatigue & microstructural investigations, including bearing life factors for advanced bearing materials.  Initiate in-house investigation of small magnetic bearings & oil-free bearings for small & medium scale unmanned aerial systems (UAS). Continue development of active thrust-balance/prognostic health management (PHM) system for large man-rated and medium-scale propulsion.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","3-97848c9f9053a680baba524a93e56ae506ea2ce634ad5a5812bc17adbd3deb75","1-29a147f932d18e1f4468f7583e38e9d6e8fb3dd9fbf18517ea09eb0e06e62845","root.record.ProjectList.Project"
"Turbofan/Turbojet Engine Core Technologies","Develop core turbofan/turbojet engine components (i.e., compressors, combustors, and turbines) for fighters, bombers, sustained supersonic/hypersonic cruise vehicles, and transports.","27.187","Continued developing modeling and simulation tools for advanced components including coupled aerothermal models; highly loaded, low emissions combustion systems; and turbine durability designs. Performed structural assessment research of combustor and turbine components operating in a realistic engine environment. Continued to develop improved compressor aerodynamic design tools to extend engine operability and efficiency. Completed conceptual design, and initiated detailed design of efficient, very high pressure ratio core component technologies","31.057","Complete development of modeling and simulation tools for advanced components including coupled aerothermal models; highly loaded, low emissions combustion systems; and turbine durability designs. Perform structural assessment research of mechanical and turbine components operating in a realistic engine environment. Continue development of improved compressor aerodynamic design tools to extend engine operability and efficiency. Complete detailed design of efficient, very high pressure ratio core component technologies.","23.523","23.523","Develop and validate modeling and simulation tools for the design and analysis of advanced turbine components with improved durability for adaptive cycle engines. Continue development of improved compressor aerodynamic design tools and analysis methods to extend engine operability and efficiency.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","0-de79cc6b6b19fc27e8d9061c68d3630e603a40ba8366891e0db598dab7b01618","2-7b2c82b0e7aa6617dc3f917158ddd5dfba3eff55ae4bd9bf8ba5c98526a501e9","root.record.ProjectList.Project"
"Turbofan/Turbojet Engine Fan, Low Pressure Turbine, and Integration Technologies","Develop turbofan/turbojet engine components (i.e., fans, nozzles, etc.) used in engines for fighters, bombers, sustained supersonic strike and hypersonic cruise vehicles, and transports.","23.128","Initiated adaptive engine conceptual designs to reduce specific fuel consumption reduction by up to 35% for embedded high bypass turbofans, and for sustained supersonic strike applications. Continued to develop modeling and simulation tools, including methods to predict behavior of serpentine inlets and nozzles. Conducted bench and rig tests to validate modeling and simulation tools to predict fan/inlet interaction for both podded and embedded propulsion systems. Conducted bench and rig tests to validate probabilistic ignition prediction tool for advanced augmentor design system. Developed models to validate function and durability of high temperature electronics for engine control.","26.283","Complete preliminary designs of an adaptive engine to reduce specific fuel consumption reduction by up to 35% for embedded high bypass turbofans, and for sustained supersonic strike applications. Continue development of modeling and simulation tools, including methods to predict behavior of serpentine inlets and nozzles. Initiate rig tests to validate modeling and simulation tools to predict fan/inlet interaction for both podded and embedded propulsion systems. Complete rig tests to validate probabilistic ignition prediction tool for advanced augmentor design system. Validate models for function and durability of high temperature electronics for engine control.","23.589","23.589","Continue development of modeling and simulation tools, including methods to predict behavior of serpentine inlets and nozzles. Develop and validate modeling and simulation tools for the design and analysis of advanced low pressure turbine components to enable lower cost/weight systems with improved aero-performance for increased range and endurance at altitude. Continue rig tests to validate modeling and simulation tools to predict fan/inlet interaction for both podded and embedded propulsion systems.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","1-57bd03227e26e33506fbf04ab5068595ea5ed80552c0ec01f6df6958f9a82997","2-7b2c82b0e7aa6617dc3f917158ddd5dfba3eff55ae4bd9bf8ba5c98526a501e9","root.record.ProjectList.Project"
"Missile and Remotely Piloted Aircraft Engine Technologies","Develop limited life engine components for missile and remotely piloted aircraft (RPA) applications, including long-range supersonic and hypersonic vehicles.","4.424","Continued to develop and apply advanced modeling and simulation tools for variable cycle component design, advanced cooling concepts, compact augmentors, and composite structures. Continued to demonstrate advanced designs in rig testing. Utilized validation data to develop improved test protocol for small engine augmentor designs.","5.054","Complete development of advanced modeling and simulation tools for variable cycle component design, advanced cooling concepts, compact augmentors, and composite structures. Continue to demonstrate advanced component designs in rig testing. Utilize validation data to develop improved test protocol for small engine augmentor designs.","4.424","4.424","Continue to demonstrate advanced component designs in rig testing. Continue to utilize validation data to develop improved test protocol for small engine augmentor designs.  Initiate development and validation of modeling and simulation tools for the design and analysis of turbine components with mission-tailored aero-performance and highly efficient cooling geometries.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","2-5c225fed0f87847b7b606e2bcaa08cacb386c949b0fc2f596344c543bf411789","2-7b2c82b0e7aa6617dc3f917158ddd5dfba3eff55ae4bd9bf8ba5c98526a501e9","root.record.ProjectList.Project"
"Turboshaft/Turboprop and Small Turbofan Engine Technologies","Develop components for turboshaft/turboprop and small turbofan engines for trainers, rotorcraft, special operations aircraft, and theater transports.","1.034","Continued to refine and develop and apply advanced modeling and simulation tools for advanced cooling concepts, high efficiency gearboxes, and high performance airfoils. Continued to develop advanced vibration and temperature sensors for use in demonstration of engine durability requirements.","1.318","Continue to refine and apply advanced modeling and simulation tools for advanced cooling concepts, high efficiency gearboxes, and high performance airfoils.  Demonstrate advanced vibration and temperature sensors for use in engine durability testing.","0.983","0.983","Develop and validate modeling and simulation tools to achieve very high levels of loading for advanced low pressure turbine components.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","3-f720ed536efb31d3332089550ae9913a6dcd4699bf71788867d4c3493e1dce4c","2-7b2c82b0e7aa6617dc3f917158ddd5dfba3eff55ae4bd9bf8ba5c98526a501e9","root.record.ProjectList.Project"
"High Power System Technologies","Develop integrated system architecture and component technologies to provide for the large amounts of electrical power needed, and concurrent thermal mitigation required, by current and future manned and unmanned systems.","28.769","Continued development of system and component electrical power, electro-mechanical, and thermal technologies for high-power applications. Continued development of hybrid approaches to power generation, storage, and application as well as thermal management. Continued testing of subsystems hardware in conjunction with continued platform level tip-to-tail modeling and simulation energy optimization. Initiated integrated ground demonstration of adaptive power and thermal management system for next generation air platforms. Initiated development of advanced, safe energy storage, power distribution, and management systems to include Silicon Carbide applications and batteries.","28.213","Continue development of system and component electrical power, electro-mechanical, and thermal technologies for high-power applications. Continue development of hybrid approaches to power generation, storage, and application as well as thermal management. Continue testing of subsystems hardware in conjunction with continued platform level tip-to-tail modeling and simulation energy optimization. Complete integrated ground demonstration of adaptive power and thermal management system for next generation air platforms. Complete power, thermal and propulsion architecture study for future air platforms.  Continue development of advanced, safe energy storage, power distribution, and management systems to include Silicon Carbide applications and batteries.  Initiate power and thermal development toward demonstration of tactical aircraft high-power payload capability, e.g. laser weapon system.","34.703","34.703","Continue development of system and component electrical power, electro-mechanical, and thermal technologies for high-power applications. Continue development of hybrid approaches to power generation, storage, and application as well as thermal management. Continue power and thermal development toward demonstration of tactical aircraft high-power payload capability, e.g. laser weapon system.  Complete design of laser weapon system demonstration architecture.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","0-7c7832e60cbd760b706257f5747152441830e916f1da9323b352a5fac1f18232","3-63bcd628117c084a6c3479f66037200f39f618be796a98e3001c655b775bcc63","root.record.ProjectList.Project"
"Fuel Technologies","Develop, characterize, and test advanced hydrocarbons, energetics, solid propellants, and monopropellants to increase space launch payload capability and refine new synthesis methods.","6.414","Scaled up methods for removing components from fuels that adversely affect fuel coking in rocket engine environments. Evaluated scaled-up propellants in advanced combustion devices to determine materials compatibility and performance to include supporting large-scale motor tests. Developed advanced binder systems to enable use of advance solid propellant ingredients with significant improvements over state of the art. Acquired 60-liter pilot plant and “large-scale” continuous flow micro reactor for the on-demand and on-site production of common and new propellant ingredients.  Continued development and characterization of next generation ionic liquid propellants for use in spacecraft and missile defense applications.","6.427","Complete scale up methods for removing components from fuels that adversely affect fuel coking in rocket engine environments. Continue to evaluate scaled-up propellants in advanced combustion devices to determine materials compatibility and performance to include supporting large-scale motor tests. Continue to develop advanced binder systems to enable use of advance solid propellant ingredients with significant improvements over state-of-the-art. Continue to utilize 60-liter batch reactor to supplement micro continuous flow technology for the production of propellant ingredients. Continue development and characterization of next generation ionic liquid propellants for use in spacecraft and missile defense applications.  Evaluate the effects of ingredient variability on solid propellant properties and ageing characteristics.","6.854","6.854","Complete scale-up methods for removing components from fuels that cause fuel coking in rocket engines. Develop robust binder systems compatible with advanced energetic materials to significantly improve the performance of state-of-the-art solid propellants. Produce modular micro plant, which will allow for the production of desired chemicals on-demand. Promote acoustic resonant mixing in order to improve the homogeneity and reproducibility of solid propellant formulations. Develop scaled-up propellants for use in large-scale motor tests. Continue development of next generation ionic liquid propellants for use in spacecraft and missile defense applications.  Support NASA’s Green Propellant Infusion mission to demonstrate a non-toxic ionic liquid based propulsion system in space.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","0-708c01c51b0f34f0655a12186fbd7a464d77dc89e7ccf673e7e372fc1597c97e","4-c418199cef74f046edefeba594a3f3673d412574dc9977444de1b853680f14de","root.record.ProjectList.Project"
"Liquid Engine Combustion Technologies","Develop advanced liquid engine combustion technology for improved performance, while preserving chamber lifetime and reliability needs for engine uses in heavy lift space vehicles.","5.344","Continued evaluation of injector concepts in hot fire conditions. Continued efforts looking at multi-injector designs and control effectors. Continued transition of candidate injector technologies to performing contractor for use in Hydrocarbon Boost (HCB), a rocket engine ground demonstration. Continued hot fire tests in combustion stability rig and fed data to HCB to influence supporting design efforts. Continued combustion stability modeling critical to supporting HCB Demonstration and all future hydrocarbon fueled liquid rocket engines. Released beta version of analysis/design code to rocket community. Completed characterization of novel cooling channels and transfer info to HCB to influence rocket engine thrust chamber design. Acquired first available fuel lubricity and wear data in support of high performance engine turbomachinery lifetime and operability goals. Continued developing understanding of hydrocarbon fuel production, what components affect fuel coking and should be removed from the fuel (or added) during the production process, and how fuels can be engineered with a purpose. Designed advanced high heat flux rig to test fuels using orders of magnitude less fuel and time to determine feasibility of fuel for further use/consideration. Continued to evaluate and develop advanced material solutions for high temperature components in rocket engines. Continued to develop and demonstrate in-house, moderate scale liquid rocket component testing capability; began testing a sub-scale preburner in the facility to provide additional risk reduction for future engine designs. Continued to develop high performance compact liquid rocket engine technologies. Completed modeling and simulation of fuel film cooling flow under conditions relevant to liquid rocket engines and demonstrated the significance of  unsteadiness on the film cooling effectiveness.","6.319","Continue evaluation of injector concepts in hot fire conditions. Continue efforts looking at multi-injector designs and control effectors. Continue transition of candidate injector technologies to performing contractor for use in HCB, a rocket engine ground demonstration. Continue hot fire tests in combustion stability rig and feed data to HCB to influence supporting design efforts. Continue combustion stability modeling critical to supporting HCB Demonstration and all future hydrocarbon fueled liquid rocket engines. Develop reduced chemical kinetic mechanism for fuel combustion implementable in CFD simulations (first & second phase: 1 to 80 atmospheres of pressure). Experimentally evaluate novel cooling channel designs developed via additive manufacturing. Extend modeling and simulation of fuel film cooling to include additional physical effects in order to close gaps with experimental data. Continue developing understanding of hydrocarbon fuel production, what components affect fuel coking and should be removed from the fuel (or added) during the production process, and how fuels can be engineered with a purpose. Complete a test article that will enable heat transfer tests at conditions relevant to full scale boost engines in a laboratory environment, and conduct testing. Continue to evaluate and develop advanced material solutions for high temperature components in rocket engines. Continue to develop and demonstrate in-house, moderate scale liquid rocket component testing capability; continue testing a sub-scale preburner in the facility to provide additional risk reduction for future engine designs. Continue to develop high performance compact liquid rocket engine technologies.","6.837","6.837","Continue evaluation of injector concepts in hot-fire conditions.  Continue examination of multi-injector designs and control effectors.  Provide direct customer support to evaluate and troubleshoot injector designs and issues for HCB. Deliver high-fidelity injector simulations that compliment experimental data.  Continue hot fire tests in combustion stability rig and feed data to HCB to influence supporting design efforts.   Continue combustion stability modeling critical to supporting HCB Demonstration and all future hydrocarbon fueled liquid rocket engines.  Deliver combustion stability codes to rocket community, enabling more robust and stable engine designs.  Develop fundamental physics of fuel film cooling.  Deliver validated and verified film fuel cooling modeling and simulation codes.  Employ new fuel and material operating limitations, manufacturing processes, and launch goals in cycle analysis to identify trade space for future engines.  Continue to evaluate and develop advanced material solutions for high temperature components in rocket engines.  Develop refractory metallic film deposition techniques for application in catalytic thrusters.  Test survivability and effectiveness of thermal barrier coatings for advanced hydrocarbon boost engine thrust chambers.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","1-1143cbe3635d68d95642c8aa5732607190c316021e444783c0ce547ae5e0d2bf","4-c418199cef74f046edefeba594a3f3673d412574dc9977444de1b853680f14de","root.record.ProjectList.Project"
"Advanced Liquid Engine Technologies","Develop advanced liquid engine technologies for improved performance, while increasing life and reliability needs for engine uses in expendable and reusable launch vehicles.","15.917","Continued to develop enabling hydrocarbon boost technology for future spacelift concepts and continue risk reduction activities for the development of HCB technologies such as subscale turbopump assembly and thrust chamber assembly. Completed Preliminary Design Reviews for the Preburner and Turbopump.","17.517","Continue to develop enabling HCB technology for future spacelift concepts and continue risk reduction activities for the development of HCB technologies (turbopump assembly, thrust chamber assembly). Complete Critical Design Review for the full-scale Preburner.  Complete Preliminary and Critical Design Review for the full-scale Preburner and Thrust Chamber.  Complete fabrication of the Preburner and begin testing.  Begin fabrication of the Thrust Chamber.  Begin exploring engine concepts for next generation, beyond 2035, launch vehicles and concepts to effect cost reductions. Also explore changing facility needs and requirements to support characterization of components and research demonstrators.","17.906","17.906","Continue to develop enabling HCB technology for future spacelift concepts and continue risk reduction activities for the development of HCB  technologies.  Continue exploring engine concepts for next generation, beyond 2035, launch vehicles and concepts to effect cost reductions.  Continue exploring changing facility needs and requirements to support characterization of components and research demonstrators.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","2-9f091e23d83289a4b42e0d3c845c0d01da7e146ace1a2cd7fa2689625c6efb21","4-c418199cef74f046edefeba594a3f3673d412574dc9977444de1b853680f14de","root.record.ProjectList.Project"
"On-Orbit Propulsion Technologies","Develop solar electric, solar thermal, chemical, and advanced propulsion technologies for station-keeping, repositioning, and orbit transfer for satellites and satellite constellations.","13.895","Conducted scale-up of advanced monopropellants and evaluated advanced ignition schemes and chamber concepts. Continued development of next generation high power electric spacecraft propulsion. Continued advanced modeling and simulation tool developments to improve design and analysis tools for a wide range of spacecraft propulsion concepts/technologies, incorporating concepts/technologies and accurately model the physics. Continued transition of new thruster modeling framework to spacecraft industry for use in future designs. Explored and developed new generation of chemical spacecraft thruster technologies. Continued support of future NASA flight of Air Force Research Lab's (AFRL) non-toxic monopropellant.","12.317","Conduct scale-up of advanced monopropellants and evaluate advanced ignition schemes and chamber concepts, including integration of advanced plume diagnostic capabilities. Continue development of next generation high power electric spacecraft propulsion for increased efficiency, operability, and flexibility. Continue advanced modeling and simulation tool developments to improve design and analysis tools for a wide range of spacecraft propulsion concepts/technologies, incorporating concepts/technologies and accurately model the physics. Transition new thruster/plume modeling framework to spacecraft industry for use in future designs. Release initial version of code to industry partners. Explore and develop new generation of chemical spacecraft thruster technologies. Complete support of NASA flight of AFRL non-toxic monopropellant (replaces toxic monopropellant currently used in spacecraft).","13.190","13.190","Complete scale-up research of the advanced monopropellant AF-M315E and continue supporting demonstrations of advanced ignition schemes and chamber concepts. Improve upon baseline plume diagnostic capabilities. Continue development of next generation high power electric spacecraft propulsion, with efforts focused on two competing technology paths. Continue advanced modeling and simulation tool developments to improve design and analysis tools for a wide range of spacecraft propulsion concepts/technologies, incorporating concepts/technologies and accurately model the physics. Continue transition of new thruster/plume modeling framework to spacecraft industry for use in future designs. Release version 2 beta code to industry partners and provide user support. Explore and develop new generation of chemical spacecraft thruster technologies.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","3-9f25ba87f2d603e9f7785c7ad5a08745d13b3bc4c4163b726f38ce5cfbe3f2fe","4-c418199cef74f046edefeba594a3f3673d412574dc9977444de1b853680f14de","root.record.ProjectList.Project"
"Space Access and Strike Applications","Develop missile propulsion and boost technologies for space access and strike applications.","5.171","Continued development of advanced tactical propulsion. Continued development and evaluation of next generation of updated, physics- based modeling, simulation, and analysis tools for missile propulsion components and applications. Continued to develop advanced component technologies for missile propulsion applications for strategic and strike systems helping to ensure their long-term sustainment. Continued propellant development efforts including long-life propellants.","7.094","Continue to develop advanced tactical propulsion. Continue development and evaluation of next generation of updated, physics- based modeling, simulation, and analysis tools for missile propulsion components and applications. Continue to develop advanced component technologies for missile propulsion applications for strategic and strike systems helping to ensure their long-term sustainment. Continue propellant development efforts including long-life propellants.","7.146","7.146","Continue to develop advanced tactical propulsion. Continue development and evaluation of next generation of updated, physics- based modeling, simulation, and analysis tools for missile propulsion components and applications. Use tools in upcoming missile propulsion demonstration.  Continue to develop advanced component technologies for missile propulsion applications for strategic and strike systems helping to ensure their long-term sustainment. Develop technology options for post-boost systems exploring cost reductions, performance improvements, and potential for commonality between Air Force, Navy, and Missile Defense Agency needs for this technology.  Continue propellant development efforts including long-life propellants.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","57fb12b66e1abe44cda514e19c123410b3d40ac4257fa13e2069ff94b73318d9","4-f617bdee5d541279610897b43e0feb8e96ae125c245474ffbec4e984aebf0369","4-c418199cef74f046edefeba594a3f3673d412574dc9977444de1b853680f14de","root.record.ProjectList.Project"
