ProjectNumber_val,ProjectTitle_val,ProjectFunding_PriorYear_val,ProjectFunding_CurrentYear_val,ProjectFunding_BudgetYearOne_val,ProjectFunding_BudgetYearOneBase_val,ProjectFunding_BudgetYearOneOCO_val,ProjectFunding_BudgetYearTwo_val,ProjectFunding_BudgetYearThree_val,ProjectFunding_BudgetYearFour_val,ProjectFunding_BudgetYearFive_val,ProjectFunding_CostToComplete_val,ProjectFunding_TotalCost_val,ProjectFunding_AllPriorYears_val,R2aExhibit_ProjectArticles_PriorYear_val,R2aExhibit_ProjectArticles_CurrentYear_val,R2aExhibit_ProjectArticles_BudgetYearOne_val,R2aExhibit_ProjectArticles_BudgetYearOneBase_val,R2aExhibit_ProjectArticles_BudgetYearOneOCO_val,R2aExhibit_ProjectArticles_BudgetYearTwo_val,R2aExhibit_ProjectArticles_BudgetYearThree_val,R2aExhibit_ProjectArticles_BudgetYearFour_val,R2aExhibit_ProjectArticles_BudgetYearFive_val,R2aExhibit_ProjectArticles_AllPriorYears_val,R2aExhibit_ProjectNote_val,R2aExhibit_ProjectMissionDescription_val,R2aExhibit_AcquisitionStrategy_val,R2aExhibit_PerformanceMetrics_val,R2aExhibit_CongressionalAddDetailList_CongressionalAddDetail,R2aExhibit_OtherProgramFundingSummaryRemarks_val,@SOURCE_FILENAME,@RECORDID,@ROWID,R3Exhibit_CostCategoryGroupList_CostCategoryGroup,R4aExhibit_ScheduleDetailList_ScheduleDetail,@PARENTROWID,@PARENT
"633035","Aerospace Power Technology","5.021","5.746","3.067","3.067","0.000","7.520","9.892","8.944","9.601","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops and demonstrates electrical power, thermal management, and distribution for aerospace applications. This technology enhances reliability and survivability, and reduces vulnerability, weight, and life cycle costs for manned and remotely piloted aircraft. The electrical power system components developed are projected to provide a two- to five-fold improvement in aircraft reliability and maintainability, and a reduction in power system weight.  This project is integrated into energy optimized aircraft efforts and power and thermal programs.  This project also develops and demonstrates electrical power and thermal management technologies to enable solid state high power density sources for directed energy weapons.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1aa14e6143e564504e82d85ff8c5125faca02e21227120628b376e685aea3232","1-6084bcf3d6fa0e671ebef9918cb91e4ba787a808b56f0b48d0023b3add1325b5","","","9-04ed9c72b8f9620c6042fd50d21558065409b01eeddbdd74152cdcb3f557177a","root"
"634921","Aircraft Propulsion Subsystems Int","40.066","17.709","77.716","77.716","0.000","68.076","52.129","68.848","68.821","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The Aerospace Propulsion Subsystems Integration (APSI) project includes demonstrator engines for manned systems and concept and efficient small-scale propulsion for remotely piloted aircraft and cruise missile applications. The demonstrator engines integrate the core (high-pressure spool) technology developed under the Advanced Turbine Engine Gas Generator project with the engine (low-pressure spool) technology such as fans, turbines, engine controls, mechanical systems, exhaust nozzles, and augmentors. Additionally, this project includes activities to improve propulsion safety and readiness. This project also focuses on integration of inlets, nozzles, engine/airframe compatibility, and power and thermal management subsystems technologies. The APSI project provides aircraft with potential for longer range and higher cruise speeds with lower specific fuel consumption, surge power for successful engagements, high sortie rates with reduced maintenance, reduced life cycle cost, and improved survivability, resulting in increased mission effectiveness. Technologies developed are applicable to sustained high-speed vehicles and responsive space launch. The APSI project is focused on improving propulsion capabilities while at the same time reducing the cost of ownership. Anticipated technology advances include turbine engine improvements providing approximately twice the range for a sustained supersonic combat aircraft, doubling the time on station with 10 times the power output for surveillance aircraft and propulsion for a high speed supersonic missile with double the range for time sensitive targets. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1aa14e6143e564504e82d85ff8c5125faca02e21227120628b376e685aea3232","2-a8e26cf11340498cc321a2d1d08a88e884458c4b9a4867d7ae17d0f08f92630b","","","9-04ed9c72b8f9620c6042fd50d21558065409b01eeddbdd74152cdcb3f557177a","root"
"634922","Space & Missile Rocket Propulsion","29.357","27.596","22.446","22.446","0.000","24.061","24.388","27.598","26.631","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops and demonstrates advanced and innovative low-cost rocket turbo-machinery and components, low-cost space launch propulsion technologies, and advanced propellants for launch and orbit transfer propulsion. Additionally, this project develops technologies for the sustainment of strategic systems (including solid boost/missile propulsion, post boost control, and aging and surveillance efforts) and tactical rockets. Characteristics such as environmental acceptability, affordability, reliability, responsiveness, reduced weight, and reduced operation and launch costs are emphasized. Increased life and performance of propulsion systems are key goals. This project also develops chemical, electrical, and solar rocket propulsion technologies for station-keeping and on-orbit maneuvering applications. Technology areas investigated include ground demonstrations of compact, lightweight, advanced propulsion technologies, higher efficiency energy conversion systems (derived from an improved understanding of combustion fundamentals), and high-energy propellants. Technological advances developed in this program could improve the performance of expendable payload capabilities by approximately 20-50 percent and reduce launch, operations, and support costs by approximately 30 percent. Responsiveness and operability of propulsion systems will be enhanced for reusable launch systems. Technology advances could also lead to seven-year increase in satellite on-orbit time, a 50 percent increase in satellite maneuvering capability, a 25 percent reduction in orbit transfer operational costs, and a 15 percent increase in satellite payload. Aging and surveillance efforts for solid rocket motors could reduce lifetime prediction uncertainties for individual motors by 50 percent, enabling motor replacement for cause. The efforts in this project contribute to the sustainment of the rocket propulsion industry, providing rocket propulsion technology for the entire Department of Defense and often NASA.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1aa14e6143e564504e82d85ff8c5125faca02e21227120628b376e685aea3232","3-397407a348d20e032d2e2826f0832bbb33e7f9a494d98290fe816a87dcbf26f4","","","9-04ed9c72b8f9620c6042fd50d21558065409b01eeddbdd74152cdcb3f557177a","root"
"635098","Advanced Aerospace Propulsion","12.744","30.117","9.553","9.553","0.000","18.811","42.427","39.140","29.523","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","Note: In FY 2012, funding in this project is increased to complete scramjet engine flight demonstrations.","This project develops and demonstrates, via ground and flight tests, the scramjet propulsion cycle to a technology readiness level appropriate for full integration with other engine cycles (including turbine and rocket-based) to provide the Air Force with transformational military capabilities. The primary focus is on the hydrocarbon-fueled, scramjet engine. Multi-cycle engines will provide the propulsion systems for possible application to support aircraft and weapon platforms operating over the range of Mach 0 to 8+. Efforts include scramjet flow-path optimization to enable operation over the widest possible range of Mach numbers, active combustion control to assure continuous positive thrust (even during mode transition), robust flame-holding to maintain stability through flow distortions, and maximized volume-to-surface area to minimize the thermal load imposed by the high-speed engine. Thermal management plays a vital role in scramjet and combined cycle engines, including considerations for protecting low speed propulsion systems (e.g., turbine engines) during hypersonic flight.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1aa14e6143e564504e82d85ff8c5125faca02e21227120628b376e685aea3232","4-f695df58053e925bd0f63e9c453d7c5c5b3dbf7e2b07db3fe9ca007f9d62d265","","","9-04ed9c72b8f9620c6042fd50d21558065409b01eeddbdd74152cdcb3f557177a","root"
"63681B","Advanced Turbine Engine Gas Generator","33.646","32.988","34.789","34.789","0.000","32.301","18.612","18.695","18.663","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The objective is to provide the continued evolution of technologies into an advanced gas generator in which the performance, cost, durability, reparability, and maintainability can be assessed in a realistic engine environment. The gas generator, or core, is the basic building block of the engine and nominally consists of a compressor, a combustor, a high-pressure turbine, mechanical systems, and core subsystems. Experimental core engine demonstration validates engineering design tools and enhances rapid, low-risk transition of key engine technologies into engineering development, where they can be applied to derivative and/or new systems. These technologies are applicable to a wide range of military and commercial systems including aircraft, missiles, land combat vehicles, ships, and responsive space launch. Component technologies are demonstrated in a core (sub-engine). This project also assesses the impact of low spool components (such as inlet systems, fans, low pressure turbines, and exhaust systems) and system level technologies (such as integrated power generators and thermal management systems) on core engine performance and durability in core-centric engine demonstration. The core performances of this project are validated on demonstrator engines in Project 4921 of this Program Element. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1aa14e6143e564504e82d85ff8c5125faca02e21227120628b376e685aea3232","5-adbe9220e7f4d3dc25502d8da5504a40724e83bdb5ccd2e5523200b22dbd8e72","","","9-04ed9c72b8f9620c6042fd50d21558065409b01eeddbdd74152cdcb3f557177a","root"
"632432","Defensive System Fusion Technology","4.981","6.180","1.320","1.320","0.000","0.633","0.000","0.000","0.000","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops and demonstrates technologies for integrating electronic combat sensors and electronic combat system fusion.  It develops advanced algorithms and assessment techniques needed to evaluate and enable combat aircraft operations in multi-spectral threat and countermeasure environments.  It also matures technologies required for command-and-control warfare, stand off jamming, and electronic support measures for the denial, disruption, and suppression of adversary air defense operations.  Technologies include advanced components and techniques needed to jam enemy radars, advanced stand off jammer technologies, and electronic collection methods to inform field commanders of changes in the electronic environment.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1e410427c9e163e47cd72c52d7cee392a3f433f64acaf0119b23836f7cf4b19f","0-65b0915756f9ced465734cc6014b4f5c9d569b58245f8eb68ac849caa6e7a25c","","","10-55747532a09ea4400b91e5837982223f318a1e5913df2566d1845a0f085aeed3","root"
"633720","EW Quick Reaction Capabilities","0.000","0.000","10.000","10.000","0.000","25.000","35.000","39.000","39.000","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project establishes a Joint Capabilities Office (JCO) to integrate and focus technology research efforts in Electronic Warfare (EW), Directed Energy Weapons (DEW), and Cyber Warfare.  The JCO will coordinate and shape investments in emergent science and applied technologies to yield long-term non-kinetic dominance of the electromagnetic spectrum.  This office will work with Component research and acquisition organizations to formulate innovative concepts, technologies and delivery systems; build engineering models at a highly accelerated pace; and sponsor field demonstrations of disruptive EW capabilities to outpace adversary efforts.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1e410427c9e163e47cd72c52d7cee392a3f433f64acaf0119b23836f7cf4b19f","1-abeecdccae71efbd81a27ed02f7df78fe15b5098e8a86866dbfb7ca086a5a9cf","","","10-55747532a09ea4400b91e5837982223f318a1e5913df2566d1845a0f085aeed3","root"
"63431G","RF Warning & Countermeasures Tech","3.686","5.403","15.508","15.508","0.000","19.493","15.009","11.091","11.156","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops and demonstrates advanced technologies for radio-frequency electronic combat suites to enhance the survivability of aerospace vehicles and to provide crew situational awareness.  One major area addresses technologies for missile/threat warning, radio-frequency receivers, electronic combat pre-processors, advanced sorting/pre-processing algorithms, and expert software for applications on existing and future electronic combat systems.  Another major technology area focuses on the development and demonstration of subsystems and components for generating on-board/off-board radio-frequency countermeasure techniques.  This includes the development of electronic countermeasures techniques, as well as advanced electronic countermeasures technologies such as antennas, power amplifiers, and preamplifiers.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1e410427c9e163e47cd72c52d7cee392a3f433f64acaf0119b23836f7cf4b19f","2-90ea09f008f099bafd1dc7e640e94fb68b4d74c4da5f95c960ee048a0ac56c4d","","","10-55747532a09ea4400b91e5837982223f318a1e5913df2566d1845a0f085aeed3","root"
"63691X","EO/IR Warning & Countermeasures Tech","7.362","10.648","6.113","6.113","0.000","3.902","4.554","4.594","4.726","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops and demonstrates the advanced warning and countermeasure technologies required to negate electro-optical, infrared, and laser threats to aerospace platforms.  Off-board (decoys and expendables) and on-board countermeasure technologies developed for aircraft self-protection will provide robust, affordable solutions for protection against infrared missiles with autonomous seekers, multi-spectral threats, laser-guided weapons, and electro-optical and infrared tracking systems used to direct electro-optical, infrared, and radar-guided missiles.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1e410427c9e163e47cd72c52d7cee392a3f433f64acaf0119b23836f7cf4b19f","3-8db316791db7968de1fb4865b55aacd3fa7f4f58fc378c9c877a982696977104","","","10-55747532a09ea4400b91e5837982223f318a1e5913df2566d1845a0f085aeed3","root"
"632181","Spacecraft Payloads","18.573","18.799","15.710","15.710","0.000","13.299","12.303","9.659","9.989","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project funds the development, demonstration, and evaluation of radiation-hardened space electronic hardware, satellite control hardware, and software for advanced satellite surveillance operations.  Future improved space-qualifiable electronics and software for data and signal processing will be more interchangeable, interoperable, and standardized.  In the near-term, this project's work concentrates on converting (i.e., radiation-hardening) commercial data and signal processor technologies for use in Air Force space systems.  For mid-term applications, this project merges advanced, radiation-hardened space processor, memory, and interconnect technologies with commercially-derived, open system architectures to develop and demonstrate robust, on-board processing capabilities for 21st century Department of Defense satellites.  In the long-term, this project area focuses on developing low-cost, easily modifiable software and hardware architectures for fully autonomous constellations of intelligent satellites capable of performing all mission related functions without operator intervention.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","293c9a621d0563c67280872f2f96af3f51082595fec9cc42babb3944fda68da5","0-9d547bd36b8fecb0ac36aa18713baf15f236b415aa7a3358e7cbad1faa142938","","","11-d5c5695380e2507183a7e218fb9f425cb1e2150ada97551f5905387714db34a3","root"
"633834","Integrated Space Technology Demonstrations","36.556","35.143","13.828","13.828","0.000","13.933","22.653","24.206","25.297","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project is a series of advanced technology demonstrations designed to address mission needs by applying emerging technologies from the Air Force Research Laboratory, other U.S. Government laboratories, and industry.  These technologies are integrated into system-level demonstrations that are used to test, evaluate, and validate the technologies in a relevant environment.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","293c9a621d0563c67280872f2f96af3f51082595fec9cc42babb3944fda68da5","1-14bd865b87c2a1bd5c2c7da91b060a729d916398d9458ebdd9adb4dcd1c1ceb4","","","11-d5c5695380e2507183a7e218fb9f425cb1e2150ada97551f5905387714db34a3","root"
"634400","Space Systems Protection","4.464","4.475","5.047","5.047","0.000","6.469","7.217","7.416","7.587","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops and demonstrates tools, instruments, and mitigation techniques required to assure operation of U.S. space assets in potentially hostile warfighting environments.  The project performs assessments of critical components and subsystems, and evaluates susceptibility and vulnerability to radio frequency (RF) and laser threats.  This project also develops technologies that mitigate identified vulnerabilities.  Technologies are developed and demonstrated to support balanced satellite protection strategies for detecting, avoiding, and operating in a hostile space environment.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","293c9a621d0563c67280872f2f96af3f51082595fec9cc42babb3944fda68da5","2-ed8e830d22c436353489c4c4f96be255c47bb11a008cc443d7562fbc47f7ad72","","","11-d5c5695380e2507183a7e218fb9f425cb1e2150ada97551f5905387714db34a3","root"
"634950","Space Demonstration","0.000","0.000","16.000","16.000","0.000","15.000","11.500","0.000","0.000","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project will provide mission design and development, payload integration, launch support, operations planning, and one-year of on-orbit operations for a Science and Technology space-launch mission. The project will provide a launch opportunity in support of the multi-agency “new entrant” certification strategy and the USAF Launch Services New Entrant Certification Guide.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","293c9a621d0563c67280872f2f96af3f51082595fec9cc42babb3944fda68da5","3-ec2aa7c2d237aeb969f76ede35f4d9379d83a7904b4b32b86eff9f5330ba6fe2","","","11-d5c5695380e2507183a7e218fb9f425cb1e2150ada97551f5905387714db34a3","root"
"635021","Space Systems Survivability","3.610","3.249","2.907","2.907","0.000","3.097","3.526","3.552","3.634","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops and demonstrates technologies to improve space system survivability and reliability of current and future Department of Defense space systems that must continue operation despite natural space hazards. It develops and demonstrates cost-effective solutions to mitigate hazardous space environmental interactions including electrical charge buildup and electronics failures due to both single radiation events and long-term radiation doses.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","293c9a621d0563c67280872f2f96af3f51082595fec9cc42babb3944fda68da5","4-eef37465bab209e8633d4c611df445331ba53e5b30156c08dfa217f407b6cd5a","","","11-d5c5695380e2507183a7e218fb9f425cb1e2150ada97551f5905387714db34a3","root"
"635083","Ballistic Missiles Technology","5.053","5.216","5.081","5.081","0.000","5.377","6.214","6.260","6.404","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops, integrates, and demonstrates advanced technologies for sustainment and modernization of strategic ballistic missiles.  The project focuses on developing robust, low maintenance inertial navigation instruments to sustain current ballistic missile systems, as well as provide new, small, low-powered, high-precision instrumentation for next generation missile systems.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","293c9a621d0563c67280872f2f96af3f51082595fec9cc42babb3944fda68da5","5-f54fbd9425f866987e74a5872149b2e32b9aa19e6107eabd3011f3d532aadb55","","","11-d5c5695380e2507183a7e218fb9f425cb1e2150ada97551f5905387714db34a3","root"
"63682J","Spacecraft Vehicles","6.847","7.127","5.984","5.984","0.000","4.515","3.662","3.880","3.959","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops and demonstrates compact, low-cost, spacecraft power generation, storage, distribution, and thermal management technologies, including cryogenic cooling technologies.  This project also develops composites for spacecraft structures and technologies for spacecraft control and mechanisms.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","293c9a621d0563c67280872f2f96af3f51082595fec9cc42babb3944fda68da5","6-56b085b8e8e2bdad27613e8f839b49bdedc0545e6190516d20d7a6fa094c6672","","","11-d5c5695380e2507183a7e218fb9f425cb1e2150ada97551f5905387714db34a3","root"
"615097","High Energy Laser Research Initiatves","12.748","14.258","13.094","13.094","0.000","13.326","13.554","13.816","14.068","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This program funds basic research aimed at developing fundamental scientific knowledge to support future Department of Defense (DoD) high energy laser (HEL) systems.  The HEL Joint Technology Office (JTO) sends these funds to multi-disciplinary research institutes for projects on laser and beam control technologies.  In addition, funding supports educational grants to stimulate interest in HELs.  These educational grants are used for educational tools, scholarships, and summer intern employees in military laboratories.  Efforts in this program have been coordinated through the Reliance 21 process to harmonize efforts and eliminate duplication.  This program is in Budget Activity 1, Basic Research, because it funds scientific study and experimentation.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9ce67a31de059802f9f511829d8af355b59bddeedd45c3237c06c45b964a3231","0-403778a0ffe49bf3bcf3f7350a970ad8b7387dfd441f2bcfdddc20dee6248905","","","12-6598108505289afbd31031aa7d6c056c4d9689bf9c709eaf6f81bc396c2f57ae","root"
"634868","Maui Space Surveillance System","14.802","13.555","29.256","29.256","0.000","26.299","15.774","12.500","10.014","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This program funds ground-based optical space situational awareness (SSA) technology development and demonstration at the Maui Space Surveillance System (MSSS) in Hawaii, as well as the operation and upgrade of the facility.  Efforts in this program have been coordinated through the Reliance 21 process to harmonize efforts and eliminate duplication.  This program is in Budget Activity 3, Advanced Technology Development, since it enables and demonstrates technologies for existing system upgrades and/or new system developments that have military utility and address warfighter needs.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7dc4e0871545af3cd5d487ee152ee3f4294edf3c4f35489d8c25dbc861091f2d","0-2e8dc738d212f34a636a3434be49c9f36bc90fe7821aa5103566bbf5632e4d39","","","13-84d28f58423f257fdbd00950825e4f3f32c2a9461b7c2379e125cdd7786792c1","root"
"635323","Directed Energy Bioeffects Parameters","2.332","2.286","1.040","1.040","0.000","0.837","1.153","1.000","0.971","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops, demonstrates, and transitions technologies to predict, evaluate, and mitigate the effects of directed energy on personnel and mission performance, and exploits the offensive capabilities of directed energy systems.  This project also develops the human-components of the guidelines for testing, deployment, and protection from high power microwave and high energy laser systems and uses this information to enhance the effectiveness of these weapon systems in air, space, and cyber operations.  The optical radiation bioeffects research develops and demonstrates technologies that counter optical threats, while exploiting optical systems for non-lethal applications.  Radio frequency (RF) radiation bioeffects research develops, demonstrates, and transitions technologies to the warfighters.  Biobehavioral systems efforts focus on the design and characterization of scalable non-lethal directed energy and novel effects weapons, including quantification of physiological and psychological effectiveness and risks associated with these weapons.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a6764d831d55e88b1fcaed56db23e00a58b6fd7fce072ed85f157971924460fa","0-7bc03ecf309efcf1c1ae4314f0969bc9a6e0d442fa81962836fc5497bd8c232e","","","14-86e351dc84c54d5b4847816990d46f1162e491ca5d5e9fa6714d2ba76b9befb0","root"
"635324","Human Dynamics and Terrain Demonstration","5.981","6.117","9.988","9.988","0.000","8.640","9.339","9.192","8.710","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","Note: In FY 2013, Major Thrust 2 from Project 635326 moves into this project to better align efforts.","This project develops, demonstrates, and transitions technologies to identify human threats within the air, space, and cyber domains.  These technologies will enhance Air Force capabilities in intelligence, surveillance, and reconnaissance (ISR), layered sensing, autonomous and adaptive decision making systems, decision aids for computer network attack/defense/support, ISR force development and training, anticipatory command, control, and intelligence (C2I), measures of enhanced psychological operations, cross-cultural communication, and human-centric exploitation of measurement and signatures intelligence.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a6764d831d55e88b1fcaed56db23e00a58b6fd7fce072ed85f157971924460fa","1-6099f561dbda9b7374f939f93aa35900aff2a6b318ae38dcee4b49c52fc2f315","","","14-86e351dc84c54d5b4847816990d46f1162e491ca5d5e9fa6714d2ba76b9befb0","root"
"635325","Mission Effective Performance","4.038","5.149","3.925","3.925","0.000","2.336","2.685","1.994","2.006","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project develops, demonstrates, and transitions advanced training, simulation, mission rehearsal, and other performance-aiding methods and technologies to enhance warfighter readiness.  This project also develops advanced methods and technologies to enable interactive live, virtual, and constructive (LVC) environments for performance-aiding methods and technologies.  Activities include development of computer-generated entities to support training, simulation, and mission rehearsal; integrated high-fidelity weapon-systems training technologies for air, space, and cyber; tailored immersive simulation environments for Airmen at the tactical and operational levels; robust performance assessment and feedback tools; and maturation of game-based technologies for effective and efficient training.  These methods and technologies facilitate the development of mission-essential competencies.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a6764d831d55e88b1fcaed56db23e00a58b6fd7fce072ed85f157971924460fa","2-1b88f730e63a62ed1bddcba3848eca50d2f721a386842677588bd9dd0c94823e","","","14-86e351dc84c54d5b4847816990d46f1162e491ca5d5e9fa6714d2ba76b9befb0","root"
