Name_val,Name_@footnote,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_Total_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_Continuing_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","0.000","1","4.6","0","0.000","1","4.6","0","0.000","0","0.000","1","6.4","0","0.000","0","0.000","2","11","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7bcb6f6d45c43542b7f5ac6d84e9b8c61a05304670b11bf2fb4cbee320d2f60f","0-23d99023c1ce706f44a04de19f28236933d5cf6563f869456a201d13df9d5fa4","0-589ec0e1d87f51ca0f820fa34ab7c5b33d51c0bfc7bcfb56dcb09df9d0188e6c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","0.000","0","0.275","0","0.000","0","0.275","0","0.5","0","0.6","0","0.6","0","0.7","0","2.8","0","5.475","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-6ca158d9fd8a8409b4a9ecc9aeb5b67573c04a7302007b6ab2d92720c976a560","0-59560b21bfcc35366d87f805a810bb21514ddf8670a3d91a1dc45a093b4b3f70","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Reserve)","","0","0.000","0","0.000","0","0.000","0","0.275","0","0.000","0","0.275","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.275","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","1-22f82334a337277729972fd4400128347f13881aff54833cec4b87ba5a5cccb4","0-59560b21bfcc35366d87f805a810bb21514ddf8670a3d91a1dc45a093b4b3f70","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","7","67.213","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","7","67.213","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","0-1a51fc9f12e64edc15a9f9146e6ffd65bc43fe19f45c94a2062eb400fba7abce","0-ddd4530dcb622b10bbf03c711d8d7eaa4e91cec3752acf74198caba63f734d86","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Guard)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","1-ce5af73ea21d80ea66899e5553f6be79b463a9f1a5df38a8c488302542fe1cb1","0-ddd4530dcb622b10bbf03c711d8d7eaa4e91cec3752acf74198caba63f734d86","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Reserve)","","0","0.000","0","0.000","0","0.000","0","9.359","0","0.000","0","9.359","1","15.904","0","0.000","0","0.000","0","0.000","0","0.000","1","25.263","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","2-bb8029b184b3dd0f2e01ab496beedfe4be5b166cf6b4baf8fc0ef7816a779a1d","0-ddd4530dcb622b10bbf03c711d8d7eaa4e91cec3752acf74198caba63f734d86","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Reserve)","","0","0.000","0","0.000","0","0.000","0","0.000","1","1.85","1","1.85","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","1.85","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","0-39bc51ecbf9196b7b03eb5f429fce28cf8483e37b27779195eef04e913ea067e","0-b3dcae2525d0afa7d7db66a7d35e55d8aae00ccb94f14ad26525349115165f4c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","4","0.12","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","4","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","0-af5bbc63a5dd5211e4f2d3f830c6b798b5b448330227a7e1b9dad9cd9cb67ad2","0-5479066eab9b912bb9782f431275c17918377e3363c603413509638d92cb0551","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Guard)","","0","0.000","0","0.000","2","0.06","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","1-8e97f16c90a1a13ef820bcdc5252a33bc4abc1dcdde7d552b5328d2fe57524db","0-5479066eab9b912bb9782f431275c17918377e3363c603413509638d92cb0551","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Reserve)","","0","0.000","0","0.000","2","0.06","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","2-eda11f760a5386a5224cd645edc756a6add46b6ba48925ab5618128558efb0aa","0-5479066eab9b912bb9782f431275c17918377e3363c603413509638d92cb0551","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","0.000","0","12.7","0","0.000","0","12.7","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","12.7","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2735bdb4da25959b8b4abecc00898757f40a9e86e5f583f7a85fe0b1e7420326","0-befee6790caa670f1a4906fc421ac5462aa482313632f389d5a7c1ed880970f2","0-dd0db4db246796a3a40acd451acebff416d0da84b28dd7426ec2b99567b42137","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","78e2884d018f5c61b9f3aa102f3ee0123bfb3460e832ac75daa9d44670eb2be7","0-7f6c0ab791c08927ff783abaf32990c371d2d54966b92896ffcf76a3783fe184","0-730e706ee51def81b0e4a077e0b2a01fb675162c00f84cfcd69efba0b64c33bd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","7.551","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","7.551","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b01865c9a4319b1f4459a7b6687c852884ba93995a0a60013558c68b2a00e34e","0-48c756523cd4177cb3cec9a8b6ca3ad478b3551900b9fdd6e008a52990455db0","0-70756cbd49f96443c4d925d7035ca92a0f7fd111d42fec83ffa2a814a60d1548","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1c2a9ee671cc6f00058c2f8fa9764b6b2a015936400e46ca5b2b2838e4ea8391","0-068ff05f46b89b3ced87d906fd867cf78c79a152d1c74b4f5ea568c7186fc3d7","0-2f2483455a172442a60a043471d8e346077196becb42aff9a18bac79439bf0db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Guard)","","0","0.000","0","0.000","0","0.188","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.188","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","beedc27ca541947adf319bb5b1b581dfd5214e64502e92cc1fff70badf58b344","0-07f0885c32aa901d93428827d825e1e783a466bb828ae939c9f4781a909f49aa","0-a07b8a3e4e59c38d4461a8c41621171a59977f46403ff3e55eb9f1fc94703077","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","1","0.115","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","0.115","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1b69f888ea8ce167d58a275c92aa54a5c14d3e3ce7280432298742ab6fb44e8e","0-3a5e6cc126bbeca03ca5bb870575e947fd183cea7778b5c70c0c80f526fd3f11","0-fa5505c668181c00b08d2b8d19898d80191e0865ad39a94ed51165d072ea8574","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","28","5.335","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","28","5.335","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1b69f888ea8ce167d58a275c92aa54a5c14d3e3ce7280432298742ab6fb44e8e","0-4030c45ebca4165a0a4f2e8038c280e249820a21e36719483e2b5f094886b772","0-f17cf6c0adbad53a3831c231975f32cb7dd3ebe44f06e5e76d247c22b627a705","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","0.000","0","16.002","0","0.000","0","16.002","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","16.002","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f0cecf92e78750ad3bf3ef2b8495d594d59d44edb77834f052cce057844b5ab0","0-ee626e56fbb2d95a71725aebc6ec674b00855c9dabaa03d8f0959fce444686ce","0-6f81be170e52a2f450c0ebff8c2b882e967cc0bc275782d4b15ac969bdbb1001","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.8","0","0.8","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f0cecf92e78750ad3bf3ef2b8495d594d59d44edb77834f052cce057844b5ab0","0-b30cc812d52985a405731c844551057d5a90fae61484a89df3120e1235bda55b","0-3b43b5059065c911c30bb41155c98497d505cfcdd05eb9470e18645a03789958","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","60bd12752d8da3f7c649c390a52b291802bbdf071d2080acee252db350245178","0-9ffc716e3f1b16d8855f7da9b706a1503bfb0a24fc95df69045b8892439a27f9","0-89bb3f985f6f31c07225af0d8b56b9437e026c37be17a08f56082bcb694c4567","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4f0ab9d14578cc6bfee3e9148e7219945f7080d5198ad3b238d32931844eb009","0-beaefd3ccf02e4866da698effff20e048a5bd7af312eab41ed21e6e25cbc56a8","0-f7a63ea968b6fb002161383bf36a9144013b92119cc78f07503d3a6bbe097a54","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
