Name_val,Name_@footnote,Location_val,MinimumSustainingRate_val,MaximumProductionRate_val,Rate185_val,InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Cessna Aircraft Co. Wichita","","KS","0","50","0","0","0","0","0","0","6","10","16","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d87ff1349a2afa0530115e71e74e75420508912b147eafb32ac740f56c0fb6d2","0-dec4b9be3d5c8a9b9f288ba7e0b3dcc43d56cbd2cd8cce6a36502f128b33559c","0-fee96c4a890791e041d8335ae11099a8e691e58482bf6118b29541ab3557552f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"AeroVironment","","Monrovia, CA","0","50","0","0","2","12","14","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","29e7513beba7562849c83a7101a799bab8ed9cf655e8400b92e59a25d6477dbb","0-9bc0d4b7fb5d9fcfcea38180cd245782bec14cb3914d8f589576b0fc7212ac7f","0-d731d2165933d682f3807767cf9c05a575ebb21b0735c66ef6a4bf552fdf08c2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"BAE Systems","","Mohave CA","1","3","1","0","6","20","26","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","0-8d9539e05b0323a3f1f65af8da70e196f2b8126dd28b5524cdbdad93e31ac5e1","1-ea20cedc1d7ee356415cdb0869185d5ff5a6ab50d362169769cd14eae2824a70","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Composite Engineering Inc","","Sacramento CA","0","70","40","0","0","0","0","0","4","17","21","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","0-231964a4e9a1b94d1c3bd56941708e4750923a847381ca9253445b1a2a9134a8","5-0558586cf00e7f2c47bb5a0f2b58575ddd8913eb906ebc64a5711c60bd17102d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Boeing","","St Louis MO","0","0","0","0","0","0","0","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","0-59a46102570c624697a6d82fcb8c4daa26317c1e827eac3333cc9179b9c45aac","8-94b5f246ee8157f600d96d7f7015ebd6921d98780001d3807ade848abda33906","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Lockheed Martin Aero","","Marietta GA","12","36","36","30","0","0","0","30","3","35","38","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","268080875a59f69f59d08ff7ec420975c591627aa2c33ed4d9603b68593f51e0","0-238f3865d196e6f6774b45f12abfdf95d1893033048303751bf2c3a9f6901a2d","0-30a28f3679753b0864aa508728c2857adbca7e30bd588f583b5d244c20f1c4bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"General Atomics Poway","","CA","24","60","48","9","3","23","26","12","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5fa7bcacf347205de432fa2308f58d4d9a9fa804eec5f6c4e090c4cc71b649d7","0-d6516b340e23b668a3cb1c0801c3e8c12eaebe8c0df6d363ba05b9efbc33e10f","0-3b75889e8d81e4a706b06760332a1017dc36cef122459bf02bbb6fbb674bfaa2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Northrop Grumman","","CA","1","36","36","4","4","33","37","2","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5fa7bcacf347205de432fa2308f58d4d9a9fa804eec5f6c4e090c4cc71b649d7","0-0262861f079031b9d060b1a464f932fb08f478cfbd5357ea083f3415ab482a0f","1-3111e873b702384b5beb6175da41db8bf1488cd50c09b57ca35896d88dd2d7d9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"General Atomics Poway","","CA","4","96","48","9","4","19","23","9","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5fa7bcacf347205de432fa2308f58d4d9a9fa804eec5f6c4e090c4cc71b649d7","0-649681d594ebd147748f0908471c39fc7cebbbbc366a49040ce2d494493ea157","3-a657482bcdf983ddef875650c7ca16abb906533301b5b77be28930c83ba04352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"General Atomics Poway","","CA","1","8","4","5","0","0","0","5","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5fa7bcacf347205de432fa2308f58d4d9a9fa804eec5f6c4e090c4cc71b649d7","0-3d9326c49afe5baa0755fed66f729e1fd719818e6b8e8fc73c429caa40af2f58","4-478dec96c8fda2f17a301a6f3896a2fd35ad1428413148753c6654c5422466b4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"General Atomics Poway","","CA","2","48","24","5","8","16","24","5","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5fa7bcacf347205de432fa2308f58d4d9a9fa804eec5f6c4e090c4cc71b649d7","0-d9c1802d6e6e75d653dbb2e221c65cb4b0181dae9396b1f8d81e006e4fcb6f7d","5-23cf4dffc4b1ddd8a16fa4b55c73ab5cc73beee31847c62bae9233b3c6c4a0b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"General Atomics Poway","","CA","2","72","60","9","0","0","0","3","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5fa7bcacf347205de432fa2308f58d4d9a9fa804eec5f6c4e090c4cc71b649d7","0-12935f82da36df6b8724ad7be83f7bc4c51a4f4bbdf0507040b1aac2285cba3a","6-f4a3e5dfbfd6718bef1c45beedc7708d503750967d0907bb1e7b3b7217607039","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"L-3 Comm Salt Lake City","","UT/CA","0","12","0","1","0","0","0","9","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5fa7bcacf347205de432fa2308f58d4d9a9fa804eec5f6c4e090c4cc71b649d7","0-246a081fde7c5b63a0ebee1df60c1eedbd2b699c3863e59dffa48e2c64e8c1eb","7-8353f6c1d7ada82fc3986be3e3196a08b74759a31e96233206a05306d05227af","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"L-3 Comm Salt Lake City","","UT/CA","0","12","0","1","0","0","0","1","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5fa7bcacf347205de432fa2308f58d4d9a9fa804eec5f6c4e090c4cc71b649d7","0-49475b6231abca1d8ec63fd8b84e107ae698a3ab74870a3d8ae137419548ee63","8-59b8efe786cda68240370811427a1513acdcab27f223ccc664f1344924060a10","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Boeing - Airlift and Tankers. Long Beach","","CA","10","15","10","0","9","9","18","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fcd3302e2a56aab9f3323c75acbe98156cafb50a444dd180cca3a72d5909b1e","0-7cf97cf259b78bd37c3f92d4c829069b09434a0c0923a749f1e22feaf4716900","0-dad3e69db797873102797a978e524b230a902183dabb9078b980e4c78cb18f81","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Pratt & Whitney","","East Hartford, CT","0","0","0","0","0","0","0","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fcd3302e2a56aab9f3323c75acbe98156cafb50a444dd180cca3a72d5909b1e","0-b43e8c7c91505a4195b4c59491f47e67e8771ded781b073479082e4cebfbc3ce","1-987391fe5ef9687388d2861c0a4657e852eb4d6921d6a60c9d4b7eb62a2d2c00","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Pratt & Whitney","","East Harford, CT","0","0","0","0","0","0","0","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fcd3302e2a56aab9f3323c75acbe98156cafb50a444dd180cca3a72d5909b1e","1-1de92f12311cf51f87653af037ab83692419460038b3421b1338a167de776104","1-987391fe5ef9687388d2861c0a4657e852eb4d6921d6a60c9d4b7eb62a2d2c00","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Lockheed Martin - Aero","","Marietta, GA 30063-0290","12","36","36","30","0","0","0","30","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","64e1239dcbc4c7f9c867e4658b4d7712a50f6979db591eebd7e01e7898379fab","0-3302f57993e6eb7e32b3921c01d367a31197f901094b1cdffb52939a30e01693","0-4b511533c62c56ac165b95a5a2d2ad55b2cfdd74a38bec0a0cf17e5428697fca","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"RAYTHEON","","TUCSON, AZ","200","600","450","0","6","14","20","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","593818343681a663dc271cba846b3bcdb90ace1909beefa76491d4825b59a7ff","0-dea32703c05fe1a9e25360063c722503f760e276edbf79a35f50c306b7c85020","0-563f08965a3d1c337d8a62186fc29be07b1cbc1bcb5aa0184d87c42195da4870","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"RAYTHEON","","TUCSON, AZ","200","600","450","0","6","14","20","6","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","593818343681a663dc271cba846b3bcdb90ace1909beefa76491d4825b59a7ff","0-571342afe0cef21e712bac17dba24f6ba0885156885b678a534b997d9efb65bc","3-71e490c09de0762ae0e5ac8af986ef3cc4f0a6403814d280f8a3602543e6f203","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Lockheed Martin Aero","","Marietta GA","12","36","36","30","0","0","0","30","3","36","39","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","47e4f12a187adf0440c76ec21e7853dc493c0d1638201eede47c99a498fd97e1","0-134d49800e53f8812a068fe1761c595692ce444b81a748fc7acaf0bb05e23e6e","0-64d1756096c0f1e7ac5480ec8baacbdbab9e4755e8f820e548da241a0f36341f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Lockheed Martin Aero","","Marietta GA","12","36","36","30","0","0","0","30","3","36","39","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3dc0cebf0f84c14949fb22f2ec0d13dae0e061a7e197dfe82bae65ef28be16ae","0-d8cdbc09e0e21dbfb5686d49beab651d416bbed0b0358d8768b509f2f9580d9a","0-614891c9e51fbf9ac53fb1f8d27d74c8778bc607c942dae77e4de79b9b70eaaf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Lockheed Martin","","Fort Worth, TX","18","48","36","8","6","23","29","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c231a729ecd9dc4ae9936eb487cb3e928861489d641113a76c375e9894e723","0-9cc5a3a5ad40b1c9655e02e376d90e77d13d01b7f54935f8e409b383c8aeb073","0-70107dd1077ff03ca4e621c65413b5f467527859c0e3be5f34147a63dd625058","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Pratt & Whitney","","East Hartford, CT","24","48","36","8","5","16","21","8","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c231a729ecd9dc4ae9936eb487cb3e928861489d641113a76c375e9894e723","0-3d724d7844d0327873111f97818d88601a89760cdb635ef4cc644f063d3b86cb","4-3352ba53ce6cbe61e4c00bbd657fca034f88baf6895092197aa624f6422f3e65","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"L-3 Communications","","Waco, TX","1","15","9","0","0","0","0","0","5","36","41","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1bbb7d0b0130a1836400f4027edfb2b942cec98bfe7185e10fe5c4dd981ddb3c","0-4cacc9fc55691a0711d8691b2e8d2018d7bfa7af53d8a5e7382acb145f1f7c0d","0-b96f3d7c7f0e593c083b233a1070b608484f16248afc7bfdee9c55f2523c22e5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Cessna Aircraft Company","","Wichita, KS","1","60","36","0","0","0","0","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e3a6cb100dfc9a0c9494b0fa7b2886e0d01a162c012ad43e770b6913d4c86d79","0-8b4ce71ed2dd46cfe2b19e42dc90242c33448f19e4d003a3555c92467e076c96","0-f7ddbf232d87f2ce89373dfc9805520a658bb29f3101da03d9b64748e36430c9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Cirrus Design Corporation","","Duluth, MN","10","50","25","6","0","0","0","6","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","c93b4a2be580fe501a7368ca798961b5dca0a56614da72f84696453bd9b3f7fa","0-c8083a21c3722440f6634f0fdff332aa0d9bbd641fab596eebd3de81049a93c0","0-16c1f3dedd37498dbc9eeadb2a5c0806dc4a2a3ccb43c26556a11ffc9068b3c9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"ARMY","","Redstone, AL","0","0","0","0","0","0","0","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","50275ed7d356f8737b9fdb6541c76e9072c3e4bb459bd299008e3918de531fb3","0-99c9bb1015145b3ae99c43350a02ab4d22c18d4c050fc2b42bdc50aa3d34e977","0-2e484ff3f5f733928d7c364addfb4507e9b8750e1c9fe0e45aac8b905dcd515b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"ARMY","","Redstone, AL","0","0","0","0","0","0","0","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","50275ed7d356f8737b9fdb6541c76e9072c3e4bb459bd299008e3918de531fb3","0-0659e09da70f68c4f50e2e1ec137fda2f89a1e6cc57e7be18b7d5d57117d6830","1-a2c387c35d69619a4a8b70fa973ecce99a4594ccb5d1237c167db8d7d585ffec","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"TBD","","TBD","0","0","0","0","0","0","0","0","11","33","44","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","50275ed7d356f8737b9fdb6541c76e9072c3e4bb459bd299008e3918de531fb3","0-b5fa3d25cd2e2323527ff49e828c0f755c1d9f9d7def237e7431afe0b456c264","2-237fb2fe722c1b37a9e2bfa1e36b8a7edb6d629296f6a11cca1262061c477f06","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Bell Boeing","","Ridley Park PA, Ft. Worth TX and Amarillo TX","16","44","25","19","3","26","29","2","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","3038dfc3aa10a3c368ccbcf6965e17571d44fa8ae41f47acf948897329f5294b","0-2a6b823a2df28024f4dfe6e262641eecf492a55e084e650d4989c6ec0bff5334","0-170faddf2362f98d84b5aad9db295c19fd7919f51d876fb52757de2cab53257c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
