Name_val,IdCode_val,Cost_PriorYear_TotalCost_val,Cost_AllPriorYears_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_CurrentYear_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_Continuing_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_CurrentYear_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FiscalYear_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_PCOLocation_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_AwardDate_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FirstDeliveryDate_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_Quantity_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_UnitCost_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FundingVehicle_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_SpecsAvailableNow_val,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"Joint Threat Emitter (JTE) Depot Standup","","","","","","","","1","","","","","","","","","0","","","","","","","","","","","0","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","19358a592eaa207e572f01c09c2d66245773de73a2fa9e66ec5dbedcedd44720","0-c136d293f4e72d18b13e822ff292e78b757620503380ffbb3c91f2a90f66c7ce","","","","","","","","","","","","","","","","","","","","0-f30cb54007bbc8df4eab6eefbf7506e8f9e370da06007a9c6e31090ae6dda266","root.record.ItemExhibitList.P5Item"
"Joint Threat Emitter (JTE) Depot Standup","","","","","","","","1","","","","","","","","","0","","","","","","","","","","","0","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","79ab6fb3962b711f9df93ff446b3df9f6a781a47d63a557e28321073aa5d06d6","0-7dedf961e62af082fecbd89b02aee31a16fa80384686850213847aab7b30cac2","","","","","","","","","","","","","","","","","","","","0-80047adeb4b7069ef0c406936856d3dbe439e0ba330b9a1f5027dba8556e9bae","root.record.ItemExhibitList.P5Item"
"Initial Spares","","","","","","","","","","","","","","","","0.02","1.201","0.02","0.02","0.02","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","9b2bdeffc62ffb7b084b5fe74a9c03244119a2c160081b9b89331e11d29be203","0-9287d35a4cb2818cf043f457cc77b5100bb0dc450a33ba9ab66bc0281e4b37e1","","","","","","","","","","","","","","","","","","","","0-06c3d0beb1cc053a0ff9755d5bb5ff1b9c733b42e03c95ef7d2ec092faeefacb","root.record.ItemExhibitList.P5Item"
"Initial Spares","","","","","","","","","","","","","","","","2.48","9.127","2","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","cba01f72ac7d3b970931f8d055775d133b21c0d4a207373b7e50f21a4d4e6ab2","0-d25e86998404f4d112b839792f392d1820442e8ae1db6fcf4696cda6811fdae3","","","","","","","","","","","","","","","","","","","","1-d87a3f7b589cc34e16d8f2eb238c1a520f48e6e216d240cf5dbed71cd8fa43df","root.record.ItemExhibitList.P5Item"
"Initial Spares","","","","","","","","","","","","","","","","0.11","0.663","0.05","0.1","0.1","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","baf2a7202d3df506cbf31f885c91b1565328fd50516f4894c8ace895c4c520fc","0-5fa272abf7b9f7dca5ee4011d6e9185fc07b05bf63cbe26578755493d278cdfc","","","","","","","","","","","","","","","","","","","","0-a64b27a776686fbe404d4ce68e6943c1a8ec09018bd4e3b219d8436a95d0f80e","root.record.ItemExhibitList.P5Item"
"DISCREET OCULUS","","","","","","","","","1","1","1","1","1","1","","","","","6.8","6.8","8.331","7.454","7.028","6.518","true","","","","6.8","6.8","8.331","7.454","7.028","6.518","","2016-BASE_PROCUREMENT-2016-DEFENSE_OSD-PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.xml","15ee443ed3179a2972051103bb1039dd65ea3c8cdfc786666e87355433b277e4","0-0a2d2b339930d5cc62c9bfc5e6664397efe01c44200052cd9778df4262db885d","","","","","","","","","","","","","","","","","","","","4-1297f26ab7c73261ea3097f1cc1535cd0879b87d44769f95fb5b1fc6499b68ac","root.record.ItemExhibitList.P5Item"
"Modular Whole Air Collection System","","","","","","","","","1","1","","","","","","","","","1.5","1.5","","","","","true","","","","1.5","1.5","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_OSD-PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.xml","15ee443ed3179a2972051103bb1039dd65ea3c8cdfc786666e87355433b277e4","1-02f3ed6f781e5cdb53b3f9e56f52121f32c2b90d0b6f1bd2be4ecb5b664b7de9","","","","","","","","","","","","","","","","","","","","4-1297f26ab7c73261ea3097f1cc1535cd0879b87d44769f95fb5b1fc6499b68ac","root.record.ItemExhibitList.P5Item"
"Particulate Airborne Collection System","","","","","","","","","1","1","1","","","","","","","","0.55","0.55","1.1","","","","true","","","","0.55","0.55","1.1","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_OSD-PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.xml","15ee443ed3179a2972051103bb1039dd65ea3c8cdfc786666e87355433b277e4","2-0130b1f030e96673cdb00e5a94aacbc4a7d26606082b868144014bb8d3ef208d","","","","","","","","","","","","","","","","","","","","4-1297f26ab7c73261ea3097f1cc1535cd0879b87d44769f95fb5b1fc6499b68ac","root.record.ItemExhibitList.P5Item"
"Radiological Detection System","","","","","","","","","","","20","","300","543","","","","","","","0.3","","4.347","4.776","true","","","","","","0.015","","0.014","0.009","","2016-BASE_PROCUREMENT-2016-DEFENSE_OSD-PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.xml","15ee443ed3179a2972051103bb1039dd65ea3c8cdfc786666e87355433b277e4","3-8441d49004ca1d5d263067f93dfadaeca7c7692bf01eac42c459abb2b09e9c8a","","","","","","","","","","","","","","","","","","","","4-1297f26ab7c73261ea3097f1cc1535cd0879b87d44769f95fb5b1fc6499b68ac","root.record.ItemExhibitList.P5Item"
"Joint Personal Dosimeter","","","","","","","","","","","1","1","1","","","","","","","","3.067","3.126","3.185","","true","","","","","","3.067","3.126","3.185","","","2016-BASE_PROCUREMENT-2016-DEFENSE_OSD-PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.xml","15ee443ed3179a2972051103bb1039dd65ea3c8cdfc786666e87355433b277e4","4-14ba6eb47c314e0e93da3d0400b25bf6c3deb5d5e348e6fe19d0d6118020904c","","","","","","","","","","","","","","","","","","","","4-1297f26ab7c73261ea3097f1cc1535cd0879b87d44769f95fb5b1fc6499b68ac","root.record.ItemExhibitList.P5Item"
"Man-portable Radiological Detection System","","","","","","","","","","","","1","","3","","","","","","","","2.655","","3.363","true","","","","","","","2.655","","1.121","","2016-BASE_PROCUREMENT-2016-DEFENSE_OSD-PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.xml","15ee443ed3179a2972051103bb1039dd65ea3c8cdfc786666e87355433b277e4","5-2719144fc4f0a42196fbc38a8f5dd5891efaf0974e000aec607cfb37363ad8c3","","","","","","","","","","","","","","","","","","","","4-1297f26ab7c73261ea3097f1cc1535cd0879b87d44769f95fb5b1fc6499b68ac","root.record.ItemExhibitList.P5Item"
"DISCREET OCULUS","","","","","","","","","1","1","1","1","1","1","","","","","6.8","6.8","8.331","7.454","7.028","6.518","true","","","","6.8","6.8","8.331","7.454","7.028","6.518","","2016-BASE_PROCUREMENT-2016-DEFENSE_OSD-PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.xml","2afeaef288041e9bc3322364c780cf9568be0394e94e8f6187a38b5ef0d15bca","0-51a0e4f582e9ab7431dbb537ae8b3ac1f14494bcfbdaeebb402ea95202ab00b1","","","","","","","","","","","","","","","","","","","","4-c840e22329233655b996402b65accad4d33b8711e0fb8c572c49d09e51e5e792","root.record.ItemExhibitList.P5Item"
"Modular Whole Air Collection System","","","","","","","","","1","1","","","","","","","","","1.5","1.5","","","","","true","","","","1.5","1.5","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_OSD-PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.xml","2afeaef288041e9bc3322364c780cf9568be0394e94e8f6187a38b5ef0d15bca","1-04e15b4b0939a4b4f6cb16e2eee3bb12dfc74c7d32a5447a3500c81266672a22","","","","","","","","","","","","","","","","","","","","4-c840e22329233655b996402b65accad4d33b8711e0fb8c572c49d09e51e5e792","root.record.ItemExhibitList.P5Item"
"Particulate Airborne Collection System","","","","","","","","","1","1","1","","","","","","","","0.55","0.55","1.1","","","","true","","","","0.55","0.55","1.1","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_OSD-PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.xml","2afeaef288041e9bc3322364c780cf9568be0394e94e8f6187a38b5ef0d15bca","2-94311e3ee0a0ff6a664698822bfb2eecf79c92bb12933026be0a32e14606793c","","","","","","","","","","","","","","","","","","","","4-c840e22329233655b996402b65accad4d33b8711e0fb8c572c49d09e51e5e792","root.record.ItemExhibitList.P5Item"
"Radiological Detection System","","","","","","","","","","","20","","300","543","","","","","","","0.3","","4.347","4.776","true","","","","","","0.015","","0.014","0.009","","2016-BASE_PROCUREMENT-2016-DEFENSE_OSD-PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.xml","2afeaef288041e9bc3322364c780cf9568be0394e94e8f6187a38b5ef0d15bca","3-811c83a70aef29c9c35c03e51481e38dcdb88e1dfdaa6fe132862848cf6c50c0","","","","","","","","","","","","","","","","","","","","4-c840e22329233655b996402b65accad4d33b8711e0fb8c572c49d09e51e5e792","root.record.ItemExhibitList.P5Item"
"Joint Personal Dosimeter","","","","","","","","","","","1","1","1","","","","","","","","3.067","3.126","3.185","","true","","","","","","3.067","3.126","3.185","","","2016-BASE_PROCUREMENT-2016-DEFENSE_OSD-PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.xml","2afeaef288041e9bc3322364c780cf9568be0394e94e8f6187a38b5ef0d15bca","4-94724930c7ae14b6986103c81d216562ad57ed0467756b64e919588eb6df8b33","","","","","","","","","","","","","","","","","","","","4-c840e22329233655b996402b65accad4d33b8711e0fb8c572c49d09e51e5e792","root.record.ItemExhibitList.P5Item"
"Man-portable Radiological Detection System","","","","","","","","","","","","1","","3","","","","","","","","2.655","","3.363","true","","","","","","","2.655","","1.121","","2016-BASE_PROCUREMENT-2016-DEFENSE_OSD-PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2016.xml","2afeaef288041e9bc3322364c780cf9568be0394e94e8f6187a38b5ef0d15bca","5-8e03a747534780ca61d7e0d345a946b219c738b3335e061abe91d6ef7ae88a33","","","","","","","","","","","","","","","","","","","","4-c840e22329233655b996402b65accad4d33b8711e0fb8c572c49d09e51e5e792","root.record.ItemExhibitList.P5Item"
"DISCREET OCULUS","","","","","","","","","1","1","1","1","1","1","","","","","6.8","6.8","8.331","7.454","7.028","6.518","true","","","","6.8","6.8","8.331","7.454","7.028","6.518","","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","91a54d2d0bb735d4f7caf4fa04b27465b479e5b010b2ff2f94e4e865873747e9","0-82af0653a4f9163f1feb16fba81c31d89d37e34129c3fa29f9d2e6a583b767fb","","","","","","","","","","","","","","","","","","","","4-df9652a147f7239547e4e94c3310c025410836ceae3c3ca7b9798f7a56587331","root.record.ItemExhibitList.P5Item"
"Modular Whole Air Collection System","","","","","","","","","1","1","","","","","","","","","1.5","1.5","","","","","true","","","","1.5","1.5","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","91a54d2d0bb735d4f7caf4fa04b27465b479e5b010b2ff2f94e4e865873747e9","1-ff77a1272d9accb2648d7ffd73a62e16296905e5a663bef72180323da73cb037","","","","","","","","","","","","","","","","","","","","4-df9652a147f7239547e4e94c3310c025410836ceae3c3ca7b9798f7a56587331","root.record.ItemExhibitList.P5Item"
"Particulate Airborne Collection System","","","","","","","","","1","1","1","","","","","","","","0.55","0.55","1.1","","","","true","","","","0.55","0.55","1.1","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","91a54d2d0bb735d4f7caf4fa04b27465b479e5b010b2ff2f94e4e865873747e9","2-80775d2bfb46895401c27da1faf3bf826bcb8d1c0166c5492908eee66e4af73a","","","","","","","","","","","","","","","","","","","","4-df9652a147f7239547e4e94c3310c025410836ceae3c3ca7b9798f7a56587331","root.record.ItemExhibitList.P5Item"
"Radiological Detection System","","","","","","","","","","","20","","300","543","","","","","","","0.3","","4.347","4.776","true","","","","","","0.015","","0.014","0.009","","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","91a54d2d0bb735d4f7caf4fa04b27465b479e5b010b2ff2f94e4e865873747e9","3-9d1328a209c6fee9b80421e5fa711dd8637d427c005d50c2d1df0167e4fcc5a9","","","","","","","","","","","","","","","","","","","","4-df9652a147f7239547e4e94c3310c025410836ceae3c3ca7b9798f7a56587331","root.record.ItemExhibitList.P5Item"
