Name_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","","5.053","","0.000","1.9","","0.000","","1.9","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","0-476443329190dc37e7d479ad612d3405f01151c8262d6388ff3cee38268aa43d","3-785ed0961fa32cd98084ebb1241a45ba81718df757342de19a730d041e538c68","root.record.ItemExhibitList.P5Item"
"Air Force Active","","6.481","","29.982","19.27","","0.000","","19.27","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","07a4c7fde0fd764ab12da1dadc73a9322b163ec584329daea17ec86f142d8d3b","0-fba29c3e6255388fc99a9b06a05e9a0d7c5f753b84d49f17fdf656e06e697e70","0-529cb74006ba90fad53ebfcb5075fde47f57e1b02d045ebc4f16b7491160a4d9","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","","0.000","","0.733","0.603","","0.000","","0.603","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","07a4c7fde0fd764ab12da1dadc73a9322b163ec584329daea17ec86f142d8d3b","1-6894cb1b4174b33d5e61b513bd64147b7beef7f9054336d7b87a8cf28f70f86a","0-529cb74006ba90fad53ebfcb5075fde47f57e1b02d045ebc4f16b7491160a4d9","root.record.ItemExhibitList.P5Item"
"Air National Guard","","0.000","","1.758","2.111","","0.000","","2.111","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","07a4c7fde0fd764ab12da1dadc73a9322b163ec584329daea17ec86f142d8d3b","2-dc5028627147d57d18c721248a02d1d6c952f4018c6af4dc3887b163d4d83223","0-529cb74006ba90fad53ebfcb5075fde47f57e1b02d045ebc4f16b7491160a4d9","root.record.ItemExhibitList.P5Item"
"Air Force Active","","70.878","","43.392","27.054","","0.000","","27.054","","11.685","","6.445","","2.26","","2.753","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5298ed1a49a0b5edfec22de7ea913c655651574584c3aeadfd4f58e0f5654bb9","0-84796fa98727a36731835041c36ebe5b58faa7e755dc6236fbbe6ee5b75d1988","0-2abdca5a455f2936a0ad3ec750654d7bc548c063d033dc7945915ae3d616381c","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","","7.131","","4.21","1.228","","0.000","","1.228","","0.000","","0.000","","0.000","","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5298ed1a49a0b5edfec22de7ea913c655651574584c3aeadfd4f58e0f5654bb9","1-b162bf83053ec3d371694028ec74bed1d3c901e86c3d9f08b2b7d75d013ca38d","0-2abdca5a455f2936a0ad3ec750654d7bc548c063d033dc7945915ae3d616381c","root.record.ItemExhibitList.P5Item"
"Air National Guard","","10.44","","3.796","2.416","","0.000","","2.416","","0.000","","0.000","","0.000","","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5298ed1a49a0b5edfec22de7ea913c655651574584c3aeadfd4f58e0f5654bb9","2-26f93ab5dd9c483b73b569f9b91b3c8afdf06b6f7f49540aa1b6ccbcfb7c3670","0-2abdca5a455f2936a0ad3ec750654d7bc548c063d033dc7945915ae3d616381c","root.record.ItemExhibitList.P5Item"
"Air Force Active","","0.000","","31.489","16.374","","0.000","","16.374","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1716db5ceb504898f7922ff191f57f7781b77e71da00c4dc2b68654cb36775cd","0-b8951e4ac19e64b77fbfc6cfe355ecfeabe668649135c5be2b86a1b4ff8a1477","0-d904ca67be547997d5838a74f62e1dc09cb74f76182a59aaceb86993bb8d44f6","root.record.ItemExhibitList.P5Item"
"Air National Guard","","0.000","","0.979","0.994","","0.000","","0.994","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1716db5ceb504898f7922ff191f57f7781b77e71da00c4dc2b68654cb36775cd","1-6a198c64b49a8320408fa41eb3aa4c4adebf7bcbd865ac144c33075fc9087714","0-d904ca67be547997d5838a74f62e1dc09cb74f76182a59aaceb86993bb8d44f6","root.record.ItemExhibitList.P5Item"
"Air Force Active","","55.193","","16.019","16.077","","0.000","","16.077","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","0-9b2fb1d5020919c3dbe45096a69b176e8275b734240eb5aa38164f6bf41b2d3f","0-caba707790320b79cd084dfb25111208345142ada30f573470f6a3c28b09c712","root.record.ItemExhibitList.P5Item"
"Air National Guard","","4.181","","6.721","7.406","","0.000","","7.406","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","1-9aa089a57321577fa52b05c4b9b0c948ef61c741c7cb93e9cac85a27fed7f31c","0-caba707790320b79cd084dfb25111208345142ada30f573470f6a3c28b09c712","root.record.ItemExhibitList.P5Item"
"Air Force Active","","9.159","","16.456","15.269","","0.000","","15.269","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","02e30bdc8c5b6c383fa8941e7894a6a024c41787ccfbb0ea799d0f6c8e1464a0","0-c6685fd77d9c659c78b9335aa40b1166535b31a9518356d9fdb8b78f607a494f","0-d1b485c63d9ab24398a0739ceff47ec1e45d10e5eb92be0d005f82ea00014a6b","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","","0.000","","0.23","0.000","","0.000","","0.000","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","02e30bdc8c5b6c383fa8941e7894a6a024c41787ccfbb0ea799d0f6c8e1464a0","1-4fe49f5df9a6097ad10bbf1d0657f8dbbadfaea2617fd54a7dd1cf12f8f7a75b","0-d1b485c63d9ab24398a0739ceff47ec1e45d10e5eb92be0d005f82ea00014a6b","root.record.ItemExhibitList.P5Item"
"Air National Guard","","0.000","","0.24","0.56","","0.000","","0.56","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","02e30bdc8c5b6c383fa8941e7894a6a024c41787ccfbb0ea799d0f6c8e1464a0","2-0c38cad58df95d2776f6d815fb148957f6741a34eac8785701cd368d9daf3f6c","0-d1b485c63d9ab24398a0739ceff47ec1e45d10e5eb92be0d005f82ea00014a6b","root.record.ItemExhibitList.P5Item"
"Air Force Active","","7.347","","17.033","10.763","","0.000","","10.763","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","0-5f0ccfaa2b38acedbe7792fbca8d5c3036512ce73279eec46caee32b0802447c","0-da2261d3dc3fc1dba722b7a58964faae0587a22ca272f834de82b155a675eedf","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","","0.000","","0.000","0.26","","0.000","","0.26","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","1-5ef49d9b98663fb65f995411b054164f145307acda714b981c62c097c73ca9d3","0-da2261d3dc3fc1dba722b7a58964faae0587a22ca272f834de82b155a675eedf","root.record.ItemExhibitList.P5Item"
"Air National Guard","","0.000","","0.000","0.000","","0.000","","0.000","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","24e3b9b77b4e244f301410b24e0f33beeb6720cad86b232ea9f97d5d1371acdb","2-604a9b279668ae9b63622499e32b62c33939f3f02a6b2a177c248940df1f5096","0-da2261d3dc3fc1dba722b7a58964faae0587a22ca272f834de82b155a675eedf","root.record.ItemExhibitList.P5Item"
"Air Force Active","","18.52","","21.498","9.07","","0.000","","9.07","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4cbad7648ef123d74a073ce28d56daf77d7d7d7d68109ab0f74b29dee0f11583","0-ba099d1901ee97ec8891ae794cb5ff3e815d79cc41edea7a1d1617dbe5bf0f27","0-506e7dcaac433ed3735518a4cfd7b9880dc45dec5ed4140ef3986b9d689b7cea","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","","0.25","","0.4","0.145","","0.000","","0.145","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4cbad7648ef123d74a073ce28d56daf77d7d7d7d68109ab0f74b29dee0f11583","1-74264f35c0712c3f250388152ffe230380599b82b4fb5d055e4094574ffb994e","0-506e7dcaac433ed3735518a4cfd7b9880dc45dec5ed4140ef3986b9d689b7cea","root.record.ItemExhibitList.P5Item"
"Air National Guard","","0.642","","0.4","0.15","","0.000","","0.15","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4cbad7648ef123d74a073ce28d56daf77d7d7d7d68109ab0f74b29dee0f11583","2-56c5975cab16b37475d82fd92742f45c4db8ef0ce43d09673841aef657997669","0-506e7dcaac433ed3735518a4cfd7b9880dc45dec5ed4140ef3986b9d689b7cea","root.record.ItemExhibitList.P5Item"
"Air Force Active","","30.676","","15.431","29.907","","0.000","","29.907","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9d88d5a405f998014e04a5a40969a2976431786cc641ed276a6b34685002cd6a","0-54dcca930e01197457acf6c82a83da02fb81152d6277cd818718097028b461f1","0-72683dcdfdf59a227e8e4eea8886f5995eb98305b1c9005394cfca45a663a67e","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","","2.587","","0.000","2","","0.000","","2","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9d88d5a405f998014e04a5a40969a2976431786cc641ed276a6b34685002cd6a","1-73d4cd4170bca50878a0b0c0dc9a75901c4f9d1dff2bbd4205e21071921b9e92","0-72683dcdfdf59a227e8e4eea8886f5995eb98305b1c9005394cfca45a663a67e","root.record.ItemExhibitList.P5Item"
"Air National Guard","","5.058","","0.000","2","","0.000","","2","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9d88d5a405f998014e04a5a40969a2976431786cc641ed276a6b34685002cd6a","2-647d7cd0dd6fc74f9014497d8e5e2674fa04fd81f00da0e828c7cf61a05ce497","0-72683dcdfdf59a227e8e4eea8886f5995eb98305b1c9005394cfca45a663a67e","root.record.ItemExhibitList.P5Item"
"Air Force Active","","56.678","","49.24","52.464","","0.000","","52.464","","98.222","","102.467","","81.11","","77.419","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","19fb4f542cc9f4885d08e5e7b8ccfe3b16920314f75888d815e002cd6fdafed2","0-d3036a54669ed8162e96461dceb2ed4d1e54d7411f5e3b07671b6b1c81a5d4de","0-a9f27dbc538e37ac61c8ddcea38c87fbfb8e55752f4a720304317755103738a4","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","19fb4f542cc9f4885d08e5e7b8ccfe3b16920314f75888d815e002cd6fdafed2","1-1f8fafbcd8d43894d3da4425701162c221e10a9f5c8c81bc5cfd1dc151bd2be8","0-a9f27dbc538e37ac61c8ddcea38c87fbfb8e55752f4a720304317755103738a4","root.record.ItemExhibitList.P5Item"
"Air National Guard","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","19fb4f542cc9f4885d08e5e7b8ccfe3b16920314f75888d815e002cd6fdafed2","2-368b0a6a17b1980b2d52c35bd8dd90d798a781379aebb1e1cb24f79ab649d7ea","0-a9f27dbc538e37ac61c8ddcea38c87fbfb8e55752f4a720304317755103738a4","root.record.ItemExhibitList.P5Item"
"Air Force Active","","0.000","","2.008","2.031","","0.000","","2.031","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52fefb4a2100645a1e5330075fc49dd9c2271b43e356ea0e4800936022a2193f","0-f6c0f26e63aa88683870747db5f005ab894fbd413933c5b10120eef23ef160ef","0-c1b5a48cf65c30fde8c4779a525d895ad3cde6fe34555d3c94943587a7a63d6d","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","","0.000","","0.000","0.000","","0.000","","0.000","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52fefb4a2100645a1e5330075fc49dd9c2271b43e356ea0e4800936022a2193f","1-2406a611ac17e1c53b8263553893661793190329eca472cf802bb0a0795bce2c","0-c1b5a48cf65c30fde8c4779a525d895ad3cde6fe34555d3c94943587a7a63d6d","root.record.ItemExhibitList.P5Item"
"Air National Guard","","0.000","","0.000","0.000","","0.000","","0.000","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52fefb4a2100645a1e5330075fc49dd9c2271b43e356ea0e4800936022a2193f","2-8be0508fb3a03da0e6e823ab36a4214c5b34ec2cd0055bffceeb68ffe2f14d2a","0-c1b5a48cf65c30fde8c4779a525d895ad3cde6fe34555d3c94943587a7a63d6d","root.record.ItemExhibitList.P5Item"
"Air Force Active","","1.312","","0.000","0.000","","0.000","","0.000","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52fefb4a2100645a1e5330075fc49dd9c2271b43e356ea0e4800936022a2193f","0-4b4150b854eac72a6a50c660b89af4eb1b31c8c6caaa7ed353e97a21762b3cf0","1-200077e217d820fd1ed54afd4cc2fb63778e4c05d7849e42bb710e162949b8ce","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","","0.263","","0.000","0.000","","0.000","","0.000","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52fefb4a2100645a1e5330075fc49dd9c2271b43e356ea0e4800936022a2193f","1-91c73cae766d58560ba0fc125efd41c3ecfb5a27de121e573570ed41b2af6e18","1-200077e217d820fd1ed54afd4cc2fb63778e4c05d7849e42bb710e162949b8ce","root.record.ItemExhibitList.P5Item"
"Air National Guard","","3.675","","0.000","0.000","","0.000","","0.000","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52fefb4a2100645a1e5330075fc49dd9c2271b43e356ea0e4800936022a2193f","2-cd2a03307c667eb1274d9f28046022ebdb85a9859ea3b6fcdc19dbb26083a326","1-200077e217d820fd1ed54afd4cc2fb63778e4c05d7849e42bb710e162949b8ce","root.record.ItemExhibitList.P5Item"
"Air Force Active","","0.000","","0.000","0.000","","0.000","","0.000","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","793417e58a58f280bd3c9cb2dd460dd5f5700e16f16aad9a19e3b50cc6065625","0-3523b448f75c437b49f50bd8ee10d6603843bdf93128ccea2aa731d9c3d9add7","0-32e7aa9b59fdde5f58fc32b6e420833f5c4cb84b0d447f05347c5dffb9764185","root.record.ItemExhibitList.P5Item"
