@projectCategoryName,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Number_val,Title_val,EndItemSupportedModel_val,CostElementList_Construction_PriorYear_TotalCost_val,CostElementList_Construction_CurrentYear_TotalCost_val,CostElementList_Construction_BudgetYearOneBase_TotalCost_val,CostElementList_Construction_BudgetYearOneOCO_TotalCost_val,CostElementList_Construction_BudgetYearOne_TotalCost_val,CostElementList_Equipment_PriorYear_TotalCost_val,CostElementList_Equipment_CurrentYear_TotalCost_val,CostElementList_Equipment_BudgetYearOneBase_TotalCost_val,CostElementList_Equipment_BudgetYearOneOCO_TotalCost_val,CostElementList_Equipment_BudgetYearOne_TotalCost_val,CostElementList_EquipmentInstallation_PriorYear_TotalCost_val,CostElementList_EquipmentInstallation_CurrentYear_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneBase_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneOCO_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOne_TotalCost_val,CostElementList_ContractorSupport_PriorYear_TotalCost_val,CostElementList_ContractorSupport_CurrentYear_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneBase_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_PriorYear_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneBase_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_CurrentYear_TotalCost_val,CostElementList_Other_BudgetYearOneBase_TotalCost_val,CostElementList_Other_BudgetYearOneOCO_TotalCost_val,CostElementList_Other_BudgetYearOne_TotalCost_val,CostElementList_Other_PriorYear_TotalCost_val,CostElementList_Other_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_PriorYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneBase_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOneBase_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_CurrentYear_TotalCost_val,MilestoneList_FinalDesignComplete_val,MilestoneList_InitialProjectAward_val,MilestoneList_FinalProjectAward_val,MilestoneList_EquipmentInstallationComplete_val,MilestoneList_ConstructionComplete_val,MilestoneList_ProveOutBegins_val,MilestoneList_ProveOutComplete_val,MilestoneList_ConceptDesignComplete_val,NarrativeExplanation_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Production Support","36.293","","","","","5133652","Install Heating, Ventilation, and Air Conditioning (HVAC) System, Building 3",".50 Cal, 20mm, 7.62mm","0.642","","","","","30.156","","","","","4.937","","","","","0.558","","","","","","","","","","","","","","","","","","","","","","","","2013-07","2013-07","2016-06","2016-06","2016-07","2016-11","","Procurement dollars in the amount of $36.293 million support modernization and installation of a new heating, ventilation and air conditioning system in Building 3 at Lake City Army Ammunition Plant (AAP).  This project will improve the quality of work environment at Lake City AAP.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","6-c04dccc74a6776e50b614fb1f85a3a4aeeebcd39e52eba81305905bc88004960","2-bdb488825994dc78d9ef35f3fd734cc5798caea8f636c8f4a3326a78074649c0","root.record.FacilityList.ProductionSupportFacility"
"Production Support","0.508","","","","","5133937","Electrical Pole Replacement","5.56mm, 7.62mm, .50 Cal, 20mm, Small / Medium Cal. Links","0.283","","","","","0.093","","","","","0.061","","","","","","","","","","0.017","","","","","","","","","","","0.054","","","","","","","","2013-06","2013-06","2015-03","2015-03","","","","Procurement dollars in the amount of $0.508 million support replacement of electrical power poles with new electrical pole support systems at Lake City Army Ammunition Plant.  Current electrical poles are aging and collapsing, resulting in production downtime.  In addition, downed electrical lines are an inherent danger to personnel and property.  Replacement is necessary to eliminate disruptions in electrical power.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","7-565aacf330768dddde87d79d4568be8b4648e36377a8d41a34188c72d6be882d","2-bdb488825994dc78d9ef35f3fd734cc5798caea8f636c8f4a3326a78074649c0","root.record.FacilityList.ProductionSupportFacility"
"Production Support","1.004","","","","","5135332","Production Support Equipment Replacement",".50 Cal, 20mm, 5.56mm, 7.62mm","0.352","","","","","0.4","","","","","0.219","","","","","","","","","","0.033","","","","","","","","","","","","","","","","","","","2013-05","2013-05","2015-07","2015-03","","","","Procurement dollars in the amount of $1.004 million support effort to upgrade and replace outdated and obsolete electrical switchgear, which will provide for a reliable/safer electrical distribution system and eliminate production interruptions.  It will also replace and provide upgrades to the structural and roofing systems in buildings 14 and 160.  The current roofs have deteriorated and experience leaks, which puts vital small caliber ammunition and primer production capability at risk.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","8-843b7c050c2b6ab14b32c36f821a06e9d3d3fd02d6811fd0514e7c92e6381fae","2-bdb488825994dc78d9ef35f3fd734cc5798caea8f636c8f4a3326a78074649c0","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","2.939","2.939","","5153758","Structural Upgrades - Buildings 8, 11, and 16",".50 Cal, 5.56mm, 7.62mm","","","2.384","","2.384","","","","","","","","","","","","","0.159","","0.159","","","","","","0.396","","0.396","","","","","","","","","","","2015-01","2015-01","2015-01","","2016-04","","","","FY 2015 Base procurement dollars in the amount of $2.939 million support effort to rehabilitate structural deficiencies identified in Buildings 8, 11 and 16 at Lake City Army Ammunition Plant.  This effort will ensure the safety of personnel, protect production equipment and assure compliance with Occupational Safety and Health Administration, National Fire Protection Agency, National Electrical Code, and Building Codes.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","9-9309bb396bf1190cfe9e0a5f1d80514b529e7965b9bac0c8aa6cc00e53665610","2-bdb488825994dc78d9ef35f3fd734cc5798caea8f636c8f4a3326a78074649c0","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","3.02","","","","5143615","Conductive Flooring Replacement/Asbestos Removal, Buildings 1, 2 & 3","5.56mm, 7.62mm, Cal .50","","2.45","","","","","","","","","","0.2","","","","","0.275","","","","","","","","","","","","","0.095","","","","","","","","","2014-08","2014-04","2014-04","2016-10","2016-10","","","","Procurement dollars in the amount of $3.020 million support effort to modernize degraded conductive flooring in the explosives manufacturing areas of Buildings, 1, 2, and 3 at Lake City Army Ammunition Plant.  Based on safety regulations, a conductive floor is required to manufacture explosives.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","10-a9f40980c9a2de35acc09c8fc68e4303360c19bc5145594391254ca7cee25dfd","2-bdb488825994dc78d9ef35f3fd734cc5798caea8f636c8f4a3326a78074649c0","root.record.FacilityList.ProductionSupportFacility"
"Production Support","1.323","","","","","5133504","Upgrade Facility Telephone System","C-4, 40mm, HE Mortar LAP, MICLIC LAP","1.115","","","","","","","","","","","","","","","0.063","","","","","","","","","","","","","0.145","","","","","","","","","","","2012-11","2012-11","","2014-12","","","","Procurement dollars in the amount of $1.323 million support the upgrade of the existing telephone distribution system at Milan Army Ammunition Plant, which has exceeded its economic and service life.  The upgrade will provide reliable voice and data communications within and external to the installation.  The current system has experienced system failures and parts obsolescence, disrupting communications and creating safety risks across the plant.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-c4115c4c69ea853ef353530e69fa49f847fffa7f2dc46b3c255d993cdc61b71c","3-6c85f6acd83403595eb73198107a0c2472033f0fe3eeac688d57f72ec3c64087","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","56","","","","5142736","Construct New Nitrocellulose (NC) Facility","Propellants for Large, Medium, and Small Cal Munitions","","","","","","","24.162","","","","","27.995","","","","","2.8","","","","","","","","1.043","","","","","","","","","","","","","","2014-12","2013-12","2014-06","2017-05","","2017-06","2017-08","","Procurement dollars in the amount of $56.000 million support effort to continue the modernization and construction of a new, right-sized facility to produce high quality Nitrocellulose (NC) at Radford Army Ammunition Plant.  The current NC facility has exceeded its useful life and experienced as many as 70 failures in 12 months.  This effort will construct and commission the second train capable of producing NC.  The project will also reduce energy consumption; reduce footprint and environmental effluents; and improve quality, process controls, labor, and material efficiencies, and enhance quality of work environment.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-b382145b63e72ad505877191e80f84fe72bfc67579759251782c6104ea1d7c4e","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","1.656","","","","","5133439","Acid Sewers Upgrades","Propellants for Large, Medium, Small Cal Munitions","1.505","","","","","","","","","","","","","","","0.151","","","","","","","","","","","","","","","","","","","","","","","2013-05","2013-06","2014-06","","2014-12","2014-12","2014-12","","Procurement dollars in the amount of $1.656 million support modernization upgrades to the existing acidic wastewater collection system at Radford Army Ammunition Plant.  The existing system was installed 50 years ago and experiences frequent leaks and failures.  A failure in March 2009 was repaired at a cost of $1.900 million.  The system is no longer economically viable.  Upgrades are required to ensure adequate acidic wastewater processing capabilities to support production operations and to comply with environmental regulations.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","1-6a006b0a466d20f79ef685122c42bec9c0ae6345f00c1344ab7aee1472a66401","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","5.59","","","","","5133440","Compressor House Upgrades, Perpetual Reciprocal Electrical/Gas Reciprocal Driven (PRE/XRD)","Propellants for Large, Medium, Small Cal Munitions","","","","","","2.955","","","","","2.05","","","","","0.23","","","","","0.105","","","","","","","","0.25","","","","","","","","","","2014-03","2013-09","2013-09","2014-09","","2015-04","2015-04","","Procurement dollars in the amount of $5.590 million support rebuild of three Perpetual Reciprocal Electrical (PRE) and three Dual Steam and Gas Reciprocal Driven (XRD) air compressors at Radford Army Ammunition Plant.  The compressors support the Ammonia Oxidation Plant units that produce Weak Nitric Acid and provide compressed air to various production areas.  The legacy compressors are antiquated and have exceeded their useful life.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","2-d80c368ee0e401c8f594c02b88a74cbce28bf302f195a9aab73591c416dc00f3","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","5.965","","","","","5133445","Industrial Sewer Upgrades & Rehabilitation","Propellants for Large, Medium, and Small Cal Munitions","3.891","","","","","1.13","","","","","0.504","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","2014-09","2013-09","2013-09","2016-12","2016-04","2016-01","2016-01","","Procurement dollars in the amount of $5.965 million support modernization upgrades to the industrial sewer system at Radford Army Ammunition Plant (AAP).  This effort will replace the existing 1970's vintage industrial sewer system to ensure compliance with the Virginia Pollutant Discharge Elimination System Permit.  The industrial sewer system collects industrial wastewaters from Radford AAP's production areas, including solvent and solventless propellant, nitroglycerin and trinitrotoluene manufacturing.  The wastewater is treated at Radford AAP's biological wastewater treatment plant and discharged into the New River, adjacent to Radford AAP.  The modernized system will ensure adequate wastewater processing in support of production operations and compliance with environmental requirements.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","3-b8ce09a25263e5402dce43837af435500f4d58e1724b2a97d12d389936ae2c0b","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","3.101","","","","5143566","Upgrade Pumps, Water Plant, Building 409","Propellants for Large, Medium, and Small Cal Munitions","","","","","","","1.161","","","","","1.576","","","","","0.176","","","","","","","","","","","","","0.188","","","","","","","","","2014-04","2014-04","2014-04","2015-02","","2015-03","2015-03","","Procurement dollars in the amount of $3.101 million support effort to modernize and replace both finished and raw water pumps at water treatment plant building 409.  Failure to upgrade and replace these pumps risks availability of drinking water for Radford Army Ammunition Plant, as well as process water necessary for production processes.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","4-cdda07101ff0250343dfc4f1b923db8cf89dc7c254af08ebbe53a4358d7b5bb2","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","1.072","","","","5143447","Solventless Propellant Manufacturing Facility (Preliminary Design)","120mm Tank, Hydra 70 Rocket, MK90 Rocket Grain","","","","","","","","","","","","","","","","","0.097","","","","","","","","","","","","","0.975","","","","","","","","","2014-12","2014-09","2014-09","","","","","","Procurement dollars in the amount of $1.072 million support the preliminary design of a new solventless propellant manufacturing facility at Radford Army Ammunition Plant.  The improvements will result in improved quality control methods and product quality, as well as reduced requirements for energy, labor, process time, and enhance operations safety and improve quality work environment.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","5-bea996cf444f88bfac1660a62922982a946f9c58272e4ce367c34c3c57720005","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","7.125","5.153","5.153","","51X3727","Strong Nitric Acid (SNA) Tank Replacement","Propellants for Large, Medium, and Small Cal Munitions","","4.17","","","","","1","3.261","","3.261","","0.5","1.63","","1.63","","0.656","0.203","","0.203","","","","","","0.059","","0.059","","0.799","","","","","","","","","2015-07","2014-05","2015-03","2016-03","","2016-03","2016-05","","FY 2015 Base procurement dollars in the amount of $5.153 million support the second phase to upgrade and replace strong nitric acid tanks at Radford Army Ammunition Plant.  Efforts include construction of four strong nitric acid storage tanks, instrumentation, auxiliary equipment, plumbing to the battery location, and commissioning.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","6-315d7224037fea9b58e90ba8446da82d54aca375a4cfe87eede41c35075798e5","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","90","","","","5143724","Construct New Powerhouse Facility","Propellants for Large, Medium, and Small Cal Munitions","","26.4","","","","","35.68","","","","","15.6","","","","","5.82","","","","","","","","","","","","","6.5","","","","","","","","","2014-10","2013-12","2013-12","2015-11","2015-07","2016-01","2016-01","","Procurement dollars in the amount of $90.0000 million support construction of a new natural gas powerhouse facility at Radford Army Ammunition Plant.  The new powerhouse facility will satisfy current demand and comply with new Maximum Achievable Control Technology (MACT) environmental regulations.  This project will also install package boilers in outlying areas to supplement the new powerhouse facility.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","7-55a2a3b22e21f2dfc36f69c9dd77c28eb397ec50718df6ef8aa3056c3d430ca4","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","1.31","","","","","5133725","Weather Damage Repair","","0.695","","","","","0.3","","","","","0.207","","","","","0.108","","","","","","","","","","","","","","","","","","","","","","","2013-12","2013-05","2013-05","","2014-03","","","","Procurement dollars support weather damage repair as a result of a June 2012 derecho with additional damage from Hurricane Sandy (Oct 2012) at Radford Army Ammunition Plant.  Efforts include repair to facilities and roof, utilities and power lines and tree removal efforts.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","8-8d1c092b0d155555f68886a771ee998ca1e3740e8abce68efe0edf3581e2bb80","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","1.037","1.037","","5153764","New Solvent Area Chiller","Double Base Propellant, Single Base Propellant","","","","","","","","0.764","","0.764","","","0.249","","0.249","","","0.024","","0.024","","","","","","","","","","","","","","","","","","","2015-02","2014-11","2014-11","2015-06","","2015-06","2015-07","","FY 2015 Base procurement dollars in the amount of $1.037 million support modernization effort to install a standalone chiller system for the new Solvent Recovery and Rectification Facility at Radford Army Ammunition Plant.  Without this facility, waste streams from propellant production will not be able to be processed on site.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","9-07dfb4c55dcc3b57666f771c252a0d890455b9be7905ae86006601311cdf8e8f","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","0.921","0.921","","5153816","Solvent Propellant Manufacturing Facility, Preliminary Design","120mm Tank, Artillery, Small Cal, Medium Cal","","","","","","","","","","","","","","","","","","0.084","","0.084","","","","","","0.837","","0.837","","","","","","","","","","","2015-11","2015-03","2015-03","","","","","","FY 2015 Base procurement dollars in the amount of $0.921 million support engineering and design efforts to improve the solvent propellant manufacturing process at Radford Army Ammunition Plant.  These efforts will identify modernization upgrades that can be incorporated into the production process in future years.  These improvements will reduce operating costs and enhance production efficiencies.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","10-9283e89ab14624c727e9de5e3380fa7bc28a16d7265c468004df8740118f75c4","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","2.022","2.022","","5153557","Electrical Distribution System Upgrades","Propellants for Large, Medium, Small Cal Munitions","","","","","","","","0.783","","0.783","","","0.803","","0.803","","","0.133","","0.133","","","","","","0.303","","0.303","","","","","","","","","","","2015-02","2015-01","2015-01","2015-09","","2015-09","2015-11","","FY 2015 Base procurement dollars in the amount of $2.022 million support assessment of the existing electrical distribution system to optimize the electrical load on circuit breakers for current and future production requirements at Radford Army Ammunition Plant.  This project will also upgrade, replace and repair the obsolete electrical conductor circuits that service the new nitrocellulose facility.  The existing components have exceeded their useful life, experience failures and impact production continuity.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","11-1f3e1a996e35d87ba544d5588a536cb5b95163a0265df641bbd98a73267b184e","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","1.289","","","","","5133120","Nitric Acid Concentrate/Sulfuric Acid Concentrate (NAC/SAC) Silica Scaling Upgrade & Rehabilitation","Propellants for Large, Medium, and Small Cal Munitions","","","","","","0.157","","","","","0.454","","","","","0.121","","","","","","","","","","","","","0.557","","","","","","","","","","","2013-09","2013-09","2014-06","","2014-06","2014-07","","Procurement dollars in the amount of $1.289 million support the installation and commissioning of Reverse Osmosis/Continuous Deionization system to remove of silica from the water sources that are part of feed streams to the new Nitric Acid Concentrator/Sulfuric Acid Concentrator process.  Reduced silica will result in less deposition in/on piping, valves, pumps, heat exchangers and vessels.  This effort will reduce maintenance requirements, improvement production efficiency and minimize interruption.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","12-048bf1dda888bc9967bf319c7ae0a532a4c678a90e79d46366cc88e8169887ba","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","1.464","","","","","5133654","Replace Wooden Walkways, Nitroglycerin-2 (NG-2) Area","Nitroglycerin, Solvent/Solventless Propellant","1.331","","","","","","","","","","","","","","","0.133","","","","","","","","","","","","","","","","","","","","","","","","2013-08","2013-08","","2014-09","","","","Procurement dollars in the amount of $1.464 million support modernization upgrades replace wooden walkways with slip-free fiberglass in the nitroglycerin area of Radford Army Ammunition Plant (AAP).  This effort improves the safety and well-being of employees and will enhance the quality of work environment at Radford AAP.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","13-d9d82c01d31a73515588850fb83720c458afc9e1fcd4cac6ff3248a9d3c81d24","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","0.784","","","","","5133730","Strong Nitric Acid (SNA) Tanks Repair","Nitrocellulose, Solvent Propellants, Solventless Propellants","","","","","","","","","","","","","","","","0.078","","","","","","","","","","","","","0.706","","","","","","","","","","","2013-07","2013-07","","","","","","Procurement dollars in the amount of $0.784 million support the repair of two strong nitric acid (SNA) storage tanks and associated infrastructure at Radford Army Ammunition Plant.  The SNA tanks are deteriorated and in need of repair to assure uninterruptable supply of acid for the nitrocellulose nitration process.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","14-1d2dc596e92ffaf52bf193ccf32abf139e358912b6b806f6eb92225a1f3d6e8f","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","6.58","6.58","","5153735","Acid Area Improvements","Propellants for Large, Medium, and Small Cal Munitions","","","2.854","","2.854","","","2.218","","2.218","","","1.112","","1.112","","","0.396","","0.396","","","","","","","","","","","","","","","","","","","2015-09","2015-03","2015-03","2016-09","2016-09","2016-11","2016-11","","FY 2015 Base procurement dollars in the amount of $6.580 million support effort to conduct major repairs to nitric and sulfuric acid tanks that support nitration at Radford Army Ammunition Plant.  This project will ensure an uninterrupted supply of acid to the nitrocellulose nitration process and provide safety to employees.  The project includes lining dikes to prevent leaks to ground soil; installing acid resistant liners to prevent further damage to concrete dike structures; and replace wooden stairs, catwalks, and platforms that have deteriorated under the exposure to acid fumes.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","15-62ad16c1668e0ec6469bd62aa848b6c09ce944e39489d0da032f64a7a2f05e07","4-8c50206cf8f9be5ee4cac3762c3db41430a3d04a1a75081351c70089ad8cd563","root.record.FacilityList.ProductionSupportFacility"
"Production Support","2.034","","","","","5132675","Rehabilitate Lathes","120mm Mortar, M1, M107, M110, M795, MK64","","","","","","1.5","","","","","0.243","","","","","0.034","","","","","0.157","","","","","","","","0.1","","","","","","","","","","2014-01","2013-09","2013-09","2015-07","","2015-07","2015-08","","Procurement dollars in the amount of $2.034 million support the upgrade of four hydraulic tracer lathes at Scranton Army Ammunition Plant.  The lathes will be upgraded from relay logic to state-of-the art computer numerically controlled (CNC) systems.  This modernization effort will result in energy savings, reduce maintenance costs due to leaks and contamination and increase personnel safety due to the separation of high and low voltage components.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-2abe0c93b249f1d72d5a8a346c70af1ab272cc6d4065a90d926c8d40e974afc5","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
