Name_val,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_Manufacturer,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"Pubs/Tech Data","B","53.594","","","15.277","","","0.289","","","15.722","","","0.000","15.722","","","12.827","22.98","25.734","54.587","719.443","","","920.453","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","bba3db72846be2ebfddbb58637da11fb07cc41e6359b906131b0cf6626c26b1e","0-c5511ddbbb131ca041db968724adc762c8de2096a9f93ea6d3873a4e7f87c55c","","","0-8a0fa6cfcaa99a244dea463dd12ed3702fad20c093d729f25119a3fed61a650f","root.record.ItemExhibitList.P5Item"
"Other ILS","B","70.274","","","90.432","","","225.223","","","135.834","","","0.000","135.834","","","89.85","93.429","155.179","194.374","2234.338","","","3288.933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","bba3db72846be2ebfddbb58637da11fb07cc41e6359b906131b0cf6626c26b1e","1-f85934fa2ea45e7d89ce9fe0cf09c2aeeb3a8753990056aa00e549b86a3e93e5","","","0-8a0fa6cfcaa99a244dea463dd12ed3702fad20c093d729f25119a3fed61a650f","root.record.ItemExhibitList.P5Item"
"Engineering Change Orders/Engineering Change Proposals - Non Recurring Flyaway","A","2.304","","","0.011","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","cdde32f263605efa565ce4d4f2dcfab53c9478c879b60a96129ffe25b7d34e8a","0-0126d7b4a76a0b810e72d0071b57cc63c5c03fce67fdadd7449f6a470aedfc5d","","","0-96809f2f65f3189b02ee817f85308a4fe629f0d374362f9370267f12018305e9","root.record.ItemExhibitList.P5Item"
"FSAT Program Life Extension","A","1.517","","","1.176","","","2.588","","","0.313","","","0.000","0.313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","cdde32f263605efa565ce4d4f2dcfab53c9478c879b60a96129ffe25b7d34e8a","1-584e6048693ebc7125675b6816e1acf2efc5c16e02a89ea53d25b8c5fcca0ee9","","","0-96809f2f65f3189b02ee817f85308a4fe629f0d374362f9370267f12018305e9","root.record.ItemExhibitList.P5Item"
"Data/Tech Manuals","A","0.503","","","0.465","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","cdde32f263605efa565ce4d4f2dcfab53c9478c879b60a96129ffe25b7d34e8a","2-776b52465de1fa3f856e0257829ed0de015190ab09078e6581fb007f5197675b","","","0-96809f2f65f3189b02ee817f85308a4fe629f0d374362f9370267f12018305e9","root.record.ItemExhibitList.P5Item"
"TECHNICAL DATA","A","0.06","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","101c78e8b718e2eb490a6e9385e8f4fb9a2e42c27419ef92c73bc89bb4fcd89c","0-dcd89afb6a153088b20a9e76bfa421398236bfa8c0bd78aca898d943b4aa381f","","","0-0495ce6f6bc3f09385742f7fcf0976d1683dfc58c241580e84b65f6f068ee7dc","root.record.ItemExhibitList.P5Item"
"TECHNICAL DATA","A","0.06","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","fb847c5d73ff209ee22672c491cfdc55c0254d39afb27400c3e8a3828a2ae363","0-2829f9d51b19631af7eddab3815b8694539d39ae21b3d981e7bc1b26d9917bf5","","","0-dfdc82831e3f9e797eeaf12d446a2da23fd3079753d8317979b754359e02a6b4","root.record.ItemExhibitList.P5Item"
"Logistics","A","0.000","","","0.607","0.607","1","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","27f4ee5ddee3c9c8291b8071eb6fd6c3382205a785c275f3a02be89e5aae43b5","0-be6be38ef2efe4f0b950b09568362bac18983ec435af3e4675a0475216185c32","","0-a48e6557b14f21c4ac27a35f9ff374c13bdb2abfaaff8819e502b48c61db611d","root.record.ItemExhibitList.P5Item"
"Logistics","A","0.000","","","0.607","0.607","1","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5715c9b006692968d79127d8d7e584bc45d6b62d4847094b3904d9d6a82d55e6","0-2861e42df7893ba4f4babc12f5cdc01935c2bf81120b58569a7dc74314fb2945","","0-e34cb281ec7a869e1e139e38ac4266b1801d9853e571da1ea452083c638da13f","root.record.ItemExhibitList.P5Item"
"INTERIM SUPPLY SPT SERVICES/LABOR","A","0.000","","","2.67","","","1.54","","","1.67","","","0.000","1.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3383bee6698d712ddea3fd479eecb987c08033bed8eca1eba4028d673b52d23d","0-524dfe7f16599f527556dff9ae815ccfeb38c26e23cda5a972963c42002c2507","","","0-c7c050efdaf1abb896f10db8b9ccda2122a07f9ca328fd24a5f62ef3e484b1a8","root.record.ItemExhibitList.P5Item"
"INTERIM SUPPLY SPT -- Materiel","A","0.000","","","2.669","","","5.456","","","5.988","","","0.000","5.988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3383bee6698d712ddea3fd479eecb987c08033bed8eca1eba4028d673b52d23d","1-4910c41c76c726c2a8a307ef6494631a5de05ebf3c26959e6f9767c456129727","","","0-c7c050efdaf1abb896f10db8b9ccda2122a07f9ca328fd24a5f62ef3e484b1a8","root.record.ItemExhibitList.P5Item"
"INTERIM SUPPLY SUPPORT MATERIAL (PARTS/SUPPLIES)","A","0.000","","","11.242","","","11.041","","","10.496","","","0.000","10.496","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a47c3fb9f686f4c27b6a0c74baf4c97ee263dfcee495db8e9fa5b39c2bbe72cc","0-eb08e8041895131ed860ee39c7598f3056267ef1452cb875a15a32071800cc0c","","1-05d7ac734cbdf5abbab706114b3a3114d7a283493750fb7b88dd1f32f1dc8d4f","root.record.ItemExhibitList.P5Item"
"INTERIM SUPPLY SUPPORT SERVICES/LABOR","A","0.000","","","1.977","","","2","","","1.709","","","0.000","1.709","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a47c3fb9f686f4c27b6a0c74baf4c97ee263dfcee495db8e9fa5b39c2bbe72cc","1-c135a42e3db23506b37225684fdfea8e466dfe602dae39206e258d5d7d7f3735","","","1-05d7ac734cbdf5abbab706114b3a3114d7a283493750fb7b88dd1f32f1dc8d4f","root.record.ItemExhibitList.P5Item"
"INTERIM SUPPLY SPT SERVICES/LABOR","A","0.000","","","2.67","","","1.54","","","1.67","","","0.000","1.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","f61a756aa36dc7416810bf652a44f405842756b4a731b672425f9be01bbf90ae","0-7dbf536cee5c790f05aa27fefb4ba97ca15db2f99231528e65ceb37eaf47b3c4","","","0-f1d6d42bf5fbacaebbe851bdba5117f67ab0659a92d56a05cecdbcbdc82cb0a5","root.record.ItemExhibitList.P5Item"
"INTERIM SUPPLY SPT -- Materiel","A","0.000","","","2.669","","","5.456","","","5.988","","","0.000","5.988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","f61a756aa36dc7416810bf652a44f405842756b4a731b672425f9be01bbf90ae","1-6fd4eefea9bbd539959eadfb51ca6f9cf1d1413559c5a16365e31b9e54d9b3a7","","","0-f1d6d42bf5fbacaebbe851bdba5117f67ab0659a92d56a05cecdbcbdc82cb0a5","root.record.ItemExhibitList.P5Item"
"INTERIM SUPPLY SUPPORT MATERIAL (PARTS/SUPPLIES)","A","0.000","","","11.242","","","11.041","","","10.496","","","0.000","10.496","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b95a51121912b4e606479a737b273c66366c627a06c3c2369abb6b7327b379b4","0-5c6abd539149b82d62020a27e758ad1e6b4fda2bc1c7b046fdccb61ef8302123","","1-06eb3a370dc41372f0c63bd46327dc975de0caf4225010c466177b3a55e38a38","root.record.ItemExhibitList.P5Item"
"INTERIM SUPPLY SUPPORT SERVICES/LABOR","A","0.000","","","1.977","","","2","","","1.709","","","0.000","1.709","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b95a51121912b4e606479a737b273c66366c627a06c3c2369abb6b7327b379b4","1-89ccdff3f90a9326c3cf0a2ade5b98dc3e9656a13029704539d2d6376091297e","","","1-06eb3a370dc41372f0c63bd46327dc975de0caf4225010c466177b3a55e38a38","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support - Labor","B","12.149","","","27.014","","","","","","","","","","","","","","","","","0.000","","","39.163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","4fcdb6a08be0be7a75baa7632f4eac52711266acebbb73067b22294132632fbc","0-d8dd721b5982decc5e0d84975faa225f585cb5d771af3a3ad4c9306ced594b95","","","0-e04de8694204b88d452d50c2f8994dd989c942b13bbddffb8450193549f3bafd","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support - Material","B","6.005","","","21.845","","","","","","","","","","","","","","","","","0.000","","","27.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","4fcdb6a08be0be7a75baa7632f4eac52711266acebbb73067b22294132632fbc","1-74ed2f12acaaed333bdb653ae282afb02755680b641c1be92d8b4aea4a2ffa0a","","","0-e04de8694204b88d452d50c2f8994dd989c942b13bbddffb8450193549f3bafd","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support - Deployment Support","B","88.891","","","0.097","","","","","","","","","","","","","","","","","0.000","","","88.988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","4fcdb6a08be0be7a75baa7632f4eac52711266acebbb73067b22294132632fbc","2-360714ee00c6fa5521e732ea5bd6fd9c0287aa88d6121ab9605d616c089a6365","","","0-e04de8694204b88d452d50c2f8994dd989c942b13bbddffb8450193549f3bafd","root.record.ItemExhibitList.P5Item"
"Organic Depot Activation","B","0.014","","","","","","","","","","","","","","","","","","","","0.000","","","0.014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","4fcdb6a08be0be7a75baa7632f4eac52711266acebbb73067b22294132632fbc","3-a03ff6e43cf42445d02c38cf968e4b6f43318ef8d3c48ceb1ed3cd9efb5e76ac","","","0-e04de8694204b88d452d50c2f8994dd989c942b13bbddffb8450193549f3bafd","root.record.ItemExhibitList.P5Item"
"Production Support","A","0.000","0.000","0","1.213","","","0.653","","","0.664","","","","0.664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","b45a446809597212d152ebf6a03874721f34cff525f6215105d72c06596f4c7a","0-d4cf457d0a468f82cf89fdfd610d247b5c44968d6d25d62966871d135122817d","","","1-ba730114e9c038ee59b6f54b721bc43a0cf8fc240adc114c229613bc2bde5e70","root.record.ItemExhibitList.P5Item"
"Government Support","A","0.000","0.000","0","0.317","","","0.51","","","0.51","","","","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","b45a446809597212d152ebf6a03874721f34cff525f6215105d72c06596f4c7a","1-6b543f8cacdb77812b203f31a00666068c2e9d9a221ca2e93ba2b27b3d4d51c2","","","1-ba730114e9c038ee59b6f54b721bc43a0cf8fc240adc114c229613bc2bde5e70","root.record.ItemExhibitList.P5Item"
