Name_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ModsOutYearDelta_Quantity_BudgetYearTwo_val,ModsOutYearDelta_Quantity_BudgetYearThree_val,ModsOutYearDelta_Quantity_BudgetYearFour_val,ModsOutYearDelta_Quantity_BudgetYearFive_val,ModsOutYearDelta_Cost_BudgetYearTwo_val,ModsOutYearDelta_Cost_BudgetYearThree_val,ModsOutYearDelta_Cost_BudgetYearFour_val,ModsOutYearDelta_Cost_BudgetYearFive_val,@PARENTROWID,@PARENT
"Air Force Reserve","","","","","","","","","","273.46","843.965","254.23","254.23","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","e049539817dd22b34918c2c0be8271bbbd79d6b6a486234ddff8e6be076c0e3d","1-7db953a93cd385d09ca515cd8e372aa8cd0031f02c505eec8b8ae8b328edb7da","","","","","","","","","1732-33cd41ab74bf0b5aa57b5c1ddadb6814fe3f036396eb1ad2b8d93f41ed3cc528","root"
"Air Force Active","","","","","","","","","","157.617","83.528","81.626","81.626","94.74","119.936","105.887","71.951","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-15a7cbb22232e3cea6f1241020e58d7f1207e8c3c57dc80a330067cf6157cafe","","","","","","","","","1733-30ebd0ec3eceeada55862d028b23d07c7172353afc42676bfae6d621187ca2f7","root"
"Air National Guard","","","","","","","","","","14.764","10.435","23.716","23.716","","2.767","12.212","4.79","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","1-e22951f3ba4e3dea39cfc167be2c8029c1103a6b791719ae882b3732f20e25be","","","","","","","","","1733-30ebd0ec3eceeada55862d028b23d07c7172353afc42676bfae6d621187ca2f7","root"
"Air Force Reserve","","","","","","","","","","23.227","4.234","22.152","22.152","0.207","0.638","0.47","8.414","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","2-9fdbc032caf2b795751f899b0e9d2a85eff5543a5f21b8aaa9c1330ede80cefb","","","","","","","","","1733-30ebd0ec3eceeada55862d028b23d07c7172353afc42676bfae6d621187ca2f7","root"
"Air Force Active","","","","","","","","","","9.987","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6b7c470c8daeb0a7eac9cd427fbf8fd4c035368f57f4b7a72ff05cb0f4884a29","0-18309f8e001333ee9810c554934e64b17be85c04f05dad826b5d52f090b79dfe","","","","","","","","","1737-ca489e322c7fa35b886d1ca2461201e935dad15cbfa789d8728f12ab400aeb22","root"
"Air Force Reserve","","","","","","","","","","0.000","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6b7c470c8daeb0a7eac9cd427fbf8fd4c035368f57f4b7a72ff05cb0f4884a29","1-729af8f5edde5473939099774aeb4bf31f5d3ac41eb08b7caaffa7144ffa9b3a","","","","","","","","","1737-ca489e322c7fa35b886d1ca2461201e935dad15cbfa789d8728f12ab400aeb22","root"
"Air Force Active","","","","","","","","","","13.633","5.392","14.486","14.486","18.208","26.53","26.063","26.515","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","072c9e5053c835f362152c23e3e78685c7469d9339cb97c4c0db00fabf7e6b17","0-e0de3353f9edb4abf807358941f80ba1c63fff7356af3ca88233032c6a9fdff0","","","","","","","","","1739-1347630fc371540b947463e71aea7d5d6242c085f9c385cb3053a0eea8e93e4f","root"
"Air Force Reserve","","","","","","","","","","0.000","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","072c9e5053c835f362152c23e3e78685c7469d9339cb97c4c0db00fabf7e6b17","1-dad411e80a2e1440b483150fd14e58df9dab177e3a7a618e976470fa9aa97d0a","","","","","","","","","1739-1347630fc371540b947463e71aea7d5d6242c085f9c385cb3053a0eea8e93e4f","root"
"Air Force Active","","","","","","","","","","1.906","82.577","161.292","161.292","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","0-c6b1c1004bcf301481e08eb0feee568a5cb3c789ba8c4e9e014680173fb0a750","","","","","","","","","1741-2a1e6e1ac87276e985a081a0846968ec726f6da703acce938da63c246c13a35b","root"
"Air Force Reserve","","","","","","","","","","","8.226","18.856","18.856","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","1-3a3a3491bba73a0c2c05c4d47dde369297bd1a59fb67fa9701b2058352dae951","","","","","","","","","1741-2a1e6e1ac87276e985a081a0846968ec726f6da703acce938da63c246c13a35b","root"
"Air Force Active","","","","","","","","","","0.243","5.219","4.592","4.592","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","53d7945676125164b374451c801569abe5e85e372ac58d7177fd8d3439b86165","0-3a1810f585e2902f7d453afb194cd6f0a067f5abc28ceda971e242de6ed8b3f6","","","","","","","","","1750-f29eea4d3b410ec9a4bef4b7e917466f122bcfcfb5278069db3e2a3bae0b1a1c","root"
"Air National Guard","","","","","","","","","","","0.6","1.5","1.5","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","53d7945676125164b374451c801569abe5e85e372ac58d7177fd8d3439b86165","1-92d559420e04c8c4856992f666825cefa204c372e3224d71f8890e832c24ab3b","","","","","","","","","1750-f29eea4d3b410ec9a4bef4b7e917466f122bcfcfb5278069db3e2a3bae0b1a1c","root"
"Air Force Reserve","","","","","","","","","","","0.3","1.2","1.2","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","53d7945676125164b374451c801569abe5e85e372ac58d7177fd8d3439b86165","2-3e8593e1187ac550395c8d3afcd6b32ad0dfce9c14a1d89bd6ee819648883658","","","","","","","","","1750-f29eea4d3b410ec9a4bef4b7e917466f122bcfcfb5278069db3e2a3bae0b1a1c","root"
"Air Force Active","","","","","","","","","","34.258","66.491","29.153","29.153","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c95b3cad136b9abd961b0302a1b9dcc36c9e32822973785202e66e43ffe473da","0-e753ca7249671461a2c8191899485ad6a2aced013a92c6acf491825d8d9a7ae8","","","","","","","","","1751-8302dca0d80ca7b44a7024749c1c1dac9adfe28e7ce36595253161dd7e968fa9","root"
"Air National Guard","","","","","","","","","","22.163","31.909","4.166","4.166","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c95b3cad136b9abd961b0302a1b9dcc36c9e32822973785202e66e43ffe473da","1-ba7320571624137ad9219a56f17c18f3ddadee59994da1ebbf99fddddd573488","","","","","","","","","1751-8302dca0d80ca7b44a7024749c1c1dac9adfe28e7ce36595253161dd7e968fa9","root"
"Air Force Reserve","","","","","","","","","","22.742","3.495","2.55","2.55","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c95b3cad136b9abd961b0302a1b9dcc36c9e32822973785202e66e43ffe473da","2-255211ef40d4278cad71dcc69ba95a858767ca33612d721785177c74be936af6","","","","","","","","","1751-8302dca0d80ca7b44a7024749c1c1dac9adfe28e7ce36595253161dd7e968fa9","root"
"Air Force Active","","","","","","","","","","140.962","121.247","13.159","13.159","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ad2cbcd52887cfdbd4c4e64af0f936c986b469e78be0a9fa924477b8ad18fb8f","0-16c1abe6694a068dd99eb4362945e266676477d4cd1fd3d6444b98ed9c10f867","","","","","","","","","1752-041348da460e7d9c0e2b5998c57f013f27bdfba8b422e49b71c9b002e022c1b0","root"
"Air National Guard","","","","","","","","","","9.268","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ad2cbcd52887cfdbd4c4e64af0f936c986b469e78be0a9fa924477b8ad18fb8f","1-35c19c9c4687fd2fd9ed9952ca8b833f911934223d17e3fe38e24450092a90e8","","","","","","","","","1752-041348da460e7d9c0e2b5998c57f013f27bdfba8b422e49b71c9b002e022c1b0","root"
"Air Force Reserve","","","","","","","","","","4.634","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ad2cbcd52887cfdbd4c4e64af0f936c986b469e78be0a9fa924477b8ad18fb8f","2-ce4fcbf60480d12047cc64910572e76542e6248b1df9a4cc99c6e8b395d10820","","","","","","","","","1752-041348da460e7d9c0e2b5998c57f013f27bdfba8b422e49b71c9b002e022c1b0","root"
"Air Force Active","","","","","","","","","","42.139","8.788","7.919","7.919","42.809","64.499","65.71","66.94","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","f95a686895e7fa3d37923c2b920ccf43d5ee240504c1f66a1de53572ac91a145","0-22a3dc9b8565c32cea0dfcddde1fcacb37ffe98bd7107f73e3940fb8a1c9e370","","","","","","","","","1753-38cfc4f516f016c409f6bab840b37b6eb85ef8c07df753f819762b6dd438b868","root"
"Air National Guard","","","","","","","","","","0.039","0.000","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","f95a686895e7fa3d37923c2b920ccf43d5ee240504c1f66a1de53572ac91a145","1-3bfe3120f4aad3e716657c05eb79529ea9829c214207b76b040c7939b6b19a89","","","","","","","","","1753-38cfc4f516f016c409f6bab840b37b6eb85ef8c07df753f819762b6dd438b868","root"
"Air Force Reserve","","","","","","","","","","0.022","0.000","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","f95a686895e7fa3d37923c2b920ccf43d5ee240504c1f66a1de53572ac91a145","2-70cba4b22c82dfa295f3a559c39e43eff78335f749906cd8b9d19b45c8f7630c","","","","","","","","","1753-38cfc4f516f016c409f6bab840b37b6eb85ef8c07df753f819762b6dd438b868","root"
"Air Force Active","","","","","","","","","","14.532","29.505","33.544","33.544","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","4f10c9d75af1ff7f39d3312af79b465fcb001e31cfa449ec049bea6f08f73af1","0-3f0038db431399e14501f7f909293f54d4ec590c877f4762c483fa70b281ccc4","","","","","","","","","1754-f559a926c958501c1112dd7643038318e1ae1a261a779cc3b7b7595c345d1881","root"
"Air National Guard","","","","","","","","","","6.482","0.038","21.299","21.299","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","4f10c9d75af1ff7f39d3312af79b465fcb001e31cfa449ec049bea6f08f73af1","1-08ce36d9281de617eb86bbe1feb2b913bfff875114dd23500933192ef5cdade2","","","","","","","","","1754-f559a926c958501c1112dd7643038318e1ae1a261a779cc3b7b7595c345d1881","root"
"Air Force Reserve","","","","","","","","","","2.412","0.013","8.725","8.725","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","4f10c9d75af1ff7f39d3312af79b465fcb001e31cfa449ec049bea6f08f73af1","2-d7083bbc2655daed5f2c3c0d163d1ea693d8e21fff13435395a5bf78fc81af3a","","","","","","","","","1754-f559a926c958501c1112dd7643038318e1ae1a261a779cc3b7b7595c345d1881","root"
"Air Force Active","","","","","","","","","","31.522","21.371","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","635e191ceb47ef69fb07d4ffdfb4d2c989a4dd6a0f2b4412deae4b89cd844523","0-cb02ee020ef78b59f88ba423fb2891ddb0eea8d3a74ae77f42cbdaed69091848","","","","","","","","","1759-4d77103a083730c7654822223de09f3c42ec762eda71315f6f8cc34c8b649e17","root"
"Air National Guard","","","","","","","","","","17.289","26.707","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","635e191ceb47ef69fb07d4ffdfb4d2c989a4dd6a0f2b4412deae4b89cd844523","1-01c6c400321e09e1a836158b3a5372fd6e69896345c00b3066578062aef44d00","","","","","","","","","1759-4d77103a083730c7654822223de09f3c42ec762eda71315f6f8cc34c8b649e17","root"
"Air Force Active","","","","","","","","","","125.33","20.19","0.000","0.000","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","3e99a6a07a844fd67d8cdddd47411d1e008dc984daa9fa8b91e6053b351e3822","0-6add335572a420e0e1cfbccb647d2e8994c6e2c98c07dcd65bcdeee5471b5fff","","","","","","","","","1763-ecfbbd336274878621d00b2319696e08b3c072e371cd99c80f3b875be2e5cb07","root"
"Air National Guard","","","","","","","","","","64.87","22.84","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","3e99a6a07a844fd67d8cdddd47411d1e008dc984daa9fa8b91e6053b351e3822","1-98ca85e3df52db3933d89d94ee9306e44315bffd7f0dcdec981ae6511b7e0e03","","","","","","","","","1763-ecfbbd336274878621d00b2319696e08b3c072e371cd99c80f3b875be2e5cb07","root"
"Air Force Reserve","","","","","","","","","","43.081","4.568","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","3e99a6a07a844fd67d8cdddd47411d1e008dc984daa9fa8b91e6053b351e3822","2-f1d3612440938d70827036aeea9347e67413b4c05570fbf446a5890db1f6e018","","","","","","","","","1763-ecfbbd336274878621d00b2319696e08b3c072e371cd99c80f3b875be2e5cb07","root"
"Air Force Active","","","","","","","","","","78.999","23.828","57.039","57.039","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","bbc8063372e02d2bc548b494988437c9d99675713059aabc6acf7bc346906c17","0-944816ea08cc1698dc0f3a3053f63bfdf864f2ec04086fe65846491bf9f28bdd","","","","","","","","","1764-c8c2738e6593ba27c7149702d4d172279b9959f16bfa0537a53de75f00590d07","root"
"Air National Guard","","","","","","","","","","0.539","2.064","1.907","1.907","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","bbc8063372e02d2bc548b494988437c9d99675713059aabc6acf7bc346906c17","1-2842740649fa2f2ffd4b773413dbcea86dd66d19c23ba6ea1fbdf66ee9773d5f","","","","","","","","","1764-c8c2738e6593ba27c7149702d4d172279b9959f16bfa0537a53de75f00590d07","root"
"Air Force Reserve","","","","","","","","","","0.912","1.762","1.164","1.164","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","bbc8063372e02d2bc548b494988437c9d99675713059aabc6acf7bc346906c17","2-a4c2508f8be938e775e8ff273894d86d88de272c4a6dea6cc58a7b9d8b382246","","","","","","","","","1764-c8c2738e6593ba27c7149702d4d172279b9959f16bfa0537a53de75f00590d07","root"
