Name_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","8","5.771","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","2-b2216714f12420f1be1142229f8251cfad1383d7708bdf31af43c81476820f44","0-ec0947669c590e72c6fdc97e4810b63a6f33d215f529b0e8ecbeebd275b7ffbf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.095","0","0.000","0","0.000","0","11.697","0","0.000","0","11.697","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-a4b36d03e7d3d54349101634c8cc971077930ed71930d3cd98284e35e0ef5fbe","0-4979ff271642e3374f43183e1a50b7cf53c1212458d1e8f4751f5bff4fe9780a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","587","251.978","224","100.616","27","25.509","48","28.437","0","0.000","48","28.437","0","0.857","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-86d7e9c3ea91ce6a813e8c4b32bc85b275195e999542ee893824e9407227042c","0-0eb4d66bfec134148b8e5a18e06cbb5dbc3d2ad61ac683119c0bfc0527ac39dd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air National Guard","40","13.515","1","0.187","55","27.918","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","1-f874a0f5dfa188f2caa84b09953093d69ba91c1239acf87a24b1433d1145386f","0-0eb4d66bfec134148b8e5a18e06cbb5dbc3d2ad61ac683119c0bfc0527ac39dd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Reserve","43","13.994","0","0.000","21","7.889","24","9.576","0","0.000","24","9.576","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","2-e1a3a4448a52b5e3ea815da451a59c76196b800a4d4199657d6129dbba556709","0-0eb4d66bfec134148b8e5a18e06cbb5dbc3d2ad61ac683119c0bfc0527ac39dd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","0","0.000","10","3.009","30","4.95","0","0.000","30","4.95","33","11.452","33","15.098","33","17.348","33","19.183","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-70bccb179ff69bdbe739de1a743297263ee95106bfa8f48446f081ca219876cd","0-1677e30208cb81a1dd8921ffe83e2535369c5d27a3f19b42ed4e3e0d46b04689","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","1-b3c88f8fb66b06a70ae6f219b2462284d12e4b7f5324e1ca983f778282501f0b","0-1677e30208cb81a1dd8921ffe83e2535369c5d27a3f19b42ed4e3e0d46b04689","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","2-e232434860650a86b73241ea6bab549651d2b60ccfaf58f54d7017076bbd4c44","0-1677e30208cb81a1dd8921ffe83e2535369c5d27a3f19b42ed4e3e0d46b04689","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","10","41.228","0","0.21","2","5.108","2","5.312","0","0.000","2","5.312","2","5.524","4","10.974","8","21.803","8","22.675","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-d2e56b2076da6ca697da14c978ca70b286e05aeac65eabbb65da5dc9f844df9b","0-d3db462fb7fdde9f18a1632d97dbdd6537c3ae964c39ad64750cfdd55142df09","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","1-54ede260ae006ab394ebb4a53ad48e160f5f632875a6581d4237fa8e6ad65c07","0-d3db462fb7fdde9f18a1632d97dbdd6537c3ae964c39ad64750cfdd55142df09","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","2-8b2ec2fce0cc6775a3803059079b5a7210802fd75d7d472c140e1f7450499bfc","0-d3db462fb7fdde9f18a1632d97dbdd6537c3ae964c39ad64750cfdd55142df09","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","8","99.039","0","1.206","2","51.187","2","14.174","0","0.000","2","14.174","2","14.564","4","37.922","8","63.197","8","50.699","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-570eeaeb11600ca4f2c786b9f5b757e7ebe995e2aa86b6be2ba1bfc09decaf90","0-8be27730b499bd13f076278f7b9704fd3088493184e479071b52c7c827410b4e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","1-dfbbf3939c025b4d7079a91d68ae97f7d40badacd40e6d1c95cc0a6f87cdc5df","0-8be27730b499bd13f076278f7b9704fd3088493184e479071b52c7c827410b4e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","2-05f01affa49c64a8a4be5ed00adc8efd33101d97bbe0fd179d4d0b8916444bc1","0-8be27730b499bd13f076278f7b9704fd3088493184e479071b52c7c827410b4e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","0","0.000","0","0.000","14","3.485","0","0.000","14","3.485","24","4.838","20","4.034","0","0.187","0","0.93","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b2d8afccacbbad6e360e0d83fc9b6f11326b8d6bde17f88d3c4e843f38ab51d9","0-de1b7bd43c3503972b3cc87ad6b8fa298bb45b8f39abb1235d7fca10903b0b8d","0-e5b69231058266a0a82f7cdcce05a0e76c3955899b54d54cb6e8c06295574078","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","6","1.141","0","0.000","6","1.141","6","1.166","6","1.187","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b2d8afccacbbad6e360e0d83fc9b6f11326b8d6bde17f88d3c4e843f38ab51d9","1-cf5656e1cde514f9d0d48a6bffed025f4a87bd2bd529285f348215bee22f6087","0-e5b69231058266a0a82f7cdcce05a0e76c3955899b54d54cb6e8c06295574078","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","12","5.635","13","5.234","12","5.227","0","0.000","12","5.227","8","3.866","6","2.35","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","66a2e813f9095cffeaf362a268485559e78bdf9106ddd06206eb478ca0f810f9","0-95e5bc0dd096d2a078c7065b3a96298f02e643a32355a31ffa81f5dcbe67c5f5","0-5b205052a4fddf33d8db7ab6fecce72194bb158bfdc5ff33369be7d5c2b43674","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","18","19.26","0","0.986","12","25.979","16","10.745","0","0.000","16","10.745","22","12.97","22","12.38","22","12.59","13","8.36","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b4a0a1f5bffbc93a1b835110e4fd293de1a2d0177a43de726dcfaa581bb20cdc","0-dc68cd7943d7cbf1ebeb9ce04b137bd6af99ca0687008e5b3aaf4bc0d276b391","0-cdc1c305a16534c4be3633287f1525ab7bd1933c891f98d9e2b1710258b746e5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","0","0.000","0","0.000","1","22.239","1","23.4","2","45.639","1","29.337","1","32.542","1","12.741","1","26.404","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f9967fa42b57731954068ef520219961b9e7c3b2bb4bc4a87f98c5625c6ba5a0","0-8470d714182a401e7a9b8bcfab50154a4e380209fbc6230dbd3406a7e0db6937","0-a5d24a83eb74687a0bed1787c53039b705e599a07b67831cf360ba18a9e2e16e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","0","0.000","0","0.000","25","37.376","0","0.000","25","37.376","32","48.12","0","3.87","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7f95dd75bf2114bf4d2e64dc73bf59014a2f5703906050baadffa60e23e7eafd","0-b2fc8bef81b4862ed83feb50111c08ddbf68577ba365c7b65bbde25f2ed227df","0-5afc794bd2847e2405791fbb4d631f30efcab14ec2f9091024ee7860f611729a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","0.175","0","0.000","0","0.175","30","6.316","28","5.942","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7f95dd75bf2114bf4d2e64dc73bf59014a2f5703906050baadffa60e23e7eafd","0-a917ad7cceabddb247df5c95e35dc25be7d9b2b8d4580d986dd3954e687ba230","0-16736c3c7a1141bb293d5e65bd6e7568dbf6adb497fdf8e73d48930f202943a7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","6.882","0","3.042","0","3.841","0","6.012","0","0.000","0","6.012","0","3.088","0","1.639","0","3.429","0","4.219","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7f95dd75bf2114bf4d2e64dc73bf59014a2f5703906050baadffa60e23e7eafd","0-ced2c2c0bd1a73819c07031f82d99e91b6bbc3c0dbd93869e03cad2801a37b51","0-f35a3c1d11262ceb8cf415916e90d74fa4cefcd116ac832b369e601ff93064b2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","1","15.922","1","34.067","1","17.054","0","0.000","1","17.054","1","31.897","1","23.517","1","12.705","1","12.911","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","cba0cd297e6be791ef2bcfeb4e56f5ff9e6fbc950d55bc245b5871e2429867bd","0-7d5cb91a27895e6c4aecd867a03eed2812ee07a0c91dfbae4a846826a585a518","0-9ec394b1904d3048dfd18c54bccc4faf75fe59424a8f7d398a6c5798d0aac34e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","0","0.000","0","0.000","1","10.5","0","0.000","1","10.5","0","5.85","0","0.000","1","6.4","0","5.85","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7bcb6f6d45c43542b7f5ac6d84e9b8c61a05304670b11bf2fb4cbee320d2f60f","0-341609259f4dd063dc606eae1ca663588b72b8580e86d2b15bbf2da09159dd46","0-589ec0e1d87f51ca0f820fa34ab7c5b33d51c0bfc7bcfb56dcb09df9d0188e6c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","0.000","5","25.425","5","25.425","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-ae79684cec4b5163385841317740ac8db31fe76164d998af01946974ee0b15fe","0-919c698013ff53442420fab010f0c74b1d4febece71daf26c9bff600534e7243","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
