FiscalYear_val,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ItemNameSuffix_val,OCO_val,@PARENTROWID,@PARENT
"2014","AFMC/AAC","2014-08","2015-11","147","0.041","true","2014-01","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","fb847c5d73ff209ee22672c491cfdc55c0254d39afb27400c3e8a3828a2ae363","3-f70b14ce3ff003b56183a560b058a28f9f718470a680cc0c3cfa8692de9ce643","","","1-82c3f7fa41cd86f882f10db110911909b63d69d391d103360e5e6394ab5e5a92","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2015","AFMC/AAC","2015-08","2016-11","146","0.042","true","2015-01","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","fb847c5d73ff209ee22672c491cfdc55c0254d39afb27400c3e8a3828a2ae363","4-06e5bf2d7d791090eda2acc7409f4228b4cb58f050bf58b6cc5b8225aca00660","","","1-82c3f7fa41cd86f882f10db110911909b63d69d391d103360e5e6394ab5e5a92","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2016","AFMC/AAC","2016-08","2017-11","146","0.042","true","2016-01","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","fb847c5d73ff209ee22672c491cfdc55c0254d39afb27400c3e8a3828a2ae363","5-b5093dac982fca1c4e8a5b425f614da9037b03f4143e06b2de855efa456dcf43","","","1-82c3f7fa41cd86f882f10db110911909b63d69d391d103360e5e6394ab5e5a92","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2017","AFMC/AAC","2017-08","2018-11","145","0.043","true","2017-01","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","fb847c5d73ff209ee22672c491cfdc55c0254d39afb27400c3e8a3828a2ae363","6-8a06e4125f4fa40aae31c96de155062595e6945c23b8fbdee6f41beeca3e9f52","","","1-82c3f7fa41cd86f882f10db110911909b63d69d391d103360e5e6394ab5e5a92","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2012","AFMC/AAC","2012-12","2014-02","153","0.031","true","2012-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","05febd9fd223dc1f11a80359dde784d02467edaef9d2080887a2e6f8da7ed3c9","0-e365547ed615cc3036039d47623bed5b910f14c6c46c9a142dda37c647695e60","","","1-8639b242f2793e777dda4ec560c8962feb720c1e1e7766b2a7ac277ef7994bf7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2013","AFMC/AAC","2013-05","2014-07","123","0.040","true","2013-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","05febd9fd223dc1f11a80359dde784d02467edaef9d2080887a2e6f8da7ed3c9","1-d007ff0a5bb7d0cc4e6b086b3810a1c8cd02a248ad16bed586bde5ed30a14d48","","","1-8639b242f2793e777dda4ec560c8962feb720c1e1e7766b2a7ac277ef7994bf7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2014","AFMC/AAC","2014-05","2015-07","148","0.036","true","2014-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","05febd9fd223dc1f11a80359dde784d02467edaef9d2080887a2e6f8da7ed3c9","2-79c1f604c14e4ccfe9557f520cef144ea1dcbe5e8cbbdc45db38b929672dbb44","","","1-8639b242f2793e777dda4ec560c8962feb720c1e1e7766b2a7ac277ef7994bf7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2015","AFMC/AAC","2015-05","2016-07","150","0.037","true","2015-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","05febd9fd223dc1f11a80359dde784d02467edaef9d2080887a2e6f8da7ed3c9","3-67272d5fdf494bc19d77f96363564f8ff71039b912bb9ab71811b02c2f9c1a3e","","","1-8639b242f2793e777dda4ec560c8962feb720c1e1e7766b2a7ac277ef7994bf7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2016","AFMC/AAC","2016-05","2017-07","150","0.038","true","2016-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","05febd9fd223dc1f11a80359dde784d02467edaef9d2080887a2e6f8da7ed3c9","4-ea76b67207981eb026fc465e0a4a90ee44f96ee8bc3be8be6a38d1a536b5a493","","","1-8639b242f2793e777dda4ec560c8962feb720c1e1e7766b2a7ac277ef7994bf7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2017","AFMC/AAC","2017-05","2018-07","130","0.038","true","2017-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","05febd9fd223dc1f11a80359dde784d02467edaef9d2080887a2e6f8da7ed3c9","5-96d72b971854645a7038258c9e3b4a9f6cef242881aa80356363ee579ac1ab0d","","","1-8639b242f2793e777dda4ec560c8962feb720c1e1e7766b2a7ac277ef7994bf7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2018","AFMC/AAC","2018-05","2019-07","112","0.039","true","2018-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","05febd9fd223dc1f11a80359dde784d02467edaef9d2080887a2e6f8da7ed3c9","6-d7b1c5097d727c5de8eb61295e9d2884fed9fd677d8610a7632ab8a8af2006ce","","","1-8639b242f2793e777dda4ec560c8962feb720c1e1e7766b2a7ac277ef7994bf7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2012","AFMC/AAC","2012-12","2014-02","153","0.031","true","2012-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d3d63be9c5c5e719591bcda3447f416bb3b81071cb651f930686a4336f54c10b","0-4b62665efe2e56b2fd3984ecc0125ae0ff32b1e44f0beb50f9e837fcfe70911f","","","1-725865ded27a9aae78bedba638843ca866d2e4dfba85f776d9a405e8767d794a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2013","AFMC/AAC","2013-05","2014-07","123","0.040","true","2013-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d3d63be9c5c5e719591bcda3447f416bb3b81071cb651f930686a4336f54c10b","1-8d78c8485f6dcf2c127f606e8438db0e8f5785af6a649b3b71e424b4dd416bf2","","","1-725865ded27a9aae78bedba638843ca866d2e4dfba85f776d9a405e8767d794a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2014","AFMC/AAC","2014-05","2015-07","148","0.036","true","2014-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d3d63be9c5c5e719591bcda3447f416bb3b81071cb651f930686a4336f54c10b","2-7f70eb9788b0359e5ca5c4eebc482ac49fcb34de38fe5144be216e675bbe7940","","","1-725865ded27a9aae78bedba638843ca866d2e4dfba85f776d9a405e8767d794a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2015","AFMC/AAC","2015-05","2016-07","150","0.037","true","2015-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d3d63be9c5c5e719591bcda3447f416bb3b81071cb651f930686a4336f54c10b","3-b3993c6f5d2947dcdea47579c762318bec55e28591e938b26b3b70898308a13a","","","1-725865ded27a9aae78bedba638843ca866d2e4dfba85f776d9a405e8767d794a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2016","AFMC/AAC","2016-05","2017-07","150","0.038","true","2016-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d3d63be9c5c5e719591bcda3447f416bb3b81071cb651f930686a4336f54c10b","4-da92e2fffb26eeeb41ccd5e2619c8191a96602db086ce2ddc80b0a97275b188f","","","1-725865ded27a9aae78bedba638843ca866d2e4dfba85f776d9a405e8767d794a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2017","AFMC/AAC","2017-05","2018-07","130","0.038","true","2017-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d3d63be9c5c5e719591bcda3447f416bb3b81071cb651f930686a4336f54c10b","5-892fb1d84a6cd925affc86df2afeeef322f23bcf18f0fcde459798a644927ae6","","","1-725865ded27a9aae78bedba638843ca866d2e4dfba85f776d9a405e8767d794a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2018","AFMC/AAC","2018-05","2019-07","112","0.039","true","2018-01","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d3d63be9c5c5e719591bcda3447f416bb3b81071cb651f930686a4336f54c10b","6-4d597ddc53c2187c69bc63c5ebc78a50ced2131ed5bc47cc19f846c368f115ea","","","1-725865ded27a9aae78bedba638843ca866d2e4dfba85f776d9a405e8767d794a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2012","AFMC/AAC","2012-12","2014-02","153","0.031","true","2012-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","b5d40cd233de64231545e67fe364fbbc249db0c95ca4e5837fddfdfe82c10532","0-b8872d958dd6003cc32e88685ddfbb21101547af82895a95edc7c9bfcb302c4c","","","1-9e2bd6abde7424ac08be0a9804333d9ffebc8b898b94179333aec53a0869e3bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2013","AFMC/AAC","2013-05","2014-07","123","0.040","true","2013-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","b5d40cd233de64231545e67fe364fbbc249db0c95ca4e5837fddfdfe82c10532","1-04b8ab7feaa50462541ea9d95d7bcc9e337e0f178aceff78a83237ad0ce65672","","","1-9e2bd6abde7424ac08be0a9804333d9ffebc8b898b94179333aec53a0869e3bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2014","AFMC/AAC","2014-05","2015-07","148","0.036","true","2014-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","b5d40cd233de64231545e67fe364fbbc249db0c95ca4e5837fddfdfe82c10532","2-33f1dfbf2f32f108a9f123a674ee9868b9c97817e54131a8c9c553b003f3fc58","","","1-9e2bd6abde7424ac08be0a9804333d9ffebc8b898b94179333aec53a0869e3bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2015","AFMC/AAC","2015-05","2016-07","150","0.037","true","2015-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","b5d40cd233de64231545e67fe364fbbc249db0c95ca4e5837fddfdfe82c10532","3-84a07ba6e9ee97997d850ce27ca5a9d9d378d86384d6ae2cc930be8596778c9f","","","1-9e2bd6abde7424ac08be0a9804333d9ffebc8b898b94179333aec53a0869e3bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2016","AFMC/AAC","2016-05","2017-07","150","0.038","true","2016-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","b5d40cd233de64231545e67fe364fbbc249db0c95ca4e5837fddfdfe82c10532","4-ebdd2c27560edd7de7f7d75428c627335009e061e784f893589049ee3069e2a3","","","1-9e2bd6abde7424ac08be0a9804333d9ffebc8b898b94179333aec53a0869e3bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2017","AFMC/AAC","2017-05","2018-07","130","0.038","true","2017-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","b5d40cd233de64231545e67fe364fbbc249db0c95ca4e5837fddfdfe82c10532","5-94496b3cca5fc774f027a03b530850acd50fad17c7e9fc24df05e46bbc2c4448","","","1-9e2bd6abde7424ac08be0a9804333d9ffebc8b898b94179333aec53a0869e3bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2018","AFMC/AAC","2018-05","2019-07","112","0.039","true","2018-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","b5d40cd233de64231545e67fe364fbbc249db0c95ca4e5837fddfdfe82c10532","6-783fc9f0fcf7bb6e765b7a248873859a0c313a09e8684d915e51760e02867d8b","","","1-9e2bd6abde7424ac08be0a9804333d9ffebc8b898b94179333aec53a0869e3bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2012","AFMC/AAC","2012-12","2014-02","153","0.031","true","2012-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.xml","7d938e4bebe0116d387e87da841f248e2a796a3e07f06980627bf00afbe6b4f4","0-21da41d67194ac0375641222013ebe65e36876ec5ebe1cba289abd9dbf11a366","","","1-4d16e81f5c3caec77a7a04b2f4a20caa6da50ef9109d2edc220dcbbc230d76bc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2013","AFMC/AAC","2013-05","2014-07","123","0.040","true","2013-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.xml","7d938e4bebe0116d387e87da841f248e2a796a3e07f06980627bf00afbe6b4f4","1-e24bd9d6af734dce8c34171030049d2096784c2ef36ea6aa2d82878f8b3e1409","","","1-4d16e81f5c3caec77a7a04b2f4a20caa6da50ef9109d2edc220dcbbc230d76bc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2014","AFMC/AAC","2014-05","2015-07","148","0.036","true","2014-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.xml","7d938e4bebe0116d387e87da841f248e2a796a3e07f06980627bf00afbe6b4f4","2-e8072a4f2456ff64572b94f9fb0435207a34faa765b7b327c5c18a9186c3b42e","","","1-4d16e81f5c3caec77a7a04b2f4a20caa6da50ef9109d2edc220dcbbc230d76bc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2015","AFMC/AAC","2015-05","2016-07","150","0.037","true","2015-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.xml","7d938e4bebe0116d387e87da841f248e2a796a3e07f06980627bf00afbe6b4f4","3-60d974243b48ff2af56c4a1b2f2316d1bd9f0d51e3abe80aee48e2cb92a56be3","","","1-4d16e81f5c3caec77a7a04b2f4a20caa6da50ef9109d2edc220dcbbc230d76bc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2016","AFMC/AAC","2016-05","2017-07","150","0.038","true","2016-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.xml","7d938e4bebe0116d387e87da841f248e2a796a3e07f06980627bf00afbe6b4f4","4-bf3202d7c79af722548e398f82b91bb64c09f88ecbe906a93de8231a0aa3c3aa","","","1-4d16e81f5c3caec77a7a04b2f4a20caa6da50ef9109d2edc220dcbbc230d76bc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
