BudgetActivityNumber_val,BudgetActivityTitle_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"4","Spares and Repair Parts","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","a707703519deee903435936fca6529a54a2ed01c6b8a2a8de629932260578d8d","0-74b4bf5787a1499bd783cfe3b6388b460614ae5a56d64e93206554d72176e815","953-06971fbff45e436cc15c5778a6c23e2c5f3ffd1309e56bf8ed48eb6f906148f9","root"
"5","Spares and Repair Parts","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","5e4c25d95b3247c6048a17859246224ace4a4ed693f3228088a7b4d5554046af","0-6cf0772e6b10801b9800ad6a4e2d3750974fe22dfc7880ed3f62993f55422a0b","1032-3185ac47977b0ea8cc8ee071616f524d0d0e350b39517a9daffd430281376fcb","root"
"5","Spares and Repair Parts","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","508c84480cbe2f4461ca5814beff89e4bbd88362e4b3a7c00721d0d17c439570","0-723d6b3bd76b8830939d46e961caf64db1f863e5621da0793ad60a5aeeff2e31","1096-a8b056edfe80bb460c55df90a8fea08d87ec1d247bf9f23ff8bf04c8d92dba8e","root"
"1","Major Equipment","2014-BASE_PROCUREMENT-2014-DEFENSE_MDA-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2014.xml","1801d4ed55900c03aacc94e5cc47ccd5dd57502adbf758d5456f5080916e16d1","0-a27857086fe420e4818473ae3660166b3e16b0cef009c631a3de5b0c0e456e75","1548-b4d49724464400b9eaa14c18beb0335e2b27ceec247db0cd7db66ddbaa06f1d2","root"
"1","Major Equipment","2014-BASE_PROCUREMENT-2014-DEFENSE_MDA-PROCUREMENT_MasterJustificationBook_Missile_Defense_Agency_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Missile_Defense_Agency_PB_2014.xml","50132cb03e2e3e1fc52f7f851c3e1e432e42f1d1aaa60ec58f7d0edc772e6396","0-33c349f1314e58de0ed44199158cb6eb7d3cfdff48a2fcdf2375d30b3487e624","1554-b5c5978b523a29ee0c337b4f90cd2e16bb6b717c9274d79555a5aec0563062a4","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","4d9563a6f4db18b49940987483479cc6e587c2b095912f51f1d662f9b6bde98b","0-14f13129d08781dddb2eb39924f00f2d39b18c4481ee0b3d2e0ece2e0dc396ba","1599-f9d7570d4b10b75ab64dbb034667efc7c9f93197941084beb4df665d169275f6","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","a7ccf93c2e25a53503f65eec81d4a1a720b5abd058b0b7a195a48335f69975e6","0-080d11417d628a5e96822609a094d3926508ecb69bac2dc59e49f11b0cd520f6","1602-0bc306b369cb712232fb905b31b66f8606469777e93a5f99dd3b19d46460c9ec","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","54525ae432ad2744302e15a68a1c6b7a7c959e3c8e9d203fb3c2da385f734d8d","0-6f97ee7928b050dc9d991f7a4423ff1dda0e77dba8f36fd95791bd50c1bdc1ee","1605-1928d0ed936dce5ec0dc87b597a7c734aaf3190e853ad8fe68d306b6c0cd37b4","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","f60b26fe1d82fdc05308026473cee664de0faf8a6b1dbd1a75b120a08d4923c3","0-2f5726af4533d82174a34b623657515a8493d844f6b2f41c3925bcf3fae7e262","1610-2b8365684bfa16f2e645a6bc717bd469013989e3586deabfa32f7ada8ade7892","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","407c33363f5ca8d5b3acd9ee58d17d9c7ac0e16b70048b0eb64f72773860159c","0-7c54d5f37923c0a6e90562b0154290c0eaf926d49ee334a13b66fb1b7e32e5de","1612-485ae7a0ce920a9c19bbba46b49acf4c48371c11783f5d078be1f2ebb87281c5","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","5714ffa0a71ffa24758a53f3eab4ed8bc4aab89c86544ad5cabb939fac873d47","0-e8a1f06e1caeb640f587b9494b9826939f63f60c72d78219f06aa8a09d3d9352","1613-a6baef8c698e7418263ae35be0db4a5a55b30f899defab20fd996955cf464603","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","f9428a24db47c6d11c45c921436458abc7f6581c5c8b34525ecdf7408dc882d5","0-0f574536ec69de5c859357b0bc466dc94fe879ac5a0ef2c0d47b7ec2be348ec8","1616-4b42234e5bacfb01c1e2b390bc8d24149828d0d340db4372865384a23c8ca504","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","46549ae94d0ce5c599b7e8acbbd9f1777c3c76b7cebcf5b6c42487c52f8525f8","0-a28d494b002a96f4152c0c49f8e2f97c7847f858d037db2fc0b5daa6e158c434","1617-673905ec4e435ea3c47f596923dc529492a1cb5c8a0b69b2317b958d01ad78e3","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","bcf5e18f91d86235ed364b6034dc3890afa485c3ebe275ed6ecc28a63662e72e","0-f092388fb28fdf485214c58e00f0c21a2edfecf4239303d3930ebb46aa536b8a","1618-0e8aac10555b88460098cea89c56f58d1cbf841af9311c5365e0f5002c20adbc","root"
"1","Major Equipment","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","b2843f20209ce48f046f7c26c235b6323af4e336f0c6de8d8b62128a77ef7d6a","0-cbdc774070f8d11cd130d0e3d4901b02d6b704872f62e4c9bd0732d9147cbe97","1621-080dbe40fc3388fd00f6f6aa85ad1714c3c48d923dbfa49b5f40c79c7bc42e64","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","472946b9e4094164996596f694e79fb838ff11964b5b3e93b3423c77edf1c765","0-120f92f090305217fe8f521bcbbf337a3af9e1adfac2100c751944adf55ce001","1623-b15446da270d6b5492bb6e68488326334896767381987ffa55311234a0fbee0f","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","ea71b886a575643f40898d2d10178c2ead564580f8dc8bffd4818b83e96687ab","0-96cbed88b37655b248ae455c462a67f53ec2d8c6e0cfbf7c458e5b48c7ebb20f","1638-e4fe82b34496860cf65d8555e0e8fdb42dabc587dc0a7964582c64831362170e","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","523dadd1253cfed25f9385da89e54049aeb6add3c0e2aba30ae3f9304f8e759a","0-10daa531a88cfa78533ad9a5b15e8e7b3f27df52870504598c2900838a6d1219","1642-09b592e83ef5628b617f296b229c8108349e8b3748f04467424b410ad17a5d8c","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","5726049ddb78b1639286be0c8156c9f63cf2a634fd8c6a70c71ccd182d5a09dd","0-30e874964eec30e86306208cdfc46bec0f4b40399f1801cefc9ae45dfdff677b","1645-2aa80e6cd2500f3192bde878b049d19080ee7e92641c65a37cccac50aefd7ddb","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","10356f3ddadccf39d730797b5cebdc46c57508d4eedae8fa8fa11097392e2528","0-2e67346be1f27f5ffecb273440fc67b364fb63c4a44ed01d66012492bfe2c5e6","1648-47af3ab5f68f70ea03acd628692777646684247a45f6fbee8b9b0c9af66614b9","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","d4abd258056394d15105821bc395719f849806319d8ed52e1551109c60e6706c","0-aca07173b3e648778e8cc9b7bdfa955390fc565fe9a467ef9dc4060d2e04f3f9","1653-cd6967a3861a945c70bf3a04e67a959d2bb6eca0b45ee7fc5e998cced4b6e917","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","07abd8a5a7342ae91dd57ba2f131f23187ff6308f7a024b2eeb2211000085fb9","0-d9c0f5006cca7de43ec69f9a88ec43b16d5343fae78d191353793e4773514848","1655-aea169d85035adbca7b622d2c4d31a9e04d4f4ab2f7e1a682dd0096bcb8fd539","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","a28df6d5ba901f6911087217cf1d39f1110b8b6df834358426b624cae0bd425a","0-27fe30490c38a332e3b3e053405c31eb99db66057c13a17635203339f2febdb7","1656-36a1c6cc58f5cf944f75a38837e5e0b27366dd648f987bbfb16b9052c5dba38f","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","0b6e61d912d6774df47980f22ac938430ef925f237cb15fba91d457ea496c3a2","0-9d14f290ef519b7baa305d3f6b7016fd9aa5838d12f896964ad4b8929be81c4d","1659-0ebff40d61ac7142a44820cd63c1470daf6cb5d7ecbff262ce390044cb4d3ac2","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","779aaed287f60f063a89c559b6a17836efadae57637a7db494cef34f8012aea4","0-f0c03238965da3ea2f86ad8f4ce23eeda5123582a45b180a33c58de02adc7f04","1660-f2a0f86e6a39ff0fa5025e3b9e6f6d86970073e4e756ac16e814b98f39b00fb8","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","d3a428b442dd1ad17551951bef1c3b7915035f593972878b02194d40a03d1608","0-9c7370503cc61748047c0a69b7d3ce360e42a6511af654be708aba2150d02456","1661-a5bc8a73afe74853b3530fa370f06b0a21b7e7ad7a46d3f225e8597e72391c4a","root"
"1","Major Equipment","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","693168e4e777d60b975353795b37b6c1744a94e09c76b0d79cd3f47080be282e","0-bcedcdfd36ba7698d0deb317c95b1c619045169c397821878cae819b4d682e75","1664-0808ed49367becb4717053ba1a552d0150018b865d5cabd5cf439e7391348482","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","41958d40f7fb814555e75b040bfd9dc8fe67b96e209589ebfcd4787488508602","0-e842e79dea9069b268df1391e95cf37fd60c051782aa3fbb77de10ddf7ea3d4f","1666-bede876451ff4c342d6322fc4a6a61b860b1afc8a188960e904133bd301ddc5b","root"
"2","Special Operations Command","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","7b2404436ee43efdb3f639887d0eb5c56ec6b91940df32156512dfffda4c85c0","0-3f22d817eb12a685ed6d550b6b918644ad5df8757bf6b29fea8f6e6324a0e42b","1681-5d35b024fe7ee697ef76840fad17f70f96c697e96c861b5df52eb04cf798c167","root"
"2","Special Operations Command","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PBAmended_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PBAmended_2014.xml","cb0c3c21b56849aea26da346285c5f5fa503d14fdfffa1e0bb5d5ccf89017792","0-177078376770bff3a74941656689f66c5e76b1f2e7c9a23e83096a46ecbfb6d7","1685-57492ea3ae87bb8455b9f4cb473af2b6d7e4670e9ae7b7ac392095d9ab4b17c1","root"
"2","Special Operations Command","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-SOCOM-PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PBAmended_2014.xml","e53624d722e03403200b7982a30d944e7485ca1f90eb68af5d5222cfad9b823e","0-316bac7ea939bc974c13137b0ff64382ec42c8d8f1318cefe0cca9c7c9c97609","1689-cf1ab9ce58c1e3775f94023707edc9377cfda1900b943ea3fa4ad1b339469dc3","root"
"2","Special Operations Command","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-DEFENSE_MASTER_JBOOK-PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2014.xml","1cdb63021960cc811d50db11cbc61ee5f4168315e2e4ee7c9c28ea333a6c340d","0-800b90105e073156e8037602a484e3ffd358374e9fd237ae52637dc253422d98","1693-01257d758751c879deebc64b64901f7c9d16fe93ccbb7683c5a8dbbd4ebfb0db","root"
"6","Aircraft Spares and Repair Parts","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","8efba7806f0145634889c09b42ccb5d3149341faf84243f792ec8a13bc08f73e","0-8d48b02a56253dfd4394ba47d10cfc810d33325863debb3ded1a54b620bf011c","1703-62c213f6a6876d940a36fe6c25e2a0ebed54f72006b0d034124f62cd4776948d","root"
"6","Aircraft Spares and Repair Parts","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","1783-0606e155b24ce51574615b4709553b6fdb3c1b79306f1d6a75b1abb0fc90037f","root"
"4","Spares and Repair Parts","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a55daf9ca8f93eeb4cc4385931880ac099c7ed6339ea7a8c4c5a57679670d46c","0-3f55d31882cb957b44744812e09b4f4559b00b5a8a7ec6814a306109cde376dd","1889-8e81d9f0cbf336170e6647264288b70256cd1a4622f4ccc59b240f52c53e2dfd","root"
"4","Spares and Repair Parts","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","adbf863e5fc0d05bb6aa686df93f86b1ca4336ca1a653ae071d1d24f57875cad","0-b20ec596cf5fc1c970a3d818715c2c906b3a04d5f2232deee08304a5057731db","1912-e9e4d055a8d5a32c2a49ab8c851cb857bebdb747756c6dbe59d95e77f67c5eb4","root"
"5","Spares and Repair Parts","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","7d124413696f6763cfd357dfa8714c4be34c9ba5bd83bdcdb64ebbc5c7ead43d","0-c5aa2e4444639cf964477a85092c27dd857e67f264a83ca2fb6376d9dcf06b6a","1993-ddc51ea0987b892367e348f3c03fb45a5dc84ea3880e7a797ed43bd45664cf58","root"
"5","Spares and Repair Parts","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","dd26961b3b3061c6db1b849a4a4a763331f9272329c06f2a9280880e91fa7088","0-1f07a733fd64d4c73e76ea1bed014f96926becc89d92ac5b54ce70176298bd40","2060-7357a30f75bb0a4eb7f7804766ca528841932c04741cc589e8df0d6d2c3cb9c0","root"
"6","Aircraft Spares and Repair Parts","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","4797a5a13f82d5966cbb0ba3db31ac52cdc4473ed2a31c176433919c6ff5630f","0-48d756dca10c725c1cda5bc1f587856e76b9b3279fae1623dfb6a075ec7d9356","2072-38735ff715dd2255588338b270c2a3fe4b45a1381f6818c7d519f791f90ada18","root"
"6","Aircraft Spares and Repair Parts","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","e3af3d39e2f97b50bcd040e599cc1099d876fd9ef4d1e14ad4c4f0e77eb8df95","0-d8e4a73f299faa952a92a5d119c2d07695ed8fe2b1d7a5810a22fded26ab05b3","2081-47acd2ec8bf3f169b4c8a472216fa9721399f2ec90b2511676293e03395103aa","root"
"1","Major Equipment","2015-BASE_PROCUREMENT-2015-DEFENSE_MDA-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2015.xml","5fbbb8ff8ee34d52be48b82d6e30de6cb2c88d3b4d9c2d234d68f3f61917a836","0-266f54915ff8890f4f14741c734cc7f0fb2bd3e237d2c43e888a03525b2a6228","2542-21c340ebab04e04d06a547723cfc1bb6d676fce1c0e24f8000b4b4e005e03d7d","root"
"1","Major Equipment","2015-BASE_PROCUREMENT-2015-DEFENSE_MDA-PROCUREMENT_MasterJustificationBook_Missile_Defense_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Missile_Defense_Agency_PB_2015.xml","4a9fe0fe747f87ec76dcb4a40962b7c7967e17bffb3e0d6b61b638e9de2d1cc2","0-142a2f5592ef589511b68fe563c05a1006f97f02794fcb533382d7727dd3332a","2548-f94684135fbb08f30027dbf09c34b5468b488d18fe1dff1ae7db3b1a868ed023","root"
"6","Aircraft Spares and Repair Parts","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","054afab1ed979ec58059fbd77517f21c8b2f4cdafac4a7ca63e45732de31d090","0-841343741f6e42a3854148ea50974c7dd37318bb0482c6885a85e36cf8401493","2875-77e431a5295c713fe1f86fde89b24b8fa454fd634ef71cd172836de5ba13c528","root"
