FiscalYear_val,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,RevisionsAvailableDate_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule,RFPIssueDate_val,FundingVehicle_val,OCO_val,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery_Month_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery_Amount_val,@PARENTROWID,@PARENT
"2013","DISA","2013-02","2013-04","1","0.054","true","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","0ebdd01386ed24e94162dd363b0a6571f083674aa63f366d222460a4d79eac42","0-b4b384a6b892ad5f4656118412965808fd362424ab1bd1bcf816b7fe3ccc5332","","","","","","","","MIPR","","","","","0-60197b3fe60230dcd0f7d79f5d22bf34636ef9ab6dd800507c1cc115c19ad650","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","DISA","2013-06","2013-08","1","0.899","true","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","0ebdd01386ed24e94162dd363b0a6571f083674aa63f366d222460a4d79eac42","0-198cb727ecf7d00343264cb8439e0773ef4e7f5650abe9d0b8deed19f7baaf73","","","","","","","","MIPR","","","","","0-fc3968719f4ba995241cedb64c45f52704ac9009bde459bb2e7f0aa098f7ca1e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","DISA","2013-03","2013-06","1","0.509","true","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","0ebdd01386ed24e94162dd363b0a6571f083674aa63f366d222460a4d79eac42","0-d61a50190d7d5b38c7eb57a56ebd0c7118a3b7b862da932d4944d1eafe51d87d","","","","","","","","MIPR","","","","","0-6b4e2b3ebfb4f8fa8bfb6facd2e357b89177947f89aad9f20925084c475930ac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","DISA","2012-03","2012-06","1","0.155","true","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","0ebdd01386ed24e94162dd363b0a6571f083674aa63f366d222460a4d79eac42","1-9ac6bdd079c1ae157e76cb2c81caebd97001617d1118a8a5a58eeea23e8a4bf2","","","","","","","","MIPR","","","","","0-6b4e2b3ebfb4f8fa8bfb6facd2e357b89177947f89aad9f20925084c475930ac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","Navy/Army","2013-01","2013-05","1","0.258","false","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","9b1519baeb79c62bd964bae6ba13ec7399e4f1359fb60a91ed6bebd6e8934f4d","0-e49086edae6b95e56997797e5c40a48eb72b871e9193a6047fb2f4dedc5e0085","","","","","","","","IA","","","","","0-7ac3794774874602a2433846217ad83b54e17ca66849e01cc1a5d1d35d976e34","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","Navy/Army","2013-01","2014-05","1","0.258","true","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","9b1519baeb79c62bd964bae6ba13ec7399e4f1359fb60a91ed6bebd6e8934f4d","1-c169a3fdfe8dca4d8370b9e879f1959e447eada70579f475d9d6bdfc203c1810","","","","","","","","IA","","","","","0-7ac3794774874602a2433846217ad83b54e17ca66849e01cc1a5d1d35d976e34","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","Navy/Army","2013-01","2013-05","1","0.258","false","","","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2014.xml","7199ae9745cc675ebc4feb35c7260faf4a2c1245c21bf1a7e92f30ffa53e2dfe","0-f59bc72ebce3595821cf58bb3971328b8f1f6e35c03e3ebaad3503440a2cdca9","","","","","","","","IA","","","","","0-d727d23042276c4e9e1066482065740e383efbc388b8a8851ae185b86f53adf2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","Navy/Army","2013-01","2014-05","1","0.258","true","","","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2014.xml","7199ae9745cc675ebc4feb35c7260faf4a2c1245c21bf1a7e92f30ffa53e2dfe","1-0193af2b1896ba78a7e21ebbe3af7c7ad0f0a15d13b27e5b56c707d25f86c2ef","","","","","","","","IA","","","","","0-d727d23042276c4e9e1066482065740e383efbc388b8a8851ae185b86f53adf2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","Navy/Army","2013-01","2013-05","1","0.258","false","","","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2014.xml","25893d3c638b4c3409bb25cce6095af8d35e4991e21be039080e1bbc54036464","0-62c448fff93a80fa796572222df547d3abda79f33f967dd8157042f06217deed","","","","","","","","IA","","","","","0-2c5d708d104ffb1fb43b436276183165ac3eb5961581dec8e1bb11c6b24a7a95","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","Navy/Army","2013-01","2014-05","1","0.258","true","","","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2014.xml","25893d3c638b4c3409bb25cce6095af8d35e4991e21be039080e1bbc54036464","1-48ebb347a034e26a4c9a02794320decac1a824fd42b449fd13110a8f25b66e3e","","","","","","","","IA","","","","","0-2c5d708d104ffb1fb43b436276183165ac3eb5961581dec8e1bb11c6b24a7a95","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","Navy/Army","2013-01","2013-05","1","0.258","false","","","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-DEFENSE_MASTER_JBOOK-PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2014.xml","abee4c2c3678f5d15c0884f0faa8fa5235de42c33728bc140cba480579d0ff21","0-4d0c2132754979c101ab25bb4554fe240dcca31206703dd40912044eeb611587","","","","","","","","IA","","","","","0-d64381e7b0ed6510a82eadd9793a1e4828c5da3974818be69c8db9648422a198","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","Navy/Army","2013-01","2014-05","1","0.258","true","","","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-DEFENSE_MASTER_JBOOK-PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2014.xml","abee4c2c3678f5d15c0884f0faa8fa5235de42c33728bc140cba480579d0ff21","1-9ee06e00a0260b2ca2968ca3ba5b591ae56c79264c03069d7d8a3a3101933137","","","","","","","","IA","","","","","0-d64381e7b0ed6510a82eadd9793a1e4828c5da3974818be69c8db9648422a198","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
