ServiceAgencyName_val,ProcQuantity_val,AcceptedBeforeOct1_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force","2869","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","1-250e47ad81c705105ca74e80f544e5b6c4cee8678b60df117220c2694faddbd2","0-4a6dcca89ae49d1c2f6836624efb99c1df84a223ec0711b826a5041a5674c9f9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Marine Corps","356","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","2-228d645036565fcb0203ef9714b17cdfbb68d47d0d50183c7bbb45c8864ddeb5","0-4a6dcca89ae49d1c2f6836624efb99c1df84a223ec0711b826a5041a5674c9f9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Navy","254","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","3-a89504f89ff1999d1d3099de26a81f19873c6c17589694b6bfdf94875eca38b0","0-4a6dcca89ae49d1c2f6836624efb99c1df84a223ec0711b826a5041a5674c9f9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Army","1995","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","0-980ef876ab01e9b8d55dc4bc82647ee63ad0bc048bd031149bffe1236c7b413d","0-25e5fc3c6e4c6bea404d1c8b0e167e7b47785ed2f516bcfcbb6e7ffbdd89e495","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Marine Corps","1340","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","1-345a5311c775fc3503dabf97569af7ca2f64203d08238e0044f3c06c0270a709","0-25e5fc3c6e4c6bea404d1c8b0e167e7b47785ed2f516bcfcbb6e7ffbdd89e495","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Navy","665","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","2-10b99a58c43bc23cb0cade4175ca311b209e575d75561e78d632675780b18860","0-25e5fc3c6e4c6bea404d1c8b0e167e7b47785ed2f516bcfcbb6e7ffbdd89e495","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Army","2495","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","0-6c5d60e0868199008b36472beadd6e6a6d95d98c27781efbe9edafb58dbf90ad","1-6d80e2f34534f3c781d411b82431716e099061eaab19e81ec1ad873eebcda2f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Marine Corps","1680","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","1-cea9bdf8032e7db7e55b0ad8b641861a010fd2119a7628c75364223426bbf31e","1-6d80e2f34534f3c781d411b82431716e099061eaab19e81ec1ad873eebcda2f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Navy","825","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","2-24d398733f65cb60156c6f5fa696d492fccead724999b7275dd564cfea14b197","1-6d80e2f34534f3c781d411b82431716e099061eaab19e81ec1ad873eebcda2f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Army","2495","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","0-13c3adf3e37a79f15c4619b3355349db3690f7833679861d0adf836054113905","2-190492df93d5b5c37859fcbc8bfbe213e668a30a8eabcb155fa4911f028a1e6b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Marine Corps","1680","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","1-eb7dca5890f878ba93b3c442a807b7d894d180eaa234a9d00e09057bf356d9f3","2-190492df93d5b5c37859fcbc8bfbe213e668a30a8eabcb155fa4911f028a1e6b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Navy","825","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","2-556a27b167eeb5a8c5d122dff4da3f49fbe32d5cbecba57e88bb836b38aaa0b8","2-190492df93d5b5c37859fcbc8bfbe213e668a30a8eabcb155fa4911f028a1e6b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Army","3485","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","0-b719c777baaa0a782a633a30351d5ac115ceb1e23e9d1972fc7ec252889891e6","0-14a2206394617ac273e15cf0243c928ac4d0de089f081f5fbd243993423b03f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","2869","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","1-920c7a0e000b13e72e991ec29cc9a7c471b0f5784b6ccf257000978cfd521a52","0-14a2206394617ac273e15cf0243c928ac4d0de089f081f5fbd243993423b03f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Marine Corps","356","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","2-db21303de4ab1bde7b69aaf55682901adecabeb9bcd6c30788df2f46b3bd0a44","0-14a2206394617ac273e15cf0243c928ac4d0de089f081f5fbd243993423b03f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Navy","254","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","3-4ff434825c4b74a51ab191bd2a76bc481f41a551d1cde08c8d7c4819b4f60f81","0-14a2206394617ac273e15cf0243c928ac4d0de089f081f5fbd243993423b03f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
