FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2014","","WPAFB, OH","2014-03","2017-02","4","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","0-3dad2d6455e4481f09b44dfc057c0fc889df695a0916498cde348dd6547076c7","0-0c5d5054ebcf34cf42b5cf20ddef61e07a1e5ce9975f4f5d799e059bba94651b","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","WPAFB, OH","2015-03","2018-04","5","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","1-7f9e2049f5164849401a33b0d3227cda207bedb3e0cd1c98d06dfff59b15bed4","0-0c5d5054ebcf34cf42b5cf20ddef61e07a1e5ce9975f4f5d799e059bba94651b","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","WPAFB, OH","2016-03","2019-04","3","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","2-0d4efc6fda50824cf7e7f0e1b46a2de210afc95ad38cb497e788287f809597e3","0-0c5d5054ebcf34cf42b5cf20ddef61e07a1e5ce9975f4f5d799e059bba94651b","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2018","","WPAFB, OH","2018-03","2020-05","1","2.000","true","2017-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","3-bade234ab3eac56d839dc4e6085dfbda0c62e1947a19971be73ca57b3d2a7649","0-0c5d5054ebcf34cf42b5cf20ddef61e07a1e5ce9975f4f5d799e059bba94651b","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2014","","WPAFB, OH","2014-03","2016-12","2","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","0-f49f02020686a1d1bd5f5344e24d3c9b15445662d555439a3d291dcebf987ab8","0-6ff8bd7bd22782a87a4d43edc772212ab406ad5c9e5d5305c050e12b59a108f0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","WPAFB, OH","2015-03","2017-11","8","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","1-8859df4b78b70c6bde221164b6762a3d17d7071b077f650bfde6b863b50f9a5e","0-6ff8bd7bd22782a87a4d43edc772212ab406ad5c9e5d5305c050e12b59a108f0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","WPAFB, OH","2016-03","2019-03","9","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","2-5b8c22bf125701a8622843dcae63f08967b512615b8f340008a2e8cec2a9d7d2","0-6ff8bd7bd22782a87a4d43edc772212ab406ad5c9e5d5305c050e12b59a108f0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","WPAFB, OH","2017-03","2019-12","5","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","3-e33c2402dc55b526ee0d149af75b09e4b6b0acab01729b9b4b8177c0fae53c25","0-6ff8bd7bd22782a87a4d43edc772212ab406ad5c9e5d5305c050e12b59a108f0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2010","","NAVAIR","2010-05","2012-12","22","2.777","true","2009-01","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a90a3faa8661f0958a0901808890d67093da1edc0728f26e9236e37ed3b54059","0-f32a6183f61299de57ef6707565f11fa9a0a3e837327422e4ec38449f98ab261","0-b990b5324997d7d539aa600126eca55037d6c106640f4846e45212623a020ba8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2011","","NAVAIR","2012-01","2013-11","18","3.060","true","2010-06","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a90a3faa8661f0958a0901808890d67093da1edc0728f26e9236e37ed3b54059","1-48a6a5b4d5c72fcab8b18dc60418c8612bbc85bb59af19def8a1c3f2dc0329b4","0-b990b5324997d7d539aa600126eca55037d6c106640f4846e45212623a020ba8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2012","","NAVAIR","2012-09","2014-07","19","2.651","true","2012-06","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a90a3faa8661f0958a0901808890d67093da1edc0728f26e9236e37ed3b54059","2-876c7aeb867780df00d114be1f27c1353cd506279bc39893db0d32815432be21","0-b990b5324997d7d539aa600126eca55037d6c106640f4846e45212623a020ba8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2013","","NAVAIR","2013-08","2015-05","19","3.396","true","2013-03","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a90a3faa8661f0958a0901808890d67093da1edc0728f26e9236e37ed3b54059","3-407ae83435d613e92d3ae99ce2505b63b55efb87e7bc16cda09d07ba12fa8d13","0-b990b5324997d7d539aa600126eca55037d6c106640f4846e45212623a020ba8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2014","","NAVAIR","2014-03","2016-05","26","3.811","true","2014-03","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a90a3faa8661f0958a0901808890d67093da1edc0728f26e9236e37ed3b54059","4-e9556f7992a24f1d90f40359de21b00df70c4226874f23a72e84f9be7808ecac","0-b990b5324997d7d539aa600126eca55037d6c106640f4846e45212623a020ba8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","NAVAIR","2015-03","2017-01","44","1.459","true","2015-03","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a90a3faa8661f0958a0901808890d67093da1edc0728f26e9236e37ed3b54059","5-34f29b49a145bab8877a055896ee56f73c93acbb4faacc2435f3482a8f8a37fd","0-b990b5324997d7d539aa600126eca55037d6c106640f4846e45212623a020ba8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2013","Reference footnote (1)","WPAFB, OH","2013-06","2016-01","6","2.000","true","2012-10","SS","Various","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8e9b86220f90ce455a14b686aeeb045957500e61279471fc35c4187b1270e5ed","0-495b65d87c0a8d6d36d11e344a9c74ca7111f848e4e18834d14a88c87b993524","0-15d2ed1d4ed0119c4922214a226ed08e79b1877d909fbe74f4df85ca6bd45757","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2014","","WPAFB, OH","2014-03","2017-01","7","2.000","true","2012-10","SS","Various","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8e9b86220f90ce455a14b686aeeb045957500e61279471fc35c4187b1270e5ed","1-b8cec212fe40876e7b97e1bfd70dea687dea02933b69121f1dea0ae736ea89fd","0-15d2ed1d4ed0119c4922214a226ed08e79b1877d909fbe74f4df85ca6bd45757","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","WPAFB, OH","2015-03","2017-08","14","2.000","true","2012-10","SS","Various","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8e9b86220f90ce455a14b686aeeb045957500e61279471fc35c4187b1270e5ed","2-a9db03b7e768a15723ea0877fe71a12b58a30e4b2d9af7bdd3edba8ac254ecc6","0-15d2ed1d4ed0119c4922214a226ed08e79b1877d909fbe74f4df85ca6bd45757","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","WPAFB, OH","2016-03","2018-12","2","2.000","true","2012-10","SS","Various","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8e9b86220f90ce455a14b686aeeb045957500e61279471fc35c4187b1270e5ed","3-d96976832b51bbd3a61ab8541299df4b25b9a8a6a4026f949618993ab33a3960","0-15d2ed1d4ed0119c4922214a226ed08e79b1877d909fbe74f4df85ca6bd45757","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2014","","WPAFB, OH","2014-03","2017-02","4","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","9d38bc75efdc1bb24fa15dd6fdcc79dd0ddabb23d16bb5fb0fb72b4ecbbd10cc","0-d31abd778087357fd95be96b97b17160b79fd6241847494fa995c884fa0432ff","0-03c2b0b7bf73a369039d26a9eed6a1bcf39fd9fbf39c56716e4ca05babf1e1e8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","WPAFB, OH","2015-03","2018-04","5","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","9d38bc75efdc1bb24fa15dd6fdcc79dd0ddabb23d16bb5fb0fb72b4ecbbd10cc","1-b1ba1c9835082dd805c3edf8027d2834b6224173ed31afcd355b3c9513859608","0-03c2b0b7bf73a369039d26a9eed6a1bcf39fd9fbf39c56716e4ca05babf1e1e8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","WPAFB, OH","2016-03","2019-04","3","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","9d38bc75efdc1bb24fa15dd6fdcc79dd0ddabb23d16bb5fb0fb72b4ecbbd10cc","2-6ea0fa740c43c8120b149e6784bed4938cd362ddadcbf1621dc12d1b7032803b","0-03c2b0b7bf73a369039d26a9eed6a1bcf39fd9fbf39c56716e4ca05babf1e1e8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2018","","WPAFB, OH","2018-03","2020-05","1","2.000","true","2017-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","9d38bc75efdc1bb24fa15dd6fdcc79dd0ddabb23d16bb5fb0fb72b4ecbbd10cc","3-f8c85a77a5514b24d8ba85ad2bc57df51a8092d460066388593fa019e50aa2d4","0-03c2b0b7bf73a369039d26a9eed6a1bcf39fd9fbf39c56716e4ca05babf1e1e8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2014","","WPAFB, OH","2014-03","2016-12","2","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a97dfc5ffa5535857cd61c3c158de84a1441decc875ced08ad568ff95d020f85","0-e1288e30e87caec01e45a06b04cf793a8864b33993e95d8a3aea573fe12649ce","0-23b913de418a1ec73e9a39f7da999d97176fa93c11ebeebe79ddc41058f69cae","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","WPAFB, OH","2015-03","2017-11","8","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a97dfc5ffa5535857cd61c3c158de84a1441decc875ced08ad568ff95d020f85","1-23397a4e5334aceda1af676703d2a6d2ad902900a8bd5182e1bde8b46b250ddb","0-23b913de418a1ec73e9a39f7da999d97176fa93c11ebeebe79ddc41058f69cae","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","WPAFB, OH","2016-03","2019-03","9","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a97dfc5ffa5535857cd61c3c158de84a1441decc875ced08ad568ff95d020f85","2-23a71b785ad9fa038fa4c1a58665cc8bd1e067dd3fcbd76b0d9954fac46bffe5","0-23b913de418a1ec73e9a39f7da999d97176fa93c11ebeebe79ddc41058f69cae","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","WPAFB, OH","2017-03","2019-12","5","2.000","true","2012-10","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a97dfc5ffa5535857cd61c3c158de84a1441decc875ced08ad568ff95d020f85","3-7c7c2f3e94c192645e356e719eee804bb9d9e2baff250a868839547937148599","0-23b913de418a1ec73e9a39f7da999d97176fa93c11ebeebe79ddc41058f69cae","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2013","Reference footnote (1)","WPAFB, OH","2013-06","2016-01","6","2.000","true","2012-10","SS","Various","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","d27cefc2bb72e82de7748f7a1d1ff2a8ff7ad30cf7027a91e47ee29dad986610","0-c0a7305e3e6072989909ea5fc16d2b4d19760269f349ce64e301a09be77c8bbb","0-373439d4d878ad8881f47cf12e77623009ae4d12f79ff8bee6a154955c919838","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2014","","WPAFB, OH","2014-03","2017-01","7","2.000","true","2012-10","SS","Various","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","d27cefc2bb72e82de7748f7a1d1ff2a8ff7ad30cf7027a91e47ee29dad986610","1-75ed258239e66b7b6d2059e92ac9939cd28abb1efad0e6db80ccd52f6354d153","0-373439d4d878ad8881f47cf12e77623009ae4d12f79ff8bee6a154955c919838","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","WPAFB, OH","2015-03","2017-08","14","2.000","true","2012-10","SS","Various","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","d27cefc2bb72e82de7748f7a1d1ff2a8ff7ad30cf7027a91e47ee29dad986610","2-a01613907f95ecdb5df18d8afc9476e0d00be02c49e6efc9cae56395263b44f2","0-373439d4d878ad8881f47cf12e77623009ae4d12f79ff8bee6a154955c919838","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","WPAFB, OH","2016-03","2018-12","2","2.000","true","2012-10","SS","Various","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","d27cefc2bb72e82de7748f7a1d1ff2a8ff7ad30cf7027a91e47ee29dad986610","3-9b1a8b043549641b32eea29910c536ad0f0de985aa19acb14dbc71d6d519f35d","0-373439d4d878ad8881f47cf12e77623009ae4d12f79ff8bee6a154955c919838","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
