Name_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_CurrentYear_val,Cost_ToComplete_val,Cost_Total_val,Cost_BudgetYearOneBase_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_Continuing_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@LessOrPlus,@PARENTROWID,@PARENT
"Interim Ctr Support","","0.000","0.000","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","7b51d9e7c4fc63fad0257a31c0fc574c43978356f4f73ffd6df61242554011a2","0-2584c735578b300921136df2a9130f52c686ab101a04b165dd2f87dc9dc070c1","","174-ea34e143962cb73b5657c5ff7a4ff4acdcd91845625062b538f1732b6993816d","root"
"Interim Ctr Support","","0.000","0.000","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","f3e987125166f2e991c01799a868dec49c6601ff78b1305ea71df6f87d46c447","0-02d82abf69012609926c2b8f62abfa961b2bdc8b1cf68198de6fd4d77e43b9ed","","175-b7b4cef1d699ffb42b7d89f1d4bc91518d19a21221cf2457523ee0dc04c55858","root"
"Interim Ctr Support","0.000","0.000","","0.000","0.000","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2499385314dda2f044f58afdb60d539c0ee96cf4b3297edd2576c40e65a925f7","0-707d41593a7d24ca08b96e7bfedca7cc7e124e06a3b65fd4aec3161cc1c35c44","","673-806b286bbda9f8dc059f7ca53ad3ad111d573fe274739af3652bd9967be698af","root"
"Interim Ctr Support","0.000","","","0.000","0.000","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","d785b8d60a4746abb1b6c2784a090354c05735eaebc4005ee0ef569ab0900104","0-596cb33fa78e48c3b1423d2c2e342bd6f20b4dae0e08d73513c27f45f7372ce7","","684-237f8383c3a393bb1fc152d79cd9ee1d071d3d90803052c05e9918c1e7b14896","root"
"Interim Ctr Support","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","true","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","869f0791fb85be81ed376e4fb7144837b1c4d64803897c2343a58e8783a4cf38","0-30125536533ed1d65d136253d71a1ee1e8b485c253f84ab21041a4d7f5b0e675","","686-23f84056240d0c35af698e8fc63c88defb15fd2818c1b0a1e9ad88ccd97dad4b","root"
"Interim Ctr Support","","0.101","0.000","","0.244","0.000","0.000","0.000","0.000","0.01","0.133","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","f21eca71322f8320419977f8f1e455b9be064cb64c83ed0d8358d9c1e88d40be","0-f3ca81cc4efa76f5317203022aaa78ab0933e9280b5e376c36f2e50430410e26","","687-2609425cc4b01c8d7cf75f3533248ff8acb9ca23dc71b7d8001084788d570bec","root"
"Interim Ctr Support","0.000","0.000","","0.000","0.000","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","95b008b2886e43ca72942c957d3fb6eb3924003991d1464470ce65d082325064","0-7d59cf18350971c8a50dbbc7d01e4fca204fc474f5465d0522afa55ab366bca9","","720-66e138b7d2ac3e863b241ef76b20b573aa3e110ce1413b760351a3fa65f09c67","root"
"Interim Ctr Support","0.000","","","0.000","0.000","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","992146377285d56ca1d59be86818c95916c3d1331e0bdaae538f03cfef5146d8","0-b5d2fc5db2761ff3ae0a8a67cfbb4dba28b17c61ff69c00148aa7f1e3c311c02","","731-bc38b6e5a43c34f8644676eb15b0c2ad4e120d2f5b8f82911dbb6e058ab068e2","root"
"Interim Ctr Support","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","true","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","86d5652243b488bef37622a387785bfc915ef257a86e7f6ba96c6bbf00ee6f6e","0-056693cb31df4e891c7cfab3329884e81c9024f90af03193173f98420f80f465","","733-0ade4bd0127c811ced90520bd8f7d4f58fb36307a7edd34155dc9928577a1b92","root"
"Interim Ctr Support","","0.101","0.000","","0.244","0.000","0.000","0.000","0.000","0.01","0.133","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","1c7bc5da0115722df8b1ae535b9a86f6f8907aac39747dcfa6366107e48d8200","0-68ceff542b897f2c573cb725e0c85bec919cfd77bf0c1679abbde77131bb7656","","734-096f9c50c0fd7c51496288089b657e76aed55be8de61630415e73cbf04fea216","root"
"Interim Ctr Support","0.000","0.000","","0.000","0.000","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e6cf04839ccb65bca45c6fcccad56ca79fbf41058e688264e4f8fa2a24f34ffa","0-ae783ee3f99b1241acf04cbaa611325500a5a72b2db6a926b4969bd9a983c30f","","767-22901c58c472b146503e4d5d2d05eaaa6089445976245c11d2045c1e5c2583f1","root"
"Interim Ctr Support","0.000","","","0.000","0.000","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","de4c0a98c61ae94a46db343560db2db5018d7edbdf9d48131b3d232365a81431","0-b495ed25793054c22f95ba85237cb8c1aafb0e03f923add902f715fda15520ef","","778-6928715fef9302a24990a5070a2e48d679f94b36464de20fb1d905747cdc78bc","root"
"Interim Ctr Support","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","true","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","9e8460f407dbd82593b58f042e71ac27e689cbfeb4e2b1d6b2a572b4957b5a92","0-f746884e443860e4c58e38b5f8139d5f2f8d46debc1bf2e8277dea7ef3db8dbc","","780-6e36efed41a6415b17cbed299c192dca7553608ad4c2fd96d66ec60fad7cb02c","root"
"Interim Ctr Support","","0.101","0.000","","0.244","0.000","0.000","0.000","0.000","0.01","0.133","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","8c88d734372410126bac9c2aab8355d87c4071454c0b5bd5553d80ddaaba0502","0-e32698490e883bbb1876d015da913756ac180c7ae8e7201d6b7acf6c3f0837f3","","781-8264b8edd4db31df40f896c654d5e5130f971a49694202dcd75e633fdbf621c9","root"
"Interim Ctr Support","0.000","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","true","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","0f393623cf23e2deecb9a62153a985221803d852525548c8086ebb3fa0b98c0d","0-804aeca8f4ec471790f6fdbd0cd639a1a6ef263b679eb8a07e38142cc40999c6","","1707-f25a182288ddde9033488b3b152a292fc4609cfdf84accb62ff3f182423cc265","root"
"Interim Ctr Support","0.000","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","true","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e7bad703dce2c1e4aa88ad33de6222acae736b90aea3c357ea03f4edf1c34be4","0-284283132d0b3098c4a6c9f9657e286c77fbec55b0e9a55d3a517012fd26b3b4","","1787-a3ace130a5ac05ed9d0a36602d3ebde6d5bad821bb68bb31db1915f374786825","root"
"Less A-12 Settlement","","","198","","198","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","0ba6edbb4efa78d7d6f708417afaeb1367e7fc425d9eb1c4bdc80551b76c6b29","0-58ac5b5b3b1711ae68022403062cf4f2782bea0110536f1dc6fb3ec1639e7236","Less","4683-34ab1a7bbc10a07b8dc3b80ca1be6380874fca242cedfb334c144739f8c40db6","root"
"Less A-12 Settlement","","","198","","198","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","bab0459b2c38d669b89a1a76c9e057a0bc78eea823ae1469befdba05ec99fe3a","0-bd3be82c1ebc37295f82a75f8434f0585679a91c41b349a0eb76d5c767e404d8","Less","4700-3d44d3bc5ac4111a30cf6112eb278b1b8c1a40443011d94ee0a4460c1451f63b","root"
