Name_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air National Guard","1.496","2.944","2.025","2.025","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","0d5ab952bad38abf514ec5d7d7786e65ed21d044ead8449b807a4dd6822e3ee1","2-f1fe3248f79e1bfa66df1eec6a95c2f910fedf5ec6d3e6836794b26cdb4e453d","2-44610c1c21f3d47e446901c621b524a8a59b16018acf784a2ca0bb4c0786c502","root.record.ItemExhibitList.P5Item"
"Air Force Active","0.000","9.225","10.199","10.199","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","0d5ab952bad38abf514ec5d7d7786e65ed21d044ead8449b807a4dd6822e3ee1","0-fc0a6f22a1c68c43854b585e46977b7e2276f5f0f676f2478084e5404a388525","3-ba7f1ceb63c3b6a3c2818b21d4003acc6074a9ca1ffa11de6976761a4268e607","root.record.ItemExhibitList.P5Item"
"Air National Guard","","12.945","8.191","8.191","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","0d5ab952bad38abf514ec5d7d7786e65ed21d044ead8449b807a4dd6822e3ee1","1-0f13e957d825e093cadb019c1072b0441e4fa2979d2a692de2e468de45e4bb3c","3-ba7f1ceb63c3b6a3c2818b21d4003acc6074a9ca1ffa11de6976761a4268e607","root.record.ItemExhibitList.P5Item"
"Air Force Active","20.845","7.271","2.177","2.177","2.219","2.717","2.765","2.814","","","","","7","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","230e6f303a3f2cb4b36dba769f7ae78c7ff0a6f2e7b74827e15af57c494d179b","0-73d66b564ed294467e0138cd826b97e22167889541fc9929c4c532c39120f2e8","0-765270ded4d985157cdf317138e65715ca3df021af3b9aeca4e57a337970fb7a","root.record.ItemExhibitList.P5Item"
"Air National Guard","1.873","","","","","","","","","","","","2","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","230e6f303a3f2cb4b36dba769f7ae78c7ff0a6f2e7b74827e15af57c494d179b","1-465ea62ee01b13ca21a60f7dd16a0957e7aded4afa2084d7c4a19802c51ecd86","0-765270ded4d985157cdf317138e65715ca3df021af3b9aeca4e57a337970fb7a","root.record.ItemExhibitList.P5Item"
"Air Force Active","13.5","13.418","1.715","1.715","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","dcd8126c9d9f0fa44ceb7546a9a2cd6f5ab73876ecb712f0422aaaf6c59a435d","0-07ca72eb8e72efadfd7fe3f408d65e62d7e64fef6fef098a739e3b740711d5eb","0-bc8066a7ffd07ed462518fd92f5ede5b69a47ec3a42606e0947af78a09a854bd","root.record.ItemExhibitList.P5Item"
"Air National Guard","0.994","0.994","0.993","0.993","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","dcd8126c9d9f0fa44ceb7546a9a2cd6f5ab73876ecb712f0422aaaf6c59a435d","1-b8db439d37b602b427ef6126e6c04b96de25f2aba1bff9f3e364259b3bc5c02b","0-bc8066a7ffd07ed462518fd92f5ede5b69a47ec3a42606e0947af78a09a854bd","root.record.ItemExhibitList.P5Item"
"Air National Guard","9.63","1.407","27.512","27.512","","","","","","2","13","13","6","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","0d62c49f55cf3d65a6fc9f597ad49801a0b27b6a5ad539892723cbb706702b86","0-5455dc28be92d7fdfbc8241e302a034527b1eda80536e20c74ddb57fde0bef1f","0-c08c5d91740ff4ce308a1b566eaefda25b8be20469b41571f03d373bde949817","root.record.ItemExhibitList.P5Item"
"Air Force Active","13.822","9.354","22.522","22.522","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","0d62c49f55cf3d65a6fc9f597ad49801a0b27b6a5ad539892723cbb706702b86","1-4ba0e85081f157b582c38d3684c19a0b5646da4cbfab3bc7e5c4975533177d0f","0-c08c5d91740ff4ce308a1b566eaefda25b8be20469b41571f03d373bde949817","root.record.ItemExhibitList.P5Item"
"Air Force Active","3.98","2.805","4.195","4.195","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","417d8086041287dde9f57368dae63285c928d696a821a3c58ec07e20fd1e8fbb","0-1c3ce5d9178aa88a5be3fa5cc8da28a317b4d70d0a320420d801e8d4bea2a584","0-60b350914914fd71c4f24987099379b5d514a53b5e677ff4bd4612e08d14dbae","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","0.145","0.145","0.145","0.145","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","417d8086041287dde9f57368dae63285c928d696a821a3c58ec07e20fd1e8fbb","1-f9c320e15d71077c5a8e80442091dcdd4c61c6228d8f774b6f15f5166729e836","0-60b350914914fd71c4f24987099379b5d514a53b5e677ff4bd4612e08d14dbae","root.record.ItemExhibitList.P5Item"
"Air National Guard","0.15","0.15","0.15","0.15","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","417d8086041287dde9f57368dae63285c928d696a821a3c58ec07e20fd1e8fbb","2-5e8c224e05675224212961e75708f9d8e0b7a2efb185373e5eca88dc760408e0","0-60b350914914fd71c4f24987099379b5d514a53b5e677ff4bd4612e08d14dbae","root.record.ItemExhibitList.P5Item"
"Air Force Active","3.873","3.247","3.825","3.825","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","417d8086041287dde9f57368dae63285c928d696a821a3c58ec07e20fd1e8fbb","0-bddd4a7ea66126f59a3402d91ae2da29c3b67498e195e401c6a15b1106ea59f9","1-9b5d51d4a87d2be91317b83142ab4a27b2939824c1d6ea98e7ccb6f4f0126c4d","root.record.ItemExhibitList.P5Item"
"Air Force Active","1.205","1.04","1.25","1.25","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","417d8086041287dde9f57368dae63285c928d696a821a3c58ec07e20fd1e8fbb","0-4513c205fa29b46cf267d8498e808989bd23c06725d7e2f5fcf55fae09e31164","2-3861e9c6654f50790641e43aee449cc22ffa739c178f8b50aa4668db94d53303","root.record.ItemExhibitList.P5Item"
"Air Force Active","31.087","22.88","15.372","15.372","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","f6d4a587c122be66d0a412c8c33fcb8b04b125547cfd17c2d6673e53d0f3e7ce","0-9236d60f56151d339b176ccd86bd4ba96b8c79550ce3f9dde1e39d093e2c2a3c","0-d0f7370790c31bfb94ee760111ea44b141e33bbf88e3e5cca2c9b6d321e632a8","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","2","4","3.9","3.9","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","f6d4a587c122be66d0a412c8c33fcb8b04b125547cfd17c2d6673e53d0f3e7ce","1-5baed16db18512b906665ff9785aac7734b7e2643642415c3dc59b83518b8c08","0-d0f7370790c31bfb94ee760111ea44b141e33bbf88e3e5cca2c9b6d321e632a8","root.record.ItemExhibitList.P5Item"
"Air National Guard","0.000","0.000","6.5","6.5","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","f6d4a587c122be66d0a412c8c33fcb8b04b125547cfd17c2d6673e53d0f3e7ce","2-28bb1588438ba07059f3ed358fc8d57c8b30a4f3f3694a5a04d6b0e3908e59f7","0-d0f7370790c31bfb94ee760111ea44b141e33bbf88e3e5cca2c9b6d321e632a8","root.record.ItemExhibitList.P5Item"
"Air Force Active","12.814","10.878","42.558","42.558","","","","","","12","9","9","5","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","e95734720cb84000e431d34ce2b9ae8c099ab33a0a4e56fb587b1891bae8806b","0-60f04a4d87cffcf25355227cbb3c822de2620604602b4b42d79e9e21d19b135b","0-8b37b380fee0337e74cae9145b1a4e291a506d599b7ed5fe85ce0efdf624ff5f","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","","1.63","4.307","4.307","","","","","","5","5","5","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","e95734720cb84000e431d34ce2b9ae8c099ab33a0a4e56fb587b1891bae8806b","1-0e135a1004c007a8eb4c28e82d907d3654085e2848b641555500d260e94727e6","0-8b37b380fee0337e74cae9145b1a4e291a506d599b7ed5fe85ce0efdf624ff5f","root.record.ItemExhibitList.P5Item"
"Air Force Active","14.566","46.462","14.6","14.6","78.446","62.509","38.945","43.246","","6","8","8","5","32","26","16","10","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","e95734720cb84000e431d34ce2b9ae8c099ab33a0a4e56fb587b1891bae8806b","0-0eff59b304f966c8125635e330130a8bc0fac16e12e31424563c52ad22dfbf2d","1-7bb9a122edf79dd545900c69a21bc0dc0ba4ed17590c0614060df61a85951a29","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","","","4.762","4.762","","4.946","6.649","3.282","","","2","2","","","2","4","4","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","e95734720cb84000e431d34ce2b9ae8c099ab33a0a4e56fb587b1891bae8806b","1-0b7e225bd54f189f3922dcce0d99d3343f8147d1da91cd03487cc6a98e1861c2","1-7bb9a122edf79dd545900c69a21bc0dc0ba4ed17590c0614060df61a85951a29","root.record.ItemExhibitList.P5Item"
"Air Force Active","8.602","4.19","4.587","4.587","4.675","4.762","4.855","4.947","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","e95734720cb84000e431d34ce2b9ae8c099ab33a0a4e56fb587b1891bae8806b","0-f7f788803fd0eb73bb09a4d13c2dd4fdaae10f07c485def457cd2f541bbb9571","2-077f3fd116db9e32dd1ec3ff6097f7bab787f68185a2b33c12e938ee19fc9b35","root.record.ItemExhibitList.P5Item"
"Air Force Active","1.983","4.422","10.472","10.472","9.634","9.159","8.101","8.238","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","e95734720cb84000e431d34ce2b9ae8c099ab33a0a4e56fb587b1891bae8806b","0-ee63c0b06ed14fe762dc9834dfca74e9ee23366c58c11306a3c3302d82b7db8f","3-259375ba9bcd5c7df9e3222ccb2a0f005ad4ffb655dc49a86ee488c4820b6d4a","root.record.ItemExhibitList.P5Item"
"Air Force Active","6.344","0.000","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","63e3e3fdbe97f8ce43f24ed48c5f25a469b0315f82bb59c3f9e3feb78eb01fb0","0-18e64b2fff8952abbb1e41cfcea2876befab978e7ec7bafc3ff0d3838cc8da45","0-302692c8fc720f6d2b841e4eebc0be32b719f9a647da2033118734356014de42","root.record.ItemExhibitList.P5Item"
"Air Force Active","11.486","7.141","16.803","16.803","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","63e3e3fdbe97f8ce43f24ed48c5f25a469b0315f82bb59c3f9e3feb78eb01fb0","0-cece9efa0e11ebd1e6161d456c9b9762b73f2482d9b423113fa2e26425ee3311","1-d6c81b2d44c21b45a4031b8ab0aabd8d139f06ceb5a96ae8ab4ce18d294ded9c","root.record.ItemExhibitList.P5Item"
"Air National Guard","","","44.8","44.8","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","63e3e3fdbe97f8ce43f24ed48c5f25a469b0315f82bb59c3f9e3feb78eb01fb0","1-aaa0b661e6c663d04234a65e1a4b8ec93e6691496ba6eb9b11e0c55a88377511","1-d6c81b2d44c21b45a4031b8ab0aabd8d139f06ceb5a96ae8ab4ce18d294ded9c","root.record.ItemExhibitList.P5Item"
"Air Force Active","1.362","0.000","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","63e3e3fdbe97f8ce43f24ed48c5f25a469b0315f82bb59c3f9e3feb78eb01fb0","0-4823d6a67dcbfee6a6d0a06d39456ae96db5e28540eb13bea97d1e49b7933e93","2-4fbde8b657c7fc6388757ed6527bd6f9a6d9dd4a6974cdcdc3b0cd7a3cf34239","root.record.ItemExhibitList.P5Item"
"Air Force Active","11.779","13.957","3.915","3.915","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","02f3d90c6e250b98624059fe2f45a70ad088a01addc944c11c3371ede495e971","0-de3bc1f2490b489a44ac532ee3bae88f818bb52dfddb872a94ecbf415fd12af6","1-4284b77790b7ae73c4942221d5945382d289b88f3a5cfda1269a91321f9be591","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","0.16","0.007","0.007","0.007","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","02f3d90c6e250b98624059fe2f45a70ad088a01addc944c11c3371ede495e971","1-835f9a042e405db04f09bf0d614d0a55e090c20907016e4ffe7cc0e424fd3a0d","1-4284b77790b7ae73c4942221d5945382d289b88f3a5cfda1269a91321f9be591","root.record.ItemExhibitList.P5Item"
"Air National Guard","1.998","0.068","0.068","0.068","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","02f3d90c6e250b98624059fe2f45a70ad088a01addc944c11c3371ede495e971","2-770378a4b490b18935a87d1ca41cc52369d25fb8e69bb0747c062a59c7b33d71","1-4284b77790b7ae73c4942221d5945382d289b88f3a5cfda1269a91321f9be591","root.record.ItemExhibitList.P5Item"
