Name_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"GPS III SV 03-08 Launch Services","0.000","","","0.000","1.314","2.718","0.000","2.718","5.621","0.000","0.000","0.000","0.000","9.653","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a6c89a16cecfa1824e6536b1c456a314e66298072bc81f4fd1ff5f5ebf14ad56","0-c8eaa54d3cd84e99829a5c74adc512b70fd25305c8d96f19001d3554db471d76","0-6e4ca5c88a33e5a01f41921b65502546c5bf572c95b54ccebddf4528ebe96233","root.record.ItemExhibitList.P5Item"
"GPS III SV 09+ Launch Services","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","3.193","22.8","41.7","205.756","273.449","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a6c89a16cecfa1824e6536b1c456a314e66298072bc81f4fd1ff5f5ebf14ad56","0-0e980d18b99ac17cbad925b7140d97cc5482eae7d599aab425441a9689fcbcd2","1-9cff668f075a3f59b98a8208372e2bbcb706f1b2b08475a252f72861bfd0c46d","root.record.ItemExhibitList.P5Item"
"Integration & Checkout","1.222","","","0.3","0.3","0.3","0.000","0.3","0.42","0.1","0.000","0.000","0.000","2.642","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","0-3aea09c4550bdfe8b10e41928756032cd5b16e372ff82ce4ee05dfa692b1d914","0-4be118a69f4c0e0c7d85b7791f6eaa7870569fb4ae526d3843d3a16e3806f003","root.record.ItemExhibitList.P5Item"
"Launch Services Planning","137.99","","","24.84","24.887","19.993","0.000","19.993","26.132","2.499","0.000","0.000","0.000","236.341","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","1-74216c14435c52fcb6af86e36d0ee474cf36d62337549ed28e0434b68f8b4c0b","0-4be118a69f4c0e0c7d85b7791f6eaa7870569fb4ae526d3843d3a16e3806f003","root.record.ItemExhibitList.P5Item"
"Propellants","3.259","","","0.5","0.6","0.6","0.000","0.6","0.63","0.1","0.000","0.000","0.000","5.689","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","2-1eb409cd9cff615fb7fa329b2682c8a147e97c03982b45dc706b5cd9746dfd56","0-4be118a69f4c0e0c7d85b7791f6eaa7870569fb4ae526d3843d3a16e3806f003","root.record.ItemExhibitList.P5Item"
"Storage Reactivation & Transport","3.007","","","0.895","0.895","0.62","0.000","0.62","0.949","0.31","0.000","0.000","0.000","6.676","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","3-a86f12588e181288e4cb9010098a54c7b890813408ba24ed02a0eba8790ed1dc","0-4be118a69f4c0e0c7d85b7791f6eaa7870569fb4ae526d3843d3a16e3806f003","root.record.ItemExhibitList.P5Item"
"VAFB Launch Base Support","20.506","","","0.416","0.377","0.246","0.000","0.246","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d15fb990f8b482f5f872799d52c5c6fd07e2fbb73e9cc84357ce2ec1c4aaf90d","0-9a3ee8af46f89391a0340f9b4ab23d5f8286be07afdfa376f9698c11982224ab","0-dee78045acd731071ccced4fc78a2da2ad73237a38a9585ee61bd1bb970eb2d1","root.record.ItemExhibitList.P5Item"
"EELV Mission Unique Hardware","32.806","","","0.023","1.32","2.75","0.000","2.75","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d15fb990f8b482f5f872799d52c5c6fd07e2fbb73e9cc84357ce2ec1c4aaf90d","1-659a1cc7ceb456fc39721d3d4ee274928e8b8c80d0e70ea0b2579b8026c421d4","0-dee78045acd731071ccced4fc78a2da2ad73237a38a9585ee61bd1bb970eb2d1","root.record.ItemExhibitList.P5Item"
"NGC Launch & Early Orbit Spt--CLIN 3","8.799","","","0.000","0.865","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d15fb990f8b482f5f872799d52c5c6fd07e2fbb73e9cc84357ce2ec1c4aaf90d","2-98fec2fa7297162b7004849ba7030f61ba2a9f07b4e0bf83d96ea7d22197b69f","0-dee78045acd731071ccced4fc78a2da2ad73237a38a9585ee61bd1bb970eb2d1","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","1.106","","","0.000","6.037","10.312","0.000","10.312","14.568","21.855","66.634","76.888","28.369","225.769","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1b688257b8c65d2ae5941aef52b43af8c4173da9c0950313ced5c2388b80ba7a","0-e14aa404c621c01173413b0af67f3789f193e6503a38d71954844f0f12924d9c","0-2866e9b0be1861f65c701fb69cca16c3c3292886fd19fa1ec238b00249f7f6fe","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Launch Ops & Checkout","0.000","","","0.000","0.000","147.772","0.000","147.772","0.000","0.000","4.96","13.683","129.13","295.545","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1b688257b8c65d2ae5941aef52b43af8c4173da9c0950313ced5c2388b80ba7a","0-6675b59bc373a14bebc56a279496a6714b07f9917431eb8404b62766c641e88a","1-eb8214a749e6b3a55298628c2af9aadc79875b17d3f9348942f2fc10846acf7d","root.record.ItemExhibitList.P5Item"
"HEO Host Accommodation","222.616","","","3.615","3.741","3.872","0.000","3.872","4.008","4.148","4.293","4.444","0.000","250.737","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1b688257b8c65d2ae5941aef52b43af8c4173da9c0950313ced5c2388b80ba7a","0-a4e8bdb550074fa3f91cd670b4f82c15ae9b384f05ed23c7b7cf7198b88073eb","2-b1e596cc8a0d58fa1b6fbb5515f0bee93d972231847c1da429909f28836983f7","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Launch Ops & Checkout","11.057","","","0.000","0.977","9.086","0.000","9.086","21.471","10.489","6.239","16.617","7.666","83.602","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1b688257b8c65d2ae5941aef52b43af8c4173da9c0950313ced5c2388b80ba7a","1-87f80dc28c4844b921310101f48d8f1c1665ab5f1b088f1ba5c9b441c8febe51","2-b1e596cc8a0d58fa1b6fbb5515f0bee93d972231847c1da429909f28836983f7","root.record.ItemExhibitList.P5Item"
"Space Vehicle 3 launch support services","33.05","","","16.5","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","49.55","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","da12645c0c53b30cf6f22f46f3ec3fa2c163308f130f7633de8d0206bcc27b8d","0-051f447b015046d50b9c846c149f99e12e8902d08fd6b8d3562d953d636200ac","0-810faab371803935c0160f94979f903605d7c4ee5d2f505fa9758c79cd250367","root.record.ItemExhibitList.P5Item"
"Integration of Space Vehicle 3 with launch vehicle","2.128","","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.128","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","da12645c0c53b30cf6f22f46f3ec3fa2c163308f130f7633de8d0206bcc27b8d","1-30050c28b199a155a00d9c736cb5f8553f9f1f266a55e10cb732fa42ebd6aab7","0-810faab371803935c0160f94979f903605d7c4ee5d2f505fa9758c79cd250367","root.record.ItemExhibitList.P5Item"
"Space Vehicle 3 propellant","0.000","","","0.000","5.229","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","5.229","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","da12645c0c53b30cf6f22f46f3ec3fa2c163308f130f7633de8d0206bcc27b8d","2-4d07de752b10b242f418d8994bccd3235c535180a560593f3ca789315adaf75b","0-810faab371803935c0160f94979f903605d7c4ee5d2f505fa9758c79cd250367","root.record.ItemExhibitList.P5Item"
"Space Vehicle 3 Spectrum Management Support","0.000","","","0.000","0.000","0.032","0.000","0.032","0.000","0.000","0.000","0.000","0.000","0.032","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","da12645c0c53b30cf6f22f46f3ec3fa2c163308f130f7633de8d0206bcc27b8d","3-26402dde082107f5fe1aa698368d7916bbfd9d3c3be86431cf3fc9197bf6943c","0-810faab371803935c0160f94979f903605d7c4ee5d2f505fa9758c79cd250367","root.record.ItemExhibitList.P5Item"
"Space Vehicle 4 launch support services","0.000","","","0.000","0.000","12","0.000","12","25.1","26.7","50.4","0.000","0.000","114.2","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","da12645c0c53b30cf6f22f46f3ec3fa2c163308f130f7633de8d0206bcc27b8d","4-3c6f7adb683be30ef510a49de1b1abada6413a13f1345201a5227aece1806782","0-810faab371803935c0160f94979f903605d7c4ee5d2f505fa9758c79cd250367","root.record.ItemExhibitList.P5Item"
"Space Vehicle 4 propellant","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","4.504","0.000","0.000","4.504","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","da12645c0c53b30cf6f22f46f3ec3fa2c163308f130f7633de8d0206bcc27b8d","5-01588dbe077afdb762f330da4b39f98bf095187370e58b0daef360bf91bf9ffd","0-810faab371803935c0160f94979f903605d7c4ee5d2f505fa9758c79cd250367","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) Launch Support AEHF 4-6","0.000","","","0.000","0.000","0.79","0.000","0.79","8.57","9.4","14.7","14.9","12.8","61.16","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","da12645c0c53b30cf6f22f46f3ec3fa2c163308f130f7633de8d0206bcc27b8d","6-77f414179453ce6fae8d614c59602604f1db104635abb19d030a6d691001a5e0","0-810faab371803935c0160f94979f903605d7c4ee5d2f505fa9758c79cd250367","root.record.ItemExhibitList.P5Item"
"Checkout & Launch / Launch Readiness","199.046","","","56.764","71.621","23.048","0.000","23.048","38.773","33.947","41.783","39.583","22.628","527.193","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","510254529628ee93e74ebe5b287951fa3a9382ddf79e35cf6549adbee3a7ed67","0-f30514395a3137f372ce65dddf86dccb9c410151c87748f38c48f7d9e665d1f2","0-5d56f24aec2b4bcb1cf6b0b8fadab9a39e91f5d770b84b1110e30a4aaddfaa68","root.record.ItemExhibitList.P5Item"
"Storage, Reactivation and Transport","4.543","","","4.766","0.000","0.000","0.000","0.000","0.000","21.104","21.844","26.74","0.000","78.997","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","510254529628ee93e74ebe5b287951fa3a9382ddf79e35cf6549adbee3a7ed67","1-7a01a401a598babd441c4d69644dd5bfa1b123f19195d16f6a28ddb715657ee0","0-5d56f24aec2b4bcb1cf6b0b8fadab9a39e91f5d770b84b1110e30a4aaddfaa68","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) WGS Block II Follow-On support","0.000","","","0.000","0.000","0.885","0.000","0.885","7.667","18.833","10.656","8.625","4.59","51.256","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","510254529628ee93e74ebe5b287951fa3a9382ddf79e35cf6549adbee3a7ed67","2-b396283d42c0f4cf9170ce64bbddd5c6fb6946ebf79c3650bdc5b7130e75dc64","0-5d56f24aec2b4bcb1cf6b0b8fadab9a39e91f5d770b84b1110e30a4aaddfaa68","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-08 Launch Services","0.000","","","0.000","1.314","2.718","0.000","2.718","5.621","0.000","0.000","0.000","0.000","9.653","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8006ae8f66270f19f6816fc085abdd02d81cb07bec82137aebb46a16b5310339","0-d1b6cf10126434a7c0219323fbe13ac5a7ab2cef10f1b57819881cce7e70dbcd","0-b4e157066c75dcd285cc1c5bcaa054a21f0f36583dec3676fb0b7e911add5703","root.record.ItemExhibitList.P5Item"
"GPS III SV 09+ Launch Services","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","3.193","22.8","41.7","205.756","273.449","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8006ae8f66270f19f6816fc085abdd02d81cb07bec82137aebb46a16b5310339","0-3795411f0a219e83fef0af47c79832f7b9e3a795675601347138bd9cd72f95ce","1-df38c4c0a70761812ca1647eae3596fe235df6941b8f8558c4001e174703aa19","root.record.ItemExhibitList.P5Item"
"Integration & Checkout","1.222","","","0.3","0.3","0.3","0.000","0.3","0.42","0.1","0.000","0.000","0.000","2.642","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","52913fd3b8fb058f105ecd904109d2025cd3c4204020339f41275aaaec31f0e0","0-486b9c99a70a50286324490c74520f5972666b5ef76c66044a05882114369579","0-0865829a28cb5f5ff8ffcb51e6fb2f9148fbae560723673f1b535f8207c779b7","root.record.ItemExhibitList.P5Item"
"Launch Services Planning","137.99","","","24.84","24.887","19.993","0.000","19.993","26.132","2.499","0.000","0.000","0.000","236.341","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","52913fd3b8fb058f105ecd904109d2025cd3c4204020339f41275aaaec31f0e0","1-769d110f33992eed73888293d416ec91c25d10eec520f9aabb8bda943c971529","0-0865829a28cb5f5ff8ffcb51e6fb2f9148fbae560723673f1b535f8207c779b7","root.record.ItemExhibitList.P5Item"
"Propellants","3.259","","","0.5","0.6","0.6","0.000","0.6","0.63","0.1","0.000","0.000","0.000","5.689","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","52913fd3b8fb058f105ecd904109d2025cd3c4204020339f41275aaaec31f0e0","2-ea951be4e7ab416e639e0711e3e95b408dff36ed66b9a30197963db6fe006994","0-0865829a28cb5f5ff8ffcb51e6fb2f9148fbae560723673f1b535f8207c779b7","root.record.ItemExhibitList.P5Item"
"Storage Reactivation & Transport","3.007","","","0.895","0.895","0.62","0.000","0.62","0.949","0.31","0.000","0.000","0.000","6.676","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","52913fd3b8fb058f105ecd904109d2025cd3c4204020339f41275aaaec31f0e0","3-74fa591bd437b3ec93c9955d25018741c51f7a83802ff6141d79c872abe431f9","0-0865829a28cb5f5ff8ffcb51e6fb2f9148fbae560723673f1b535f8207c779b7","root.record.ItemExhibitList.P5Item"
"VAFB Launch Base Support","20.506","","","0.416","0.377","0.246","0.000","0.246","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a65a1f1ae54a5d345d80f3ca17e9ada935dce4641675e4c421ede8399b22f7ec","0-8596a85d6836e4409e0bff6e7639159aa751bca66323343101fcc9d03c3feaef","0-91e5e2b937938bdcb6ac7b84ead185333772f2cb76a98be30ac6449edc5d3c0b","root.record.ItemExhibitList.P5Item"
