FiscalYear_val,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,FundingVehicle_val,RevisionsAvailableDate_val,@PARENTROWID,@PARENT
"2014","See End Item P-5A","2014-02","2014-11","65000","0.073","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","1-54dfb5db0375ad5d1fc4fea8fd417f0855b287fe125d8b316158319f5433aee0","Various","","4-22ecbab9b5221bdaa245f29a37307bb2c2e3fc67504e0e8d4e98c44d5732a2ed","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2015","See End Item P-5A","2015-01","2015-01","47000","0.073","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","2-ebb0dd6e731026c96cb592d7c008b7848a363c63771918d571977c7e03930934","Various","","4-22ecbab9b5221bdaa245f29a37307bb2c2e3fc67504e0e8d4e98c44d5732a2ed","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","See End Item P-5A","2013-01","2014-08","7698.000","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","0-7ae8b885746e3d1ed780c27955b13bcc9d1ca3781fa8ae98f23f42457cf2614b","Various","","0-be61e547b6fdb02ea1639a2d2218edee92dd53070a72ba395f4f749631db391a","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2014","See End Item P-5A","2014-01","2015-08","6999.000","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","1-38c999966985cf2668dbadf66e05d4abaf5a83e7fa7ca7531684a02628809388","Various","","0-be61e547b6fdb02ea1639a2d2218edee92dd53070a72ba395f4f749631db391a","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2015","See End Item P-5A","2015-01","2015-01","7018.000","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","2-5b799abd4d06073140d3662006a295b56e738baef060666e80f1a3d391931759","Various","","0-be61e547b6fdb02ea1639a2d2218edee92dd53070a72ba395f4f749631db391a","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","See End Item P-5A","2013-01","2014-03","1537.000","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","0-431d4a6580508d1980a10c898080ee9e6e93049def663aa38cc9073b8271ceda","Various","","1-80b98e0bad06701ab0f9d9d66addf67770a6bf422bc49c870c8042d5690182e5","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2014","See End Item P-5A","2014-01","2015-03","905.000","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","1-71db9489a3693a79b560ef5f7509058e34e19235f5390182d7d6442283a97608","Various","","1-80b98e0bad06701ab0f9d9d66addf67770a6bf422bc49c870c8042d5690182e5","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2015","See End Item P-5A","2015-01","2015-01","905.000","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","2-6b3134a599cedfcb8be819a2bf073b2313ca8a00845b0b6545655184fdfbd6e2","Various","","1-80b98e0bad06701ab0f9d9d66addf67770a6bf422bc49c870c8042d5690182e5","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","See End Item P-5A","2013-01","2014-01","289.000","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","0-0c6126ebd7145a8939c66da426e33cc634880c77fbbc491c1fa20b57e6446d35","Various","","2-e013908503c10c0e7186904a2aeda611db854c553651f6e9386129545ab8e419","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2014","See End Item P-5A","2014-01","2015-01","170.00","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","1-8bbe6cf7958dd031acdbf96c550a327e7958ecaa6498129527d166dcd04b86ce","Various","","2-e013908503c10c0e7186904a2aeda611db854c553651f6e9386129545ab8e419","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2015","See End Item P-5A","2015-01","2015-01","170.00","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","2-657c5dff972b0e17e8904622fac05d13c78cd53582e213e2c99acc9f228ae643","Various","","2-e013908503c10c0e7186904a2aeda611db854c553651f6e9386129545ab8e419","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","See End Item P-5A","2013-01","2014-07","4705.000","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","0-2d4b620c622e8ae1ec03cab33a5440151adf9d20fb867f20fdaa9220ca5a864d","Various","","3-b8a65a59ca51c67a6c1f81638282040664c6451f4d14c674e737173c8db664b0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2014","See End Item P-5A","2014-01","2015-07","8533.000","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","1-b59ad7368fc20be87f240f38b50273f15c2f043ffee9448b194ffab0559047ce","Various","","3-b8a65a59ca51c67a6c1f81638282040664c6451f4d14c674e737173c8db664b0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2015","See End Item P-5A","2015-01","2015-01","8533.000","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","2-ebe932da26b381959111a8e51fc771f40244d5e8617aaacf53c38f777352f116","Various","","3-b8a65a59ca51c67a6c1f81638282040664c6451f4d14c674e737173c8db664b0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","See End Item P-5A","2013-01","2014-02","2628.000","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","0-858781b31e1d0868f1167d2ee6a3ee5361724848e0119c0df053ec27b94615f7","Various","","4-765ac4af21eb5b64aab86057e1db5e04ead6c24506ed9093c163934aa6f8cdbf","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2014","See End Item P-5A","2014-01","2015-02","1548.000","1","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","1-51c9101319d089c344e977dfc9007e54c4d17d59ab2dbe5836f3071d07cf3e35","Various","","4-765ac4af21eb5b64aab86057e1db5e04ead6c24506ed9093c163934aa6f8cdbf","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
