Name_val,Name_@footnote,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_Total_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_Total_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,ManufacturerList_Manufacturer,@PARENTROWID,@PARENT
"Mission Support","","A","","","","","","","","","","0.069","","","0.055","","","0.054","","","0.054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","3c9f7b77615c542a6cce166b6e6f8c33b0b516de44f9bfb066f13f57f3336791","1-b863f0fe1fcd5907fc09339a70992c3d143af117a64cc114092aad6ed24c653d","","","3-2802bf3eb41095020b4b5225bb9ea33454d7d1435070fa396f7fb8f1244237a5","root.record.ItemExhibitList.P5Item"
"AFNet SIPR Modernization - Prime Contract","","A","25.329","0.563","45","0.000","0.000","0","37.737","0.455","83","3.18","0.795","4","","","","4.614","0.271","17","4.614","0.271","17","0.271","17","4.614","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","0-3cdd71e8aee6248f4a9eb65f971edde378876e98c60549d4252c833d354a874a","45","0-576651efbde5f8422eddef1784ad8a7ef2303bb4ca441a12000a6a396462d042","root.record.ItemExhibitList.P5Item"
"AFNet Enclave Control Nodes - Prime Contract","","A","11.215","1.122","10","0.000","0.000","0","72.847","0.281","259","32.32","0.213","152","14.417","0.481","30","","","","","","","","","","0.222","67","14.895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","0-43dced365423dbfa8264f16ab7896d8058437ea005d1fac481ae8e09c685d182","10","1-9efff8dd04a0eea0da5579d932fdd86501214cf9deeaf0ca2b27fbe1e43c084f","root.record.ItemExhibitList.P5Item"
"AFNet Host Based Security System - Prime Contract","","A","","","","0.000","0.000","0","67.726","0.106","636","16.913","0.16","106","","","","9.702","0.092","106","9.702","0.092","106","0.094","106","9.928","0.1","106","10.648","0.096","106","10.158","0.098","106","10.377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","0-fc223cc1cdda83229068fb8920038b243db65395718b1b9ccae8b347281033e8","","3-e0f617402f7275c69bd52b17e3aecd2dfcc97f04b30367f7dbcdc91225978da6","root.record.ItemExhibitList.P5Item"
"AFNet Vulnerability Management - Prime Contract","","A","","","","0.000","0.000","0","2.872","0.013","226","2.872","0.013","226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","0-1e85416fa0177e93232fd005dacc07aae48e69dea0dcd505f95234da3eef84b2","","4-260dc5eac5aeb26c0b6f226924d29a89fb0502ae68dc096019db8f9f582cf134","root.record.ItemExhibitList.P5Item"
"AFNet Infrastructure Modernization - Prime Contract","","A","","","","0.000","0.000","0","198.259","0.265","749","10.722","0.1","107","26.294","0.246","107","18.313","0.171","107","18.313","0.171","107","0.441","107","47.176","0.174","107","18.635","0.349","107","37.341","0.372","107","39.778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","0-44b92352757726e4f6dece7aed829b2d672b253ccd056bfac406f8de5c404f00","","5-e0240d757589a47073b501721a96ba620645d1b69660a5e404737d9a1a91bbb2","root.record.ItemExhibitList.P5Item"
"AFNet NIPRNet Gateway","","A","23.824","1.324","18","0.000","0.000","0","207.766","1.443","144","20.824","1.157","18","28.546","1.586","18","23.246","1.291","18","23.246","1.291","18","1.5","18","26.994","1.593","18","28.68","1.53","18","27.545","1.562","18","28.107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","1-187d4c407950aa1a5dee6308bcb382e2b610e700b2d6c6bcdde6861f83d00128","","","5-e0240d757589a47073b501721a96ba620645d1b69660a5e404737d9a1a91bbb2","root.record.ItemExhibitList.P5Item"
"System Fielding Support","","","0.721","","","","","","","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","262be64a1910cce3731ee114e71c66756dd1274012fc6132158569449f32e44c","0-0aa9cdccd27937f2526f2a18d85f5ac90084de950d5e5cbd2fd8c43c46deecb7","","","0-9871808e256111062e30c84a9c00a22885efaace74f50a6ba37cb33ec8bca0e2","root.record.ItemExhibitList.P5Item"
"Transportation/Fielding","","","","","","","","","","","","0.000","","","0.000","","","0.246","","","0.246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","262be64a1910cce3731ee114e71c66756dd1274012fc6132158569449f32e44c","0-7538c6cc16a9550378628ba52f58d44c200cfd3fa4052f427c13bef25f5b008c","","","2-4ea50b00c358ddacb1212078e3a5409632f24723bd98ad5d1cd1e6545fed8fa6","root.record.ItemExhibitList.P5Item"
"System Fielding Support","","","","","","","","","","","","0.16","","","1.759","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","262be64a1910cce3731ee114e71c66756dd1274012fc6132158569449f32e44c","0-a91451439596a6e2c67f316bade5672c285a9668a8b4463bd58deeae19656b61","","","3-72bfb2690b419909e74d9eafa4547f2fee9f4ba80eec87c60dd78f9edf45d829","root.record.ItemExhibitList.P5Item"
"Fielding","","","8.975","","","","","","","","","0.000","","","0.325","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","262be64a1910cce3731ee114e71c66756dd1274012fc6132158569449f32e44c","0-9aff623ee2dd0befd723df097e16a5ed8130c88c4842d76475ebf15390e100ec","","","4-490625654ff9a065aba26e86d7cb8982c49b0ff47e5b3bb25f71812ba5736883","root.record.ItemExhibitList.P5Item"
"System Fielding Support","","","","","","","","","","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","262be64a1910cce3731ee114e71c66756dd1274012fc6132158569449f32e44c","0-c508057723015c14e568747d89e202036de6437fba33707f474d4c372f10a14d","","","5-a59f0acb3332856d68a75d72f73f0e3eb6f6d2af05c70f2cc2336f57a2370ca9","root.record.ItemExhibitList.P5Item"
"New Equipment Training/Fielding Support","","","0.129","","","","","","","","","0.187","","","0.613","","","0.16","","","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e97b0d5e64f15b8971a26e90beddf82cb49d82d3f2246736e37eee46895127fd","0-1ec8564921b75fb32de7cb25af785ba8c7f13818e98973cc7ab5ce65c904c3da","","","0-245953d0a942e36f3bf85506020af4915ffac4133b4b03e433638103b1d3ad4c","root.record.ItemExhibitList.P5Item"
"New Equipment Training/Fielding Support","","","0.48","","","","","","","","","0.8","","","1.145","","","1.662","","","1.662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","5579bf4a34c5659fe5b487abc0650cc227bd584918494d3d824c8a466696af96","0-39dac022d43e4e2c31191c50c240e759c0cdc1d7abc3694e69a7d34af7bc5c37","","","0-7dbec1955cb1a967aa83e8ebed2834b1220be3b47987330ec0cfeb9fae685d70","root.record.ItemExhibitList.P5Item"
"Fielding","","","4.59","","","","","","","","","0.283","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","5579bf4a34c5659fe5b487abc0650cc227bd584918494d3d824c8a466696af96","1-1acf7f3266e48a3d8ac910a8b9e13438bb748b4d96f6ea94b1a1ba27e689d187","","","0-7dbec1955cb1a967aa83e8ebed2834b1220be3b47987330ec0cfeb9fae685d70","root.record.ItemExhibitList.P5Item"
"Shipping Equipment to the Field","","","","","","","","","","","","0.134","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","5579bf4a34c5659fe5b487abc0650cc227bd584918494d3d824c8a466696af96","2-e2c610b3ce8762ff9efddaf40644e092dee8eecb33bdfc93d1ef0d2c56b78be2","","","0-7dbec1955cb1a967aa83e8ebed2834b1220be3b47987330ec0cfeb9fae685d70","root.record.ItemExhibitList.P5Item"
"New Equipment Training/Fielding Support","","","1.036","","","","","","","","","0.5","","","0.473","","","0.275","","","0.275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","d82bb35db279d6c000e6f72a0f669c2b6c9c74c425af3469045200c16f21b2bb","0-dee155dacb7712a1fcb510250f926c5b9f027d98f6bb13e2bcbcfe7be3af0b1d","","","0-d0a43546dd7bae619c7c454c81d189ba3eea39c47eabdba3553464428c1925a2","root.record.ItemExhibitList.P5Item"
"Other Government Agencies","","","0.485","","","","","","","","","0.075","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","d82bb35db279d6c000e6f72a0f669c2b6c9c74c425af3469045200c16f21b2bb","1-ab8958f4159c8c976896de9c94a301da145480d043e4ffb81fbf12125b4af9fe","","","0-d0a43546dd7bae619c7c454c81d189ba3eea39c47eabdba3553464428c1925a2","root.record.ItemExhibitList.P5Item"
