FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,Quantity_@footnote,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,OCO_val,FundingVehicle_val,RevisionsAvailableDate_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery_Month_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery_Amount_val,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery_Month_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery_Amount_val,@PARENTROWID,@PARENT
"2012","","AMCCC, Redstone Arsenal, AL","2012-12","2012-12","1","","2181.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-ce001b9e92e0291758e1be7103f5a51e7ffad9ebd364f1044377a6b5f4357ca8","","","","","","","","","","","0-32c9b0c2adc69f4f17aa76620a31190bdb733423ac842d41d7380d5f66b326c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","TBS","2013-08","2013-11","1","","1125.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-727048cdd1be93b668c950d26a30c32f9c2b1c25806c6985dd29f83a2f627c22","","","","","","","","","","","1-84c7fc319b7f9c7ea0175681666a10838cb8d88bedcba4ec1e89d49c056aebd0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","TBS","2014-05","2014-07","1","","282.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-947c78157630bf77c2137f1c4eeae95ef869ff5d372e32861800afd1e941e45f","","","","","","","","","","","1-84c7fc319b7f9c7ea0175681666a10838cb8d88bedcba4ec1e89d49c056aebd0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","TBS","2012-09","2012-10","1","","990.000","false","","C","FFP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-0e759edc9b2645bcd49c19e8a1e1ec85096f454f79848e37775040c0fba443e7","","","","","","","","","","","0-562c00f6eea5d84304745ca4b86e9ab13b27618c85c70bd0bd62447e95c62d39","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","TBS","2013-04","2013-06","1","","616.000","false","","C","FFP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-c1086777c891628c128c5649dd2c357f99a524dc578f7d86e023892ad896bd12","","","","","","","","","","","0-562c00f6eea5d84304745ca4b86e9ab13b27618c85c70bd0bd62447e95c62d39","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","TBS","2014-06","2014-08","1","","1523.000","false","","C","FFP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","2-2a8b103e5c30821171e7b29afd4e0cca113c4ad37f9cca370daeee631427dc47","","","","","","","","","","","0-562c00f6eea5d84304745ca4b86e9ab13b27618c85c70bd0bd62447e95c62d39","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","ACCNCR, Alexandria, VA","2013-03","2013-03","1","","1584.000","false","","C","FFP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-68378d6674dc39660cf5da570fc6dbc20d50b62b5dfe3c3afd0963f14562a877","","","","","","","","","","","0-404e8e43b0fe03698c58aa2128720effa43cd82b9efe3761b07d6beb5c516940","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","TBS","2013-05","2013-07","1","","3066.000","false","","C","FFP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-2c65b05fea328ee6f811c2f0a6df31244d1488521d7fe4da772d80eb38e21186","","","","","","","","","","","1-25399d747207b35fa3e91b55252ccca033f5f03a6ce4780e02d3c4f36d1d1e46","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","TBS","2014-06","2014-08","1","","5040.000","false","","C","FFP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-dfd0a34d8e54741b50805acee1981954518fd6e97a325073300ef59f9fde71c4","","","","","","","","","","","1-25399d747207b35fa3e91b55252ccca033f5f03a6ce4780e02d3c4f36d1d1e46","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","TBS","2012-11","2012-12","0","","0.000","false","","C","FFP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-43767298d11aaddfd71a7a7eeb8078c6f31e6ee7606a105294aac8c4d01c030a","","","","","","","","","","","0-55b29c359da21d8d982801c794915fc3768c7ea509e3c477304b4811dfa44b4d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","TBS","2013-05","2013-07","1","","609.000","false","","C","FFP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-f9c62f2c96a7cf8ec974a236f25964e6552752942f73f55f8704f0134e327dd5","","","","","","","","","","","0-55b29c359da21d8d982801c794915fc3768c7ea509e3c477304b4811dfa44b4d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","TBS","2014-06","2014-08","1","","1620.000","false","","C","FFP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","2-ed09500cf22ac316a00c7819fc8154c538070dd98ed56f691c28f5f86fa2d722","","","","","","","","","","","0-55b29c359da21d8d982801c794915fc3768c7ea509e3c477304b4811dfa44b4d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","TBS","2012-09","2012-10","1","","18056.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-dda53db77d5724142f1a2892000ca206149dc246cfc0fe6b60688a593349d839","","","","","","","","","","","0-ef918fd5409e58d3cc53c8e0d3031cdb6ed6429869dfc95dccdfd5f1422123f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","TBS","2013-02","2013-05","1","","300.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-52e6777f00719d9316ed3237747d4bcb6358cca2b36978a4fa6af10caf96e01e","","","","","","","","","","","0-ef918fd5409e58d3cc53c8e0d3031cdb6ed6429869dfc95dccdfd5f1422123f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","DOI, Herndon, VA","2012-02","2012-03","1","","281.000","false","","C","T&M","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-705c407240543f85558f37e65e8774a72c3a9895a42264a254ddeb1b4ada3939","","","","","","","","","","","0-ed6e92c2ba94686025f2b1d35e5127a67f1820f2033210791874ca26d0d6402f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","TBS","2014-07","2014-08","0","","0.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-5fea855058bffdfeabc2e5965ed5dad34d845fb869419c7e1a036e662e6f9da3","","","","","","","","","","","1-4e21ac4438c8bd19b4fb6e9db80aef1e2c8c403bfe822270332013772c53b4b7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","CHESS, Ft. Benning, GA","2012-08","2013-04","1","","214.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-044e6f788042b761851b851977f73516f5d68bee322a05f8c997285d8c7e7939","","","","","","","","","","","0-f592d09e36000cd3bb6e2881fd07ffab7ea996cda794c8113264333adc13cd1f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","TBS","2014-08","2014-08","0","","0.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-2a6e2d0d6c7f315cdae1927c30b2cb17f665a64edbfcbdf2f78c9c4b9149fe81","","","","","","","","","","","1-361a0fcf84fb9fd5e3fa3de198a369920d50ee6d1deb22eac942a657446c4707","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","MICC, Ft. Eustis, VA","2012-09","2012-10","1","","29.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-671e8d6d26cfc55fec3b84a4cd3fd97c645a29b5096067bdd67ea312d3612d98","","","","","","","","","","","0-56a012024bbd1807370b1ade26a74128f80a7ab0958846c1792eed4831023ac5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","TBS","2013-02","2013-03","1","","81.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-1398f3a0410de5bbfb4e9eab4e109a711e6fe057fa11c0736b34dd9c3d793ce0","","","","","","","","","","","1-2c02f2734695e1309a0e9b5fe938647498186eb2aaed52386776332bff7e500e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","TBS","2014-02","2014-03","0","","0.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-f80e9d91381eee82dad4e242b49ada20bacf74f16690f232ce9cc7fb9c9052f3","","","","","","","","","","","1-2c02f2734695e1309a0e9b5fe938647498186eb2aaed52386776332bff7e500e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","TBS","2013-02","2013-03","1","","259.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-19a4e53b538d43eb4ba8d3b4a7a0838283ac5f49f73550b8f566f8f1ececf32c","","","","","","","","","","","0-cd62d6c39307ff4f7f7dfa7ce1ffb56d4f4d72b2607a098f6b168fe793fe9a3f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","TBS","2012-09","2012-10","1","","130.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-75ea71202acdfa6bcc3aa40fc379765cc70c2c3e24576062688d008bc3a7c300","","","","","","","","","","","0-0a197287756ac31a039b6008bfbfb08aa3ef0e8a64e18c141bfdc960382bfe34","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","TBS","2013-02","2013-03","1","","95.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-ddbfaff10fd55e2a30324aee216bb7e5d215a91cb7de113e8a798c7ae6cea570","","","","","","","","","","","0-0a197287756ac31a039b6008bfbfb08aa3ef0e8a64e18c141bfdc960382bfe34","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","TBS","2012-09","2012-10","1","","2348.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-7517bc46d8a8e543cedfd4582a99c72bf14f4803493e38252b554eb8e372f97c","","","","","","","","","","","0-c3e35488e8e4ff1e5ad3761dfe7ab93dab2ad4989fbf3f27f69fb43fd8548a84","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","TBS","2013-03","2013-04","1","","1794.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-d01a7c6495910f43183afc1e06a7ddae7dc7148a9ebb35e2fab424fbce6f35e6","","","","","","","","","","","0-d9ab9fc53acea344ab6bfdb80b3c0330f2778d147d6208b66d0f94d4f484ebb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","TBS","2014-02","2014-05","1","","1672.000","false","","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-e36cbcbaa990fc2ce8fe400b2773a303c299e3c70c277cc5a7f1205eeaf46809","","","","","","","","","","","0-75f1c86f835c803e6d016ab353ec93657f190b05bd98d31b99e3bc000069a606","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","TBS","2013-03","2013-05","1","","1056.000","false","","C","FFP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-98442543deb7b5d6287433752a360a6509281b41e32a10eb56aa66b7a90e2726","","","","","","","","","","","0-b587a378085ce18cdc506fa4b273c2558ac868e51320e2f70f5bf1d95b3e1793","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
