Name_val,Name_@footnote,WhenRequiredInMonths_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_CurrentYear_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_ToComplete_val,Cost_Total_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,QuantityPerAssembly_val,SCNProductionLeadtime_val,ForFY_val,@PARENTROWID,@PARENT
"Engines T.L.","","0","51.038","8.049","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","802b035cc2089d874252af21e74bfdcfd3b6bf8e69eb982c19295ee961e059b9","0-8d923b16ecf0f98637951701eabb384e26b0070e294d59955079f71cb46fa718","2","","","0-5139160af9b6866e2145c289562160d7d17d43021907a34cc0ff838f69f5ce32","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","10.533","5.501","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","802b035cc2089d874252af21e74bfdcfd3b6bf8e69eb982c19295ee961e059b9","1-ecfe6c606c2227eb0c5b8cf8e6f4d21004d735d1ee845f835116527b42e7a098","0","","","0-5139160af9b6866e2145c289562160d7d17d43021907a34cc0ff838f69f5ce32","root.record.ItemExhibitList.P5Item"
"Engines T.L.","","0","289.04","","9.747","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","48f6b8699221f3e621f55ebba855cb1794dbaafbd743491e9c65abb9eeb0f231","0-1e6eadc0e176bdfc09d25140fac0c33fd0797a23d94022d02db151788b32d580","2","","","0-040abbfea58867f25ad4945524d9568fe53d2d8cc2922891fb9e1fdf36dc3b1c","root.record.ItemExhibitList.P5Item"
"ALE-50 IMPLC","","0","19.15","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","48f6b8699221f3e621f55ebba855cb1794dbaafbd743491e9c65abb9eeb0f231","1-247555d4054ad8bd5abf27e617b7d6cac04f227ca085437cb1c140ef6e57f935","0","","","0-040abbfea58867f25ad4945524d9568fe53d2d8cc2922891fb9e1fdf36dc3b1c","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","25.294","0.334","7.197","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","48f6b8699221f3e621f55ebba855cb1794dbaafbd743491e9c65abb9eeb0f231","2-1013117b5b51f3345e285af534c1046a8896499164fb20ff4462c5cfa8f2b8ac","0","","","0-040abbfea58867f25ad4945524d9568fe53d2d8cc2922891fb9e1fdf36dc3b1c","root.record.ItemExhibitList.P5Item"
"GFE Electronics","","0","18.946","2.055","1.804","0","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","8a29ac5395f79b6dc1830d8a82d0129790da72d726192a8783850762f495d4dd","0-e6686aad50e0aef5b18ee20527c191809fed3f90831a023aa4713883adbf32d2","0","","","0-4601788816574f27378d1979a27a01cfd47f2bc7a6e78467d4e78cb6f3fe8ef4","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","1.952","0.211","0.084","0","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","8a29ac5395f79b6dc1830d8a82d0129790da72d726192a8783850762f495d4dd","1-8bba69f0313a488f2ed99aab44ab191196a8097d3023d9387a013d6d31e230e4","0","","","0-4601788816574f27378d1979a27a01cfd47f2bc7a6e78467d4e78cb6f3fe8ef4","root.record.ItemExhibitList.P5Item"
"G.F.E Engines Termination Liability","","0","126.443","3.229","9.477","2.36","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","1cecceb8cbbeefa1b6990af0983189c6bd5208685f4b90430db2368ce80169e5","0-611713d50774d6e937bdad8b4253e5cc2431be051a05d273340781fbf44c9145","1","","","0-452b0374125dc7484bf83157ba0f1c7d0ab7eacef1cdfe28d3f0ec64660c8719","root.record.ItemExhibitList.P5Item"
"GFE- Engines Termination Liability","","0","206.544","12.681","20.639","37.43","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","30003bf20e3db859ca7b7edf7f501f1fd6ab471bd3dc5b5c4edf01c946460b46","0-934543c478e8f92b8839e55e8897e8fccce4ba938df2c84f1229a755ef80a2d6","1","","","0-8fe9412a5d4122869151cb0b82e84e8e69cdf3e1470e7ccdddec09474210bb48","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","85.874","0.154","0.148","0.165","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","bfb6f44c4898faed0c066970723e4eb53867684833d29eb526e9eedae20b07ca","0-e7d98d4c3b670f2ec2359955815237407d657b9fca2afd3a0e0224ebba20470f","0","","","0-c94740700fc37a85300023a82c3e7db95e0fff7567c5da8bf0a7d7cc684a179b","root.record.ItemExhibitList.P5Item"
"CFE Com/Nav","","0","15.496","2.654","1.622","2.535","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","bfb6f44c4898faed0c066970723e4eb53867684833d29eb526e9eedae20b07ca","1-6c4ec55f9dcb332c6513e49585044fe3c6fcc4ced58ec34e556544094e711c02","0","","","0-c94740700fc37a85300023a82c3e7db95e0fff7567c5da8bf0a7d7cc684a179b","root.record.ItemExhibitList.P5Item"
"GFE EW","","0","17.004","2.916","1.882","2.81","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","bfb6f44c4898faed0c066970723e4eb53867684833d29eb526e9eedae20b07ca","2-2806f3788117be9c31f114db44c596fd8691b10d0d5320d3da66617bf12423ac","0","","","0-c94740700fc37a85300023a82c3e7db95e0fff7567c5da8bf0a7d7cc684a179b","root.record.ItemExhibitList.P5Item"
"GFE - Engines T.L.","","0","253.561","11.778","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","11e2057f9abed99e612c49be8b63bd39faa7447c36e13508837dc6a65d4114a0","0-f9ccf8aa76af7322c8cda4f32b6fca967f2b1b73eb2571c853aba6feef583673","2","","","0-c51754b6c19c8ed6e7375e5a601263d9bb2a8422512900eb93c063eff5f1e291","root.record.ItemExhibitList.P5Item"
"GFE - Engines (Refurb)","","0","","","6.24","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","11e2057f9abed99e612c49be8b63bd39faa7447c36e13508837dc6a65d4114a0","1-e5a4a9fc89686434f83c31ba98602790e5cc7ad8d1c09c9ed0b83b77f2b0ea06","2","","","0-c51754b6c19c8ed6e7375e5a601263d9bb2a8422512900eb93c063eff5f1e291","root.record.ItemExhibitList.P5Item"
"GFE - Cockpit","","0","288.113","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","11e2057f9abed99e612c49be8b63bd39faa7447c36e13508837dc6a65d4114a0","2-9bbd161ec7066728e9840c15737b9b983407cdaa02ce037acac2a1e9f011c472","1","","","0-c51754b6c19c8ed6e7375e5a601263d9bb2a8422512900eb93c063eff5f1e291","root.record.ItemExhibitList.P5Item"
"Cockpit for FY13 EOQ/Long Lead","","0","13.2","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","11e2057f9abed99e612c49be8b63bd39faa7447c36e13508837dc6a65d4114a0","3-ec0bb862e04d45110cd21a7473d5edc047fd9a62d427ed0ac54d6cf20331b4ba","1","","","0-c51754b6c19c8ed6e7375e5a601263d9bb2a8422512900eb93c063eff5f1e291","root.record.ItemExhibitList.P5Item"
"Cockpit for FY14 EOQ/Long Lead","","0","3.5","11.925","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","11e2057f9abed99e612c49be8b63bd39faa7447c36e13508837dc6a65d4114a0","4-7d6a4d57a67762cd25af48e9e1a5ceab2e7a40653643d7bceae7abee9ed3e321","1","","","0-c51754b6c19c8ed6e7375e5a601263d9bb2a8422512900eb93c063eff5f1e291","root.record.ItemExhibitList.P5Item"
"Cockpit for FY15 EOQ/Long Lead","","0","2.25","1","5.3","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","11e2057f9abed99e612c49be8b63bd39faa7447c36e13508837dc6a65d4114a0","5-bde9d3b59037463ada7cd911befa9e38ef0dc849a83e0d3a57b1e7f41917b350","1","","","0-c51754b6c19c8ed6e7375e5a601263d9bb2a8422512900eb93c063eff5f1e291","root.record.ItemExhibitList.P5Item"
"A/C Misc Avionics","","0","131.031","14.11","8.093","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","11e2057f9abed99e612c49be8b63bd39faa7447c36e13508837dc6a65d4114a0","6-085e63cb594d987177093eb6583671cec603f4b7a079216b3ef0a52ccc25a5a3","0","","","0-c51754b6c19c8ed6e7375e5a601263d9bb2a8422512900eb93c063eff5f1e291","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","20.334","2.937","5.025","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","06680dc3836a209524618651e0446b6a8dc3c6f52cea62a6d53ecda252f45665","0-bfc0a55e9b984cfb2faeac8b8944dc2485907095f49b48ef467863b0a8277cdf","0","","","0-fbe99530fb9f67ed43eb9fd4d3794fd3a61ea8ea994bf23b997cb40918dc2f00","root.record.ItemExhibitList.P5Item"
"Other GFE","","0","32.177","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","108643ddcdafe914755992eab66b9ae05f99cc19273369c281e573ad96275874","0-a44b2e3ac486048d724e56bca1152e092b11339445ee0146b3b23df1585feecd","1","","","0-10a0c6f5575590710ef87fbfecc384324bf8a650bfad8b38dfb97f84d45628a7","root.record.ItemExhibitList.P5Item"
"JTIDS","","0","16.955","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","108643ddcdafe914755992eab66b9ae05f99cc19273369c281e573ad96275874","1-f1c0efba31eedcec91cdf2290e81489f083bf84a4f17c0b2ea898c4dee246072","1","","","0-10a0c6f5575590710ef87fbfecc384324bf8a650bfad8b38dfb97f84d45628a7","root.record.ItemExhibitList.P5Item"
"Engines","","0","14.9","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","108643ddcdafe914755992eab66b9ae05f99cc19273369c281e573ad96275874","2-d5ecc48a2ca9deca3abc61d930c2f0620373ff7c2ad99aa9c74dba0428fe70bc","1","","","0-10a0c6f5575590710ef87fbfecc384324bf8a650bfad8b38dfb97f84d45628a7","root.record.ItemExhibitList.P5Item"
"Engines T.L.","","0","51.038","8.049","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","38ae55149faaf6352cb51a412b789caa481779bad9453ad4e9140191176f9c89","0-b0c8aebc8436a02cee432c75b9bbe931d69d4b242c17a8ad4333ffa55ecd9e3d","2","","","0-7e8c36b229092b5062d5a5ff11f39a986594696d0a3eb1adc2e7776737e7efbc","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","10.533","5.501","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","38ae55149faaf6352cb51a412b789caa481779bad9453ad4e9140191176f9c89","1-aeb5bc3021b18b6c504be61efb2227cd45ead0e5f766c9b7cc879c36317fe326","0","","","0-7e8c36b229092b5062d5a5ff11f39a986594696d0a3eb1adc2e7776737e7efbc","root.record.ItemExhibitList.P5Item"
"Engines T.L.","","0","289.04","","9.747","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","0ac4b5f78aaaccf3d3fdc58990ee0a291fcfec67f3de84643b6709e8c898a0ea","0-cda80dff7d5faed9c31e18250212910fa431f1454542d63de270876fb2705f3a","2","","","0-055adcfd51b7cbc06c1d50c78f95fb1d1e19f01d804e81ae2e4bfdf317c0e34a","root.record.ItemExhibitList.P5Item"
"ALE-50 IMPLC","","0","19.15","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","0ac4b5f78aaaccf3d3fdc58990ee0a291fcfec67f3de84643b6709e8c898a0ea","1-073dbfe4778c8fcc84c310e2b5dae9dd279bd6ccec59771678ba1c4716475005","0","","","0-055adcfd51b7cbc06c1d50c78f95fb1d1e19f01d804e81ae2e4bfdf317c0e34a","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","25.294","0.334","7.197","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","0ac4b5f78aaaccf3d3fdc58990ee0a291fcfec67f3de84643b6709e8c898a0ea","2-2c0088dedd4ca8a67e3edff69926dd1486f77f50004da919dede736ee9f33ca9","0","","","0-055adcfd51b7cbc06c1d50c78f95fb1d1e19f01d804e81ae2e4bfdf317c0e34a","root.record.ItemExhibitList.P5Item"
"GFE Electronics","","0","18.946","2.055","1.804","0","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","af02057f64346f857e82214e93a4300fb19bdef7f350300012d090f02a8b8f12","0-d87a3c039342bed6f5226671e3a4724718cc259ad6b15406a22e54820ee8e3e7","0","","","0-e07beeb7bd6e14c233ef086eeb3535f619e151f5ca272b5955c5a56c2d411b76","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","1.952","0.211","0.084","0","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","af02057f64346f857e82214e93a4300fb19bdef7f350300012d090f02a8b8f12","1-ffed7840c663b04a759360c6eaadd7f987089ef2398a59c2e1d189c8699a1f03","0","","","0-e07beeb7bd6e14c233ef086eeb3535f619e151f5ca272b5955c5a56c2d411b76","root.record.ItemExhibitList.P5Item"
"G.F.E Engines Termination Liability","","0","126.443","3.229","9.477","2.36","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","56c81865bcc8b3d4b9b17f2811c70e81fe0c9d7dba555b1d78a5970c3054084d","0-603986ffd7ef13dc943d7caa743f34944c23c0c26d06709707098f098e4eb7e7","1","","","0-1c23051839de1dd99c26faf68217ea80feca7250c70b243c7e53525feaf93494","root.record.ItemExhibitList.P5Item"
"GFE- Engines Termination Liability","","0","206.544","12.681","20.639","37.43","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","7d26e0c019a4f08ff4cf67ac8e1d90038962bd46457df60a33543db3dfa22163","0-373a572de204cdf5d9ea538cdeab8a1f0d29d82be6126634e063310d1a3a3a02","1","","","0-e236b357f48390d4ba3266ea00584c40af545d54c6d1945702e3e6f0d7fe83b7","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","85.874","0.154","0.148","0.165","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","9020003fada37f13381c9c7964300a41a7cb60c91c6bc034fd3cc2d5f301294e","0-388b1a4b3500b1d0fcf986963b9e74fb6b081a07e7b5ab9d25d0ed6b9be73035","0","","","0-0e79b7fd5117426baa257ccd261e82cf332d8d99a9dff983abbe28a11e3a44ea","root.record.ItemExhibitList.P5Item"
"CFE Com/Nav","","0","15.496","2.654","1.622","2.535","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","9020003fada37f13381c9c7964300a41a7cb60c91c6bc034fd3cc2d5f301294e","1-a467d6a6ac98a9c08ab80e3e052c7519fee28102399fae5726dfa4ffb55a74d3","0","","","0-0e79b7fd5117426baa257ccd261e82cf332d8d99a9dff983abbe28a11e3a44ea","root.record.ItemExhibitList.P5Item"
