Name_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","1","7.716","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","028ffa7fcb4f7f7ad6864d6215a5a707b8bf3d6d8c656eb33777540924aa790a","0-224b86349dc8044f4cf36cef7d635649de51de6cef5effc5fc7899b8e0214980","0-0e82390e9e5cb8419cdd63c5f05ad08f06a25f0f804ca74c3fc514925d921779","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","46.296","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","028ffa7fcb4f7f7ad6864d6215a5a707b8bf3d6d8c656eb33777540924aa790a","0-2bb9a1e232f5aab7de8906f3eef0f0fdd42ca9eb09ae023b814ac91d15637a6c","0-87b92c51dd048dabf8af03412a39a9b3d55417036951420055f4dd005d3543bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","5.352","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","028ffa7fcb4f7f7ad6864d6215a5a707b8bf3d6d8c656eb33777540924aa790a","0-85010dbc0801e12ba118caae07a1a9253da9ba39b0a309cc88f227606e9d0ac7","0-00a507adb1471d0b79531460e14b510fd802cb280b2524de6834a3e2a7f20a96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","5","49.887","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b01865c9a4319b1f4459a7b6687c852884ba93995a0a60013558c68b2a00e34e","0-ad01f39b4f2bbf3bd0aa67bf06f2ed593efa2d7e9686d48031a064da538c2fb2","0-a25359ba5d41ecf41304ff7c9115e62ec31bc972592261d87f3fd66e9bf672bb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","2","6.87","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","beedc27ca541947adf319bb5b1b581dfd5214e64502e92cc1fff70badf58b344","0-6c326792b41b095ba8b47a088abebd6dd6b0bba683fefbd248aaeae346811679","0-ac67acc78d83b39019bb52f79c387ab0d182cd0c9f551a40b67d6126ad97dc03","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","21","0.466","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1b69f888ea8ce167d58a275c92aa54a5c14d3e3ce7280432298742ab6fb44e8e","0-ae12e9b959b858ee9f355a216a03305346ebcc3f2bb2c2df76d751b908f56f30","0-0318ab6776a28f60a6a03e5d93c21ccf2105c53d967e328b62b14aceb0f96690","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","8","0.4","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1b69f888ea8ce167d58a275c92aa54a5c14d3e3ce7280432298742ab6fb44e8e","0-c7e6d2a864f55e1ce1c4d3ce5c0768afa7b3028555f20155ee477c6e043215bd","0-ea4d7a4963e103d3ea9c3a547b76c9e9c3084d4f51064dea486d034ccfd7f103","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","18","1.135","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","55ff224b0c16f6229c62c5aefbbcc36d0cbf265d66b4c8a46704c153db79c343","0-fdeedb6761bcb1a949b606677115b2904633336a1673da97f8e53479005c6c20","0-035ddf9292657b9f61d3966294bd2fd3835939115df06f48c88e5d41a6620da9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","3","0.602","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f0cecf92e78750ad3bf3ef2b8495d594d59d44edb77834f052cce057844b5ab0","0-c099273ba71241607da51f837b7dacc0c70e8622003eb984a0814919cc6ea5a2","0-6ec8f6c346659bcccb63930f4ab8c141c8f07022f5635ad23f8bcd93be87d9e9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","16","2.356","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4f0ab9d14578cc6bfee3e9148e7219945f7080d5198ad3b238d32931844eb009","0-56aef0723409b8bd5e5692acb7ad4fad488a2e4c7eaccf592fffdfcc636e66a7","0-8b29ac8973e03c37426eac36bd953701895e111725eafa1253fa6b4cdb5f547c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","12","6.863","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4f0ab9d14578cc6bfee3e9148e7219945f7080d5198ad3b238d32931844eb009","0-df5fe85e698812a0d37e9f2567cb80c641918a591183e1b7a669de6770d51bfb","0-9d5899976722240634fe30ffe134e82dfe0edbb58e81e03d58fe641cf2c33a43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","5","0.24","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4f0ab9d14578cc6bfee3e9148e7219945f7080d5198ad3b238d32931844eb009","0-a294f7a1f2f7cf861cd5c94e33a63217f56bfbf5891e0715ba811c82c4ab11c1","0-caa92ac36330ac0f62af30b24f8ef1f0717c93d62ff90c81dfff31d5052d1fd8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","125","5.474","6","0.226","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7b0bb28de001b4df3842a576b00ee5aa44b748876b0719810c52690c331085c4","0-09c53be7e2c9d2d8e4cac01035e36ecf5ffa297e6513ba312c4d2b124c9e374f","0-8323568a5b127e8cc72dad515b4562cb99fdd484618f19354169ecc4d611b970","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","6","3.516","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ed4cfdf8521c3052321f8c9602acad3c998f838213e42624f691abf967734ebe","0-9c04f4d884780152351ef1237a259fe8487ab008d2e8caf1ef85b8d289a844aa","0-a95075e8fa615a7812dd264d68c1a2391ee88b62fb50da22deb865cb3acb625a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","27","0.238","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ed4cfdf8521c3052321f8c9602acad3c998f838213e42624f691abf967734ebe","0-3fc720e52fa1ff85563c231323fbeea27250b13d0fdb54202355e82c417a081f","0-3a8dc9ecdd2a6dca70d8c0ad97ea1da3195d2196010413535190a86025bd3a25","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","203","22.126","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-64cf68bba8c197a7e429b7d83a29c11b45b7980e6877ce6a33007e68794ea71c","0-21c9316c486d868515b74852133e5f86f360053a1fbdb43e713d344e73e68cf7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","25","2.725","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","1-754f266e4b169a244cb546ea8826d740fade7df84b757c94a51c799c5bfcb8a9","0-21c9316c486d868515b74852133e5f86f360053a1fbdb43e713d344e73e68cf7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","815","1.206","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-2ffb29d174157851fe269dc77928a548733928187209d009a58d070e5df1744a","0-4e7a787909c0abf86fce080dc260f96a3840585e8912f52ecfff9346125f358b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","71","0.105","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","1-08d5e0efe7ac7076adb472285228131da6245b6cb6ac47eefa80bafd7bb7c1a7","0-4e7a787909c0abf86fce080dc260f96a3840585e8912f52ecfff9346125f358b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","4","1.778","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-7ccc774181d2bfef7f86517fb529e95e8dd51235155c9507a5f98d8a611eae2f","0-b50768f00993fb37d1085a7ffc4ef9e1eb0b6740e19bfbd09407124092ca2f1b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","14","1.803","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-94ffefe0affcddae32b1602172c89a60f87fd2c2594da7ba3e3dd504cf8eda5f","0-1e87e4cc9aa148ecea7972ce441aae44e9d2554162c906a01eeec53f238f97a3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","33","4","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a6adc06083128a68743f6fa93f5f39d91b0b25d0574c49068ce49ce9d3d39fcf","0-aaca07f80520df161f0a035567924992d9b83a7ae8759d303f0d5aeb6c3ca731","0-80611b4981082542e6fef92a421aadcc52b2665ae4ed939394bf0ec3be7c97b0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","1","12.74","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8ecd181f0be17491705fbab80b4dd0105939c12cd6f64d3cc41b3cbd45586462","0-4a034709cbb13f544d27f7e5a68cb70227605f6e7902ee55b0c37773d6957f34","0-feed0ea3d17d467333061285b823f3f7ba39a9f3576f86ede8c65597e55f9fec","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","1","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5901a4c8b0d4adfbe277a0b6d649d7a40850cdab63961f7b77d26372c000f59f","0-23cd06c17d5e0b2fb1a51080c80fd0fb8edd7b6d2b2b367c8a917cb86f06043d","0-e6b000126bccf5df2bf25dc7f715565f23ce0a194e07122fe8730630625f8bdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","1.07","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","962d4978fc38de3ceec0b361291851cd9f0dc9ee6550978e513db4bc0cac01a5","0-6374c29e268dc5cd223dee97f572e70f643056ba33503a796c416b65173e48c1","0-e4c7b9a4855c6594d810fadcb88bdddf161ea6e58716c6fb5c5e83fe7f12ad50","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","0.913","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","962d4978fc38de3ceec0b361291851cd9f0dc9ee6550978e513db4bc0cac01a5","0-f1f1d56562c9dc93d6e9c21e56a4d8465278fadc3c6c9c9c770a0308da67d503","0-d70841316e75e7592dc7dde8a651b8eb58f063d4d769c1086c8590256048c0cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","1","1.8","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","962d4978fc38de3ceec0b361291851cd9f0dc9ee6550978e513db4bc0cac01a5","0-2189c388ae3791157995b715d6687721bd9bf1f20f351024364e26cc4a0a0e3b","0-b09bf8671f2ba601bbea87b13cadad2b284c92e15823d67466a8bc52abef8623","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","16","4.615","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","924b67d925125ae784e18ba5231b1ef1bb76ca9bae6fb77405d2b7b952f1a4c4","0-2812d09aa2d9328a00ce54e40fe157d4c51a325695859b496f73ad8e56f55563","0-cdaa7019f1981a167cef6f3d4a9d38f31f8d927979d1fd9a59f5f912362171d0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","19","5.48","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","924b67d925125ae784e18ba5231b1ef1bb76ca9bae6fb77405d2b7b952f1a4c4","1-64deb7e5d1aa6babb2553a8fff94c79de711631649f4daf0adf5b326e0f8cf52","0-cdaa7019f1981a167cef6f3d4a9d38f31f8d927979d1fd9a59f5f912362171d0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","5","1.442","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","924b67d925125ae784e18ba5231b1ef1bb76ca9bae6fb77405d2b7b952f1a4c4","2-7f762b028aad96092e1ec103776efb4cce62d50ebb9203b7c02ad8c3458fde90","0-cdaa7019f1981a167cef6f3d4a9d38f31f8d927979d1fd9a59f5f912362171d0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","10.866","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","401e0514fcb24be219637162e13c026e0aff3fe4f07fc06a930c9a43285b5659","0-0e85eeb17671e5ce1cb0e71df77c548743e9cf77e54d4ac31fb54766b492b665","0-55ffe2a56baf65ae9d667b64bebe0398a2ed5cf0851cd91b26ee4953d8dfc36e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","7.716","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","25f69fda9244bc379e974d5e4441cc933b9e2dc3b96860b4244dfaa5bb21d39c","0-8f98014a507ac233b39e2a21937ca8992e37ddbb2389286b3004659763f99343","0-fbbb22ddc65cda8b5c51a9a83e2a4e3fce2d1f170138098e8e9a55d492c0edaa","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","46.296","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","25f69fda9244bc379e974d5e4441cc933b9e2dc3b96860b4244dfaa5bb21d39c","0-91ea58193d3dc90e47e0082d221c4c31c6a1b57cb71b61120974724b9099cc36","0-51445b794a5be68c8605c1d1e8c71eb010dfac2afe5a6f9682a42cad5884ddcc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","5.352","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","25f69fda9244bc379e974d5e4441cc933b9e2dc3b96860b4244dfaa5bb21d39c","0-80e3f0ff7eabdc7d1b6605faa6c81217f6bb743736761c6345f11375b6ed6c4f","0-a48c7c14006544416953cc2cd731a69a0321f18e4bb73c7c8faf88552ff2683a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
