Name_val,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_Continuing_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_Total_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_MinimumSustainingRate_val,ManufacturerList_Manufacturer_MaximumProductionRate_val,ManufacturerList_Manufacturer_Rate185_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"FASTeR / PALS (ICS)","A","2336.15","","","2.127","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","2338.277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","601ae9dd8603462a448ce4d407a902973eb716363e80382a2192b3c80a95bac8","2-f3068c89eac7ace872ae9a4c0263ac782d54c4ed09c5737182efd241446b8060","","","","","","","","","","","","","","","","0-6d983450dcb3cb342f1dea6abb48d150b04002884b639801753b56b6f03cd711","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 10","A","324.974","46.425","7","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0","324.974","46.425","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1f4f127078b801cf69bd1d343ce10449d87168a46400edc6f8142cdafd8b4153","0-c92bd13840d836730572c053f8b03f7f0c64dbcfc2354fa098d91dce835b9c06","","","","","","","","","","","","","","","","0-dcf781ca9fedb62d7984ef88669db84e9927909f4efcb1edff617e919d773334","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 20","A","326.777","54.463","6","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0","326.777","54.463","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1f4f127078b801cf69bd1d343ce10449d87168a46400edc6f8142cdafd8b4153","1-dc4d293d07a6dbdb0abb2f175d5a335b6513c2f0372e23298a931dd64a7153fe","","","","","","","","","","","","","","","","0-dcf781ca9fedb62d7984ef88669db84e9927909f4efcb1edff617e919d773334","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 30","A","1161.886","72.618","16","207.403","103.702","2","363.141","121.047","3","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0","1732.43","82.497","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1f4f127078b801cf69bd1d343ce10449d87168a46400edc6f8142cdafd8b4153","2-233c21c7a3ca50af43d9ed643c554f8bf01632bb1318ae1ab4b126525e1198aa","Northrop Grumman","Rancho Bernardo, CA","1","6","5","12","3","25","28","12","0","0","0","","0-dcf781ca9fedb62d7984ef88669db84e9927909f4efcb1edff617e919d773334","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 40","A","720.29","80.032","9","210.587","105.294","2","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0","930.877","84.625","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1f4f127078b801cf69bd1d343ce10449d87168a46400edc6f8142cdafd8b4153","3-1c446e8138a7fbc61cc39d9e794a5cf6f85563b260e7e8881a8dc9f8b01b1ad3","Northrop Grumman","Rancho Bernardo, CA","1","5","5","12","3","28","31","12","0","0","0","","0-dcf781ca9fedb62d7984ef88669db84e9927909f4efcb1edff617e919d773334","root.record.ItemExhibitList.P5Item"
"Common Ground Station","A","218.212","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","218.212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1f4f127078b801cf69bd1d343ce10449d87168a46400edc6f8142cdafd8b4153","0-0c01f614823288510a7e6b03370f491175cd815ab1ceb8a98521ef9db4b03f71","Northrop Grumman","Rancho Bernardo, CA","1","2","1","2","5","4","9","2","0","0","0","","1-1e920f0695c1b31b543eb734f6e2a21dc52d3a9f310fd19a7304428e2912dd23","root.record.ItemExhibitList.P5Item"
"Other Support Costs","A","493.621","","","155.039","","","104.118","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","752.778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","9dd66c90956de6fb6fc18d284df72a8cc1caab1358115d5f2865730d167b4a3b","0-5fde44e6ef2d744768ea10e22544c3b145ae6d20e8256f29885079648958b5df","","","","","","","","","","","","","","","","0-f8eec83fa13a2da4d1603e36360d63311843cf04978ab6ce6a6afeb6b7d45759","root.record.ItemExhibitList.P5Item"
"Production Support - Other (PSO)","A","1258.306","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","1258.306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","9dd66c90956de6fb6fc18d284df72a8cc1caab1358115d5f2865730d167b4a3b","1-790cba383c527b058a3c4680de09061b47ecc69e623150575c510568d25024bc","","","","","","","","","","","","","","","","0-f8eec83fa13a2da4d1603e36360d63311843cf04978ab6ce6a6afeb6b7d45759","root.record.ItemExhibitList.P5Item"
"FASTeR / PALS (ICS)","A","2336.15","","","2.127","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","2338.277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","9dd66c90956de6fb6fc18d284df72a8cc1caab1358115d5f2865730d167b4a3b","2-e2737fdf5ba54efa6c4f04bef818d96bdca5f9371ea52aaf07a2522504f30177","","","","","","","","","","","","","","","","0-f8eec83fa13a2da4d1603e36360d63311843cf04978ab6ce6a6afeb6b7d45759","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 10","A","324.974","46.425","7","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0","324.974","46.425","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c6bab01f0a3102b466c221b8193722f8b6637d9b29cc98c18c29fc94b0ad9b","0-11164b659d2c87cef52b7bc58026b63d5449af7c92394254c342f9ab07b544c7","","","","","","","","","","","","","","","","0-31762b4fa5de78baf95d5dbf9079df30007c3fc68877c43da1b967f75aeedd7d","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 20","A","326.777","54.463","6","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0","326.777","54.463","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c6bab01f0a3102b466c221b8193722f8b6637d9b29cc98c18c29fc94b0ad9b","1-b4ff57dd407ec84b869caea04842e1e61f6ab7185a48b7f28cf3efe187dd45e9","","","","","","","","","","","","","","","","0-31762b4fa5de78baf95d5dbf9079df30007c3fc68877c43da1b967f75aeedd7d","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 30","A","1161.886","72.618","16","207.403","103.702","2","363.141","121.047","3","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0","1732.43","82.497","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c6bab01f0a3102b466c221b8193722f8b6637d9b29cc98c18c29fc94b0ad9b","2-90fdfae02aa1e0bf1009c8c30fd01fac46e95458370518a54b2e95f44a5f19b0","Northrop Grumman","Rancho Bernardo, CA","1","6","5","12","3","25","28","12","0","0","0","","0-31762b4fa5de78baf95d5dbf9079df30007c3fc68877c43da1b967f75aeedd7d","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 40","A","720.29","80.032","9","210.587","105.294","2","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0","930.877","84.625","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c6bab01f0a3102b466c221b8193722f8b6637d9b29cc98c18c29fc94b0ad9b","3-b1f2f47223d000f384bdd83f1ed0a2a491c728951d0bc7525141bdcd252d5068","Northrop Grumman","Rancho Bernardo, CA","1","5","5","12","3","28","31","12","0","0","0","","0-31762b4fa5de78baf95d5dbf9079df30007c3fc68877c43da1b967f75aeedd7d","root.record.ItemExhibitList.P5Item"
"Common Ground Station","A","218.212","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","218.212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c6bab01f0a3102b466c221b8193722f8b6637d9b29cc98c18c29fc94b0ad9b","0-005f41033eee334f48191107f850038aecbc4652b25d358f01f3aba85ea5d67b","Northrop Grumman","Rancho Bernardo, CA","1","2","1","2","5","4","9","2","0","0","0","","1-3a25d35a9ddec6abbc90fcc2cbbcaa0c90f99afb94fdbd4f49cd7ccf1554d4a6","root.record.ItemExhibitList.P5Item"
"Other Support Costs","A","648.66","","","85.722","","","","","","","","","","","","","","","","","0.000","","","734.382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2499385314dda2f044f58afdb60d539c0ee96cf4b3297edd2576c40e65a925f7","0-bbe84314596c306339cdc1f9100f901c47a88344b11cecac51c850e9d6696ccd","","","","","","","","","","","","","","","","0-43981722f324f202128ad7b718076dcfd1e8b93ac47949225b8c876633c1729e","root.record.ItemExhibitList.P5Item"
"Production Support - Other (PSO)","A","1258.306","","","0.000","","","","","","","","","","","","","","","","","0.000","","","1258.306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2499385314dda2f044f58afdb60d539c0ee96cf4b3297edd2576c40e65a925f7","1-016134987a3add36c3995fc9e894d13b9bf939b02544605e57efba1bc926171c","","","","","","","","","","","","","","","","0-43981722f324f202128ad7b718076dcfd1e8b93ac47949225b8c876633c1729e","root.record.ItemExhibitList.P5Item"
"FASTeR / PALS (ICS)","A","2338.277","","","","","","","","","","","","","","","","","","","","0.000","","","2338.277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2499385314dda2f044f58afdb60d539c0ee96cf4b3297edd2576c40e65a925f7","2-18e59e29f8cd65ff3fa5656c0321193d6760a1b23767c973912e1a1cce116dc1","","","","","","","","","","","","","","","","0-43981722f324f202128ad7b718076dcfd1e8b93ac47949225b8c876633c1729e","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 10","A","324.974","46.425","7","","","","","","","","","","","","","","","","","","0.000","0.000","0","324.974","46.425","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6344ffaffcd0dcf02df1b26345df842a688214ceb4388fac2c0f9d260faa4e49","0-0535a9664295c1c40c79b519d00e4037ec7233bc81a29dae26b202e2c8d8d649","","","","","","","","","","","","","","","","0-c18fdd2a5c0767105b4a3d3c83b401edd4db1b7d7efcb3496f584c401b4da71e","root.record.ItemExhibitList.P5Item"
