FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,RevisionsAvailableDate_val,FundingVehicle_val,@PARENTROWID,@PARENT
"2016","","WPAFB, OH","2015-12","2018-12","2","8.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","5-d031dba1704fc8dc0836a9a3195ade902a2653d51ce739e28fdd9e25b1a1e53b","","","0-17a640ac8abc4a70526ef08a434bf3095518d58a7e12c0c60cd0c5133df6dcb6","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2012","Congresional Add","WPAFB, OH","2012-03","2015-06","1","10.000","true","2012-02","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","0-6bd969330b690dee3fc421065c5e858e52e8b69a93f8f28af5c10f1102c4d098","","","0-c224734b23117f9af5d64e5bbb1fcbfb21b3dc679740c21e3f0b064fa28bf83b","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2013","Reference footnote (1)","WPAFB, OH","2013-12","2016-02","1","10.000","true","2013-06","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","1-049764b0695aa1eec0fccd25b87e4d6f53993725dfad758f760783a319c7e0c8","","","0-c224734b23117f9af5d64e5bbb1fcbfb21b3dc679740c21e3f0b064fa28bf83b","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2014","","WPAFB, OH","2014-03","2017-02","4","8.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","2-e808dae1aa7e7e91ef53b00732849fcbca2460713fec809d4dccf424234335b6","","","0-c224734b23117f9af5d64e5bbb1fcbfb21b3dc679740c21e3f0b064fa28bf83b","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2015","","WPAFB, OH","2014-12","2018-04","5","8.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","3-f86f135430e42bd64b705df2a51e6f8cd2ac2a681e4cd5becc17f0221874a09d","","","0-c224734b23117f9af5d64e5bbb1fcbfb21b3dc679740c21e3f0b064fa28bf83b","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2016","","WPAFB, OH","2015-12","2019-04","3","8.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","4-3ee111a0e880ef78d587c9d658e3f40d9019bd62275d96e091d65a5e8a1a54a5","","","0-c224734b23117f9af5d64e5bbb1fcbfb21b3dc679740c21e3f0b064fa28bf83b","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2018","","WPAFB, OH","2017-12","2020-05","1","8.000","true","2017-03","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","5-b7ed5ad95ce0906114d0030c70e7e56ac47984001eb4d42e38a513ba52add231","","","0-c224734b23117f9af5d64e5bbb1fcbfb21b3dc679740c21e3f0b064fa28bf83b","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2012","Congressional Add","WPAFB, OH","2012-03","2015-05","4","10.000","true","2012-02","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","0-b055897bcf00fe23ffd378d95c6dd9770939b77a3f4c348293529b9a9030e809","","","0-4cfb72f736725f6fee8cedaf652919bad4b7f9ddca3b54b765a5817a74082988","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2013","Reference footnote (1)","WPAFB, OH","2013-12","2016-01","4","10.000","true","2013-06","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","1-78ab72ad153837175b70066b48e85c6568e61035725bc2089725e17733ebc2a2","","","0-4cfb72f736725f6fee8cedaf652919bad4b7f9ddca3b54b765a5817a74082988","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2014","","WPAFB, OH","2014-03","2016-12","2","8.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","2-49479b50d343f182956479746e852ec3038fb89e7581a8f5a679797785015a60","","","0-4cfb72f736725f6fee8cedaf652919bad4b7f9ddca3b54b765a5817a74082988","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2015","","WPAFB, OH","2014-12","2017-11","8","8.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","3-a2630a143c13647188a4c26b2125e02b412fad96a1af6017ba30306e380fe93c","","","0-4cfb72f736725f6fee8cedaf652919bad4b7f9ddca3b54b765a5817a74082988","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2016","","WPAFB, OH","2015-12","2019-03","9","8.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","4-2a7da0f34d855bed1dc11bb6ce2821cae18baf8448013397f8f80cf9fda62ed5","","","0-4cfb72f736725f6fee8cedaf652919bad4b7f9ddca3b54b765a5817a74082988","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2017","","WPAFB, OH","2016-12","2019-12","5","8.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","5-22462e2971cfcf1d8dd81324695462c7f15dc6aefc8fed2b6937bda530172a9e","","","0-4cfb72f736725f6fee8cedaf652919bad4b7f9ddca3b54b765a5817a74082988","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2013","","NAVAIR","2012-12","2016-03","3","5.000","true","2011-02","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ba7a55b890941cc9f4565d78cfacfc7950f69af2644c25b93e58b8043154ba13","0-1e254697ed498e440e9e3f7e9557ebfb01b9d0e0d100a3be4fc6f475daa5ba56","","","0-426701a87534abaca2fac96f8529aed03ce1cf2314c8cd8d4bc0053ce12f8b07","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2011","","WPAFB, OH","2011-07","2014-08","1","9.877","true","2010-12","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","d17d6ee2f2b2d7f3a6fe2a2b61898c3ff891fdea63f7b83d1db336a7c6f0ec04","0-e9aca97d1661281c5e065d364c9e1c795c7f0de07e18fe1fbb6fd8b10067a191","","","0-f1100ed22f96d7096fec5fb01f94bcbd0e66e4aa40831f2b5e39f2ac3be88563","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2012","","WPAFB, OH","2012-03","2015-04","2","10.000","true","2012-02","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","d17d6ee2f2b2d7f3a6fe2a2b61898c3ff891fdea63f7b83d1db336a7c6f0ec04","1-24cf3675f0683cb84cf5ee2e58419a78de8561617e8a005d9357c6f59359561b","","","0-f1100ed22f96d7096fec5fb01f94bcbd0e66e4aa40831f2b5e39f2ac3be88563","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2013","","WPAFB, OH","2013-12","2015-12","5","10.000","true","2013-06","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","d17d6ee2f2b2d7f3a6fe2a2b61898c3ff891fdea63f7b83d1db336a7c6f0ec04","0-47ee1ea7dde0055e54bc66e1e5ac69f57ecfc44205be89a308a122f7111038cb","","","1-36a2da180efaa562bee5256a9be8aabde40a9603b4ae448e39dba6b5551eeeda","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2010","","NAVAIR","2010-07","2013-02","22","9.847","true","2009-04","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a90a3faa8661f0958a0901808890d67093da1edc0728f26e9236e37ed3b54059","0-183e52734acfd12f2b1b236d82fa03828173c933f099e6f6d0c9d80197384eaa","","","0-6cf8bb704b26e8f5677ab85d063cd89f77f7dc5f4d73a3075e43a52911f5c624","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2011","","NAVAIR","2011-08","2014-03","18","11.139","true","2010-05","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a90a3faa8661f0958a0901808890d67093da1edc0728f26e9236e37ed3b54059","1-088e533891066cbbe9c07d66a2fbda4d255b41918139936425e2234e8105a151","","","0-6cf8bb704b26e8f5677ab85d063cd89f77f7dc5f4d73a3075e43a52911f5c624","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2012","","NAVAIR","2012-06","2015-05","19","19.400","true","2012-04","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a90a3faa8661f0958a0901808890d67093da1edc0728f26e9236e37ed3b54059","2-b22739f066128588806a68e6cd32bad09c0bb36474f6d5a3bdc336bac96ed0aa","","","0-6cf8bb704b26e8f5677ab85d063cd89f77f7dc5f4d73a3075e43a52911f5c624","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2013","","NAVAIR","2013-02","2016-02","19","12.041","true","2013-01","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a90a3faa8661f0958a0901808890d67093da1edc0728f26e9236e37ed3b54059","3-a60027a05c8a94541261633d330e1faf4d10c2bb35058b143996576741a4d342","","","0-6cf8bb704b26e8f5677ab85d063cd89f77f7dc5f4d73a3075e43a52911f5c624","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2014","","NAVAIR","2014-03","2017-01","26","13.512","true","2014-01","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a90a3faa8661f0958a0901808890d67093da1edc0728f26e9236e37ed3b54059","4-21a0e35db3fdee7cd63835b8d2d2db59250355db90ad876e074d37ca9d2d9920","","","0-6cf8bb704b26e8f5677ab85d063cd89f77f7dc5f4d73a3075e43a52911f5c624","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2015","","NAVAIR","2015-03","2018-01","44","5.174","true","2015-01","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a90a3faa8661f0958a0901808890d67093da1edc0728f26e9236e37ed3b54059","5-08c0e0e805cdcd89cf1371fa6d1bcfb426287d9e4a715b237a7399d3d2eb6d83","","","0-6cf8bb704b26e8f5677ab85d063cd89f77f7dc5f4d73a3075e43a52911f5c624","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2011","","WPAFB, OH","2011-07","2014-09","1","11.055","true","2010-12","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8e9b86220f90ce455a14b686aeeb045957500e61279471fc35c4187b1270e5ed","0-4288166f8f9149e0c12acaeae00c3763d5ff9a3c576046072e196114a9aaf038","","","0-60b6828f90b5fc681a93b11e202684a81f70b1108fa5a84943027dde3e713160","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2012","Congressional add","WPAFB, OH","2013-11","2015-11","1","10.000","true","2013-04","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8e9b86220f90ce455a14b686aeeb045957500e61279471fc35c4187b1270e5ed","1-9ec681b9f8d722d1b886b8c20a97dd0f515f86ff1569f0ae210dc2973ccb69cc","","","0-60b6828f90b5fc681a93b11e202684a81f70b1108fa5a84943027dde3e713160","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2013","Reference footnote (1)","WPAFB, OH","2013-11","2016-01","6","8.000","true","2013-06","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8e9b86220f90ce455a14b686aeeb045957500e61279471fc35c4187b1270e5ed","2-b077de811026681b97f2e237ec2f4206f36e3b580e1cfcf3d566f8b7ff140cda","","","0-60b6828f90b5fc681a93b11e202684a81f70b1108fa5a84943027dde3e713160","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
