Name_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_AllPriorYears_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Army Active","","9.338","","12.107","10.259","","","","10.259","","11.729","","11.036","","14.139","","14.107","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","aa29b0676e180f49d3e18492c329b5cc6bb44a5200f31c6bee9b46e4f8c093d3","0-bc306bb1c9c2aeb903a8757a8794793e76d9fed87fc188860930503df127c98b","515-d7846918f91aa5bed58a24ef139db8c308dbd9752f44b19a90bd64ebe346e148","root"
"Army National Guard","","","","","9.571","","","","9.571","","11.859","","1.657","","4.101","","5.756","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","aa29b0676e180f49d3e18492c329b5cc6bb44a5200f31c6bee9b46e4f8c093d3","1-bf749b303d3667cfadce2378086fed185f2cd54f5b47d83138ab704d7c0007a7","515-d7846918f91aa5bed58a24ef139db8c308dbd9752f44b19a90bd64ebe346e148","root"
"Army Reserve","","7","","","5.012","","","","5.012","","5.309","","2.474","","4.372","","3.97","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","aa29b0676e180f49d3e18492c329b5cc6bb44a5200f31c6bee9b46e4f8c093d3","2-db52227e2972656cf9c3ae5abe60bfad8f78276364fcfcf6f3a27ec14deefdcf","515-d7846918f91aa5bed58a24ef139db8c308dbd9752f44b19a90bd64ebe346e148","root"
"Army Active","","0.814","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","2e348fcf0832e57832275336b0164a8961dffc2a3cf5ecff4c50a56b6180141d","0-56107b1b467374dbdc33924edcadf154e045490f581c36c288e40970dd761952","516-357a8df3b60183e091c3e63e2de6df45fcb8e06ed7b82ab6e0062a698f4bfd29","root"
"Army Active","","201.29","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","5cd4a0b2564c91b09097c2f6d1dcfd5cf79b4268b57749e69cf84ca23b46c6c9","0-bc90701eda865ed92871a4f5bff5dcc6339c01911addb48f7359be5e8668ae20","519-314b53bb6b222c5b3dce985d74278da9f8fc9297ab910551e2a10ffa1816bb16","root"
"Army National Guard","","7.803","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","5cd4a0b2564c91b09097c2f6d1dcfd5cf79b4268b57749e69cf84ca23b46c6c9","1-c2653140d980609fc537f4630fa103f37fc508d33b745fe374a72e782e7250bb","519-314b53bb6b222c5b3dce985d74278da9f8fc9297ab910551e2a10ffa1816bb16","root"
"Army Reserve","","0.138","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","5cd4a0b2564c91b09097c2f6d1dcfd5cf79b4268b57749e69cf84ca23b46c6c9","2-93a63609398a5931c49ecc57aa5fa8ed981df274a898d75a3d51c2981dc1cd66","519-314b53bb6b222c5b3dce985d74278da9f8fc9297ab910551e2a10ffa1816bb16","root"
"Army Active","312","37.467","900","86.062","15.747","143","","","15.747","143","12.941","104","15.206","123","10.565","63","26.675","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","6ac48f1e5ccc43fde4a7604a51ead8889cc88073c734223d919f2fe17bdd8fcf","0-5f56e29f9988e088a23e2fc5f22f52e4f959716bc9a02ab47c6a192793d94560","521-9a237979dfbb3f54dc36195b8f970923d327a9beae4d51dd41ecef8cb8ce705b","root"
"Army National Guard","","","","","8.041","73","","","8.041","73","8.394","68","8.109","65","9.861","60","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","6ac48f1e5ccc43fde4a7604a51ead8889cc88073c734223d919f2fe17bdd8fcf","1-ca6d034f45848d1f6fe382cd030fa8a84c20158f74040f46879109b2e931f9a4","521-9a237979dfbb3f54dc36195b8f970923d327a9beae4d51dd41ecef8cb8ce705b","root"
"Army Reserve","","","","","2.01","18","","","2.01","18","2.099","17","2.027","16","4.93","30","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","6ac48f1e5ccc43fde4a7604a51ead8889cc88073c734223d919f2fe17bdd8fcf","2-f2cca1b8bdcbd6f612f7bae7547f4cad3b5011b0a3ffa342128e41a0e3219d22","521-9a237979dfbb3f54dc36195b8f970923d327a9beae4d51dd41ecef8cb8ce705b","root"
"Army Active","","","","117.855","125.893","","","","125.893","","172.788","","206.938","","182.922","","165.179","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","8f8a8fbecc93a18b00a8ebd640e212b55eafbbb6b87bcdfef56dd9b5dc18f5a9","0-c43d0baa17a124701e62cf4f4f461c0bd66d8c46d3802e1cef4ae481a23cce3c","522-c2aa57fea2921ef9691e53f3d931b993fa0cdeabdbd2d7d1a1e134fb8cc68816","root"
"Army National Guard","","","","","7.298","","","","7.298","","3.704","","7.181","","7.715","","8.641","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","8f8a8fbecc93a18b00a8ebd640e212b55eafbbb6b87bcdfef56dd9b5dc18f5a9","1-d58a678aa9e8cbe5f9f8100e2f55932cacecac6e0157e067b2fb0a18d677f863","522-c2aa57fea2921ef9691e53f3d931b993fa0cdeabdbd2d7d1a1e134fb8cc68816","root"
"Army Reserve","","","","","","","","","","","","","1.963","","1.963","","0.986","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","8f8a8fbecc93a18b00a8ebd640e212b55eafbbb6b87bcdfef56dd9b5dc18f5a9","2-1a10ce4064e218d226698e90b134d013c5e776b76517af784b1b3762e967d544","522-c2aa57fea2921ef9691e53f3d931b993fa0cdeabdbd2d7d1a1e134fb8cc68816","root"
"Army Active","","91.451","","98.308","81.176","","","","81.176","","65.158","","50.7","","53.535","","53.117","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","293ead7cc48aa07b4a3c63964ad4a80c07137b40c3899bd616c0cd76b0d9965c","0-025bbdc245f29e5d2e8e1d45ee697baeb2ec2dd47541d26078a0a7f3939d98c5","523-d7e46a5a72983b48c28bb7536d6bb7cd2cb9f7422c73769c08acbcc2f6bbd5f1","root"
"Army National Guard","","3.955","","4.327","3.391","","","","3.391","","2.186","","2.182","","3.807","","3.676","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","293ead7cc48aa07b4a3c63964ad4a80c07137b40c3899bd616c0cd76b0d9965c","1-0de861b10beff33c7209dfb350b356c809f9a4e96416259741ab4a8966e0eca4","523-d7e46a5a72983b48c28bb7536d6bb7cd2cb9f7422c73769c08acbcc2f6bbd5f1","root"
"Army Reserve","","2.185","","2.884","2.713","","","","2.713","","2.769","","4.928","","7.705","","9","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","293ead7cc48aa07b4a3c63964ad4a80c07137b40c3899bd616c0cd76b0d9965c","2-b610fcfd6ca33936b11a705db6e62d72a86c8e83daec13fe25b670826286b0b3","523-d7e46a5a72983b48c28bb7536d6bb7cd2cb9f7422c73769c08acbcc2f6bbd5f1","root"
"Army Active","","345.783","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","544702242ebacc6bdacc934ce99d46a414f6864ad5a9e253747735c7e04dcbec","0-feaed86c24556b4099bcef478fed96d6e15eea96bf39f3906ce77806691846fc","527-d866511861e9bc002c74ba76f46aa549d3a5991a027b1b1334e109880fc4b98d","root"
"Army Active","","","","104.251","127.751","","","","127.751","","166.409","","125.349","","176.656","","155.324","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","477956583eb7820f41b8f62118522b8a8c6445a693b02803706b226d834e7d89","0-4aafd887d633b31ae8bc3b52e1aa787f904db76b1368213ab34f243a99a47601","528-8dcd844dddcf1d8748aa4f0429fc0421ca33a24a9efb18a0570eb37c33916bac","root"
"Army Active","","52.125","","62.746","77.381","","","","77.381","","47.67","","16.347","","14.08","","0.008","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","b91530f2d38ee276a40c9004cd0cfba4155a4d948779492c9edbaa8e4b07faae","0-3d1502cf60beae660c6bcf8b3ccf410bd8bf9fa7dfc6263e4f162dbfe532a135","531-14439c78243d75ed25bd16a9508c1a81d1732f82bad555bb27a891954a3f6efc","root"
"Army Active","","26.415","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","45af0de5b194f71598b3b7545f0c68afb49890ee6524dda678a828a953a72675","0-a85a8f36ca66952361fb96626be2754c2975de32103268df2bb8677744953d19","532-164f50f25693ed3ea5fb9603eb6cc3b85f9ea54f3e029d6be897f9f7ad78a391","root"
"Army Active","495","2.875","464","2.878","0.516","95","","","0.516","95","12.877","2152","18.758","2238","17.858","1437","18.229","395","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","5349141aadc917493f6339280be4d754d432c3ce4816f2c4a011f67c41fb76c9","0-da5e3eb2763f37224d16fd620ba9dc3d6f499f65be90140e7221e1e0772c8f0a","535-97c2b421b77247b3d2e8dd24d88d04e8fb41930587cc57b5d58bac8bbbe8d876","root"
"Army Active","11","66.78","1","6.421","119.992","15","","","119.992","15","75.343","9","70.651","7","85.629","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","9dfc62f4a1fb890ffbeac9a9e282fcf06bda6756c39d8a7db9ab1de1d714fae5","0-7cec643267da0949b6ec712608ad616bf53502ed25ea20d38acc23dedd4adc75","536-8d0b43450d9e6acc4cac0eaedd1bd6268a2abd781985f4533dc7688c03fd1c9c","root"
"Army National Guard","39","236.764","38","243.994","151.991","19","","","151.991","19","184.171","22","27.836","3","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","9dfc62f4a1fb890ffbeac9a9e282fcf06bda6756c39d8a7db9ab1de1d714fae5","1-b67af08e2fe95b1fc6529cebfe619353ecfa1c31db6d4b74eb462c40a661998a","536-8d0b43450d9e6acc4cac0eaedd1bd6268a2abd781985f4533dc7688c03fd1c9c","root"
"Army Active","16","491.034","19","561.269","684.822","40","","","684.822","40","618.78","38","517.778","37","329.877","20","526.239","37","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","38900ff1ad59ca3ea695ae216d727ae3aa032f3b902a562606e181546f9b417d","0-81d614af44272f20e67dd97b2ae620dec24c66848cc17d5fedf01a60122d5094","537-9c5b2dafeb2ad6eb9684e4454dcd967cf86cb6b815097231c4e0b9fbb348472f","root"
"Army National Guard","","","","","","","","","","","","","","","276","24","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","38900ff1ad59ca3ea695ae216d727ae3aa032f3b902a562606e181546f9b417d","1-19b08f1fb5322f3fe0a7281fd0ad6848abc566ca3cb8c4fe4e958bf098ed80b1","537-9c5b2dafeb2ad6eb9684e4454dcd967cf86cb6b815097231c4e0b9fbb348472f","root"
"Army Active","","160.237","","192.764","107.707","","","","107.707","","136.997","","145.47","","159.105","","193.483","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","955003074ccebc6720a490ded3729c9bdca8cc7b01fd76b92fbcec69828c544e","0-c04061869416374f59e2c64af1b7a7dd7907d7f2773405ba0ab40d0bee6609bf","538-1b336b8289ddd3e211146d8eb66a0d1487e58205fe9ff1bb90d9f1c63a54f02f","root"
"Army Active","78","628.422","88","662.231","646.59","84","","","646.59","84","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","1c729cf57eff6b7031806a0763bf217f6c7807a8464f4648203bf472ddd2c2d3","0-e99f2071aaa87d61f4ab56f8cfdd00c5ab6db7f4ae060b577f71f6c59d631617","541-13a5b1ef1c0326af48dedc8a245f77076a1696ef877a240ee973db172dbbd4e8","root"
"Army Active","","","","74.953","12.85","","","","12.85","","538.61","56","505.084","72","596.387","80","566.757","82","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","a067171d8964ffb89dea3415a97e6225d66438600b2ed3ba37690c54df7714e5","0-dce9aa52be09bbe02c093006c4dceea4c1f4f2043654a7ca325c5df0d91274d5","542-1d5bba01050d7fb70845793a0c5a8c3623165e57868a8f7c88703e6cb003556b","root"
"Army Active","","56.849","","66.925","199.565","","","","199.565","","258.655","","234.737","","328.959","","329.249","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","7928f483657c850c7a7bae34041c36bcc96287e22645d47b62d318800bc3ebc9","0-966ca7b169a30943fda42c8a25d443a3d71320e5d877f2497d864c3b062a5ee8","543-a5bcd9f8f989b1380a33503f132aa3867e268be382f4a26c3bf80b4a64748796","root"
"Army Active","","13.281","","13.577","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","1e1da82f85802f22fea6ebcd46cdf1a81f6059d705e381c26c5354da79c5b8a7","0-82a19c62c37f1bb795bed163cf905b2e93349898452b776ee52e544d8682c6f9","544-277da9119577e480ed5350fe7c5d25622d676d0b7ab98819212bc1f5c28065ac","root"
"Army Active","","8.17","","8.236","2.434","","","","2.434","","9.287","","71.539","","61.176","","10.705","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","2b132a2cecca2a33ee905b618bbec21556a1c53c3a4e41e70bafe82a50d43390","0-885625698bcbfa0e60113df3ceec3c385a0fa03879f3f155935ef793d80b553d","545-e3567de7459d5f7dc9bf40b86015fd515920eed9d54bd430517c50f9cd6c4532","root"
"Army National Guard","","","","","0.032","","","","0.032","","2.284","","14.794","","0.848","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","2b132a2cecca2a33ee905b618bbec21556a1c53c3a4e41e70bafe82a50d43390","1-da624c5ae16dab999e2686ef0b624b64dbcf4a91ea79429925298ddd2e439b4e","545-e3567de7459d5f7dc9bf40b86015fd515920eed9d54bd430517c50f9cd6c4532","root"
"Army Active","","30.69","","6.05","3.576","","","","3.576","","3.614","","3.637","","3.738","","3.748","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","f8fde7e27ac8600cb8424092bc2972652656ec90f61c2953175c39f372d82c93","0-d02d5ce3566fab6ccde505be87d4289d9a371c804ed894c07c4a02368fffb883","546-433480dcd0c907be6a4a670f2139b890302273ef930ad0222ef4831213642854","root"
"Army National Guard","","8.459","","5.62","2.492","","","","2.492","","2.491","","2.436","","2.58","","2.587","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","f8fde7e27ac8600cb8424092bc2972652656ec90f61c2953175c39f372d82c93","1-9cb27b8e56b4554744eb837e6e45082b03fdeb76daafb10645271134a664b815","546-433480dcd0c907be6a4a670f2139b890302273ef930ad0222ef4831213642854","root"
"Army Active","","0.008","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","1088177b1e4405ebad5bdc7770f8a3c867f2c54701af6404dd83dfdb7bffb8cf","0-11a01bb227cb307f6b8053af0928d7a0db067abfddb1c796632fc858411886bc","547-e5f07df5a17cfc082138bdea780284cdfd2c3806220a3c1e9ba49c7cfd24372d","root"
"Army Active","","3.592","","3.674","3.864","","","","3.864","","3.974","","4.088","","4.211","","4.337","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","6794a92b077d2594e889c76b81a8405bafa29353ee52a8beeb7f9a282cd0379c","0-07be206a2bf937f397c04e620e69d0df823c1912f0083ca9b0a5145710c167a1","549-0dd4ab0bbccbb760066cc38621cbe6fe8ea965fea8e462c3f15c6c75966cb60c","root"
"Army Active","","1.208","","1.459","1.54","","","","1.54","","1.528","","1.518","","1.547","","1.547","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","29b27ae113a82ad8d35d7cf0eaac45f617c87b0db70689fb99a6e43ca2598698","0-31388e5d98171538ef17e838f7ab4a4ad21d6cc47b748946eba2753661eadd1e","550-5bccce7c923ec8a32ef5655586bda724d39fc2e3ac6a93996f5b3293893dc487","root"
