Name_val,Name_@footnote,@SOURCE_FILENAME,@RECORDID,@ROWID,Remarks_val,OverallHistoryPlanningRemarks_val,TotalCost_TotalCost_AllPriorYears_val,TotalCost_TotalCost_PriorYear_val,TotalCost_TotalCost_CurrentYear_val,TotalCost_TotalCost_ToComplete_val,TotalCost_TotalCost_Total_val,TotalCost_TotalCost_BudgetYearOneBase_val,TotalCost_TotalCost_BudgetYearOneBase_@footnote,TotalCost_TotalCost_BudgetYearOne_val,TotalCost_TotalCost_BudgetYearTwo_val,TotalCost_TotalCost_BudgetYearThree_val,TotalCost_TotalCost_BudgetYearFour_val,TotalCost_TotalCost_BudgetYearFive_val,TotalCost_TotalCost_BudgetYearOneOCO_val,TotalCost_TotalCost_Continuing_val,ModificationItemsIndicator_val,@PARENTROWID,@PARENT
"T-1","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c437a1823427538eaee8720220106e9b7e12f83e4a009128f2846fcc949bcf31","0-771b4d38787acb63eab856e91c4002665d48b2a0388c39a46b90f97fdcdcb6f6","","","","","","","","","","","","","","","","","","14-3e698b954e84379fcefc4bca75b57aefaa073e81d349e10cdadd6039244d96c2","root"
"T-38","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b4a0a1f5bffbc93a1b835110e4fd293de1a2d0177a43de726dcfaa581bb20cdc","0-4c8093012ef3525dc7e9895129b5ed2034e730b31684542f7268e0476d3cbccb","","","","","","","","","","","","","","","","","","15-1ebec4693c51906e5178efd45314c8dd8c613dc56bc17ebc681122ce2c7c1742","root"
"KC-10","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7f95dd75bf2114bf4d2e64dc73bf59014a2f5703906050baadffa60e23e7eafd","0-d79b84fbe8dadaeaf020a93ae0842f580ef1fb940d101093a633327ab2f28326","","","","","","","","","","","","","","","","","","17-ab954286e7d4aa465e9ef8548a2478b9636a7e5a5b241e0138c0a3e9ab2ec164","root"
"C-12","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","12c00278b427e0c97701979d4f8abce792b57bf1bdd8d6f1b3f1eb2afac1d27c","0-8ac27ec78c682644b1d211a7ca942f1bf25312958536c78ca54b868ec032dcde","","","","","","","","","","","","","","","","","","18-89e357a627dbd8f31a45f15ab5116b9b5afb1791b0b86e890810c2a9eb29bb16","root"
"C-20","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","998730b02ebbd27d375fbee37c35f52c1fdfa91e7ff9664986f1ea1ce54380df","0-cf4c86f6fe1162cf93b50d5b67cefc6b7973d6331c7f003e459b0afbc7e3c1ef","","","","","","","","","","","","","","","","","","20-dab2e2906b190d8f54f1af5ffe54b1d432e9cc8ea9813fa3ade7560236c86a29","root"
"VC-25 Mods","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7bcb6f6d45c43542b7f5ac6d84e9b8c61a05304670b11bf2fb4cbee320d2f60f","0-6472b391c5f825e1de9f121136514bf1521c72acd6f9b1b43b49196412443087","","","","","","","","","","","","","","","","","","21-8089daf0fd1472daa2189ceaea64ca3a02678c6b5e42d4968dcc0a5f08b8c35a","root"
"C-40","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","823b1211309358dfee96047969592c8cdfd22492054d23e63018df7d3865e45d","0-9cfffd3b06e3e1f8630ed45b12b8da3b16f49e705b3451919041f8e50c4dd162","","","","","","","","","","","","","","","","","","22-f5d7e31fd7a7dbf7203b51ccf94676f64d62858dba28a8c109e93dfd18a6eb5a","root"
"LAIRCM","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-1dd2bf674e45986a00da293e1591752756af6f6b14216eaf9f3c26e2f4a0bd04","","","","","","","","","","","","","","","","","","23-5c0392743faf2433b71faacc57041717ac3cf3793db6d16d1e7b565e3ec4987b","root"
"C-130","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","0-f2a5c35bf0904620cd53611d78a32332e5d501b6b36c6e1f955f6b4151863125","","","","","","","","","","","","","","","","","","24-7ea1b99d49416ed091bf50b56a207ddf45b77d12b16e3223ca7d04338c1b310d","root"
"C-130Intel","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","90e68c66d3da115968163ee3bf578972e73c68fa455a050bfe5b10da8278a8d5","0-edd63c43fd779a501533241337d2612da42c8a4b28f7a22c74e06d89ea904581","","","","","","","","","","","","","","","","","","25-c6939cb273b11e9732437ca651d8935ad19987609d2edaf5f8eb3ff7c81a3146","root"
"C-130J","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2735bdb4da25959b8b4abecc00898757f40a9e86e5f583f7a85fe0b1e7420326","0-14be750189e4ecd7767ac1dc23e66ef29f2325f027d07f4826c52db0061f1e4b","","","","","","","","","","","","","","","","","","26-cb6770efba8c23962edeaa3f36e642a9949a034d9b93d64d21fa10e9355840df","root"
"C-135","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","78e2884d018f5c61b9f3aa102f3ee0123bfb3460e832ac75daa9d44670eb2be7","0-4445d0b8a972d1bf532574c8f8d0619488490ef80cddec89118745bc25cbd717","","","","","","","","","","","","","","","","","","27-1ac8249da195b37131ceecee45e65d33722ba32fedca8288a9db888880886071","root"
"CCALL","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8a13fe62ec4f7c8fb1a395fe3c95a9da56a7659c28f1303bbf32769f2e9c4bbb","0-fb4d0ec01aa21cd7654c75de58d1508840d34fcb11a85aad62cd3f14a6ef7e7a","","","","","","","","","","","","","","","","","","28-acf1f0746e9608da6d2d985cf6374040c924ed86bd5c9cdf0c00092c494a6298","root"
"E-3","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b01865c9a4319b1f4459a7b6687c852884ba93995a0a60013558c68b2a00e34e","0-86796992fb3b9221f22714da221eb84ab879717ad3a0e073cb8bd72aaea6939c","","","","","","","","","","","","","","","","","","30-9e1a99ca4865cbcc995d65b2ec9e74859e080b81a4ba685b493f33929c7a3baf","root"
"E-4","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1c2a9ee671cc6f00058c2f8fa9764b6b2a015936400e46ca5b2b2838e4ea8391","0-0ee9492cf3724790381cd1dc42dc683b322fba36d1d787d4bc5ec6538147b67a","","","","","","","","","","","","","","","","","","31-33060abfac6aa9005734c910de1560a50112b8ec2a5726da858463037c3d6211","root"
"E-8C","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","beedc27ca541947adf319bb5b1b581dfd5214e64502e92cc1fff70badf58b344","0-2bc191f90e9fcc14a42a5820a62905a22770f0b21fa0f8ce32eeea1982047b61","","","","","","","","","","","","","","","","","","32-860631b929eaaa78de74ed596dc89de81ccdd2df69ed458cc5a01f19b583c8e5","root"
"H-1","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","15474ca029cdd85644aa27cbde78c8e85a67d50f0233e0d948a8a7a7916e03e1","0-b1bac85d16daba311618bb981c6ad7989c47aa6380de137c5643ad0089d3cf42","","","","","","","","","","","","","","","","","","33-5449bb56eddb02b293b602c9f2195e507055fc70b2ed9a01233dd9bbc38e000c","root"
"A-10","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2048a91e8b2edc0f698e78e8b71f08a4e3eac110261f374f4e322a358890a5d4","0-e320eb4d355d2aed93e80629e377c52051b683f7bc93cc230c5aab1c5ab17afd","","","","","","","","","","","","","","","","","","34-6e01c58313b4331375596e108c2d1f2b2252ca41dd585a72381172c96b410a90","root"
"HH-60","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1b69f888ea8ce167d58a275c92aa54a5c14d3e3ce7280432298742ab6fb44e8e","0-9d1a7a295ab3dc1ab0346b90bef4a0bb5bdfc5f9426b65e6d44e6efb1593d63e","","","","","","","","","","","","","","","","","","35-68a00b734e2ece237e5def4d0eb75cc6228e2baa04699d85e5130b62eba088fa","root"
"RQ-4","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","55ff224b0c16f6229c62c5aefbbcc36d0cbf265d66b4c8a46704c153db79c343","0-3ab17e0ef41fa2de761767a8c528a0cc3750068c64393209a2cc9e7adc652951","","","","","","","","","","","","","","","","","","36-da44277bc3f5c33bd7df260ceb0668938d0138766d6b4832cc67e99ce5793049","root"
"HC/MC-130 Recap","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f0cecf92e78750ad3bf3ef2b8495d594d59d44edb77834f052cce057844b5ab0","0-40a18d6f5d959a8a66f5d4bf54163281fcb68079d42d36955c31be0396c801a7","","","","","","","","","","","","","","","","","","37-58a60cc72c3afa3a509d071a31a872f0e81b42489ac843e222d040fe959f71ed","root"
"OTHER (BP11)","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1118fffb53dcd06ed438537bcbae39a10a76f04ee739c02d6ee2e627a0e4e5ac","0-7bded3c237a15df92759c46ccbd412bde39edaef65aff40f6a0d0644fe68996e","","","","","","","","","","","","","","","","","","38-30d3c6a7cdcb841a1f6e4cd512c167a65f74bbcf29cf0fa4961002bb5d694a4f","root"
"MQ-1","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","60bd12752d8da3f7c649c390a52b291802bbdf071d2080acee252db350245178","0-d19d3b66fa7d78469486adf6df5cbbbb719d65c63ba8f48f28871daf33837c55","","","","","","","","","","","","","","","","","","39-6aa75bc1e9aa3544ad823111f9c4ff6e3dfa0aaa1996f60277009aaf78bf6232","root"
"MQ-9","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4f0ab9d14578cc6bfee3e9148e7219945f7080d5198ad3b238d32931844eb009","0-b2afd82a9477bb0a4af65737fc7edbd1e3ac06530f8a94842b87581b3ef4427a","","","","","","","","","","","","","","","","","","40-93667ccd6e2c4400a2c9ca6c121313aae382bbee4b26051cc8b806ac63a48c4f","root"
"CV-22","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7b0bb28de001b4df3842a576b00ee5aa44b748876b0719810c52690c331085c4","0-078355ba7e50baf9a37a9913fbee2d2eb9b0831308bd9076d36af69a08ee397f","","","","","","","","","","","","","","","","","","42-1bcb8e340c5063e2ea3848ae34aa9bb16945771e485374c93f3c71a21aad82fd","root"
"F-15","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ed4cfdf8521c3052321f8c9602acad3c998f838213e42624f691abf967734ebe","0-ef65456db232833fafe93fc47b6439c93e187e9fb0a32d60cf6362756097e490","","","","","","","","","","","","","","","","","","43-ed163c6a613e60a2abaa78eb188636678d9e155780906fdf68939a8af92cfdbf","root"
"F-16","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9db162b87a135db3c35288bb9466f10ba787b4e2bc03c2b811eb0db6b793e50e","0-1c5f1763d7159cb0f9671a6bef4d52ecaf0ed88b3f71ce49727d7e24743dd106","","","","","","","","","","","","","","","","","","44-73ad2361f2a2833355d17b12f532620ec39958c83ba9b417d54394054006af23","root"
"F-22","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-2c4ffd5fe5ad25b96171975ec78dc65d00889ada3597c8752388be8583d51157","","","","","","","","","","","","","","","","","","45-dff4995ecc385b912fd059205a97b6812c83a785fd51014f3150ffe53f356f36","root"
"C-5","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","e5dab8f400650a6c5943d783dc227c9705420e878f57babeb6311ab24ab5109f","0-148fecd88e8861c5f3915a201374ecc5b499c4dd033f70e09d68f79a9e5f0d1d","","","","","","","","","","","","","","","","","","47-62e7dfde4994fdff5847798c275bb624f2f27ecc74714d318e81013972582aa7","root"
"C-5 ISOCHRONAL MAINTENANCE STAND","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-fe740a868ee5c668c593271ec1f3afbb35d1ea5808996b6d9109076dac08a305","Projected Allocations for Reserve Component Requirements (Subject to Total Force demand and priority).","Delivery dates assume contractor will build the ISO stands in sequence with approximate delivery dates for the first stand of Dec 11 and second stand to be delivered Jun 12.","","","","","","","","","","","","","","","","73-1aea8a308a4589edae9db899fe573ff6d45135631f40c49a11a7b6743e734845","root"
"IL  $5M (USM670 CORE TEST SET-CTS)","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","1-84414269366025ebdc2653c541045b9264cd4b404dea70933515f5b2a4b1f7e2","Basic contract, FA8540-08-D-0002, w/4 option years awarded 17 Apr 08.   FY12 and FY13 unit cost is based on option 4.  Contract will expire April 2013.","","","","","","","","","","","","","","","","","73-1aea8a308a4589edae9db899fe573ff6d45135631f40c49a11a7b6743e734845","root"
"ITEMS LESS THAN $5 MILLION","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","2-13e351987d13fd73051e16b844a20d730fa344cfbce12f84adbad6727bd7b5c3","FEDERAL STOCK CLASS (FSC)","","","","","","","","","","","","","","","","","73-1aea8a308a4589edae9db899fe573ff6d45135631f40c49a11a7b6743e734845","root"
"ADVANCED DIGITAL TEST STATION","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","3-40892fdfcef60a050515aea4445bc15aeab1967718f6cb80477e18d9efe0b1b1","","","","","","","","","","","","","","","","","","73-1aea8a308a4589edae9db899fe573ff6d45135631f40c49a11a7b6743e734845","root"
"Portable Automated Test Set","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","4-c1ecbc7c52729a9564ff24e059e3960263b89bb938ad5d88611953901171b6d7","","","","","","","","","","","","","","","","","","73-1aea8a308a4589edae9db899fe573ff6d45135631f40c49a11a7b6743e734845","root"
"VERSAMODULE EXTENSIONS FOR INSTRUMENTATION IMPROVED AVIONICS INTERMEDIATE SHOP (VXI-IAIS)","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","5-cf98ed9d5f9b7956402ade7536e2c94afa00adcfafcb0ce12bc9b7965872041e","","","","","","","","","","","","","","","","","","73-1aea8a308a4589edae9db899fe573ff6d45135631f40c49a11a7b6743e734845","root"
"RACKMOUNT IMPROVED AVIONICS INTERMEDIATE SHOP TEST STATION","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","6-2b7acc80987d700a5566c34e2428f68a747fa33033e53bf6dd07d86a53c424d3","","The footnote below applies to the following items: Rackmount Improved Avionics Intermediate Shop Test Station: This purchase will be competed by GSA.","","","","","","","","","","","","","","","","73-1aea8a308a4589edae9db899fe573ff6d45135631f40c49a11a7b6743e734845","root"
"STORES MGMT TEST SET PROGRAM","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","7-73163ddb3846e6f682185a711af6e448fed514ddfab785c1da0d7bf6341195a5","Stores Mgmt Test Sets vary in configurations and provide both on and off equipment operational checkout capability to support mission requirements.","","","","","","","","","","","","","","","","","73-1aea8a308a4589edae9db899fe573ff6d45135631f40c49a11a7b6743e734845","root"
"Industrial Responsiveness","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5cb037c00b3fc33421845910ff96aca98f73e1d3e0fb8b2ea2412302259f3c20","0-e22ad932a26625293fa8cb60c50fc82cfc9642445073b53dc96c854b25b217d5","","","","","","","","","","","","","","","","","","89-747946365db8c524e77457420763e915ff69b7d28ad8d2b3e2ea60ab6efa3814","root"
"ITEMS LESS THAN $5,000,000","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","593818343681a663dc271cba846b3bcdb90ace1909beefa76491d4825b59a7ff","0-c17e344115d79617844c5624ab96c8d3a1dac3b192745a3efa9196d9558df04e","","","","","","","","","","","","","","","","","","90-52377028f4deb241048c4f8a7bb2ef3552e864a2ea80625185895e31d7740253","root"
