FiscalYear_val,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,FundingVehicle_val,ItemNameSuffix_val,@PARENTROWID,@PARENT
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","59eb071a2b8c27825df619eb2437ee7c5c84f3ba541674a32571545b2cf94550","0-5642ed71b305d409c90cc6e751b2333ab1ab06a7e4e1cc1cd5778862cee99c22","TBD","I think i","1-8948076d74de532d255f15250e80b452440bfed7eef927d9ce57387f6ccc8109","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","59eb071a2b8c27825df619eb2437ee7c5c84f3ba541674a32571545b2cf94550","0-9d385c09086e8440327a0e12f3927590b804778710ebc43f09471a9b6f980788","TBD","I think i","2-5230974f0c868beeb469c4be63173bbb55e9d93b11ba4fa109c50d1abb15aa9f","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","59eb071a2b8c27825df619eb2437ee7c5c84f3ba541674a32571545b2cf94550","0-daa5eb62e81feede34f289a19ea4098289d6e9cbd4cf5338d854aaf0edd28250","TBD","I think i","3-d2ec0bfd54963a8978cdddef168e187ec5c688bd414f55c7afe82a762eac1f46","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","59eb071a2b8c27825df619eb2437ee7c5c84f3ba541674a32571545b2cf94550","0-b88b00de448a9cbbc3c2af0af3aa06da5f086fa8307446b2988678b4b0c27cdc","TBD","I think i","4-aab5b93de260c95c134456df5973f0a45637ba39de86d8bb069969dffb88b663","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","2013-12","2013-12","0","0","","2013-12","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","fca80c4a5bf23e192e9420dded4f49a1b46495e610d6495e88d6fe525d380853","0-9dab48b6f3d973215e76cfaeb8e979b42f70443e243e681e01b4232181bf99c1","TBD","I think i","0-e946bcd42931b0c580e6d93a01ed3968126c3aa3962978f3f09a3a9b6c8f00a8","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","2013-12","2013-12","0","0","","2013-12","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","fca80c4a5bf23e192e9420dded4f49a1b46495e610d6495e88d6fe525d380853","0-912f6555e9c3563f01ff446c0a2edb03c0abdd92bd7531a4a96b69fa5e874413","TBD","I think i","1-6f1b7dce3732620e88e625d7b1718c2e8396b616c09e39de966d222b0ace45e9","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","2013-12","2013-12","0","0","","2013-12","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","fca80c4a5bf23e192e9420dded4f49a1b46495e610d6495e88d6fe525d380853","0-d65d6fe0ab356d842691e6fe100a73a60835dcbfc9b5464b3a0b198f54a822d3","TBD","I think i","2-e8030167ed570ec3261fa5952c75a2491cbe46a5e8fad9b5f86e9a33dff2a868","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","2013-12","2013-12","0","0","","2013-12","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","fca80c4a5bf23e192e9420dded4f49a1b46495e610d6495e88d6fe525d380853","0-d46d053f6309c5071f1de3f763769cbee3e1d1e1b40f83ce8e54d8ce1622e5e0","TBD","I think i","3-2a9bf41f90e4d8ba9e95102e5e6d4db0a668615840d3fefbbfb077d4b4862f6c","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","2013-12","2013-12","0","0","","2013-12","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","fca80c4a5bf23e192e9420dded4f49a1b46495e610d6495e88d6fe525d380853","0-deda65f1d58bafbcb6f9ed2d5ba60eaebfca74a2f2004ea79be4acc43cef75a6","TBD","I think i","4-33a5061ed47f67a87e37531e1cff63838634bf19df16282c457acdea512d7044","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","2013-12","2013-12","0","0","","2013-12","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","fca80c4a5bf23e192e9420dded4f49a1b46495e610d6495e88d6fe525d380853","0-1d30d78cd5da0a3b033be2d538541f74157e573c7d485bc5433cd07eb57e0090","TBD","I think i","5-ba8bcd39da2ecb2a22bccc7481fdeb2d6c304c01f19e79c230fb6075340b2a0e","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","2013-12","2013-12","0","0","","2013-12","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","fca80c4a5bf23e192e9420dded4f49a1b46495e610d6495e88d6fe525d380853","0-10612481b50e02f2122ab7480b9f50718d5d5894aabecdf04e4da0c9f57de0bb","TBD","I think i","6-e3a82c96088ba028f6014f444fbe7b692c2195320be200ba549a97639a6867cf","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","2013-12","2013-12","0","0","","2013-12","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","fca80c4a5bf23e192e9420dded4f49a1b46495e610d6495e88d6fe525d380853","0-43f4c5e4c485358af46c1e3d571f1b67c915ef6cba7e27a2e3dfee02b77cfd97","TBD","I think i","7-bde9acc3d27cf67ca3ea6a0d04eb34b2d56fa00447f1399514c9a7455dc3f52a","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","9153159fe86babf2338e4b160b0225ad806515ca1ccc0dbf362bf9b5e04bfffb","0-ae8ccb147f5d940fe088e71200fe8b129c3736f8517143bc81911ceb49c9cc56","TBD","I think i","0-230bab3d94678664050d5f0d7f652dba1fd57baa45ea4bd24cf572e0ebd3bb8a","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","9153159fe86babf2338e4b160b0225ad806515ca1ccc0dbf362bf9b5e04bfffb","0-4fc56f32241153660486257bcc22f9640bcce98d04a5c941c052156848442da2","TBD","I think i","1-be034635b57640dc6b34c352633d4f9f9af4e926db8500980627b16f785f7cd4","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","9153159fe86babf2338e4b160b0225ad806515ca1ccc0dbf362bf9b5e04bfffb","0-89d78457bcc0728b0c128a26eda6ad16b0b5961c88f94fe023b3d683a4e21c17","TBD","I think i","2-b36dc807755f9b9824c632f38459329bc5c8a1484893d38657dce495403110e7","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","9153159fe86babf2338e4b160b0225ad806515ca1ccc0dbf362bf9b5e04bfffb","0-616e031c06fbae3679e3643b83a0c541ad780a467eb4d222346c9fd2416dd803","TBD","I think i","3-8d78c1142dbde5de448b96057a10b243b4bb1186c24d672ef2435d910cac1cb3","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","9153159fe86babf2338e4b160b0225ad806515ca1ccc0dbf362bf9b5e04bfffb","0-42653e4b81b441c625b5ac9d0ac69190c791c1b1e08c821a223cf4a96741d388","TBD","I think i","4-7a687e5b890a47fed30888520af410865c2b86b5ff55d704a432a010938fd00a","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","2ca0b177ff5773179adc68e99a8aa14d5082a81544df1d5d478b6a1901815e1a","0-dec6ecab4dbde03e738fccfd9c95bbcd7bc47389a90582cc063a0bdd345cebb3","TBD","I think i","0-c6cbfc7d7f7b42de942434cbcc31e7e27866975715bea78bed707d4a3cf5cd18","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","64929e2f3b423b633d4163e755851b1fd905e7aae3c16591258a0272ed89fca7","0-c088215586a852c3efc3079d966632eac23bdd812d9c13e1c0ba953811644de4","TBD","I think i","0-85b3c3df732406f451bb02996cc147f90c2d4650ae528f1a47733650d97ccb98","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","64929e2f3b423b633d4163e755851b1fd905e7aae3c16591258a0272ed89fca7","0-a23a8d5a8e98374961a49f190e9c1a13f120674dd85d0e172a39722ea123ef23","TBD","I think i","1-23d804bf8c35959d6b0bba685ba5d5ffe5ddd08ede6d75c96abf0cd2d9cf1d38","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","64929e2f3b423b633d4163e755851b1fd905e7aae3c16591258a0272ed89fca7","0-7726c86e56db3bdefdac5dde99b2ce0b154017f374a5ce1ef29b78790b11a2ba","TBD","I think i","2-47c54d9e50e82d2059eaaf18663b82a0099d3b73d376d69e5e8fd8267f1662c7","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","64929e2f3b423b633d4163e755851b1fd905e7aae3c16591258a0272ed89fca7","0-cdb9dde1f2e678fe2d0be33383c65c32fa770ddfdca88887b242b2e3a6b96a03","TBD","I think i","3-663457732442b919cbaa5f1ca27f043105dcd865a9f4882d6441e89d9b8c6ffb","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","64929e2f3b423b633d4163e755851b1fd905e7aae3c16591258a0272ed89fca7","0-025c1c96e366683a9c3f8de4d4a4264fbd5f249a85b91de816befd1ff38c729c","TBD","I think i","4-9b0e0949c02511acdc3d3315c18391e845db72b5504caf6163a82df559cd81f4","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","049cb91018f89e9c503e94cc8bbd5cb09e1075dae1b2910caf7d2d2f90fe1cc2","0-9c2adf04e4d4685e6b30012a7af575020018a0c89405cabf957218528c4f3c72","TBD","I think i","0-ac4b8fd512c9bdf3b04d37dbbb1d242bde39dfcba267108f7908eb737082a229","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
