Name_val,WhenRequiredInMonths_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_Total_val,Cost_CurrentYear_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_ToComplete_val,Cost_Continuing_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,QuantityPerAssembly_val,ForFY_val,SCNProductionLeadtime_val,@PARENTROWID,@PARENT
"MK 104 Dual Thrust Rocket Motors","26","","","","","13.86","14.123","14.049","17.808","18.146","","true","TBD","TBD","26","26","0","0","2015-BASE_PROCUREMENT-2015-DEFENSE_MDA-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2015.xml","871ed13dc6bbadf09a6840de2eb4536eb285b3b925625ab4f8982bbcee7d0b0c","1-f23540873faa286ed6d89950d4d3d9b27baaf33cad01e176fbe57ec260b7e2a6","1","2016","","0-c03acadbf49d10441892b90c81ef6846bf90162c7f182934a870af37c5500211","root.record.ItemExhibitList.P5Item"
"Integrated Dewar Assemblies","35","","","","","18.06","18.404","18.306","23.204","23.645","","true","TBD","TBD","35","35","0","0","2015-BASE_PROCUREMENT-2015-DEFENSE_MDA-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2015.xml","871ed13dc6bbadf09a6840de2eb4536eb285b3b925625ab4f8982bbcee7d0b0c","2-c62056d538d83180e40c981041d6e822a7667d08375f5943b50e155f9c0f9497","1","2016","","0-c03acadbf49d10441892b90c81ef6846bf90162c7f182934a870af37c5500211","root.record.ItemExhibitList.P5Item"
"Circuit Card Assemblies","26","","","","","16.38","16.691","16.603","21.045","21.445","","true","TBD","TBD","26","26","0","0","2015-BASE_PROCUREMENT-2015-DEFENSE_MDA-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2015.xml","871ed13dc6bbadf09a6840de2eb4536eb285b3b925625ab4f8982bbcee7d0b0c","3-4242435da5e844e973e7c25146452e3b09771abb632468afe585654056cfcc26","1","2016","","0-c03acadbf49d10441892b90c81ef6846bf90162c7f182934a870af37c5500211","root.record.ItemExhibitList.P5Item"
"MK72 Boosters","29","","","","","20.58","20.971","20.861","26.442","26.944","","true","TBD","TBD","29","29","0","0","2015-BASE_PROCUREMENT-2015-DEFENSE_MDA-PROCUREMENT_MasterJustificationBook_Missile_Defense_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Missile_Defense_Agency_PB_2015.xml","a2c1fa7460f99b0686c1d03620554a078d5dbe057abc9a54c1f45d51b951755c","0-5df228a5c0c350813c2a8d42e8a9ca1a8901e6b2fa79af92db14836d3f3792fb","1","2016","","0-41f6f71f82ec1220d9a21386637fe38b452fc15eb0efcca4751f3ec872f40645","root.record.ItemExhibitList.P5Item"
"MK 104 Dual Thrust Rocket Motors","26","","","","","13.86","14.123","14.049","17.808","18.146","","true","TBD","TBD","26","26","0","0","2015-BASE_PROCUREMENT-2015-DEFENSE_MDA-PROCUREMENT_MasterJustificationBook_Missile_Defense_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Missile_Defense_Agency_PB_2015.xml","a2c1fa7460f99b0686c1d03620554a078d5dbe057abc9a54c1f45d51b951755c","1-b562062923f85080352f2fbfac7792e1904f7c6545bdbb2fff4fb27bdb1a40ba","1","2016","","0-41f6f71f82ec1220d9a21386637fe38b452fc15eb0efcca4751f3ec872f40645","root.record.ItemExhibitList.P5Item"
"Integrated Dewar Assemblies","35","","","","","18.06","18.404","18.306","23.204","23.645","","true","TBD","TBD","35","35","0","0","2015-BASE_PROCUREMENT-2015-DEFENSE_MDA-PROCUREMENT_MasterJustificationBook_Missile_Defense_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Missile_Defense_Agency_PB_2015.xml","a2c1fa7460f99b0686c1d03620554a078d5dbe057abc9a54c1f45d51b951755c","2-61a27b68250b0448f5021fa48eccec47af13621206e47ae2e4a7421e2b1a59f8","1","2016","","0-41f6f71f82ec1220d9a21386637fe38b452fc15eb0efcca4751f3ec872f40645","root.record.ItemExhibitList.P5Item"
"Circuit Card Assemblies","26","","","","","16.38","16.691","16.603","21.045","21.445","","true","TBD","TBD","26","26","0","0","2015-BASE_PROCUREMENT-2015-DEFENSE_MDA-PROCUREMENT_MasterJustificationBook_Missile_Defense_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Missile_Defense_Agency_PB_2015.xml","a2c1fa7460f99b0686c1d03620554a078d5dbe057abc9a54c1f45d51b951755c","3-9e3015446c2c6536f130b6f56678fe3bfcea3a1a177a68c1a44c798433fbfd66","1","2016","","0-41f6f71f82ec1220d9a21386637fe38b452fc15eb0efcca4751f3ec872f40645","root.record.ItemExhibitList.P5Item"
"Apache Block III - Reman","12","563.392","150.9","","157.338","209.93","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","9344ac11b4fa76a618675d937f3fe42ebc84b65beaa2732695b13bb0e1911270","0-f95e26c229b5d2a12901a56f1bdcdf893950584fbc45d9a29a4902a3da91d30f","","","","0-c0888748876faabf84d2bffc07e27259f482cee782082f4f9def0f0b3b7e1df6","root.record.ItemExhibitList.P5Item"
"CFE Airframe","6","506.652","33.389","","31.94","58.115","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","35561decf1186cab62534ac5ef5e8832877d90792e1d60872f5196bad9dd6cca","0-94c28afaaca54213cb7be8ce2cfd90fd6116364842497ceb2fc1d707408fcda7","1","","","0-ef03556516d3eb31d8a884b02fd77edc922c3046f4620839534e53efcf7c7dd7","root.record.ItemExhibitList.P5Item"
"Auxiliary Power Unit","3","23.402","4.214","","4.347","3.518","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","35561decf1186cab62534ac5ef5e8832877d90792e1d60872f5196bad9dd6cca","1-f219f4f6ce77a5d4c740fb615bcbe7de7ef3e969c4240b0b26a1f48cd39ee4f8","1","","","0-ef03556516d3eb31d8a884b02fd77edc922c3046f4620839534e53efcf7c7dd7","root.record.ItemExhibitList.P5Item"
"Engines","3","383.019","64.772","","66.798","54.07","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","35561decf1186cab62534ac5ef5e8832877d90792e1d60872f5196bad9dd6cca","2-fe0776a53d9d5aeeb958cb02e95736b7731a6dc052dd9a311475985343c66be6","2","","","0-ef03556516d3eb31d8a884b02fd77edc922c3046f4620839534e53efcf7c7dd7","root.record.ItemExhibitList.P5Item"
"EGI","3","60.671","10.462","","10.79","8.734","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","35561decf1186cab62534ac5ef5e8832877d90792e1d60872f5196bad9dd6cca","3-4451ff8a82bdc57659beb3815de58204f5d7eb3c7a6d7b20f26f0cd374124d77","2","","","0-ef03556516d3eb31d8a884b02fd77edc922c3046f4620839534e53efcf7c7dd7","root.record.ItemExhibitList.P5Item"
"Heads Up Display AVS-7","3","18.658","3.164","","3.263","2.642","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","35561decf1186cab62534ac5ef5e8832877d90792e1d60872f5196bad9dd6cca","4-20348ac32e8bd68ccd82436af07f901fe76214480bd7582cc0d3e3c66768e463","1","","","0-ef03556516d3eb31d8a884b02fd77edc922c3046f4620839534e53efcf7c7dd7","root.record.ItemExhibitList.P5Item"
"Hover Infrared Suppressor","3","25.361","","","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","35561decf1186cab62534ac5ef5e8832877d90792e1d60872f5196bad9dd6cca","5-d0353db74195b577373604be66b1e176dd9cfa299ecebaa929bc96028d422743","","","","0-ef03556516d3eb31d8a884b02fd77edc922c3046f4620839534e53efcf7c7dd7","root.record.ItemExhibitList.P5Item"
"Miscellaneous","3","15.651","","","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","35561decf1186cab62534ac5ef5e8832877d90792e1d60872f5196bad9dd6cca","6-64f5ba0c68d12b73710e062801cbf85a98d9504280cf4df18696b705093c5c56","","","","0-ef03556516d3eb31d8a884b02fd77edc922c3046f4620839534e53efcf7c7dd7","root.record.ItemExhibitList.P5Item"
"Warhead","19","57.293","6.999","","7.018","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","a165d0be6144e6f49e80b5586363567ae0ec4790d0f3b569f3260420117a3760","0-5a4ec4e6e63a6e2763df662d0359aa0a43b475a6bd935ca5ea8a0db0747190fc","","","","0-9764632d7fc19a5a5d00ba7b7093fb13b69a238daaed889d152d8f582124df15","root.record.ItemExhibitList.P5Item"
"Launch Motor","14","7.493","0.905","","0.905","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","a165d0be6144e6f49e80b5586363567ae0ec4790d0f3b569f3260420117a3760","1-378b08590358984619e9ac2146e5709b90047c1d9cc58f7ed5910af55a356aef","","","","0-9764632d7fc19a5a5d00ba7b7093fb13b69a238daaed889d152d8f582124df15","root.record.ItemExhibitList.P5Item"
"Flight Motor","12","2.478","0.17","","0.17","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","a165d0be6144e6f49e80b5586363567ae0ec4790d0f3b569f3260420117a3760","2-c308ead633ef016ac44105fad5b3ec7fa7abaa0ea8c2cd1d68ad364d3bbcad95","","","","0-9764632d7fc19a5a5d00ba7b7093fb13b69a238daaed889d152d8f582124df15","root.record.ItemExhibitList.P5Item"
"2B Sensor","18","42.194","8.533","","8.533","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","a165d0be6144e6f49e80b5586363567ae0ec4790d0f3b569f3260420117a3760","3-de5e9f00210a37a7d52320c407810007cffe093ec1842c8bb2bcb9ff51bdc926","","","","0-9764632d7fc19a5a5d00ba7b7093fb13b69a238daaed889d152d8f582124df15","root.record.ItemExhibitList.P5Item"
"Gyro","13","12.816","1.548","","1.548","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","a165d0be6144e6f49e80b5586363567ae0ec4790d0f3b569f3260420117a3760","4-e6703fcc5fc5639b222415467ee5afca83ceaf99af8bdd45a877b9f21bab7750","","","","0-9764632d7fc19a5a5d00ba7b7093fb13b69a238daaed889d152d8f582124df15","root.record.ItemExhibitList.P5Item"
"Flight Motor Case Kit","10","2.906","0.351","","0.351","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","a165d0be6144e6f49e80b5586363567ae0ec4790d0f3b569f3260420117a3760","5-44ca38e4010fd30bc74d9c910a077ba7339b2114edbdb630b4f064c704e89109","","","","0-9764632d7fc19a5a5d00ba7b7093fb13b69a238daaed889d152d8f582124df15","root.record.ItemExhibitList.P5Item"
"Control Surface Actuators","13","7.584","0.916","","0.916","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","a165d0be6144e6f49e80b5586363567ae0ec4790d0f3b569f3260420117a3760","6-e039b1faf289cd08ef4074ed8f585d399f792ae6ea47a9705dfd6ef243663917","","","","0-9764632d7fc19a5a5d00ba7b7093fb13b69a238daaed889d152d8f582124df15","root.record.ItemExhibitList.P5Item"
