Name_val,LineItemNumber_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_CurrentYear_val,Cost_BudgetYearOneBase_val,Cost_BudgetYearOneOCO_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_Total_val,Cost_ToComplete_val,Cost_Continuing_val,@SOURCE_FILENAME,@RECORDID,@ROWID,MDAPCode_val,P1LineNumber_val,@PARENTROWID,@PARENT
"Fighter Tactical Data Link","81","0.000","0.074","0.067","0.000","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","24-38ef4917380b17a7bf5192a151e9bb87a26946f699ebf920c0f07fafa5ec2605","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"HH-60","81","0.000","1.612","1.584","1.57","0.000","1.57","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","25-1986522384c40b15f7ee6506c3c12a2929c4f4823854206c2bdc28abac2ffbb4","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"JPATS, (T-6)","81","0.000","0.454","1.944","0.021","0.000","0.021","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","26-a6c45557cd343f4ef40ccee1c97ac72e788331f221a9386b66d719c4051a1b25","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"KC-10 Mods","81","0.000","0.593","5.63","4.855","0.000","4.855","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","27-9d8f68b1ffcc4775211df182aa344c887b43437ba9701341082a00c181c844ad","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"KC-135 Airborne Broadcast Intelligence (ABI)","81","0.000","7.582","7.102","7.322","21.9","29.222","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","28-ff45b23e3ef9110ad025b07cbc2b8674e2634b90ba2bc2a3036c600bbb51af8e","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"MC-12W","81","0.000","20.172","0.000","0.000","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","29-5c7e0b31e0f495d8c492c900fa4e307ab20b7760d68b6c5e5245f6766f859a51","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"MILSATCOM Terminals (Other)","81","0.000","12.03","0.000","0.000","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","30-903e302132f6d5f6a064a13b00472718b9cdb15fd97a618f9be0b766fc5c5bf9","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"MQ-1 Predator","81","0.000","0.000","7.729","4.845","0.000","4.845","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","31-67d23972d16e0a6aaaa9142d87cffa9ed5fafbf60e4e79c6e2f8301883f16c94","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"MQ-9","81","0.000","0.000","188.815","136.785","0.000","136.785","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","32-2c75d88aa89519fe08f7ab3cbc911bbf7372604ff40bfe7643fd7c37ac9caece","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Manned Reconnaissance System (RC-135S)","81","0.000","43.766","39.385","44.124","0.000","44.124","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","33-a6c9048c1ccb4c39ddc20eb509c1c72e09059bb2c782ace510fc5a2846485f11","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"GLOBAL HAWK","81","0.000","0.000","176.664","0.000","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","34-a61e98589c47f4166ed7e60621c3315f0301f7d94c1e310a5f7896d740bcbe1e","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"T-38 Mods","81","0.000","0.000","0.000","0.000","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","35-2c8932cf2761a9a09feed7ac422779048f75dfd1e4d4d23f06b6b02d1d28ee8b","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"U-2 Mods","81","","0.000","0.000","9.187","0.000","9.187","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","36-2ffb1766ee0cc63f6c66a86e90a6291c9ec71b0e519b40a0248740f47aaabbe4","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"VC-25A (Operational Support Airlift)","81","0.000","0.55","0.554","0.554","0.000","0.554","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","37-4ff42d506ae34b89727243d45d79b5dd3a0940f153587e09ef9e7dd86f4f5195","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"A-10 Squadrons","81","0.000","1.777","1.855","1.629","0.000","1.629","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","4732ea5cf34846c21570674238063f0602443a3cd405a7d623c991782d5dfafa","0-3944154e64024851a1867b5175952a1ba69100fc5410a7ce21eba8c861e57e2e","","","0-d1b5c01dcd2329395ec0a0f4ab8fa591856637660db6019711654bd584d022d2","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Aerial Targets (Target Drones)","81","0.000","0.52","0.468","0.522","0.000","0.522","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","4732ea5cf34846c21570674238063f0602443a3cd405a7d623c991782d5dfafa","1-8b554b545da3d59b1677ae81b3ef8fea975bc1e1769c72c153efd0ee683a924b","","","0-d1b5c01dcd2329395ec0a0f4ab8fa591856637660db6019711654bd584d022d2","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Advanced Targeting Pod","81","0.000","16.017","4.485","2.061","0.000","2.061","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","4732ea5cf34846c21570674238063f0602443a3cd405a7d623c991782d5dfafa","2-2e150729cc30793007b4143a497c9d798a1d7502d4cccf8e162b7c63f4297e9a","","","0-d1b5c01dcd2329395ec0a0f4ab8fa591856637660db6019711654bd584d022d2","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"B-1B Squadrons","81","0.000","12.455","12.121","17.988","0.000","17.988","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","4732ea5cf34846c21570674238063f0602443a3cd405a7d623c991782d5dfafa","3-f8412a66f74fa10481fe9e69eab3778feb1c2f4942d7ec1f9dd5385b9f20a42a","","","0-d1b5c01dcd2329395ec0a0f4ab8fa591856637660db6019711654bd584d022d2","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"B-2 Squadrons","81","0.000","15.005","12.131","6.481","0.000","6.481","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","4732ea5cf34846c21570674238063f0602443a3cd405a7d623c991782d5dfafa","4-fd8617c0976f36052469d957410ef1508f613fc18e3b1a38a2f3c12cf3e7c2a9","","","0-d1b5c01dcd2329395ec0a0f4ab8fa591856637660db6019711654bd584d022d2","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
