FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,FundingVehicle_val,OCO_val,@PARENTROWID,@PARENT
"2013","","AFMC/AFLCMC","2012-10","2013-10","4","0.119","true","2011-11","C","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","aa85cbe4f41cfc1c4d9fce368e1b9af8b54a97cd1b25776caa379b7ef036623a","1-f9b63a6cad1f760414658189df14d3b8afe6707ac4fc60291f6454086f815aea","","","0-7b8d200d8ef6e1435003a3ec08ad5cf71d6695d081cfa2685213cfc165786f70","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AFMC/AFLCMC","2014-03","2015-10","3","0.172","true","2013-04","C","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","aa85cbe4f41cfc1c4d9fce368e1b9af8b54a97cd1b25776caa379b7ef036623a","2-161313cb98dabb0492afcabfa1073f82f01752bca3f8e294512c24a499c5f822","","","0-7b8d200d8ef6e1435003a3ec08ad5cf71d6695d081cfa2685213cfc165786f70","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","Reference footnote (10)","AFSPC/SMC","2011-10","2011-11","1","8.545","true","","C","CPAF","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","92a7b04031084cf7ce534a8f0732ca36ee08d44923f93a4b18c792255ec3800b","0-346941a5b2ed1ebefa5e7a33534d5d05916b7c4c728a689bcbae7169ed81cd58","","","0-f491e3c234f9ed34ebfe6d1d01ef1919764a48acdff2a641bd32948578b848cf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","Reference footnote (10)","AFSPC/SMC","2012-10","2012-11","1","6.905","true","","C","CPAF","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","92a7b04031084cf7ce534a8f0732ca36ee08d44923f93a4b18c792255ec3800b","1-f11f4a4e59ec122ac34475b61133e346536c7cc13183a7cb313c08f95ec4ea03","","","0-f491e3c234f9ed34ebfe6d1d01ef1919764a48acdff2a641bd32948578b848cf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","Reference footnote (12)","AFSPC/SMC","2014-01","2014-02","1","8.180","true","2013-03","C","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","92a7b04031084cf7ce534a8f0732ca36ee08d44923f93a4b18c792255ec3800b","0-498933ab544ca03cd17daeb496b48bc0d6b8d27f740830c0d7b7815c1eda6bc7","","","1-ccfeb9d65862c953751b05247b6557499a7a42c49b735e2737a7f3f48824341c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","Reference footnote (10)","AFSPC/SMC","2011-10","2011-11","1","8.545","true","","C","CPAF","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","faaffdd242cf4bb416860c30bfcbc97ab9f1fabad843ac88488d23d5c82e588f","0-63b8646cb407fc8ac91d95158f172d11b16d9fd7ba05567cf662628e49bbd584","","","0-87d6db9f8b4bf4af790e35ba6ac6ddb29246cfbffdc8f1b8fbf84e094cb8e9b9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","Reference footnote (10)","AFSPC/SMC","2012-10","2012-11","1","6.905","true","","C","CPAF","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","faaffdd242cf4bb416860c30bfcbc97ab9f1fabad843ac88488d23d5c82e588f","1-9fafb722fede172e4dda78ef291c2b0aeafe828037679b8f4df73843982a188c","","","0-87d6db9f8b4bf4af790e35ba6ac6ddb29246cfbffdc8f1b8fbf84e094cb8e9b9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","Reference footnote (12)","AFSPC/SMC","2014-01","2014-02","1","8.180","true","2013-03","C","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","faaffdd242cf4bb416860c30bfcbc97ab9f1fabad843ac88488d23d5c82e588f","0-6d05aad0fea626a81968c91bcd3aca5f38b6da2235aab36ae23c533c4d75a571","","","1-93e9139e591a33ffe64b56cbbc2911b15693c68e488e365ff646b0f6b9c78cf9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","DTRA","2012-04","2012-05","4","0.089","false","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-e3715f2240c83ca692bf1a03421e86c32c36f600ffcb5683aaa860a37ba6d812","PO","","0-1eae10e8a9f47c013ca06b1f277fc56605ab752c5cb2a443d76fc9b4c45d98a2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DTRA","2013-04","2013-05","4","0.089","false","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","1-a1c72296d713f595672dfc92899016389bfbf40a318fb970eb617db85b3679be","PO","","0-1eae10e8a9f47c013ca06b1f277fc56605ab752c5cb2a443d76fc9b4c45d98a2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","DTRA","2014-05","2014-07","1","0.684","false","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","2-2c5b4211729ea7b53408ce539c6240c6e826404be8a27cf7da02426c9c40423f","PO","","0-1eae10e8a9f47c013ca06b1f277fc56605ab752c5cb2a443d76fc9b4c45d98a2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","DTRA","2012-06","2012-08","1","0.100","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-1cc055cd6252f4eaa8cff416146a16596682c27054be4c65810eee1a95eb9eb7","","","0-426c121ac9f0abee16cb5a89098e88c85009b39559e02c92d337adf664b04633","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","Various/Various","2014-06","2014-08","1","1.934","false","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-6fa0e7ea96d7baebf77e4379f3a73cc5345a3c4422c591e56d568a6f8b65f4a4","PO","","0-4c9d830b90ca72c91471f2b74033eab1a7e89d53fe758900a9bfec48b73ce7f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","DTRA","2014-03","2014-05","1","3.326","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-f80550d9d5c79a83df16040dcb27ac71c096693d4c3ecc9253e6149e85a1a829","","","0-a90cbbe9ea8211338d3a048d38f5e5e6c45f6be43140ec12b2e35b363154e1d8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","DTRA","2011-12","2012-01","1","2.779","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-b871846154bf6f86ae81a2590744026092d7175a5a8ce2a6174d9962b2537c2f","","","0-b154219e1529908257ebf679b094075fb6780c5810ec7fc411db4ddbf29b63f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","DTRA","2012-02","2012-03","1","4.471","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-033d162d905fc1258c4eae4e8be04812a8ea2c99971a654a3c61dc97fc48d675","","","0-cfb7043b0068df2cfca3400a8d7250dc0c692a0e97ce20a29f2ce98cc91a64bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DTRA","2013-08","2013-09","1","0.106","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-fad3e1a0c92997dcc21350e055fa59fdf3343296ade04dbb3b4649b7f226a6f8","","","0-c5e0ebe4bc879169b0e05211d54fc703c482ebc87c5d7cf183c45fe6e7f9d0ff","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","DTRA","2012-08","2012-09","1","0.107","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","1-f0123bcaf55a35d48131963eb3ab606288c2e425caabbbd6fc6415d2ce904e4a","","","0-c5e0ebe4bc879169b0e05211d54fc703c482ebc87c5d7cf183c45fe6e7f9d0ff","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","DTRA","2012-01","2012-02","1","2.538","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-e79a81b697c7205ef32758771d7e6893fb016e2484bdd67eafcd795eafb4e697","","","0-f3a97815e5b569a3f6d6255a7dcfbe632392055e8dff779d64acc5f78be53da1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","DTRA","2012-06","2012-07","1","0.210","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-d0e48c47f0078572eaf4040237b99e27c844adf9f6ccc325bee82b3ab274aba1","","","0-164eaf6695131dd57b22b24ea79eb948c983a550a1c8505ac702994e57795ade","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DTRA","2013-06","2013-07","1","0.424","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","1-6c33813ab136bef91d4806dff8dc5aa10c63767d0b6161f5f80f3607d6cc4172","","","0-164eaf6695131dd57b22b24ea79eb948c983a550a1c8505ac702994e57795ade","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","DTRA","2014-06","2014-07","1","0.564","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","2-410db0aa664e54f460a8df3ecf5cda2e5f61ed65e6901e0b0b7959fa48c1b842","","","0-164eaf6695131dd57b22b24ea79eb948c983a550a1c8505ac702994e57795ade","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","DTRA","2012-06","2012-07","1","0.123","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-41b92f10e4bd5ac34803162eb0856ec38b3d0d03564a588c5615fd64ceb65d03","","","0-f67f571dda3950494cfe1d4c843845ce66f3809bfcb22e4e0ea5cdbba7115d66","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","DTRA","2012-09","2012-10","1","1.550","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-85d5d706012a8358a04128d79f78f85f9acb1d4c9b31d1ca15dac0a15f848bd4","","","0-7b43148cbe49265fac731581ee69f558e3ba8338f26d6ae10b694ef32fdd66da","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DTRA","2013-03","2013-05","1","2.110","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-1bd15daf099cd310dad64b338bbcb29353916dd80dba81ed0884f57e25cadb11","","","0-4ea6781f4d5b3d287d10895c1f253eeec357d96401673316277a99a8b109cf3c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","DTRA","2014-02","2014-04","1","3.119","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-bdbbfe7c36f9ae15663bf49cee86f31728ad91534ba09189b34ab5a13f5597d2","","","0-a3b876c76dc64c46beaf9ec137b54a5acae71a53bd11da0f2bfa681eb5bc9096","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DTRA","2013-01","2013-03","1","3.872","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","1-ee4f7d95719691d96277679126a7ef627a845023e320f4041b4db73f2e234ec9","","","0-a3b876c76dc64c46beaf9ec137b54a5acae71a53bd11da0f2bfa681eb5bc9096","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","DTRA","2013-06","2013-08","1","0.571","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","2-c334020d8d3b5625d81dad9104cdb315e9fdc1247eb238fa054f4060b26614fc","","","0-a3b876c76dc64c46beaf9ec137b54a5acae71a53bd11da0f2bfa681eb5bc9096","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DTRA","2013-09","2013-11","1","0.749","false","","C","Various","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","b9f6422383e24c827a39245f546a5e27c63b7555315eb0be5e4a650395701b9c","0-ae90ddfbf3ac95a8e02fd4ccb986d1b66bc8cc592a80edfc9175e7662cc9aa60","","","0-acebf69fda2b2768307d41e3d51c2c6982b93ba5a8bb49382cb05c42c6581132","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
