ProgramElementNumber_val,ProgramElementFunding_AllPriorYears_Quantity_val,ProgramElementFunding_AllPriorYears_TotalCost_val,ProgramElementFunding_PriorYear_Quantity_val,ProgramElementFunding_PriorYear_TotalCost_val,ProgramElementFunding_CurrentYear_Quantity_val,ProgramElementFunding_CurrentYear_TotalCost_val,ProgramElementFunding_BudgetYearOneBase_Quantity_val,ProgramElementFunding_BudgetYearOneBase_TotalCost_val,ProgramElementFunding_BudgetYearOneOCO_Quantity_val,ProgramElementFunding_BudgetYearOneOCO_TotalCost_val,ProgramElementFunding_BudgetYearOne_Quantity_val,ProgramElementFunding_BudgetYearOne_TotalCost_val,ProgramElementFunding_BudgetYearTwo_Quantity_val,ProgramElementFunding_BudgetYearTwo_TotalCost_val,ProgramElementFunding_BudgetYearThree_Quantity_val,ProgramElementFunding_BudgetYearThree_TotalCost_val,ProgramElementFunding_BudgetYearFour_Quantity_val,ProgramElementFunding_BudgetYearFour_TotalCost_val,ProgramElementFunding_BudgetYearFive_Quantity_val,ProgramElementFunding_BudgetYearFive_TotalCost_val,ProgramElementFunding_ToComplete_Quantity_val,ProgramElementFunding_ToComplete_TotalCost_val,ProgramElementFunding_Total_Quantity_val,ProgramElementFunding_Total_TotalCost_val,ProgramElementFunding_Quantity_AllPriorYears_val,ProgramElementFunding_Quantity_Total_val,ProgramElementFunding_Quantity_CurrentYear_val,ProgramElementFunding_Quantity_PriorYear_val,ProgramElementFunding_Quantity_BudgetYearOneBase_val,ProgramElementFunding_Quantity_BudgetYearOne_val,ProgramElementFunding_Quantity_BudgetYearTwo_val,ProgramElementFunding_Quantity_BudgetYearThree_val,ProgramElementFunding_Quantity_BudgetYearFour_val,ProgramElementFunding_Quantity_BudgetYearFive_val,ProgramElementFunding_Quantity_ToComplete_val,ProgramElementFunding_TotalCost_AllPriorYears_val,ProgramElementFunding_TotalCost_PriorYear_val,ProgramElementFunding_TotalCost_Total_val,ProgramElementFunding_TotalCost_CurrentYear_val,ProgramElementFunding_TotalCost_BudgetYearOneBase_val,ProgramElementFunding_TotalCost_BudgetYearOne_val,ProgramElementFunding_TotalCost_BudgetYearTwo_val,ProgramElementFunding_TotalCost_BudgetYearThree_val,ProgramElementFunding_TotalCost_BudgetYearFour_val,ProgramElementFunding_TotalCost_BudgetYearFive_val,ProgramElementFunding_TotalCost_ToComplete_val,ProgramElementFunding_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"0401130F","0","12.257","0","4.996","0","7.658","0","2.5","0","0.000","0","2.5","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","27.411","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-8f88f0794bbf0e2b2f236f49e084d509a2cac3c5e613786b506ecc320c0ea521","0-1677e30208cb81a1dd8921ffe83e2535369c5d27a3f19b42ed4e3e0d46b04689","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101113F","0","9.325","0","5.996","0","6.218","0","0.751","0","0.000","0","0.751","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","22.29","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b2d8afccacbbad6e360e0d83fc9b6f11326b8d6bde17f88d3c4e843f38ab51d9","0-c3b3d8f50bd803e696b04c8558d55a7acf4b07f218c2c7c9364678cc080838e9","0-e5b69231058266a0a82f7cdcce05a0e76c3955899b54d54cb6e8c06295574078","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0305202F","0","0.000","0","0.000","0","0.000","0","23.6","0","0.000","0","23.6","0","18.7","0","11.3","0","12.1","0","8.6","0","0.000","0","74.3","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f9967fa42b57731954068ef520219961b9e7c3b2bb4bc4a87f98c5625c6ba5a0","0-e6feb3416ba3eda90b6b2f9cf9e018627e9a97e69a412fb089c2a68f2f2bc3f9","0-a5d24a83eb74687a0bed1787c53039b705e599a07b67831cf360ba18a9e2e16e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401219F","0","28.7","0","41.456","2","30.868","0","20.222","0","0.000","0","20.222","0","4.58","0","3.054","0","0.000","0","0.000","0","0.000","2","128.88","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7f95dd75bf2114bf4d2e64dc73bf59014a2f5703906050baadffa60e23e7eafd","0-5270b001f96cf29b2d8244e3e495b228c0c86b238546ba915b46ed5cc90a71fd","0-5afc794bd2847e2405791fbb4d631f30efcab14ec2f9091024ee7860f611729a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401219F","0","0.000","0","0.000","0","0.000","1","1.9","0","0.000","1","1.9","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","1.9","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7f95dd75bf2114bf4d2e64dc73bf59014a2f5703906050baadffa60e23e7eafd","0-76dce220f718fe5a009f26062b353b6d670f05a2cc918e02841185433a1cfbf4","0-16736c3c7a1141bb293d5e65bd6e7568dbf6adb497fdf8e73d48930f202943a7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0305230F","0","0.000","0","0.000","0","0.000","0","19.949","0","0.000","0","19.949","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","19.949","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","cba0cd297e6be791ef2bcfeb4e56f5ff9e6fbc950d55bc245b5871e2429867bd","0-3e0be08676d48f004e312ab934e5ab0b0af6e0a4af47aae495064c56a441b287","0-9ec394b1904d3048dfd18c54bccc4faf75fe59424a8f7d398a6c5798d0aac34e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401314F","0","0.000","0","0.000","0","39.5","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","39.5","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7bcb6f6d45c43542b7f5ac6d84e9b8c61a05304670b11bf2fb4cbee320d2f60f","0-485162e31622f4b8a910347cbca421cfb7d8bebcaa05d58f3d5951366e56d388","0-589ec0e1d87f51ca0f820fa34ab7c5b33d51c0bfc7bcfb56dcb09df9d0188e6c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401134F","0","17.912","0","2.93","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","20.842","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-48ca43114d069cbe83c5be7e7449e3d25bba946e7f6f578a42fdce0509cde44a","0-3d372fb39c863cf75d2fb5fb94afbcc4932c8a25cde80ce2c2aee12fb5490512","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401132F","0","87.59","0","20.247","0","6.7","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","114.537","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2735bdb4da25959b8b4abecc00898757f40a9e86e5f583f7a85fe0b1e7420326","0-dc60896762c3893c8bd68ccd3122c04f33ee4a6978e0ec452670b92f98f15fa8","0-e18f3b0e0c0e8e36bd30e51fc94a38e647cfe9f20b99cea6780453983d8164b0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401218F","0","22.753","2","19.887","0","6.161","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2","48.801","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","78e2884d018f5c61b9f3aa102f3ee0123bfb3460e832ac75daa9d44670eb2be7","0-acc6aae63617658aa9bb7e5d436c7d1afb97beb20558e80dc8c5153959022ea1","0-730e706ee51def81b0e4a077e0b2a01fb675162c00f84cfcd69efba0b64c33bd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207253F","0","13.019","0","19.949","0","18.509","0","12.094","0","0.000","0","12.094","0","12.222","0","12.559","0","13.047","0","12.989","0","0.000","0","114.388","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8a13fe62ec4f7c8fb1a395fe3c95a9da56a7659c28f1303bbf32769f2e9c4bbb","0-036fdfa1ede35de17c8d491b57ca0a4a228829d47c54f70f034c5714e1d841c8","0-0780291dc7f8cd1cd1267dfecad373f1a1a4f58ce9d7664b571a17ffb1ae0b20","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207417F","0","120.065","0","102.061","0","12.266","0","5.734","0","0.000","0","5.734","0","13.935","0","0.000","0","0.000","0","0.000","0","0.000","0","254.061","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b01865c9a4319b1f4459a7b6687c852884ba93995a0a60013558c68b2a00e34e","0-8c9cd833249e74d92709589e299fca3d357a257bd95c93e97e068c7008cac6c8","0-70756cbd49f96443c4d925d7035ca92a0f7fd111d42fec83ffa2a814a60d1548","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207417F","0","39.148","0","10.737","0","23.804","0","8.038","0","0.000","0","8.038","0","20","0","9.292","0","0.000","0","0.000","0","0.000","0","111.019","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b01865c9a4319b1f4459a7b6687c852884ba93995a0a60013558c68b2a00e34e","0-f670cb94f52076ee7b79afceb260265dafffc075688ac61fe58c921405dc2d65","0-c58869438409b5df0be54ad109248d0ea306ba1db6b88d61b8dbc610bd6f0715","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0302015F","0","0.000","0","0.000","0","1","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","1","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1c2a9ee671cc6f00058c2f8fa9764b6b2a015936400e46ca5b2b2838e4ea8391","0-8baa59bd1fe792a371ec690241d0975ddb810e2d7cb8d17b2f53d1435b322ca3","0-05b6f19d3ebffcdf72805ba29cd33e3dff22662a77091b47646c495dab3300b5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0302015F","0","0.000","1","7.17","0","4.277","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","11.447","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1c2a9ee671cc6f00058c2f8fa9764b6b2a015936400e46ca5b2b2838e4ea8391","0-b0f3601e10f670d25bd387a625cad68ba6fd9bfc01f5eb8dd7e1d511f743b611","0-2f2483455a172442a60a043471d8e346077196becb42aff9a18bac79439bf0db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0302015F","0","8.918","0","4.842","0","0.4","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","14.16","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1c2a9ee671cc6f00058c2f8fa9764b6b2a015936400e46ca5b2b2838e4ea8391","0-784dc64ea6bfd80dd0053cf62cbd1fb1ea9c0cead6677a7e709408c513a1c73b","0-049e45c358a66d1c56e271031f7138d8bcb417ee03c6ddc1072248283aa02db4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207581F","0","82.797","0","64.806","0","32.778","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","180.381","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","beedc27ca541947adf319bb5b1b581dfd5214e64502e92cc1fff70badf58b344","0-1d0daac4db9929e0696beb5ce188ed7e79c0110ba8934168f2b42f1435f882a7","0-e3e3fbb7ed5f9538e4fab33866d26369a5a786f23f557b3973b0ab7683b80394","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207581F","0","6.799","0","0.693","0","0.036","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","7.528","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","beedc27ca541947adf319bb5b1b581dfd5214e64502e92cc1fff70badf58b344","0-94063871409f2e964cf805e43b0ddd9d121484c2f8aca19edaa9d7ca06380625","0-a07b8a3e4e59c38d4461a8c41621171a59977f46403ff3e55eb9f1fc94703077","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207131F","0","5.695","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","5.695","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2048a91e8b2edc0f698e78e8b71f08a4e3eac110261f374f4e322a358890a5d4","0-d98db9966b2ed28c4c64ff12658a34f70ad3042b7712da1d6aae2e11ccdab165","0-e9fd0f5677c3645cc40fc31ecbccec904150ef2ee09edf3da06a873cdb02b05a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207224F","0","0.000","1","0.912","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","0.912","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1b69f888ea8ce167d58a275c92aa54a5c14d3e3ce7280432298742ab6fb44e8e","0-e6aa9e08bf8816e76ac30085b1514c273fb86180c92b4095986b45d9759f9b0a","0-fa5505c668181c00b08d2b8d19898d80191e0865ad39a94ed51165d072ea8574","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207423F","0","44.872","0","38.881","0","43.964","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","127.717","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1118fffb53dcd06ed438537bcbae39a10a76f04ee739c02d6ee2e627a0e4e5ac","0-ec441eacc256b8e0b9a01c4cc45efc7130589cc189a7c11d7ee4d4a1eb3e81fa","0-fb515de7d068fe0a56e78f069bfed265eca585bf9a6ef30f42fa072116b41318","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
