Name_val,WhenRequiredInMonths_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_P10Manufacturer_Name_val,ManufacturerList_P10Manufacturer_Location_val,ManufacturerList_P10Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_P10Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_FiscalYear_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_PCOLocation_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_AwardDate_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_FirstDeliveryDate_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_Quantity_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_UnitCost_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_RFPIssueDate_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_FundingVehicle_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_ItemNameSuffix_val,QuantityPerAssembly_val,@PARENTROWID,@PARENT
"Cockpit For FY12 EOQ/Long Lead","0","17.911","","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","d9f1e0fb0d1c8f37f7cf1fb8789cbe4e3f3cf2139c15aa9e23860a1278ea6cc4","2-cccbd5989a9d6acef60a1cfc1bca1601d1bc30773a090debfdce3e45afac28e5","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2013-12","2013-12","0","0","2013-12","TBD","I think i","1","1561-de9790b5d1be169601eabb4cb03421852a4010a5db6948d5471400129683e320","root"
"Cockpit for FY13 EOQ/Long Lead","0","","13.2","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","d9f1e0fb0d1c8f37f7cf1fb8789cbe4e3f3cf2139c15aa9e23860a1278ea6cc4","3-cf9c16d96b15a14428ed49dcca6e6bc881a80eced9ed9869068e0bb174cc09eb","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2013-12","2013-12","0","0","2013-12","TBD","I think i","1","1561-de9790b5d1be169601eabb4cb03421852a4010a5db6948d5471400129683e320","root"
"Cockpit for FY14 EOQ/Long Lead","0","","3.5","11.925","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","d9f1e0fb0d1c8f37f7cf1fb8789cbe4e3f3cf2139c15aa9e23860a1278ea6cc4","4-d81aee61a4c157ccfaf877cf480fb0e88ea864b8649c5421d27d7ebe0b2bc8c7","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2012-12","2012-12","0","0","2012-12","TBD","I think i","1","1561-de9790b5d1be169601eabb4cb03421852a4010a5db6948d5471400129683e320","root"
"Cockpit for FY15 EOQ/Long Lead","0","","2.25","1","5.3","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","d9f1e0fb0d1c8f37f7cf1fb8789cbe4e3f3cf2139c15aa9e23860a1278ea6cc4","5-eb87a16fb1a555db674535cc9627fcca8756ccf6ac875c4bd00731e4f579cd4d","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2013-12","2013-12","0","0","2013-12","TBD","I think i","1","1561-de9790b5d1be169601eabb4cb03421852a4010a5db6948d5471400129683e320","root"
"A/C Misc Avionics","0","116.763","14.426","14.11","8.094","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","d9f1e0fb0d1c8f37f7cf1fb8789cbe4e3f3cf2139c15aa9e23860a1278ea6cc4","6-84d4df864f3fcaa2373f765a0040641be2294f754efae7777fa0acbc1f7fffd8","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1561-de9790b5d1be169601eabb4cb03421852a4010a5db6948d5471400129683e320","root"
"GFE Other","0","17.047","3.119","2.958","4.581","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","fca80c4a5bf23e192e9420dded4f49a1b46495e610d6495e88d6fe525d380853","0-0fc1346b12280937b103063d115d65fb3a9e1b12c6bddc5cbc7c90d9a917a95f","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1563-e3036d1ade786d351e46a5ba02c9a288f6759275e3160109e78eade4f93c63d3","root"
"MYP Savings","0","","","22.76","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","fca80c4a5bf23e192e9420dded4f49a1b46495e610d6495e88d6fe525d380853","1-7910d432c39bed0d65c664e5274aca58669a76808bd59a15b7edec26d7b79640","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1563-e3036d1ade786d351e46a5ba02c9a288f6759275e3160109e78eade4f93c63d3","root"
"GFE Electronics","0","","","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","9153159fe86babf2338e4b160b0225ad806515ca1ccc0dbf362bf9b5e04bfffb","0-5ebcf529cbd4320ebcb9609d7d058a72d8cf9b4ba96e9f7f628585a20b2ba982","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1565-619ee013d44571b1fc09308090a25a1850da873b3da78d309dda910812a7953f","root"
"GFE Other","0","","","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","9153159fe86babf2338e4b160b0225ad806515ca1ccc0dbf362bf9b5e04bfffb","1-4abb29162e33ca6dbd95ed3a9073a51402614b80f6f344786edafd10f75f39d0","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1565-619ee013d44571b1fc09308090a25a1850da873b3da78d309dda910812a7953f","root"
"Other GFE","0","32.177","","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","0665cc0483394d06f3f23a211d09a0bac88f7a74f6e6df002dd9f2bcbf15f4e0","0-9674dd796d29e97b8e2046304d64624db6e4953e76c115d672557d3eed2bee4a","See End Item P5A","See End Item P5A","36","36","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","1","1567-f394d89b1792f25e0a699c267994bc641483f45e025dd77d109fa07d2c14f904","root"
"JTIDS","0","16.955","","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","0665cc0483394d06f3f23a211d09a0bac88f7a74f6e6df002dd9f2bcbf15f4e0","1-ef9f8f937d753a6b25a407f3e6a581fb1fba1afa0c241ca1992263a66fd57468","See End Item P5A","See End Item P5A","36","36","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","1","1567-f394d89b1792f25e0a699c267994bc641483f45e025dd77d109fa07d2c14f904","root"
"Engines","0","14.9","","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","0665cc0483394d06f3f23a211d09a0bac88f7a74f6e6df002dd9f2bcbf15f4e0","2-0590bb0ffddf193c9de7cfdd591a96ffa46973872104e4b9ac4a057742c5a431","See End Item P5A","See End Item P5A","39","39","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","1","1567-f394d89b1792f25e0a699c267994bc641483f45e025dd77d109fa07d2c14f904","root"
"GFE Electronics","0","18.946","","2.396","1.804","1","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","2ca0b177ff5773179adc68e99a8aa14d5082a81544df1d5d478b6a1901815e1a","0-6a47266869a79a947a2766f809e7592fc88e70bc438f58009e8888520dbc3cd5","See End Item P5A","See End Item P5A","20","20","2013","See End Item P5A","2014-07","2014-07","0","0","2014-07","TBD","I think i","0","1571-ccf050cfea72c137b2c6e0720b9d43b65709341420aaaad87d76917910008c60","root"
"GFE Other","0","1.953","","0.599","0.084","2","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","2ca0b177ff5773179adc68e99a8aa14d5082a81544df1d5d478b6a1901815e1a","1-7c2ebae4df67bc9683285db09bb3753cfc9c8e01d73b6274e75c29ee6d8c19f9","See End Item P5A","See End Item P5A","20","20","2013","See End Item P5A","2014-07","2014-07","0","0","2014-07","TBD","I think i","0","1571-ccf050cfea72c137b2c6e0720b9d43b65709341420aaaad87d76917910008c60","root"
"GFE - Engines T.L.","0","","","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","64929e2f3b423b633d4163e755851b1fd905e7aae3c16591258a0272ed89fca7","0-0c5fce9ea466aace204965c7b3cee8014765541c617ad64dabfb7a4a931d668c","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1573-83b927d844c81d193b49b2cab4dd3a610eae19bf3593fd3d9fc85ad3e34b3ef7","root"
"GFE Electronics","0","","","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","64929e2f3b423b633d4163e755851b1fd905e7aae3c16591258a0272ed89fca7","1-81ab8c227f5bc311a922cdc6846039488cf6464afa872668766519481b8cbf1c","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1573-83b927d844c81d193b49b2cab4dd3a610eae19bf3593fd3d9fc85ad3e34b3ef7","root"
"GFE Other","0","","","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","64929e2f3b423b633d4163e755851b1fd905e7aae3c16591258a0272ed89fca7","2-321eff4424317e5324eac8ce97d1144b5d51fca4b6d6c52292e764e25e0c534b","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1573-83b927d844c81d193b49b2cab4dd3a610eae19bf3593fd3d9fc85ad3e34b3ef7","root"
"Engines T.L.","0","276.965","12.075","2.381","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","049cb91018f89e9c503e94cc8bbd5cb09e1075dae1b2910caf7d2d2f90fe1cc2","0-65a25c121b88fa900e5a3ed677b4e91aa38fd3b3356b9ee97a6631a440eaa871","See End Item P5A","See End Item P5A","24","24","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","2","1577-b8a2b7f4568629ec9953417974e7b21ef842813d7228fa9ef5ce63967e35a4e1","root"
"ALE-50 IMPLC","0","19.15","","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","049cb91018f89e9c503e94cc8bbd5cb09e1075dae1b2910caf7d2d2f90fe1cc2","1-1367b00a086fb1d56dcc90bfb2047caf1f6c57ae782623da019d84c4925d505c","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1577-b8a2b7f4568629ec9953417974e7b21ef842813d7228fa9ef5ce63967e35a4e1","root"
"GFE Other","0","24.681","0.673","0.128","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","049cb91018f89e9c503e94cc8bbd5cb09e1075dae1b2910caf7d2d2f90fe1cc2","2-694ed9d2717665d9678692f210b5c23964ce373a1c1e90f9d89741734b9b3797","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1577-b8a2b7f4568629ec9953417974e7b21ef842813d7228fa9ef5ce63967e35a4e1","root"
"G.F.E Engines T.L.","0","139.382","23.995","5.866","9.477","4","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","f49d6e455d4d07bc582f76515e80682a468b3173944aca0167c23cde3c9c266d","0-b71fc01a38c0741e8ee36d3b51fdf29f3975d831a9d302b004a3c9a08709f6e2","See End Item P5A","See End Item P5A","29","29","2013","See End Item P5A","2013-03","2013-03","0","0","2013-03","TBD","I think i","1","1579-658120baee19b97b5eccc6d7a46c10aa2f5e6a40015bc860434929ae078568bc","root"
"CFE- Engines T. L","0","180.754","25.79","21.24","20.639","6","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","c580d71111988ee8091a7769091dbf3b7f66dcdd6bb7f463ae21ffa990ebfa68","0-026fcfd6977e6e50221ab70b517190e113d2db33c91e786401c08b5b994bd658","See End Item P5A","See End Item P5A","27","27","2013","See End Item P5A","2013-02","2013-02","0","0","2013-02","TBD","I think i","1","1581-9b92873af84c889e787ad2ab6a0852047b42edfe023d1deaced7ddf5ea775cdf","root"
"GFE Other","0","85.578","0.148","0.154","0.148","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","548502376cfb19caab6522063ca08ecec5f9aeace484fcfe2ccf2e4ec8f531b1","0-599b6f30b5990fd2ebe64e85eacd117bdcad38bf0414a7aa0e3a9be63c1e8c4d","See End Item P5A","See End Item P5A","27","27","2013","See End Item P5A","2015-03","2015-03","0","0","2015-03","TBD","I think i","0","1583-1a7facce792249f511a6821772b68c4c8a122c182fc45326af175293f9a647cd","root"
"CFE Com/Nav","0","15.443","2.014","2.654","2.622","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","548502376cfb19caab6522063ca08ecec5f9aeace484fcfe2ccf2e4ec8f531b1","1-73bd0fbef70e32a7a56297411b8bcd3812dde6d93477cbe27c0722fb346f9ae5","See End Item P5A","See End Item P5A","29","29","2013","See End Item P5A","2015-05","2015-05","0","0","2015-05","TBD","I think i","0","1583-1a7facce792249f511a6821772b68c4c8a122c182fc45326af175293f9a647cd","root"
"GFE EW","0","16.945","2.533","2.916","2.965","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","548502376cfb19caab6522063ca08ecec5f9aeace484fcfe2ccf2e4ec8f531b1","2-0ba8f6d7cb9e9d08a548c6cce8a8db8423382348259119854f002551e1a904e3","See End Item P5A","See End Item P5A","29","29","2013","See End Item P5A","2015-05","2015-05","0","0","2015-05","TBD","I think i","0","1583-1a7facce792249f511a6821772b68c4c8a122c182fc45326af175293f9a647cd","root"
