FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,FundingVehicle_val,RevisionsAvailableDate_val,ItemNameSuffix_val,OCO_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery,@PARENTROWID,@PARENT
"2011","","AFSPC/SMC","2011-08","2011-12","2","5.847","true","","C","CPAF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","0-1c0ab6c819550405a88c3f2a598cc6d0a0592aaab8d07ed818fe3e8382b87306","","","","","","","","","","","","","0-3da6b6d8f1d2d78f81be4edd09d57a3123b398c16feac0ebe172995a4ddb4b2d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFSPC/SMC","2011-08","2012-05","1","4.967","true","","C","CPAF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","1-fe713c0f0e642957369681bf8ea4c67846d9c4a508395c4d25514c43c770fc28","","","","","","","","","","","","","0-3da6b6d8f1d2d78f81be4edd09d57a3123b398c16feac0ebe172995a4ddb4b2d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","AFSPC/SMC","2012-03","2012-06","5","0.932","true","","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","0-9dc4018f08e622d7fb446d7011e2bca1a32d939dadfe2effe4b025b9c98444a1","","","","","","","","","","","","","0-ab694efc8dc411c4d045ed27119b05127aed1327d2bc5e6588380d6c5672e1d8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","AFSPC/SMC","2011-07","2012-09","5","0.427","true","","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","0-e02121bf08c61d1d8e568b46e82a542e7826cddce53b331ea823b38b55138f4a","","","","","","","","","","","","","0-f0a7a538e710c72eea9cabf79682d0dd6509b006d6d664253214b826e1a7ba71","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFSPC/SMC","2012-04","2013-04","1","9.073","true","","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","1-17041f4625e5e7417888b521aef66a7030f348d79a2bbf23a389398fa89c2b98","","","","","","","","","","","","","0-f0a7a538e710c72eea9cabf79682d0dd6509b006d6d664253214b826e1a7ba71","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFSPC/SMC","2013-10","2014-10","2","6.489","true","","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","2-6b243daf0c431942d0e60fe9cce052a621f3bee6f99acf76c08da693482ae797","","","","","","","","","","","","","0-f0a7a538e710c72eea9cabf79682d0dd6509b006d6d664253214b826e1a7ba71","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","HQ AIA","2010-12","2011-06","0","1.295","true","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","0-fc47958144f030b9915f580a70f9d0825f99be661b8de93f308a4522af90fc9e","MIPR","","","","","","","","","","","","0-875f5dbbf2e5419e7d1f4709279b788d9761287d9b36829636dbaad2df225bbe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","HQ AIA","2011-12","2012-06","0","1.400","true","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","1-91670b5688e0f6e54cdd19c10491b7edad12ef809b44cbacad366c9c3bcdc528","MIPR","","","","","","","","","","","","0-875f5dbbf2e5419e7d1f4709279b788d9761287d9b36829636dbaad2df225bbe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","HQ AIA","2012-12","2013-06","0","1.400","true","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","2-60ceb24c856c38f51551aa1b8d08705e5fbe903284106bcc66c69ad5986b0e81","MIPR","","","","","","","","","","","","0-875f5dbbf2e5419e7d1f4709279b788d9761287d9b36829636dbaad2df225bbe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","AFMC/OC-ALC","2011-09","2012-01","1","0.495","true","","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-8c63bc13538047a3a1256c60942d3046a066c09bd860cc72fd3d01741c9a700d","","","","","","","","","","","","","0-42cc0d59723f4caebbe78bbf3a76c1008892cfea2dd4027f3ae496751d3ea9b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFMC/OC-ALC","2011-11","2012-01","1","0.977","true","","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-6c69246ebdcdd137cae2d39e49f184125727d42f653a411e2e300e5f4dcc9697","","","","","","","","","","","","","0-ce1b2480b08847f98d5adec6464469e0a26c75cf828d9525208991ffd18a9760","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFMC/OC-ALC","2012-02","2012-06","1","0.522","true","","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-de54690ee74f0804ad7e995e2f2831867da42bf5a0b3715a4e6661dd6f994731","","","","","","","","","","","","","0-b81fdfa790c116cc6372a0455acd2702996f9b70f5ad303cc8211c5454f9fc75","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFMC/OC-ALC","2012-02","2012-06","1","1.080","true","","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-65f56cebf49b6d0e3d09404f077b73289a187cf14617aff2ab8303bbfa5ea62b","","","","","","","","","","","","","0-8a3e86043604e2c3e43bc13623a083386c580b36ba577688876a57760e00df33","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFMC/OC-ALC","2011-12","2012-02","1","0.043","true","","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-04a2d87c7752b892425e977a9c7184508d57ef85b896a05943f13bf3e134db92","","","","","","","","","","","","","0-b387f16b1a5452a92707aacda18604faeabd40469c23728a23dcb112dacad1d9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFMC/OC-ALC","2012-03","2012-07","1","0.562","true","","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-8273d098bd73bac1d20c7c5e19c222470d02a750696e20a84de80519d483a048","","","","","","","","","","","","","0-934069e5deb04c004cd1f30545f35adc1a748778f8450414e038e247fe904430","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFMC/OC-ALC","2012-11","2013-02","1","1.226","true","","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-eca1f5f2cd309fe6dba62d2ed34bc2278de9c4dfef5f396e13e13a262eefebc5","","","","","","","","","","","","","0-2556ddbd21cb6d46f0509cdd9abfe6489fa27eaed57701431a2001af44cc6adb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFMC/OC-ALC","2012-05","2012-10","1","3.129","true","","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-c825377f2f0f890f12acdfc089f072418898b601aaac8264e677d69ffb98d8d2","","","","","","","","","","","","","0-285b5f27c338381a6739cef0cb93abc811b2343314a577a70818e82e2ca6657d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFMC/OC-ALC","2012-05","2012-10","1","4.574","true","","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-9263a7ff4cfc74c82d081cc11a9967827a45ce7a47bf95b76b2ee7bd151800cc","","","","","","","","","","","","","0-690a18aabf34233c3cf307c95763b96d2fd58f0ca98e90a6c8d9b5da453857a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFMC/OC-ALC","2013-03","2013-06","1","0.336","true","","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-4e1d297a5b872d1248b609598e2d80f207efb1b233fcd02e249f28fbc99b5121","","","","","","","","","","","","","0-4e13555329bbe8cf50bd00d329d14c33c2cae010337ba2c0bdc5991f748c56f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFMC/OC-ALC","2013-03","2013-06","1","3.237","true","","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-4e760833b6841404c6a1a0383e8d22032cc4486ba85a5922fc6b9c34303ce5ac","","","","","","","","","","","","","0-95c0e9eeb483875c1b471c7669c799fb7d913a56fb5ca93ff8c62af714bc478e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","AFMC/OC-ALC","2011-08","2011-11","6","1.085","true","","C","BA","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-e0dbf4f5f3810b318a32d6ac53ee688a67312c9a17f8ca0e98cced4f509a34d7","","","","","","","","","","","","","0-3e385f3cd49038ca94f7207bd7fa77dca935903328a7672d281eac08c0c58435","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFMC/OC-ALC","2012-07","2012-11","1","0.521","true","","C","Various","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","1-64793b8117a877695f1055170c819e2a828d76a12085f1c21bcdcff41ed38e7d","","","","","","","","","","","","","0-3e385f3cd49038ca94f7207bd7fa77dca935903328a7672d281eac08c0c58435","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFMC/OC-ALC","2013-02","2013-08","7","1.105","true","","C","TBD","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-2374c61f3c0a03cddbda7500c9fd2fe3fff3aac4c935e908d1f502bb16c5e2f3","","","","","","","","","","","","","0-ca478c3c11dc87b0613d340bf82e467115e16be2d1aa1b42837d77995fb3982b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","AFSPC/SMC","2011-07","2013-06","1","5.200","true","2011-06","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8a400c2fef47d9b788224f8887bcec41dd3e6a41b162e420da864434d320ae95","0-55437d95aa54b008bf48b33ade9fba7516af216e670b73f62f4251de8d0022e5","","","","","","","","","","","","","0-30a5782e0c36bbc0ddd41a2768dbd7e8e410c10590a22790f163ca923945482a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFSPC/SMC","2012-06","2015-07","1","8.000","true","2012-01","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8a400c2fef47d9b788224f8887bcec41dd3e6a41b162e420da864434d320ae95","0-164b5907b0243580027e90dfd4d88c621226311b94975d2563c7395ac869488d","","","","","","","","","","","","","0-a588905cf5a5d5bc075e07083cafe41195b0bba6851834bdadc470eb2784e5f7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFSPC/SMC","2012-11","2015-07","1","9.100","true","2012-01","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8a400c2fef47d9b788224f8887bcec41dd3e6a41b162e420da864434d320ae95","0-0b6a51b8cd04879050622a5cd3d9d0e7c5a858371b07c741e0e3912725f478c7","","","","","","","","","","","","","0-7b927f6aefa215c4ed0fc197ed0aea1a02f09b142acfb69ca671e400036b838b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","AFSPC/SMC","2011-07","2013-06","1","5.116","true","2011-06","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8a400c2fef47d9b788224f8887bcec41dd3e6a41b162e420da864434d320ae95","0-51704cc6a1f5a695dab431115190ad8df5a90b97ca0111c4118d0eb3c47452a3","","","","","","","","","","","","","0-32c107734093cdc1e019d3e4ec0636a2c7e10e837b0c19b068689f14f51f00e3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFSPC/SMC","2012-06","2015-07","1","21.320","true","2012-01","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8a400c2fef47d9b788224f8887bcec41dd3e6a41b162e420da864434d320ae95","1-06720ea8b723165416e469c4cff08629c1f91175a7521b6f5280bb3e3f50e27b","","","","","","","","","","","","","0-32c107734093cdc1e019d3e4ec0636a2c7e10e837b0c19b068689f14f51f00e3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
