Name_val,Location_val,@SOURCE_FILENAME,@RECORDID,@ROWID,InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,MinimumSustainingRate_@footnote,MinimumSustainingRate_val,MaximumProductionRate_val,Rate185_val,@PARENTROWID,@PARENT
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-25399d747207b35fa3e91b55252ccca033f5f03a6ce4780e02d3c4f36d1d1e46","0","0","0","0","0","0","0","0","","","","","1-2f220d43c3ff91e85c42b08a5f75b9416c6ba96cb1200eef6ee8ba59639df05f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-55b29c359da21d8d982801c794915fc3768c7ea509e3c477304b4811dfa44b4d","0","0","0","0","0","0","0","0","","","","","2-2714e080649d39a61848795679261806cb8751d7d3a2dfc2ac4c7df12c82bcd6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-ef918fd5409e58d3cc53c8e0d3031cdb6ed6429869dfc95dccdfd5f1422123f5","0","0","0","0","0","0","0","0","","","","","0-4bca1f30d40560d9fe3379811856fefcbee36a803ffbcd06701d381786c4bfa0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"General Dynamics Info Tech","Fairfax, VA","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-ed6e92c2ba94686025f2b1d35e5127a67f1820f2033210791874ca26d0d6402f","0","0","0","0","0","0","0","0","","","","","1-abed8dcdd280b7fb53224130bb510240abc88441e0d6b6fd7acdbb31327993ac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-4e21ac4438c8bd19b4fb6e9db80aef1e2c8c403bfe822270332013772c53b4b7","0","0","0","0","0","0","0","0","","","","","1-abed8dcdd280b7fb53224130bb510240abc88441e0d6b6fd7acdbb31327993ac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"CHESS","Ft. Benning, GA","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-f592d09e36000cd3bb6e2881fd07ffab7ea996cda794c8113264333adc13cd1f","0","0","0","0","0","0","0","0","","","","","2-267335240957aebcaef0bc1ceb7445b9d71773ae2a646f2bfe773e0ed7c2d141","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-361a0fcf84fb9fd5e3fa3de198a369920d50ee6d1deb22eac942a657446c4707","0","0","0","0","0","0","0","0","","","","","2-267335240957aebcaef0bc1ceb7445b9d71773ae2a646f2bfe773e0ed7c2d141","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Dell Federal Systems LP","Rock Round, TX","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-56a012024bbd1807370b1ade26a74128f80a7ab0958846c1792eed4831023ac5","0","0","0","0","0","0","0","0","","","","","3-35efb70029c73c7e22926696729e0fc9b59f3bdfadd3750de64a1be8463a2953","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-2c02f2734695e1309a0e9b5fe938647498186eb2aaed52386776332bff7e500e","0","0","0","0","0","0","0","0","","","","","3-35efb70029c73c7e22926696729e0fc9b59f3bdfadd3750de64a1be8463a2953","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-cd62d6c39307ff4f7f7dfa7ce1ffb56d4f4d72b2607a098f6b168fe793fe9a3f","0","0","0","0","0","0","0","0","","","","","4-a3fff4d3fcf8f612529f2fe41ecba09ea092c4ec01bfd1c0b3d544d87e350d45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-0a197287756ac31a039b6008bfbfb08aa3ef0e8a64e18c141bfdc960382bfe34","0","0","0","0","0","0","0","0","","","","","5-88e8fdbcf0adff0220917ddaa9bd6cbc189affa5cdba431ad796f9ea1aa93eed","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-c3e35488e8e4ff1e5ad3761dfe7ab93dab2ad4989fbf3f27f69fb43fd8548a84","0","0","0","0","0","0","0","0","","","","","6-d098e533cfe0cdf7501ae6196228cf2a15336ea103c49088583bc13699ef58f6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-d9ab9fc53acea344ab6bfdb80b3c0330f2778d147d6208b66d0f94d4f484ebb4","0","0","0","0","0","0","0","0","","","","","7-75e8d3d86fb429047f6bcd9786929aef55483d917e3df787bfc84271a804bb79","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-75f1c86f835c803e6d016ab353ec93657f190b05bd98d31b99e3bc000069a606","0","0","0","0","0","0","0","0","","","","","0-fbfe0487118a62eb7c5ed9abaf5d9115b6e7015aaeb5e4fa2c00f5e83155f484","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-b587a378085ce18cdc506fa4b273c2558ac868e51320e2f70f5bf1d95b3e1793","0","0","0","0","0","0","0","0","","","","","1-56389778e64c8980cf7db82d0623a3058b16e1e9950c2f06dc1996d4543cded1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","0-0efa5e736510723ca1225955f047630f76b3a51fe369192cc6009381359461bb","0","0","0","0","0","0","0","0","","","","","0-02dcdef9328d308e8af3a239c59c97e226973cff05007701ba94769f8d98774a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","0-56782c52248847f181b0103df4a9b1bb236f8a7b61ddb0e042a1f7938ff6e694","0","0","0","0","0","0","0","0","","","","","0-d3e035e345c9e01c7725827d22b716ee08922ef8bb21ab62055cf65845893572","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Defense Engineering, Inc","Arlington, VA","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","0-56459910de82bd42646c83b212050d2e1cada7b9b0382eca2b5305c5fd65a043","0","0","0","0","0","0","0","0","","","","","1-12575f6cb3715f2e0b282e7d08d8cf95073f8845946dae78b851c7f197f8ba12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","1-4e64b1b6e84096431d8b12435e0d4f3812639635d479ea25f5fe8282f4eff499","0","0","0","0","0","0","0","0","","","","","1-12575f6cb3715f2e0b282e7d08d8cf95073f8845946dae78b851c7f197f8ba12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","0-12d156e6801b7a61afef599651cda87db1855b8dc05d4df9b45c3267507e82d8","0","0","0","0","0","0","0","0","","","","","2-dd57ffd546117684a6bd775cb27cd5d1f0f399d97d1c99f4679ae5eefcf1bc5f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Dell","Columbus, OH","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","0-2a208d35ca77823ad076cfdfc2a3c1b740f4dd3377d8ad57f10704e3858b6a23","0","0","0","0","0","0","0","0","","","","","0-4b29ea537258f4b344b79a67a5783f0138f0f042f625188bf4da6c15544d18e1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","0-4df38cb9b1fc2235fb8e9d91a51bb01f3078699c4e11820936524933578156d2","0","0","0","0","0","0","0","0","","","","","2-ee1534fb3d52b043841d474ac381a4d4bfe4a4497edac517c39121586af18da7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","0-b161ace0497bc7228d39389eb5d72839aa3e871cf9880baa36d7322ce3236397","0","0","0","0","0","0","0","0","","","","","5-88e54256317bd04776341ff0c450c0db475e6768fb2cc752f89c965497bc9eb7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","0-7cb142564e7489fc35c37641b1f09c1401e8c8e72ea575dc074fe894912ea4e0","0","0","0","0","0","0","0","0","","","","","6-210193a688ca4e8417ac36b2cb237cee39346ef7a7996bf229a6a346e9c1c143","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","0-9340854a2c0a298a47bfe635f514ff6075e657a981a85e9f65b39dfdb3bb3a2c","0","0","0","0","0","0","0","0","","","","","0-caba9503464a97e8944110af09588807438c4ab178385a5a891cf1dac0d14e0b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Accenture Federal Services LLC","Arlington, VA","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","0-8a4a53240f699b24f960f29c04a44807ca1daf78dfa36ca6be9d3fe14a7e232f","0","0","0","0","0","0","0","0","","","","","1-e03dc34002e1c6fd844f73ddaf36aceb6ff0863afa6a6a4bdc16e07b723b826e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Army","Wash DC","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.xml","d94f019ca6ad47831570c156dff39434da9ab15bce0586d43be1216cd4cf1d47","0-da72572e18946c6970d574bc1fbfc9a57919c434bc7a1158df6fa49779fc1b6e","","","","","","","","","","","","","0-71e05e96bfad3f125814ef93b902756a33157f2794ef8a3536da3dcfad3c6eeb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Army","Wash DC","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.xml","d94f019ca6ad47831570c156dff39434da9ab15bce0586d43be1216cd4cf1d47","0-a01b7e9d274d6504dd444f6f2f0864db4b9645388bb6114ef1e92a8a690ec4da","","","","","","","","","","","","","1-b2c4dd1190864716d8b0f825c3e1d3ad9084af828dfbe53ed43a3651fae6908d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Army","Wash DC","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.xml","0ba1ff01b1584bc3e78a57a5ea1922c71db0daf80e4e1f03a022614b8e202d41","0-b7bd500e9c9ea28964e7947dc18ba9ca63e53c007c96c555a3dd51e1483dfd4c","","","","","","","","","","","","","0-754d6261c3b48cb70dac0395522464e6c653a48bd142f2c3aa7f25da482dcc4a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Army","Wash DC","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.xml","0ba1ff01b1584bc3e78a57a5ea1922c71db0daf80e4e1f03a022614b8e202d41","0-7717636423401bdc6af669c1df3c0ccb8196a9b9863333fee6a9b82182ca6157","","","","","","","","","","","","","1-f1b2f7c9c775d39be78fde389279c769cbf0c141b38a7093e8c20297cb48afec","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Army","Wash DC","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-DEFENSE_MASTER_JBOOK-PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2015.xml","303b558d79ac8de02c9b26612b66f29a4d300e030b75eec7d9b97dfeddac8680","0-4a3e6755de29f2d2ce17bf8ab5aefe0f7d49270f52b7a082ff594c1109c92baf","","","","","","","","","","","","","0-551b3b52010538a38f71aa435a97fef4fb27d1a7a5b23a78906b82e10beaab2d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Army","Wash DC","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-DEFENSE_MASTER_JBOOK-PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2015.xml","303b558d79ac8de02c9b26612b66f29a4d300e030b75eec7d9b97dfeddac8680","0-7274d2b921dd5f323a7003316a7d89c6b68a8b11b1ecff7a2e7d1d0735e6ada8","","","","","","","","","","","","","1-200d1e112532ce56f500a7e88c6f9a2d1a18154345396edef9f0c278d2c9bbfe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
