Name_val,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Special Test/Special Tooling Equipment - Block II","B","0.000","3.096","1.857","0.405","0.000","0.405","0.302","0.304","0.306","0.308","6.367","12.945","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","3-e58d509a65fcefaefb471d88ea6c70fcd4c159db6235ac0dc4606f83224481b0","0-13951b7ddad8b4e28a1e86e17532c44fab8eec2c70a80189cc5fe4085cd86406","root.record.ItemExhibitList.P5Item"
"Missile Containers - Block II","B","0.000","0.422","0.553","0.678","0.000","0.678","0.654","1.088","0.691","0.711","13.539","18.336","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","4-48b1adb9acf4c9fded360d3d52e68c67355268c1a42a84a24bca64ac28dcf3c2","0-13951b7ddad8b4e28a1e86e17532c44fab8eec2c70a80189cc5fe4085cd86406","root.record.ItemExhibitList.P5Item"
"Non-Recurring Engineering - Block II","B","13.598","4.853","17.478","0.981","0.000","0.981","0.000","0.000","0.000","3.998","37.478","78.386","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","5-ee3b516fb2b479525e6642806d602b88158878692f352abd859b5ea6775a0f94","0-13951b7ddad8b4e28a1e86e17532c44fab8eec2c70a80189cc5fe4085cd86406","root.record.ItemExhibitList.P5Item"
"1.  Containers and Cables","A","0.000","0.814","0.905","0.906","0.000","0.906","0.906","0.907","0.907","0.907","6.886","13.138","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","bd94e016655fb7e8c18ca6cbc8a1281d2289738dab2784f61b0c5091b6f90251","0-ec688a80b2ab0ed51e16d91ee76041217b23f9d3b5863a4097857c0a3609434c","0-c1b4138989cafd3bc3f61c382cfdb32b028b25497903ea6774445efd2b789d78","root.record.ItemExhibitList.P5Item"
"Containers and Cables","A","","","","","","","","","","","","","1.696","0.886","0.896","0.896","0.896","0.896","0.896","0.896","4.741","11.803","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","e791207ec97797e3d4add01d11a482a385dc05778a73e6c7a0d9982bbffa533d","0-75cc247d4b0a358d7ed408a2b069594ed264242d1562106f90515b4bb5757b2b","0-25a0d2463c52a7261e4ea31f300a3bbec99044d85668c576bb37fbafffab0077","root.record.ItemExhibitList.P5Item"
"Containers and Cables","A","","","","","","","","","","","","","1.696","0.886","0.896","0.896","0.896","0.896","0.896","0.896","4.741","11.803","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","3e3eea93282c4f3279d4edd48276a257d03bc72b5b9b844c2237b14711e6b6db","0-85b13d7e4f286041fd13541323c1a28eb8a2ca5a90b31c8e60a3740e5473339c","0-682fd59c8d667170fb5ee4556d5e1409e8444d3dfea3bac1edbb0afda516a8d3","root.record.ItemExhibitList.P5Item"
"BA Trainers","","","","","","","","","","","","","","","","27.529","27.529","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","4e556b87336aa79100d4803e900d244a7156d4dd8d8f6b26cd3ec27f992e16fb","0-ddd3fd5f226558e7d2ade9018483dc836955cd885550111dff1677eaf230f3f0","0-e60738cc9781beb693690be2dfa2bf96d9b4d7e60a40f0cb790580fc78b323df","root.record.ItemExhibitList.P5Item"
"T&H Gear","","","","","","","","","","","","","","","","12.121","12.121","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","4e556b87336aa79100d4803e900d244a7156d4dd8d8f6b26cd3ec27f992e16fb","1-155c81682a45d102833b51196653723f40d37ca8770bcb7ff9b0e920af6d82e5","0-e60738cc9781beb693690be2dfa2bf96d9b4d7e60a40f0cb790580fc78b323df","root.record.ItemExhibitList.P5Item"
"BA Trainers","","","","","","","","","","","","","","","","27.529","27.529","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_AMMUNITION-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.xml","63cece1a674f1f0912ca47ccc55131b5fec02f521a4eb768eb56d7c1d9e6ec09","0-ed333cf6c1faa53241d373e89fc3fdec2daf9411c19e0a4e3ae06b38dd6ec742","0-61a17f143a1218c4ad6c1319f3244292c953b656179d55737fb12f6e8342acda","root.record.ItemExhibitList.P5Item"
"T&H Gear","","","","","","","","","","","","","","","","12.121","12.121","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_AMMUNITION-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.xml","63cece1a674f1f0912ca47ccc55131b5fec02f521a4eb768eb56d7c1d9e6ec09","1-949a3685a3eb92a80c0d382c0c03bccd093adab86664c06cd3281ce0c1c6aadd","0-61a17f143a1218c4ad6c1319f3244292c953b656179d55737fb12f6e8342acda","root.record.ItemExhibitList.P5Item"
"Bomb Assembly (BA) Trainers","","","","","","","","","","","","","","","27.529","26.613","26.613","","","","","","","6.511","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","febe812ff6da49c74047d6ca8ec01f4aa83c73b56f8c312dc3f34dd1983e8647","0-97dd72c6715c186c9d586433f654d5dd6c803ba3886e22dbab8d262286bf3f9f","0-c1b3eace7b122ffc479b406fa9d40c2fa7d2e6b06fc266842d3a15430b5b56db","root.record.ItemExhibitList.P5Item"
"Test Equipment (SATS)","","","","","","","","","","","","","","","","0.58","0.58","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","febe812ff6da49c74047d6ca8ec01f4aa83c73b56f8c312dc3f34dd1983e8647","1-edacf306817a3357b27013ec190935b50bba279daf367857b73876cde4b0e1eb","0-c1b3eace7b122ffc479b406fa9d40c2fa7d2e6b06fc266842d3a15430b5b56db","root.record.ItemExhibitList.P5Item"
"T&H Gear","","","","","","","","","","","","","","","12.121","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","febe812ff6da49c74047d6ca8ec01f4aa83c73b56f8c312dc3f34dd1983e8647","2-c522320fbbcea4cadda82d6020b419f1641704ba9412348106235cc8290bbcc4","0-c1b3eace7b122ffc479b406fa9d40c2fa7d2e6b06fc266842d3a15430b5b56db","root.record.ItemExhibitList.P5Item"
"Bomb Assembly (BA) Trainers","","","","","","","","","","","","","","","27.529","26.613","26.613","","","","","","","6.511","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","c48d29353e3e6e5cf9c29adfc0105bdb804a21b25e74ec61fd9d65a6eb451eb5","0-a8d99559a4909266fffcae7dd1ef2bf9020ee0892ed3d12b4c3fe91e6d6239d3","0-e8893a7e4b8f8d1ccf2b7aca1a272bf0fea9cea7a7a231dc8045bcdeb4eb6719","root.record.ItemExhibitList.P5Item"
"Test Equipment (SATS)","","","","","","","","","","","","","","","","0.58","0.58","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","c48d29353e3e6e5cf9c29adfc0105bdb804a21b25e74ec61fd9d65a6eb451eb5","1-1859d27bfd35da264366d943af31b3430d43f09971d544299f6ff08dc1b122d9","0-e8893a7e4b8f8d1ccf2b7aca1a272bf0fea9cea7a7a231dc8045bcdeb4eb6719","root.record.ItemExhibitList.P5Item"
"T&H Gear","","","","","","","","","","","","","","","12.121","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","c48d29353e3e6e5cf9c29adfc0105bdb804a21b25e74ec61fd9d65a6eb451eb5","2-8287837e567c1ca06ba046c01cf675a064e1c2dde734f80849d1a1721c817609","0-e8893a7e4b8f8d1ccf2b7aca1a272bf0fea9cea7a7a231dc8045bcdeb4eb6719","root.record.ItemExhibitList.P5Item"
"Bomb Assembly (BA) Trainers","","","","","","","","","","","","","","36.68","19.366","0","0.2","","","","","","","6.511","0.2","2020-BASE_PROCUREMENT-2020-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","1e63ae67232bf79d1dab02b538ecf7c46601ae68ff91e61ae778a77cc9004f0c","0-a71eff6f34a3e37e5ed30453183e16ef9f614ac58ad1126e4f10e2edbbc54dfe","0-c4fb3ace373ef4e6225187308dd50be549788408eac0e0d386856ba7d30bb707","root.record.ItemExhibitList.P5Item"
"Test Equipment (SATS)","","","","","","","","","","","","","","","2.696","0","0","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","1e63ae67232bf79d1dab02b538ecf7c46601ae68ff91e61ae778a77cc9004f0c","1-4abe7432a112c67b6ae4fec87df7899038b81eaf2f0a0997f12122f5998d6188","0-c4fb3ace373ef4e6225187308dd50be549788408eac0e0d386856ba7d30bb707","root.record.ItemExhibitList.P5Item"
"T&H Gear","","","","","","","","","","","","","","16.457","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","1e63ae67232bf79d1dab02b538ecf7c46601ae68ff91e61ae778a77cc9004f0c","2-1e105bdeb8fe07ca1d669155e7b84289ec01715f759be9570b408ebf4d6a3c82","0-c4fb3ace373ef4e6225187308dd50be549788408eac0e0d386856ba7d30bb707","root.record.ItemExhibitList.P5Item"
"Bomb Assembly (BA) Trainers","","","","","","","","","","","","","","36.68","19.366","0","0.2","","","","","","","6.511","0.2","2020-BASE_PROCUREMENT-2020-AIRFORCE_AMMUNITION-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","df0c24c79714db965bc49d1f6003f0cd9a2210c6efa351193d977c7178374dba","0-5aa64ce10d546813c06b98a365d4cb88efd7ceb603e447387ada2f3e324c643b","0-e03872e526f2e3ab15e654370764afdcac3f6f7e72c6ecc2e72a3ba643dc0726","root.record.ItemExhibitList.P5Item"
"Test Equipment (SATS)","","","","","","","","","","","","","","","2.696","0","0","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_AMMUNITION-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","df0c24c79714db965bc49d1f6003f0cd9a2210c6efa351193d977c7178374dba","1-f1acfc2424373af4a2f7cce317a1222a42d83e91e58c04bdaa82b0f1cdb93f35","0-e03872e526f2e3ab15e654370764afdcac3f6f7e72c6ecc2e72a3ba643dc0726","root.record.ItemExhibitList.P5Item"
"T&H Gear","","","","","","","","","","","","","","16.457","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_AMMUNITION-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","df0c24c79714db965bc49d1f6003f0cd9a2210c6efa351193d977c7178374dba","2-15a92f9f17c7b06ebe66548405b9c453ed5c95379cba244c08f8b2e3a60d456c","0-e03872e526f2e3ab15e654370764afdcac3f6f7e72c6ecc2e72a3ba643dc0726","root.record.ItemExhibitList.P5Item"
