Name_val,Location_val,Type_val,FacilityProjectList_FacilityProject_Type_val,FacilityProjectList_FacilityProject_Contractor_val,FacilityProjectList_FacilityProject_Description_val,FacilityProjectList_FacilityProject_CostList_Maintenance_BudgetYearOneBase_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Maintenance_BudgetYearOne_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Maintenance_PriorYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Maintenance_CurrentYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Total_BudgetYearOneBase_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Total_BudgetYearOne_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Total_PriorYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Total_CurrentYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Recurring_PriorYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Recurring_CurrentYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Recurring_BudgetYearOneBase_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Recurring_BudgetYearOne_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Environmental_PriorYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Environmental_CurrentYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Environmental_BudgetYearOneBase_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Environmental_BudgetYearOne_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Other_PriorYear_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Crane Army Ammunition Activity","Crane, Indiana","GOCO","Inactive Lines at Active Plants","Not Applicable","FY 2014 Base procurement dollars in the amount of $0.336 million support the care and maintenance of laid-away ammunition industrial facilities.  This effort includes non-severable equipment, plant equipment, special tooling, and special test equipment being retained as part of approved plant equipment packages, which are required to support future replenishment requirements.","0.336","0.336","","0.331","0.336","0.336","","0.331","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","0-40263b1bd248dbd2fefd07756375a02eb7fc95c970323ee43d8d3ffd9e8ebd6e","1251-dff4fb00c2089513293a2293739c8d332ad0434596f4ec1215f913fa0ed1c5f4","root"
"Hawthorne Army Depot","Hawthorne, Nevada","GOCO","Inactive Lines at Active Plants","Day & Zimmerman","FY 2014 Base procurement dollars in the amount of $0.096 million support the maintenance and long-term storage of reserved unique production equipment with long replacement lead times at Hawthorne Army Depot.","0.096","0.096","0.058","0.094","0.096","0.096","0.058","0.094","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","1-1848312be4ae07ca2f15823e910d5659ec61dd9d63e174c933e6c7665792c3b5","1251-dff4fb00c2089513293a2293739c8d332ad0434596f4ec1215f913fa0ed1c5f4","root"
"Holston Army Ammunition Plant","Kingsport, Tennessee","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2014 Base procurement dollars in the amount of $0.107 million support the care and maintenance of laid-away critical production facilities at Holston Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, asbestos management, and minimum maintenance of specialized production equipment.","0.107","0.107","0.056","0.282","0.107","0.107","0.056","0.282","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","2-fe621afd6a8fd789502b8a05b8e0d512008697a9510c3bcf610617bae874e399","1251-dff4fb00c2089513293a2293739c8d332ad0434596f4ec1215f913fa0ed1c5f4","root"
"Iowa Army Ammunition Plant","Middletown, Iowa","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2014 Base procurement dollars in the amount of $0.708 million support the care and maintenance of laid-away critical production facilities at Iowa Army Ammunition Plant. They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation touchup, asbestos management, and minimum maintenance of specialized production equipment.  These efforts are responsible for associated MIF costs and provide for monitoring of excess facilities until they can be disposed.  These efforts also provide for well monitoring at the inert landfill, trench 5, in order to comply with a signed consent agreement between the plant, State of Iowa, and Environmental Protection Agency.","0.229","0.229","0.075","0.225","0.708","0.708","0.324","0.697","0.165","0.311","0.316","0.316","0.084","0.161","0.163","0.163","","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","3-38d9873fa9e7331e0fd4e61b93e771097dd2ec98dde287f293388c70ac6dcca1","1251-dff4fb00c2089513293a2293739c8d332ad0434596f4ec1215f913fa0ed1c5f4","root"
"McAlester Army Ammunition Plant","McAlester, Oklahama","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2014 Base procurement dollars in the amount of $0.166 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling, and special test equipment being retained to support potential future requirements at McAlester Army Ammunition Plant.  This effort also includes associated maintenance of inactive facilities costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.086","0.086","0.102","0.106","0.166","0.166","0.152","0.204","0.05","0.098","0.08","0.08","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","4-eddd30c8dd5f2da859d4dc4784116dde35f42bbb71c3cfd8765a6cab8637058c","1251-dff4fb00c2089513293a2293739c8d332ad0434596f4ec1215f913fa0ed1c5f4","root"
"Milan Army Ammunition Plant","Milan, Tennessee","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2014 Base procurement dollars in the amount of $0.162 million support the care and maintenance of laid-away critical production facilities at Milan Army Ammunition Plant.  These activities include periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, plant equipment, special tooling, and special test equipment being retained to support potential future requirements.  This effort includes asbestos management, minimum maintenance of specialized production equipment and associated MIF costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.081","0.081","0.073","0.08","0.162","0.162","0.15","0.16","0.031","0.032","0.032","0.032","0.046","0.048","0.049","0.049","","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","5-0c0603a95cab43f75c5d6626ddbb90b9e6aa8f5e06c9a34fc8407fee1b8135f8","1251-dff4fb00c2089513293a2293739c8d332ad0434596f4ec1215f913fa0ed1c5f4","root"
"Pine Bluff Arsenal","Pine Bluff, Arkansas","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2014 Base procurement dollars in the amount of $0.333 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling and special test equipment being retained to support potential future requirements at Pine Bluff Arsenal.  These funds also support associated MIF costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.173","0.173","0.162","0.17","0.333","0.333","0.313","0.327","0.151","0.157","0.16","0.16","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","6-7e6ce680df665246d8a0267e29f6a7f97f03948c1e3860a4d91529e6d0d17655","1251-dff4fb00c2089513293a2293739c8d332ad0434596f4ec1215f913fa0ed1c5f4","root"
"Quad City Cartridge Case Facility","Rock Island, Illinois","GOCO","Inactive Lines at Active Plants","Norris Industries","FY 2014 Base procurement dollars in the amount of $0.500 million support the care and maintenance of laid-away deep draw cartridge case production line located at the Quad City Cartridge Case Facility in Rock Island, IL.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, and minimum maintenance of specialized production equipment.","0.5","0.5","","1.878","0.5","0.5","","1.878","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","7-d98868f6bd15d9072aded358c810a645dbdf67052ab11c2c6bc060bdf866109d","1251-dff4fb00c2089513293a2293739c8d332ad0434596f4ec1215f913fa0ed1c5f4","root"
"Radford Army Ammunition Plant","Radford, Virginia","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2014 Base procurement dollars in the amount of $0.422 million support the care and maintenance of laid-away critical production facilities at Radford Army Ammunition Plant.  They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation efforts, asbestos management, and minimum maintenance of specialized production equipment.  These efforts support associated MIF costs and provide monitoring of excess facilities.","0.422","0.422","0.103","0.125","0.422","0.422","0.103","0.415","","0.249","","","","0.041","","","","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","8-b85f73a9b67d904fca28134bbb15e00a1eb3db6698a9dbca8956bd4d422f7971","1251-dff4fb00c2089513293a2293739c8d332ad0434596f4ec1215f913fa0ed1c5f4","root"
"Scranton Army Ammunition Plant","Scranton, Pennsylvania","GOCO","Inactive Lines at Active Plants","General Dynamics Ordnance and Tactical System (GD-OTS)","FY 2014 Base procurement dollars in the amount of $0.051 million support the care and maintenance of large caliber metal parts equipment at Scranton Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts and minimum maintenance of specialized production equipment.","0.051","0.051","","","0.051","0.051","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","9-adb9b6e1f379c437fa8aeb804c0434078ef215a858527fc729a02f07db6c280a","1251-dff4fb00c2089513293a2293739c8d332ad0434596f4ec1215f913fa0ed1c5f4","root"
"Various","Various","GOCO","Inactive Lines at Active Plants","Various","FY 2014 Base procurement dollars in the amount of $2.918 million support the maintenance and long-term storage of reserved unique production equipment at various facilities.","1.984","1.984","0.38","0.653","2.918","2.918","0.38","1.306","","","","","","0.653","0.934","0.934","","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","10-b5e8df1b4b216249aa93857f7e320841be9f31cd79f89efc7384a048938e684f","1251-dff4fb00c2089513293a2293739c8d332ad0434596f4ec1215f913fa0ed1c5f4","root"
"Crane Army Ammunition Activity","Crane, Indiana","GOCO","Inactive Lines at Active Plants","Not Applicable","FY 2015 Base procurement dollars in the amount of $0.309 million support the care and maintenance of laid-away ammunition industrial facilities and equipment at Crane Army Ammunition Activity.  This effort includes non-severable equipment, plant equipment, special tooling, and special test equipment being retained as part of approved plant equipment packages, which are required to support future replenishment requirements.","0.309","0.309","0.313","0.336","0.309","0.309","0.313","0.336","","","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-f6917a52e60ac4b0218da51c43b924a2d93bf58df3a1d28bc9642bcc8404d652","2230-d9569370c6e5782e377ebb6ad7744f9145eae8d975c81ef8489672b4d8e387f2","root"
"Hawthorne Army Depot","Hawthorne, Nevada","GOCO","Inactive Lines at Active Plants","Day & Zimmerman","FY 2015 Base procurement dollars in the amount of $0.097 million support the maintenance and long-term storage of reserved unique production equipment with long replacement lead times at Hawthorne Army Depot.","0.097","0.097","0.068","0.054","0.097","0.097","0.068","0.054","","","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","1-9a2a35730ac8b1272ced3e69a010adb22e8196b8f7bbd4a93f4607fa6cf92d30","2230-d9569370c6e5782e377ebb6ad7744f9145eae8d975c81ef8489672b4d8e387f2","root"
"Holston Army Ammunition Plant","Kingsport, Tennessee","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2015 Base procurement dollars in the amount of $0.052 million support the care and maintenance of laid-away critical production facilities at Holston Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, asbestos management, and minimum maintenance of specialized production equipment.","0.052","0.052","0.017","0.107","0.052","0.052","0.017","0.107","","","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","2-9c24c636fad0f9cde9184c5be9fe66e1c8903b80dd0f24390d04facd8e75a764","2230-d9569370c6e5782e377ebb6ad7744f9145eae8d975c81ef8489672b4d8e387f2","root"
"Iowa Army Ammunition Plant","Middletown, Iowa","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2015 Base procurement dollars in the amount of $0.458 million support the care and maintenance of laid-away critical production facilities at Iowa Army Ammunition Plant.  They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation touchup, asbestos management, and minimum maintenance of specialized production equipment.  These efforts are responsible for associated MIF costs and provide for monitoring of excess facilities until they can be disposed.  These efforts also provide for well monitoring at the inert landfill, trench 5, in order to comply with a signed consent agreement between the plant, State of Iowa and United States Environmental Protection Agency.","0.147","0.147","0.094","0.099","0.458","0.458","0.292","0.308","0.131","0.138","0.206","0.206","0.067","0.071","0.105","0.105","","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","3-d3396d555787d19dc388d270152e17cd3ed8395bc7b05e401e681ac311a14256","2230-d9569370c6e5782e377ebb6ad7744f9145eae8d975c81ef8489672b4d8e387f2","root"
"McAlester Army Ammunition Plant","McAlester, Oklahama","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2015 Base procurement dollars in the amount of $0.158 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling, and special test equipment being retained to support potential future requirements at McAlester Army Ammunition Plant.  This effort also includes associated maintenance of inactive facilities costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.083","0.083","0.106","0.086","0.158","0.158","0.204","0.166","0.098","0.08","0.075","0.075","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","4-ea39b6daac7e41b98fb7bc998573db4d53a741a84a0fbc44afb68750813e00fa","2230-d9569370c6e5782e377ebb6ad7744f9145eae8d975c81ef8489672b4d8e387f2","root"
"Milan Army Ammunition Plant","Milan, Tennessee","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2015 Base procurement dollars in the amount of $0.165 million support the care and maintenance of laid-away critical production facilities at Milan Army Ammunition Plant.  These activities include periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, plant equipment, special tooling, and special test equipment being retained to support potential future requirements.  This effort includes asbestos management, minimum maintenance of specialized production equipment and associated MIF costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.083","0.083","0.048","0.081","0.165","0.165","0.096","0.162","0.019","0.032","0.033","0.033","0.029","0.049","0.049","0.049","","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","5-7cba2420d9c1d7c323e33b2dd4991701c300a802716b2de54c36826b87455897","2230-d9569370c6e5782e377ebb6ad7744f9145eae8d975c81ef8489672b4d8e387f2","root"
