Name_val,Location_val,InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,MinimumSustainingRate_val,MaximumProductionRate_val,Rate185_val,@PARENTROWID,@PARENT
"Oracle, Inc","CA","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","685a13bef48b52a9bf99b5f4a7bbf0e77d1c38ce78a23ed935b18c05dcf3faa5","0-d3cd82ae224e4e42631dce42c693120032a03f4cf5f553e86e7b749d152fe6d6","","","","3-35545f57b1c3e9e973fa6f3e597370bb99318e34b697323e867fdd9bf1a02afe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","685a13bef48b52a9bf99b5f4a7bbf0e77d1c38ce78a23ed935b18c05dcf3faa5","0-a6aecf6d4db70623b24b10384f0b052db8e38b0ee1a1df9cf96959ac6138e7ed","","","","4-02af836656501ade5666e4561bb14e2539d84b6f99b6b50f7004985949a37de2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","d37e2136395a57f4acec83ce33a4497ccc8e6c764d0f82782e0832af96f27a4c","0-f20822bbfa09339f40721d9a403f5778cfaee66dd61e2145088934fff681c1f7","","","","0-76bcfec0da88973285caa2fdfc1f1dba996e41257694e9b9bb366026550fcd6e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Gov Convection","Rockville, MD","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","a2017977fe3e46438984e836b8f18b7d70a3825d93951ef002be1a0cf985b47b","0-9a412c6624e8e20aba280c422d42e889f33cefca264f8f4cd81798ca2dce0c66","","","","0-c99ac4748b85bd99482313a12c984750274af67b288248d0b7b8386566daf58f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Carasoft Technologies","VA","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","a2017977fe3e46438984e836b8f18b7d70a3825d93951ef002be1a0cf985b47b","0-a713e89ea48559a22cff5e98e0bf6ec6a5f74002b0af2414ce4782382a919d8b","","","","1-0848c1c598c7fdc030831cfc7c432a7f950ff2a315449e0c6f956513ea7498bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Pepperweed Consulting","PA","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","0ebdd01386ed24e94162dd363b0a6571f083674aa63f366d222460a4d79eac42","0-60197b3fe60230dcd0f7d79f5d22bf34636ef9ab6dd800507c1cc115c19ad650","","","","1-2fcd18dadd7d8ec7480a8405918671c1f6ed1cdf4ad346659bcfa9cbdb12410b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Oracle, Inc","CA","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","0ebdd01386ed24e94162dd363b0a6571f083674aa63f366d222460a4d79eac42","0-fc3968719f4ba995241cedb64c45f52704ac9009bde459bb2e7f0aa098f7ca1e","","","","3-37b2dc56210cf7af8507478041ff1b1983deea096f642c9ef4e1431f0bcaf006","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","0ebdd01386ed24e94162dd363b0a6571f083674aa63f366d222460a4d79eac42","0-6b4e2b3ebfb4f8fa8bfb6facd2e357b89177947f89aad9f20925084c475930ac","","","","4-50baac029c76181aa066b8ed562bb7fbf708b36f8a04425b273d59d8d969163a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","9b1519baeb79c62bd964bae6ba13ec7399e4f1359fb60a91ed6bebd6e8934f4d","0-7ac3794774874602a2433846217ad83b54e17ca66849e01cc1a5d1d35d976e34","","","","0-a9aea36bd56a6cb93eb934264274ccea3941c3e4d6e7df2ed458fd136020ceb0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2014.xml","7199ae9745cc675ebc4feb35c7260faf4a2c1245c21bf1a7e92f30ffa53e2dfe","0-d727d23042276c4e9e1066482065740e383efbc388b8a8851ae185b86f53adf2","","","","0-9723931b62d08b4224e8070d07ac344eed003f1c17db1a4704e83a6e05c58894","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2014.xml","25893d3c638b4c3409bb25cce6095af8d35e4991e21be039080e1bbc54036464","0-2c5d708d104ffb1fb43b436276183165ac3eb5961581dec8e1bb11c6b24a7a95","","","","0-2debd03b045af0f479730a2865eac5ebcff9f551e0976477e7e6cc46eb4cf029","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-DEFENSE_MASTER_JBOOK-PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PBAmended_2014.xml","abee4c2c3678f5d15c0884f0faa8fa5235de42c33728bc140cba480579d0ff21","0-d64381e7b0ed6510a82eadd9793a1e4828c5da3974818be69c8db9648422a198","","","","0-feb61a15c114c4b7c6794a0117b31e8e90039a2ed4962824f45d5ec4335743b0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"HP","USA","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_OSD-PROCUREMENT_JustificationBook_Office_of_Secretary_Of_Defense_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Office_of_Secretary_Of_Defense_PB_2014.xml","d3bab9a27ba468cc169b801bf3c75574348c9c2b50160967c3388d10fcc6dd37","0-be3ab6ba791fa902c9107498c45407cd7b4aae6084f309b2e84355f446a4d94b","","","","0-4f432ce3ce6ccc0ee06ffa869a749db9030dc742aca4bbe05e00e30662acb7e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"HP","USA","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","e77a4c4f5d312f845e26b40857cfa903e64be41562595d306f57d467c87198d0","0-3b85a23f034ac72f9b83d2e5d7c7abebc919af130be4360cbfd15bead250c8cc","","","","0-cf45ce3146f956ef1170d4fb5960800f7314aa3775b1dbcae5ee2c73037ac5eb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"TBS","TBS","0","0","0","0","0","0","0","0","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","0-b16eb2406da0ac3803b69518f19adcf23b5e452ec06c991398a6069e805df447","","","","0-1536c8ecaeefc66a45ea26d1bfd1b69aa6bd4b74a307974f6cb75aa3214b28cc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Dell","Columbus, OH","0","0","0","0","0","0","0","0","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","bedafffdb4dc3a382094a452b4e6bbae6568910781ead59127205c527d1a2756","0-4e705e02103c9ccb20d261de2a4d399a8fe443ce3b9b563c32e63ced87568bc4","","","","0-15fe1a33b46bf0f58325788469895e9bad819ad7a763281a2ea3f15f75012bc7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Oracle, Inc","CA","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","091ebb876124c2c3f907cf5f62f098fd34e78b7d9618b6d2ac5e086a6f2e74c7","0-3a84e819bba222ee3c4bb8680c6ff44ce78c817b69400fd53714d158d5c54459","","","","3-2443f03daa059ff620e8377bfe94de39d177568953832627a4124b5cb63162be","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","091ebb876124c2c3f907cf5f62f098fd34e78b7d9618b6d2ac5e086a6f2e74c7","0-08d90110c20ae0698f93d91c6385b8e85ff2ea8fda440675a88519c346472fe2","","","","4-7add4801c1a116eb2440c1f37b45d35c4e1df563fa25f69556f8b7694c338414","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","86838d6952f4336bc9088522c6ba3344304f6014b19863804ad0951b80ff1ddf","0-bf91735b59d30debcbea6b28632a1a4cd06156225288291a90e8c4261ff359a0","","","","0-3d9bca9dd3e897c292c34e7658cefa8942f3dcbfc434aa8e3c80235d3b000867","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Oracle, Inc","CA","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","2f3328efd5fb6208dd1548e80deafd86d198c6980a35330310446287529512c9","0-41c2040d182ea01a61f98c027e850947c679fbde2a8298406e2f97c271a710fc","","","","3-d0dd30e81a64cd687116bbbe35df47a88fc018b371e0afd95cf39b866671862f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","2f3328efd5fb6208dd1548e80deafd86d198c6980a35330310446287529512c9","0-28777c772b8f280ee5ae7cc96007da0b631987aa028d9822a195d7de55f610c9","","","","4-76d978781d3e3fbf063828ba704b57d378fbba12abdceab4d0beff8cac1424d3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","46f5b0cb620cc8131df0eb4cca2098c8027c89e7af780731f45e9cca00571563","0-bb14a5095882f5f7a9bf67097d0139d47eac6485becae0acecc10850a5893367","","","","0-42b9f6d49f3c5a9055a93f1b8fa48fb5b85a77cb6f3da2dd8b97b3380971722d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Oracle, Inc","CA","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","b41d5c413003fe2c2f3d577eda5552401185b1a9c151dd4b17213d9f065da3b2","0-ad50bc5370eea920e3d18c45b9ef3fd28fc99167834fdb1e70c20ce510abc4d2","","","","3-e4bef16cafa9fb92272674dbf24b2a4e796d78646ebef41ccc73b72313665583","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","b41d5c413003fe2c2f3d577eda5552401185b1a9c151dd4b17213d9f065da3b2","0-732b78ae0e8c5c389bca6a60fdb5ffb4c716fc3721d22a62b32dba649f229a65","","","","4-470fd070c878b0134e86d2cc4d3bcc5f6ea143b4e26f1ca7ebe4059a894b55ed","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Various","Various","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","ab73ac5f88aee4bb33d1de8ada5b4c0940ca12003fdad467a84544f799685258","0-23cda508655be8dc06eceac8a7a891c5907f914f02730ccd9ec72d8d9b7487a5","","","","0-83286154affbf7b86f24dbe5560c865921c8c12a210c79d03988696992cc00e4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Army","Wash DC","","","","","","","","","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.xml","d94f019ca6ad47831570c156dff39434da9ab15bce0586d43be1216cd4cf1d47","0-d278b40654a6414da33f432e68e5a375dbafe0e366d6d32472f46d00e3c2d8c2","","","","0-8950892526c4b915c6f347bb2b4c3c7e8abb3cfe371fc5c7c148ad702c9dc117","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"SAIC","VA","","","","","","","","","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.xml","d94f019ca6ad47831570c156dff39434da9ab15bce0586d43be1216cd4cf1d47","0-bc46edbd987b25699d02fda268fb35faffb8c3139677336023af1b927ec4b7af","","","","1-f6d14e0d823c1a0bc2fb6ff1003b60333907bce0b23262d6bf63e23872e9237b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Army","Wash DC","","","","","","","","","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.xml","d94f019ca6ad47831570c156dff39434da9ab15bce0586d43be1216cd4cf1d47","0-003b18f0ab37cfd784f9833c361e7ffaae76235be5ac9436c9e2a28adf243886","","","","2-c87684e04bd323f9b2e517b4fcc179739c9ababcd23e8c450c9936bebad081ff","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Army","Wash DC","","","","","","","","","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.xml","0ba1ff01b1584bc3e78a57a5ea1922c71db0daf80e4e1f03a022614b8e202d41","0-75ee9bdff3180f42eb07650946766a0472c33c2b12cf0ac9f04f21e359890644","","","","0-66767283e1e248b1a8515f6109053b84fee069112db1a8747d8d5b935a282afb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"SAIC","VA","","","","","","","","","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.xml","0ba1ff01b1584bc3e78a57a5ea1922c71db0daf80e4e1f03a022614b8e202d41","0-1bf11b18f256897582bac04dd35306aa8e46a666723da77c2453aecb85cd7c28","","","","1-aafb4a01692c5e3b5c759a2750180a82cc4e8f17aba717fc8dbf81a5744b24a6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Army","Wash DC","","","","","","","","","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PBAmended_2015.xml","0ba1ff01b1584bc3e78a57a5ea1922c71db0daf80e4e1f03a022614b8e202d41","0-87d5c39c768756e7175e244f68c254ec034bd435fe73e3192ff22e242b4ce400","","","","2-c1f46f42796e1e911d065f0b06c313318284c9084b5e952b301fbcc19246fe3b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
