Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_AllPriorYears_TotalCost_val,Number_val,Title_val,ProductionLinesLayaway_Name_val,ProductionLinesLayaway_Location_val,LayawayCost_val,Description_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ProductionEnd_val,@PARENTROWID,@PARENT
"1.135","0.699","0.781","0.781","","5XX8000","Layaway of Industrial Facilities, Minor Efforts Less Than $0.100 Million","Various","","781","FY 2014 Base procurement dollars in the amount of $0.781 million support various minor efforts at active and inactive facilities that preserve and store industrial facilities for reserve capacity.","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","0-d65449f201f662b14fb8275c847601038856d94a5da4861fac5cd6f888a6ca7e","","0-bc3f4688b805fb6c4e093202047ed813bfa250bb10e13133d4f25fe777d95299","root.record.FacilityList.LayawayFacility"
"4.251","","","","","5XX8100","Decontamination and Disposal of Excess Buildings/Equipment","Buildings: K-10, 254, M-10, N-10, N-10A, 255, O-9, 411, I-1, J-1, M-1, C-1, H-2, I-2","","4251","Procurement dollars in the amount of $4.251 million support this effort to continue the decontamination and disposal of excess buildings that have become a safety and environmental concern.  The buildings contained in this phase are: K-10, 254, M-10, N-10, N-10A, 255, O-9, 411, I-1, J-1, M-1, C-1, H-2, I-2, as well as abandoned steam lines, fences, supports, piping, electrical lines, etc. in Area B.","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","0-2a55204ba121dc9ebf591a4d4f4ec8554b57441e18fc317aa45c7ac34ebe6533","","1-c48a1061927106243d0ff7ece827ce2e174c9c510b361e91b1fc19717fbbba81","root.record.FacilityList.LayawayFacility"
"0.851","1.061","1.079","1.079","","5XX8049","Decontamination and Disposal of Excess Production Equipment","Various","","1079","FY 2014 Base procurement dollars in the amount of $1.079 million support decontamination and disposal of excess equipment no longer required for production at Iowa Army Ammunition Plant.","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","0-3b89584cc3d9b516255238b95b1e5bb3c1a330114d832fa05a5180aba46a9b44","","2-7695e1657bdaad6cde1c06a79a2204711297989267f3aa9cfc5d0191259b05b6","root.record.FacilityList.LayawayFacility"
"","2.863","3.639","3.639","","5138051","Facility Disposal/Demolition","Various","","3639","FY 2014 Base procurement dollars in the amount of $3.639 million support efforts to decontaminate, remove asbestos, and demolish facilities plant wide, due to unsafe conditions and environmental risks at Iowa Army Ammunition Plant.","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","1-e43e0a942f2c79891154dd8cba0d2c369e578d19340e88ef5ab4094942bc8e2b","","2-7695e1657bdaad6cde1c06a79a2204711297989267f3aa9cfc5d0191259b05b6","root.record.FacilityList.LayawayFacility"
"","","0.511","0.511","","5148052","Facility Disposal/Demolition","Various","","511","FY 2014 Base procurement dollars in the amount of $0.511 million support efforts to decontaminate, remove asbestos, and demolish facilities plant wide, due to unsafe conditions and environmental risks at Milan Army Ammunition Plant.","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","0-90a10b2983bfa0f3f8fe5a12e3c1b246e65ac3e82aaf6443a1149d3482211f58","","3-c79660f6be418f4e98923df8789502e90db1863f6ea1abf49460ce31245f8c6d","root.record.FacilityList.LayawayFacility"
"","","1.531","1.531","","5148055","Remove/Dispose of Hexachlorethane (HC)/Zinc Chloride Mix Equipment, Building 34-640","Large Mix Load, Assemble and Pack (LAP), HC smoke munitions.","Building 34-640","1531","FY 2014 Base procurement dollars in the amount of $1.531 million support this effort to remove, decontaminate, and dispose of HC / Zinc Chloride mix equipment in building 34-640 at Pine Bluff Arsenal.  HC has been determined to be a toxic carcinogen and will no longer support program objective memorandum (POM) buys.  All equipment must be flashed to level 5X prior to disposal.","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","0-62f722869f7cdeb9c0937b2073647fd3a82fd89fce4c5cf1397f1ea4eba51d97","","4-42b8afd1de28f9381267f64a28fd7bd0cd5103cf53f9ea49d7483bd749d79037","root.record.FacilityList.LayawayFacility"
"1.512","","","","","5128053","Layaway of Steel Cartridge Case Equipment","105mm M148A1B1, 155mm Advanced Gun System (AGS), 5 54 MK9","","1512","Procurement dollars in the amount of $1.512 million support this effort to layaway the deep drawn steel cartridge case equipment at the Quad City Cartridge Case Facility.  This includes environmental decontamination and disposal of the chemicals used in the plater and heat treat equipment.","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","0-92ef062b9973da57f3fe53b898786212e6681af9b1c9c7719c53e80da5e1d69a","","5-b3636c0a92b72d975d0d755139fd0b636f36ae55f36cf0419e84cd8fe6c3a3e7","root.record.FacilityList.LayawayFacility"
"","0.582","2.265","2.265","","5XX8440","Decontamination and Disposal of Facilities/Excess Production Equipment","Various","","2265","FY 2014 Base procurement dollars in the amount of $2.265 million support this continued effort to decontaminate and dispose of excess production equipment and facilities at Radford Army Ammunition Plant.","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","0-c119802cc7a43600be83b223533b6aa4d307b20a8b0b1c9846631c33786e72c8","","6-26551a7bfe4890f9e6d0dcd396207cbf90e753514f991056e60e6814618a53bd","root.record.FacilityList.LayawayFacility"
"","4.425","","","","5138047","Remove Nitrocellulose (NC) Hill Tanks","Nitrocellulose","Recovered Water Tank #417","4425","FY 2013 Base procurement dollars in the amount of $4.425 million support efforts to remove waste NC from recovered water tanks, decontaminate, demolish, remove and dispose of the tanks, foundation pad and associated piping at Radford Army Ammunition Plant.  These efforts will significantly reduce environmental and safety issues associated with large quantities of legacy NC.","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","1-cb7dc5695f1b9015739158f7cf6284f1697014ca6f3a8a47998fe647f63de95c","","6-26551a7bfe4890f9e6d0dcd396207cbf90e753514f991056e60e6814618a53bd","root.record.FacilityList.LayawayFacility"
"1.72","","","","","5128054","Demolish Old Nitric Acid Concentrator/Sulfuric Acid Concentrator (NAC/SAC) Facilities and Firehouse","Nitrocellulose, Single Base Propellant","","1720","Procurement dollars in the amount of $1.720 million support this effort to demolish the old NAC/SAC buildings and firehouse at Radford Army Ammunition Plant.  These facilities no longer support production and have been replaced with centrally located operations.  Demolition of these buildings will open strategic space for future modernization.","2014-BASE_PROCUREMENT-2014-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e88f3661ea6cf14fda0467552ead014351215debdd83ba533521d2174718f5f2","2-78e2b563043849d38bcb3ca564ba05d43ee114cd2f8d43399da80fad7394cd84","","6-26551a7bfe4890f9e6d0dcd396207cbf90e753514f991056e60e6814618a53bd","root.record.FacilityList.LayawayFacility"
"0.576","0.602","0.619","0.619","418.539","U7667","Layaway of Industrial Facilities (LIF)","","","","","2015-BASE_PROCUREMENT-2015-ARMY_WTCV-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","a584fd6a0f683eab067c59c742ba7f9404fce4832bc6cc82fa2133d9f128704f","0-34d09d425ec3f332707c1398877b27b7508f92196e0068d84415560ec4bdd3b9","","0-53da4d4dc3c7a6041191e2322ff119cc735a6687619855f692dad1cfcf79667c","root.record.FacilityList.LayawayFacility"
"0.473","1.641","0.459","0.459","","5XX8000","Layaway of Industrial Facilities, Minor Efforts Less Than $0.100 Million","Various","","459","FY 2015 Base procurement dollars in the amount of $0.459 million support various minor efforts at active and inactive facilities that preserve and store industrial facilities for reserve capacity.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-2bcca40b81d1189e647cd52edefc6f42230ce1638828c9d68f0c6e996fc3fb9f","","0-4462885b0aa350bc55f09d8ec047d7a35598f3d4da503c9d5b3876aea2a4f67c","root.record.FacilityList.LayawayFacility"
"1.291","1.079","","","","5XX8049","Decontamination and Disposal of Excess Production Equipment","Various","","1079","Procurement dollars in the amount of $1.079 million support decontamination and disposal of excess equipment no longer required for production at Iowa Army Ammunition Plant.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-bba13c5ffceb1357e2697f5d871f2640c01549fb5dd742b3a37e2f70ab7a3a40","","1-07a59076b2fa2c937cc26fef68df259f4e6872a26045705b0345bf7be1473974","root.record.FacilityList.LayawayFacility"
"3.761","2.779","2.077","2.077","","5XX8051","Facility Disposal/Demolition","Various","","2077","FY 2015 Base procurement dollars in the amount of $2.077 million support efforts to decontaminate, remove asbestos and demolish facilities plant wide due to unsafe conditions and environmental risks at Iowa Army Ammunition Plant.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","1-0454c9fa02dd5530944ad1379c5ba86726fbe9e50f1036befc0a3b2236e192f5","","1-07a59076b2fa2c937cc26fef68df259f4e6872a26045705b0345bf7be1473974","root.record.FacilityList.LayawayFacility"
"","","0.169","0.169","","5158911","Layaway of 120mm Projectile Load, Assemble, and Pack (LAP)","120mm LAP","Lines 1 and 2","169","FY 2015 Base procurement dollars in the amount of $0.169 million support efforts to layaway production presses, miscellaneous assembly equipment, fixtures, and gauging equipment that support the 120mm M830A1 tank round.  This includes equipment located on Lines 1 and 2.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","2-01d96818416cb8d7eddb4bdde7bbc3f141418c17d73aa91e5ceec957c3e92f88","","1-07a59076b2fa2c937cc26fef68df259f4e6872a26045705b0345bf7be1473974","root.record.FacilityList.LayawayFacility"
"","","3.659","3.659","","5158056","Demolition of Excess Buildings","Various","","3659","FY 2015 Base procurement dollars in the amount of $3.659 million support effort to demolish facilities plant wide due to unsafe conditions and environmental risks at Lake City Army Ammunition Plant.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-bb3a74610d7b254a671dc964a7fd39715a04effba0f9b64bceadee5e5cf99520","","2-6ff7dfd4e634585ae3acb1dadda1cc4238c8652850a3c5fe04fc339e597ccc06","root.record.FacilityList.LayawayFacility"
"","0.511","","","","5148052","Facility Disposal/Demolition","Various","","511","Procurement dollars in the amount of $0.511 million support efforts to decontaminate, remove asbestos, and demolish facilities plant wide, due to unsafe conditions and environmental risks at Milan Army Ammunition Plant.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-bfd7d985da96084736c8d112b202ec27c19884bca086ce9726af2924b5349879","","3-e6f366b76e1b86e37547fda3c4c8105a879f20060366d872e7cc6a15e99dae29","root.record.FacilityList.LayawayFacility"
"","","0.312","0.312","","5158058","Transition Line H to Modified Caretaker","60mm and 81mm Mortars","Line H","312","FY 2015 Base procurement dollars in the amount of $0.312 million support efforts to transition Line H at Milan Army Ammunition Plant to modified caretaker.  Efforts will decontaminate and dispose of all excess production equipment and will decontaminate (level 3X condition) and transfer equipment proposed for retention to a layaway storage facility.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","1-6e3813e65a899b5c1cbd7a6c1f8e6b1866091036fe00bdcebcda868c78fa47ac","","3-e6f366b76e1b86e37547fda3c4c8105a879f20060366d872e7cc6a15e99dae29","root.record.FacilityList.LayawayFacility"
"","","0.312","0.312","","5158059","Transition Line O to Modified Caretaker","Various Ammunition Components","Line O","312","FY 2015 Base procurement dollars in the amount of $0.312 million support transition of Line O at Milan Army Ammunition Plant to modified caretaker.  Effort will decontaminate and dispose of all excess production equipment and will decontaminate (level 3X condition) and transfer equipment proposed for retention to a layaway storage facility.  In December 2011, production and demilitarization of various ammunition components was shut down at Line O.  Production of these items has been transferred to Iowa Army Ammunition Plant.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","2-2995909ece43d0a25cdf0f16c4e10169381f995c2cdbcc1e76488321c3011e3e","","3-e6f366b76e1b86e37547fda3c4c8105a879f20060366d872e7cc6a15e99dae29","root.record.FacilityList.LayawayFacility"
"","1.531","","","","5148055","Remove/Dispose of Hexachlorethane (HC)/Zinc Chloride Mix Equipment, Building 34-640","Large Mix Load, Assemble and Pack (LAP), HC smoke munitions.","Building 34-640","1531","Procurement dollars in the amount of $1.531 million support efforts to remove, decontaminate and dispose of HC / Zinc Chloride mix equipment in building 34-640 at Pine Bluff Arsenal.  HC has been determined to be a toxic carcinogen and will no longer support program objective memorandum (POM) buys.  All equipment must be flashed to level 5X prior to disposal.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-045b6cda3815c44531c94318c169378112d4122fbfd57fe12cdb355339f1a95a","","4-0cdd58dfccc511d0c4d49cd27fb971e8bf5469dfe3996b5666574ca705d58782","root.record.FacilityList.LayawayFacility"
"","2.265","","","","5XX8440","Decontamination and Disposal of Facilities/Excess Production Equipment","Various","","2265","Procurement dollars in the amount of $2.265 million support this continued effort to decontaminate and dispose of excess production equipment and facilities at Radford Army Ammunition Plant.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-0e4c49378c38aa5aebd922b8d7ffe7ef3d581a851c950710524b71e843450768","","5-aa65dd7cd87ddcc699f3756ab32b484f3a3caed5ad335a107bb85323bf88c425","root.record.FacilityList.LayawayFacility"
"0.096","","","","","5138057","Layaway of Equipment","120mm Mortar, 5","","96","Procurement dollars in the amount of $0.096 million support the layaway of equipment associated with large caliber metal parts capability to allow Scranton Army Ammunition Plant timely reactivation of the capability in the future.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-e66d1f9e9f121dd9bbf2823dd4f7bbd4d0591e1e99efa3fb8833ff61a1d40349","","6-4df61f9ff18d978eab4f2eccbc3cce13d59c55ef07b0eec44167d0e65e7a9ebb","root.record.FacilityList.LayawayFacility"
"0.602","0.619","0.629","0.629","419.115","U7667","Layaway of Industrial Facilities (LIF)","","","","","2016-BASE_PROCUREMENT-2016-ARMY_WTCV-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","5d00c39c1e909eed2357826245a76a51310d03e9eaaa04439ab37437904c53fa","0-52e38a7d144c78d73783faf1afcfb4a3bccca6793cc2935e54d4d0b8f6b6c149","","0-04aabd58eaf13f2511d9e541f511153723c0530ceda9769be13d7bd7e9b252b1","root.record.FacilityList.LayawayFacility"
"0.018","0.028","0.297","0.297","","5XX8000","Layaway of Industrial Facilities, Minor Efforts Less Than $0.100 Million","Various","","297","FY 2016 Base procurement dollars in the amount of $0.297 million support various minor efforts at active and inactive facilities that preserve and store industrial facilities for reserve capacity.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","0-107c623da100f8f2e99535f3ebf7d10ccd57b740e09bf4cebe82bb3802867e2f","","0-38e6684132790711623e7f035b16ab9aacbba5005b2f83032e7889ac79cf729e","root.record.FacilityList.LayawayFacility"
"","","3","3","","5168060","Stabilization of HSAAP Area A, Phase 1","Buildings: 2-A, 6-A, 7-A, TF-27 & various utilities to include 33-A, 36-A, 39-A,29-A,11-A & 12-A","","3000","FY 2016 Base Procurement dollars in the amount of $3.000 million support the stabilization and layaway of Area A at Holston Army Ammunition Plant.  Product operations in Area A are forecasted for termination in 2015.  This effort will perform the necessary requirements to place Area A buildings and tank farms into a stabilized and layaway condition.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","0-5e41f6b879898c6b3ed14b075e49fb1e6227d17bb6c0c3de602ac20cdea2698e","","1-46c652ba53e6052f6f34492c739d7dee711e49bbe01645adfc85496f2a8270ae","root.record.FacilityList.LayawayFacility"
