Name_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","7.62","19.283","22.621","22.621","26.828","33.363","22.35","10.158","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-7dc25accce02efd65400cfaa7fcb560b39b94381a4a6f771306c31438e2092d2","2-f1d194e605ecd3c1f5f067338c7ecd64b64bd6b63d3a1d83d4c4292e8a57b304","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","","","","","12.212","4.79","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","1-e0d59481ef3933beb2b6d2979c3542d03f688e4a9f7ef2b158c83e2f79d4d57c","2-f1d194e605ecd3c1f5f067338c7ecd64b64bd6b63d3a1d83d4c4292e8a57b304","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","","","","","","0.47","8.414","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","2-063c067427811d47852619f5340a3332392ffa0e3e38e12aadb93b12abbfeaa5","2-f1d194e605ecd3c1f5f067338c7ecd64b64bd6b63d3a1d83d4c4292e8a57b304","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","7.575","7.575","16.906","22.964","2.423","0.000","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-9db95284ab9f68e11c80f063807262a15b7223ccbe3efbcd313e4d6ae4b303b9","3-ee0dea9e99689b43d9a8198dbc5ac6116231a4330069737226d6225990bb2293","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","11.219","13.17","13.17","20.852","20.876","38.197","50.823","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-b413dfc42985889d642e05d57e6737b76c287d225e41bac125db6fe93a236473","4-6b244261b29cedbe6364fadc347d93cf320f5d82f50c0a791de9e56ca470bf78","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","5.467","3.824","6.663","6.663","4.559","4.915","3.591","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-c4e08b1c585ec48a0763a6f50781b6fb8cd6113f016ef20b359f8145094a6aba","5-2989f5ea737985a896188e4dd9d34932c9f6e7e8999171a011deb2176d95eb1c","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","3.981","2.681","2.681","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","0-724d058355240b4a8c5bd2302f91f8ee231bf4cbd0d11c523411dcb8ceded4f4","0-5d4cbd1f8bdcc8b27dcc9aed0811d7a954df679c4bd666ef7c00a78c9ddc5979","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","0.656","3.198","3.198","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","1-cf17c2d425d646f2f8b58219b3233c36dbeac3e098fbe551d80c96dea6a203b1","0-5d4cbd1f8bdcc8b27dcc9aed0811d7a954df679c4bd666ef7c00a78c9ddc5979","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","0.000","66.901","141.46","141.46","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","0-a5130d30cd09dc60724c192b5b570c5993ebf20f393845dc5cf4b536d9fd8622","1-9e8234cb93bca499847da74b6ca0165d328f6cca605b6615b2854a417ef7566d","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","7.32","12.318","12.318","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","1-513922e0f2d1e2b64f1355ecfff7e82479d58c36ebd0dd1f3e11b3003d97f31d","1-9e8234cb93bca499847da74b6ca0165d328f6cca605b6615b2854a417ef7566d","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","6.724","6.724","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","0-c6b2a89bc61ae5850bb1c8e4a059cce789bad151cce97191fc42691693c4a1b2","2-0bd0373903a0ad8c416fb4d59207056c0048e1035aad00dd3e9b5932a20d00bb","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","9.59","7.286","7.286","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","0-a3844b6f071e722aa8c03ca99ada8c012e9540012e3728e790f4264fe2d4804d","3-914bba601e45511944122b9fa26d46b1bf1fa8196129f001c6aaceaec732d13b","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","","3.34","3.34","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","1-cf92a5811332296d40d5a05e1d67a556be8a1d10fb58bb4587140b14f7cf462e","3-914bba601e45511944122b9fa26d46b1bf1fa8196129f001c6aaceaec732d13b","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","4","4","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","53d7945676125164b374451c801569abe5e85e372ac58d7177fd8d3439b86165","0-f8659204da21df1ada7fdd73539ebb9c202da6608376626037b7199be93efcda","0-64010ac92b0071c4ed18d881058347fdca70f15cfad72d6b597c96430a02d689","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","15.812","24.833","13.64","13.64","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c95b3cad136b9abd961b0302a1b9dcc36c9e32822973785202e66e43ffe473da","0-342baf5f12bbe625a8462b6e793e27c6342e2b8c905d3bd88e1a11d044ed3dc6","0-64cd2c6591153dc2487a02332c6f26724e9a92691d0f93573cd7ead848851b6d","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","5.547","2.447","2.447","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c95b3cad136b9abd961b0302a1b9dcc36c9e32822973785202e66e43ffe473da","0-1579c12493cecb14d297d051d3478d15ea65193ecf0d144d017115fe440ed528","1-f994588fe1bd542ea4fc2c84f6267faffcc8057fd78c0cb8925a07afada0e3ea","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","3","2.875","2.875","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c95b3cad136b9abd961b0302a1b9dcc36c9e32822973785202e66e43ffe473da","1-c123b5dff67f6d99bb73afcac6c152f6110cb792433da82c9744efde52a06041","1-f994588fe1bd542ea4fc2c84f6267faffcc8057fd78c0cb8925a07afada0e3ea","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","1.375","2.125","2.125","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c95b3cad136b9abd961b0302a1b9dcc36c9e32822973785202e66e43ffe473da","2-dfba299f988ded1624c65e03b068bec468013e16ef8447888f1d1685626d85b4","1-f994588fe1bd542ea4fc2c84f6267faffcc8057fd78c0cb8925a07afada0e3ea","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","4.278","7.151","7.151","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c95b3cad136b9abd961b0302a1b9dcc36c9e32822973785202e66e43ffe473da","0-a439aaa5b8e9d6b4696fc1d96e30ab86c835602f5baa479e27d2a54e2722ed18","2-bb686e3ccc69dad61a6ceca2d8e582a8bb80d4cf97913ea9284807226c1cf3a9","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","58.482","15.711","8.525","8.525","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ad2cbcd52887cfdbd4c4e64af0f936c986b469e78be0a9fa924477b8ad18fb8f","0-efe82f9aab96da0f63c59c7178283c8d86e87e2cb0f7bf8170cda45687faf458","0-35ba2ac518ff2f8b06fd9ded63d79e2695010422751a6454251ab2464a4ab6f3","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","9.268","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ad2cbcd52887cfdbd4c4e64af0f936c986b469e78be0a9fa924477b8ad18fb8f","1-4c4375adc6aea70552d1a95429a5a055275c52bccb81e1a9dcc9bf67dbcf4060","0-35ba2ac518ff2f8b06fd9ded63d79e2695010422751a6454251ab2464a4ab6f3","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","4.634","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ad2cbcd52887cfdbd4c4e64af0f936c986b469e78be0a9fa924477b8ad18fb8f","2-1061dc78449717bf4caf2d0fb4c437c71fd71f780efed7a7d0a392246adc6931","0-35ba2ac518ff2f8b06fd9ded63d79e2695010422751a6454251ab2464a4ab6f3","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","30.83","0.742","7.337","7.337","13.338","0.000","0.000","0.000","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","f95a686895e7fa3d37923c2b920ccf43d5ee240504c1f66a1de53572ac91a145","0-bd6c5c203c67abb498ff1fe73dea7215fbd162d8e1148e2c8af6efc912950f89","0-69589bf4c762d16231dbc33a1b3d9b49affcf92b5177f777dafa4fae7cc052b7","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","12.065","27.485","32.173","32.173","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","4f10c9d75af1ff7f39d3312af79b465fcb001e31cfa449ec049bea6f08f73af1","0-d7f2eab0c0a0b413e64f9ad5fcc31ee90a597eb8d516721c6d4bd64b638bba5f","0-5f629e6cbee1d37ede05935f71f26ba9a386c0da5f65482304db09058f3c9b70","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","5.713","","20.663","20.663","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","4f10c9d75af1ff7f39d3312af79b465fcb001e31cfa449ec049bea6f08f73af1","1-68d8c69ffce55f0c83e01771d60476aba11b7191074002eeebcae60ef7a114df","0-5f629e6cbee1d37ede05935f71f26ba9a386c0da5f65482304db09058f3c9b70","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","2.143","","8.509","8.509","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","4f10c9d75af1ff7f39d3312af79b465fcb001e31cfa449ec049bea6f08f73af1","2-0acd2804b81f8d5a544f6b661f3989cdf4fc9fdf594b491b11b80c5242d41f0e","0-5f629e6cbee1d37ede05935f71f26ba9a386c0da5f65482304db09058f3c9b70","root.record.ItemExhibitList.P3AModificationItemGroup"
