FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,ContractMethod_val,ContractType_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencySuffix_val,@SOURCE_FILENAME,@RECORDID,@ROWID,RFPIssueDate_val,FundingVehicle_val,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery,OCO_val,@PARENTROWID,@PARENT
"2012","","CECOM, APG","2013-03","2013-12","301","166.000","false","SS","FFP","Army","301","0","","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","0-0ce3ae8d5cba83e1c8fe811f5de8385f2334b9fc6af60409304b232a20194072","","","","","","0-823d9ec82ca1aba6001f0acdcf4cd3623737dadb4546b35c532df49663e2304a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AMCOM Contracting Command, RSA","2013-10","2014-07","301","139.000","false","SS","FFP","Army","301","0","BASE","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","1-1d08a85d482d886be7fe88682a5ddfe1618e099fb65ee7edb6ed6faba2d8649d","","","","","","0-823d9ec82ca1aba6001f0acdcf4cd3623737dadb4546b35c532df49663e2304a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AMCOM Contracting Command, RSA","2014-06","2015-03","162","183.000","","SS","FFP","Army","162","0","BASE","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","2-58d69d986855883825811536876af254a9341cd672134f23edb337efb5623145","","","","","","0-823d9ec82ca1aba6001f0acdcf4cd3623737dadb4546b35c532df49663e2304a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2018","","Hill AFB, UT","2018-03","2018-06","4","0.040","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","3-79eda3402ca439ca48bb0dd14278ff37ec90a4a77c222ea81522e31062dec039","","","","","","0-5794a780becbe17a4a8a1a28ef2ac0da52a8a41003234ea438ad3d1a5dd381aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","Hill AFB, UT","2016-03","2016-06","4","0.030","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","0-594545c45b7f8b6f8f959d36e93cd2a3d4a03d8b0772f2f26e478f06e2001f54","","","","","","0-ad8046bd2a7909001ba9472e83f06a295efd8d9e66426b4aa69d860bc47613df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2018","","Hill AFB, UT","2018-03","2018-06","1","0.030","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","1-93ee878be27b3fe466730cbb4799318630b3dd502b8964228dca2664160aee61","","","","","","0-ad8046bd2a7909001ba9472e83f06a295efd8d9e66426b4aa69d860bc47613df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","Hill AFB, UT","2017-03","2017-06","22","0.030","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","2-44d0a3c4b7e58b12c2a95efddb06296599bf65cb3e698e62813ba01429e3cea9","","","","","","0-ad8046bd2a7909001ba9472e83f06a295efd8d9e66426b4aa69d860bc47613df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","Hill AFB, UT","2017-01","2017-10","10","0.024","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","0-6ad2e091cdda90edcd9941a5f49d770afa4f5279fea6fa1fdebd2d1e1723acaf","2016-10","","","","","0-44780e54f6e2c61535dbd37e06878418479129a723181d842847711cf14c1ac5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2018","","Hill AFB, UT","2018-01","2018-09","10","0.027","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","1-dc519d0217cbf28410d2a04c4cb2748decbb4a634576bcef0ce217c6cb6ef124","2017-10","","","","","0-44780e54f6e2c61535dbd37e06878418479129a723181d842847711cf14c1ac5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","Hill AFB, UT","2014-03","2014-09","21","0.016","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","2-9ef9458edb7e8423484c0c980b59649b43554210d39851ef2149d9e1c853cacb","2013-10","","","","","0-44780e54f6e2c61535dbd37e06878418479129a723181d842847711cf14c1ac5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","Hill AFB, UT","2015-11","2016-08","10","0.023","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","3-a888e82d82a2d2c2c894171f21421fe2fcd6917263218e47aa5e044e52194422","2015-10","","","","","0-44780e54f6e2c61535dbd37e06878418479129a723181d842847711cf14c1ac5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","Hill AFB, UT","2015-03","2015-11","10","0.022","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","4-393c2a1882fbb4b05a560ceb7bdb391d576d642b14a48c159723b6a1893b837c","2014-11","","","","","0-44780e54f6e2c61535dbd37e06878418479129a723181d842847711cf14c1ac5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","Hill AFB, UT","2014-03","2014-03","10","0.410","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","0-e66e0b3e19546b14b7dfc45ad10d9da9207ce9b326c903ff6623582b814696d7","","","","","","0-dc696bb0afc4e059d4b9e80066dda24861ab2b601b6d46f0f7b22eb986dd7db3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","Hill AFB, UT","2015-03","2015-03","8","0.410","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","1-39191af59ddb09803bcab36c5952e4abb4fae192e0b5bc34f84e751e3dcd8757","","","","","","0-dc696bb0afc4e059d4b9e80066dda24861ab2b601b6d46f0f7b22eb986dd7db3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","Hill AFB, UT","2015-03","2015-06","11","0.040","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","0-aade180931a3e0b1d36304f8ed483f21e5b6977f005a5dc6c9d24c245bb9455f","","","","","","0-225a1f914f06ab7ca6e5f22e5488d7ab3ba4279908c4da3ec1da89845201a98e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","Hill AFB, UT","2016-03","2016-06","10","0.040","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","1-25e6b02f01c920517fa131db602e0034462ab266c8e4a12e48f7050b92d9fc08","","","","","","0-225a1f914f06ab7ca6e5f22e5488d7ab3ba4279908c4da3ec1da89845201a98e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","Hill AFB, UT","2017-03","2017-06","21","0.040","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","2-a30d95cad429383dc20fcd9e3c882d83037f5823c521e7b5a10faaa1b12c2445","","","","","","0-225a1f914f06ab7ca6e5f22e5488d7ab3ba4279908c4da3ec1da89845201a98e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2018","","Hill AFB, UT","2018-03","2018-06","4","0.040","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","3-23be35492f861cdcaaf51054c136e9903f5efdbcbcbcc054ab27a16cccc69ba3","","","","","","0-225a1f914f06ab7ca6e5f22e5488d7ab3ba4279908c4da3ec1da89845201a98e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","Hill AFB, UT","2016-03","2016-06","4","0.030","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","0-bd718a79f0cc652d51e2eb5cfde0b4e45da3056e3ba65ef5eed2a78220b1d1df","","","","","","0-3f2b2baed2b1bd37b732f4a587ace8e13ab95f314f25cb549fa797104e4293ef","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2018","","Hill AFB, UT","2018-03","2018-06","1","0.030","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","1-de1df6cd22eff885d27367148c059aa254775322bc739b98d9141de2cf03698a","","","","","","0-3f2b2baed2b1bd37b732f4a587ace8e13ab95f314f25cb549fa797104e4293ef","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","Hill AFB, UT","2017-03","2017-06","22","0.030","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","4d360eed146407a9526a8af340d12602d3d56cadb0857bd27ef69ddd7bbcec85","2-a21d76efdcb8a0c70d27fa8883fdb9c9f0aedb0f3be31a6d9241cbbf60ff28ce","","","","","","0-3f2b2baed2b1bd37b732f4a587ace8e13ab95f314f25cb549fa797104e4293ef","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AMCOM Contracting Command, RSA","2013-09","2014-07","414","138.256","false","SS","FFP","Army","414","","BASE","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","9a1873cad4521949934e526dc24cae6111fdb0711ce69b1e93bdfd0bf8223cb3","0-dfd5c7b02291bc0e844aef29a6d47c902739a5d0e6ef71d95063c99a6e648ec6","","","","","","0-7ed5a8ffee0a9fda96620a2cb2e61743981e4d82debf3df2ea77e51fbe303e94","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AMCOM Contracting Command, RSA","2014-03","2014-12","154","137.643","","SS","FFP","Army","154","","BASE","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","9a1873cad4521949934e526dc24cae6111fdb0711ce69b1e93bdfd0bf8223cb3","1-2bd48216c9655d570127e41488bca5aa0a36f69d63d14428ee74ab63765e493f","","","","","","0-7ed5a8ffee0a9fda96620a2cb2e61743981e4d82debf3df2ea77e51fbe303e94","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","AMCOM Contracting Command, RSA","2015-02","2015-11","316","148.585","","SS","FFP","Army","316","","BASE","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","9a1873cad4521949934e526dc24cae6111fdb0711ce69b1e93bdfd0bf8223cb3","2-00c44543245795d1e3137876f865f91701cfdc20bc7db8467f64ad0328a83076","","","","","","0-7ed5a8ffee0a9fda96620a2cb2e61743981e4d82debf3df2ea77e51fbe303e94","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
