Name_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearThree_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","","","10","","","0.65","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a8005ce497b4d26a96a0a73b3a202cd9ad0d2cb8833efae151bef5451667fd9e","0-26c0148e9e00809a8474e56de5dd0370cc1137e4ee8407a98b245929dc8fffab","0-773a2cd280852138968047dacf9dff1a08c555cc3154e86c055ee50be0440ff6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","36","","","12.285","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","0e0c5259a601c4aa4ff961a0ac121c4db369bfa13d87e153e3615741b3479e79","0-72e975109ef06127767ebe4f3224d07b7f8f2134fe24534515f7fb0c9655e8bf","0-43658d96960289e022aed5d64b06bbc80f4fe1c7dfc66052820b395832e1f635","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","33","","","5.91","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0b4c68aca5bcb28bf2a8d6314af11bf878587e1d5636a46ade0d81891a819a1","0-6c1af7122ccb0938f6039ac3ffaae95e2ebbdfd591d30936176920fe53703e87","0-b81f13463005e71570a047981b253f02fbe4cc39837600cb35f18c9a1fbef59e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","52","","","2.027","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0b4c68aca5bcb28bf2a8d6314af11bf878587e1d5636a46ade0d81891a819a1","0-88973335eee44b302834239241cf27d02410366e56e1448c55cf856cf8ac6ea5","0-d3c7464214629368edc3c138841799e65e38cd79ca62ba084d3c41406d95559a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","52","","","0.000","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0b4c68aca5bcb28bf2a8d6314af11bf878587e1d5636a46ade0d81891a819a1","0-2f63a2907b681a4db9194ff080f240283ee979e5fa24b60faa846a516d9ccc98","0-f3ce544770ee0575c9ce4a153315bab8870da5a4ffb88931f441a58bc6c1afdd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","4","","","13.328","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0b4c68aca5bcb28bf2a8d6314af11bf878587e1d5636a46ade0d81891a819a1","0-caf754e537a2b4fa3343d7c042ae6681284f41d8b62c58e48c98b2fc843d856d","0-01573941888e96c509ad99d1cc761bcb2e10916cdbe9ded9c78631e4356a6a44","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","34","","","0.718","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0b4c68aca5bcb28bf2a8d6314af11bf878587e1d5636a46ade0d81891a819a1","0-b7feb67ea6fd7c33ab9743923c407aede8c6e0ed0f01a6fb5a682eb03621b69f","0-da1dff5f54b317c6ad175aab9baf24745c64c92e6b8452ca9dd2632500919dbf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","221","","","7.778","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0999d2b89817dbe0cc954d07a44ef1ad1938f20a6bca9d4306e26527654e26d","0-9db749e73c73e135e6230d0f4a8fc16326a669f9878aaafaab354a7256df331b","0-23d34ffc497f97f8526a3e680bff9c196309a16900b5b8413db6d3dea651c381","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","883","","","29.53","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0999d2b89817dbe0cc954d07a44ef1ad1938f20a6bca9d4306e26527654e26d","0-8858d4548a759a031ad9bb6eb6345aada0a566864b5d723ba36747ddd22d2500","1-ea58b81d36374ce7bb959e32edb76535ca9cfebbf4bd2be34ec4042fb111fa18","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","34","","","6.863","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0999d2b89817dbe0cc954d07a44ef1ad1938f20a6bca9d4306e26527654e26d","1-c5f0d4a5e39c62861f0b27786e50a5acd03b3a9e8c23a6b6d34a9e9b29df8406","1-ea58b81d36374ce7bb959e32edb76535ca9cfebbf4bd2be34ec4042fb111fa18","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","172","","","0.337","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0999d2b89817dbe0cc954d07a44ef1ad1938f20a6bca9d4306e26527654e26d","0-c82eb3b8136cd727dbf158d1b61585ac27c727f8df63f60810a189f2fa3b4896","0-fbc48864c97c275922df8f99ba829d0d78e0a455dd8e03a8a61c3028fbc44d95","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","737","","","6.347","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0999d2b89817dbe0cc954d07a44ef1ad1938f20a6bca9d4306e26527654e26d","0-f34c3155c3433e82dbc7b0703aff4ef1c1bcd75738821ccdaabdd7c75b088c9c","1-ca1b16d1f897cceb92f76b819550f632f74f1343b3f31dd8254157fe65266755","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","99","","","0.183","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0999d2b89817dbe0cc954d07a44ef1ad1938f20a6bca9d4306e26527654e26d","1-720a0c2f3c0d1455ad61944d2cb64172b67c5aa79dfa8ef66d491716affd4c5a","1-ca1b16d1f897cceb92f76b819550f632f74f1343b3f31dd8254157fe65266755","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","8","","","8.4","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0999d2b89817dbe0cc954d07a44ef1ad1938f20a6bca9d4306e26527654e26d","0-971428d53dc81a8b04b7d716a4a7445b6dffde5213e2e0335c35e7f4e69bc12e","0-fe74bdd9d96310357eee4dbe80a14e066366eef6b80f3e7f41dd8b3c15fd9152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","7","","","9.602","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0999d2b89817dbe0cc954d07a44ef1ad1938f20a6bca9d4306e26527654e26d","1-eb631f845f6a7885d940a01fead7a8bcee94e19a6e77e8ca70c4e9a5d3750d9b","0-fe74bdd9d96310357eee4dbe80a14e066366eef6b80f3e7f41dd8b3c15fd9152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","10","","","0.65","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","e0999d2b89817dbe0cc954d07a44ef1ad1938f20a6bca9d4306e26527654e26d","0-976aa6a23f150901fc0d12216afc6fc4dbee51a2e250ffceb351d1a1b8852195","0-0851adbb001c0f1ec3295aca623f401d95b60e7b1f02ef0d6b7f457e2e6e8417","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","36","","","12.285","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a8a6e5bc3013496d237ccecb8631798e1f6fde8d6f32dd9210c3a80ded847d47","0-8b81cf2f95d4f5d5153c6b06c806ee66c31d101978d29396a57cc4769de3fd35","0-7aab7b4f5bcdc889b62bdd09adfe43662c2ad57e6dc1d7de54edf2ece671ed5f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
