Name_val,Name_@footnote,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_Total_val,Cost_Quantity_ToComplete_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_Total_val,Cost_UnitCost_ToComplete_val,Cost_UnitCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,ManufacturerList_Manufacturer,@PARENTROWID,@PARENT
"QF-16 NON RECURRING","","A","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","2-4c02c2edf12307b970d41a0ede5feb0394d2912c03769d5e8cee046ec1875b6b","","","0-35ac7c2363b6c7d7e464ecab7e86a96745e7040706efaee01caa60bb6a11b8a7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"6.0  Nonrecurring Flyaway","","A","709.339","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","709.339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fcd3302e2a56aab9f3323c75acbe98156cafb50a444dd180cca3a72d5909b1e","0-695a8f0ca5ea630af58725c80ca52ba81aa48673edb410ceb8aff95833571735","","","0-baa8b6b1da7018c61a006d6368ebf9eb4485a22f484c4152db3b1ff8dea47efe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"7.0  Settlement","","A","281.329","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","281.329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fcd3302e2a56aab9f3323c75acbe98156cafb50a444dd180cca3a72d5909b1e","1-205824ad6330736cd13d3996b81e07ca856c333ba3b2ca0846f0b0951e16b539","","","0-baa8b6b1da7018c61a006d6368ebf9eb4485a22f484c4152db3b1ff8dea47efe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"PRODUCTION TRANSITION","","A","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","593818343681a663dc271cba846b3bcdb90ace1909beefa76491d4825b59a7ff","0-1d74f99360242060866104176c6dbfb0622bdb0fc8ce9ad723d3a0f99bbf6d11","","","0-035526b625f18a2e8dd6d1a1024f886595c9d51c7d257e4ef46af7a3355caba0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Production Transition (1)","","A","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","593818343681a663dc271cba846b3bcdb90ace1909beefa76491d4825b59a7ff","1-a180c0a5273fcbab6da8e046ac3595c1a3191feff447f157fdb2113bd23e0f56","","","0-035526b625f18a2e8dd6d1a1024f886595c9d51c7d257e4ef46af7a3355caba0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Non-Recurring Cost","","A","709.295","","","332.58","","","358.857","","","425.421","","","0.000","425.421","","","470.734","","","437.595","","","618.141","","","582.702","","","5461.792","","","9397.117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c231a729ecd9dc4ae9936eb487cb3e928861489d641113a76c375e9894e723","0-a7dc8bc31500491b49f7bb856fa0c1a0f9100b415952c9b3b4e1b18e50ad00d6","","","0-0dacf1ee898e94b77963da2f1270b3c4405b01febaa1d6b111daf55ca9ae3a77","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Ancillary Equip","","B","126.024","","","85.085","","","76.451","","","113.312","","","0.000","113.312","","","111.548","","","173.323","","","239.343","","","233.057","","","8417.824","","","9575.967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c231a729ecd9dc4ae9936eb487cb3e928861489d641113a76c375e9894e723","1-cb10836d8ac02ab8a87e39f9eec6d13850edf1dafba07e3e27093c4e98df5e60","","","0-0dacf1ee898e94b77963da2f1270b3c4405b01febaa1d6b111daf55ca9ae3a77","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Airframe PGSE","","B","113.31","","","47.313","","","33.188","","","49.006","","","0.000","49.006","","","41.259","","","66.113","","","70.519","","","125.983","","","1799.335","","","2346.026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c231a729ecd9dc4ae9936eb487cb3e928861489d641113a76c375e9894e723","2-5302c1bb133ebbd9a40e0d148b91f05d6ab38ac0293a82e78da2ac16740e887c","","","0-0dacf1ee898e94b77963da2f1270b3c4405b01febaa1d6b111daf55ca9ae3a77","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Engine PGSE","","B","34.33","","","12.273","","","42.527","","","52.016","","","0.000","52.016","","","44.186","","","46.274","","","45.325","","","44.456","","","297.163","","","618.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c231a729ecd9dc4ae9936eb487cb3e928861489d641113a76c375e9894e723","3-ccea44718c6d77c571a32f1655eb5b1155eeec65cf6b6811f9f227f5b140a972","","","0-0dacf1ee898e94b77963da2f1270b3c4405b01febaa1d6b111daf55ca9ae3a77","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Avionics PGSE","","B","79.964","","","39.55","","","129.778","","","73.123","","","0.000","73.123","","","75.846","","","68.754","","","76.804","","","63.658","","","595.599","","","1203.076","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c231a729ecd9dc4ae9936eb487cb3e928861489d641113a76c375e9894e723","4-222a689ebe524ee00f01a1147c685cded2398909fd85b50033d65eb1d8b80bb4","","","0-0dacf1ee898e94b77963da2f1270b3c4405b01febaa1d6b111daf55ca9ae3a77","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Peculiar  Training Equipment","","B","127.064","","","80.252","","","145.363","","","80.333","","","0.000","80.333","","","39.815","","","27.358","","","140.574","","","63.291","","","2971.72","","","3675.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c231a729ecd9dc4ae9936eb487cb3e928861489d641113a76c375e9894e723","5-5b0d080d693f368aa95563d8a74fc1e7884b8bd257f247573207bc28b70ed564","","","0-0dacf1ee898e94b77963da2f1270b3c4405b01febaa1d6b111daf55ca9ae3a77","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Engineering Change Orders","","A","0.000","","","3.29","","","6.445","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","9.735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1bbb7d0b0130a1836400f4027edfb2b942cec98bfe7185e10fe5c4dd981ddb3c","0-7f7c371d42b237e0abb58278823450a710dedfeac6a41248a93f848f748213eb","","","0-da696c8402befbf0bc68cf4f379ba79cc3b72237033d0429647c4fe8a9ddd428","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Engineering Change Orders","","A","0.000","","","2.818","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e3a6cb100dfc9a0c9494b0fa7b2886e0d01a162c012ad43e770b6913d4c86d79","0-e85b61adeb3634ed1c2c512ff5b85c7debadd0e4b8ff7b11b93b085954d65153","","","0-509adf0f4bc87bc6fbde18aec7033fd23b0af922b714fceebd76d5a1178851ef","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Nonrecurring Tooling Cost","","A","103.428","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","103.428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","3038dfc3aa10a3c368ccbcf6965e17571d44fa8ae41f47acf948897329f5294b","0-0d85cac3ceeae7dfe17a18680217a82c9670aab579b8a1d70fe50b9974c9f613","","","0-6471cd09f9d7202b4f97b3dd75dc7ed387e94f9b4163081c8dc4cc8d2f8b45fe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Ancillary Equipment","","A","4.689","","","3.875","","","1.673","","","1.361","","","0.000","1.361","","","1.038","","","0.000","","","0.000","","","0.000","","","0.000","","","12.636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","3038dfc3aa10a3c368ccbcf6965e17571d44fa8ae41f47acf948897329f5294b","1-c0a62511802ad0f82fa01436de3e9fa8e23a52eba69cbf8df6e8b2c53abba9a9","","","0-6471cd09f9d7202b4f97b3dd75dc7ed387e94f9b4163081c8dc4cc8d2f8b45fe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
