FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,UnitCost_@footnote,SpecsAvailableNow_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,RFPIssueDate_val,FundingVehicle_val,OCO_val,RevisionsAvailableDate_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule,ItemNameSuffix_val,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery,@PARENTROWID,@PARENT
"2011","","AFMC/WR-ALC","2010-12","2013-04","18","0.483","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-7a3cf5fb6928eef1a3d0b062847e29f54df66916b2f2c7da34155744938615f9","","","","","","","","","0-1305f53e02e5cb88e6e4f6d42530a056ee5b82caae049780d80d939bc1586485","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2011","","AFMC/WR-ALC","2011-03","2012-06","1","13.380","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-7396952c3adabc54de952c11c6728f8f972e226d5ebbc1c87f3590c2a3e4c3ce","","","","","","","","","0-0e4edb149af155dabded917f69d1a1c55799e52712e19c36d5180e7be92135ed","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/WR-ALC","2012-04","2013-09","4","0.471","","true","C","TBD","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-5b3fd246908de0bed50419834afe3ccfbf33999227efc22d0335617e626c4189","","","","","","","","","0-fdb79213bbe2957419a14c06de268538eccadbd5d4afe05e0610d11816ccfd34","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2013","","AFMC/WR-ALC","2013-01","2014-06","4","0.471","","true","C","BA","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","1-c9e05b5b9fd7c93708caa72d595567032ae17047de6b5be09f2cd7f8627c09b6","","","","","","","","","0-fdb79213bbe2957419a14c06de268538eccadbd5d4afe05e0610d11816ccfd34","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/OO-ALC","2012-06","2013-06","26","0.279","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-63c88228993875c543c9cbe77bb6d1cb2751f29e08ec3581902c747157e9b031","","","","","","","","","0-64dccfc491a554c0cd014e953374ef21dc0d0e325a942d24a6cb7543855e9d16","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2013","","AFMC/OO-ALC","2013-06","2014-06","25","0.282","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","1-9e7f457de22b92474ef22383c398341164fa9cfb4c42ef01a214464b993dd0a0","","","","","","","","","0-64dccfc491a554c0cd014e953374ef21dc0d0e325a942d24a6cb7543855e9d16","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/OO-ALC","2012-04","2013-10","5","2.540","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-e8103aad306c504dd83aa293fa237c61ff0bf892d3be647f40ef3af9ccc0390b","","","","","","","","","0-7ebc6b9c744c394081d449fa6134970d0f1497cbf0cded7eb207947d6939f9ae","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2013","","AFMC/OO-ALC","2013-04","2014-10","3","2.600","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","1-33ce36045c49f39d9c64620408e34dc4f7ca48161d37c1e91ba1f3ce967fc142","","","","","","","","","0-7ebc6b9c744c394081d449fa6134970d0f1497cbf0cded7eb207947d6939f9ae","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/OO-ALC","2012-04","2013-10","1","9.500","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-14f9899ffc7910ac4aaf9bc136448ea702d010950719e509dd12c436a66cdd16","2011-11","","","","","","","","0-c9930c592ffaf05d9ad96a8de28dffc94e3bb4f8900b41c7a7ee19573f1b6afb","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2011","","AFMC/WR-ALC","2010-12","2012-09","10","0.480","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-a2e3a2ae8b65dd2d165541b9e5df4283b03547f93f9ceedc6bfa2d3749f9a51d","","","","","","","","","0-c9fab61c6b31f7f82097f41e6c3fcdd8f792517e9c825005aa2ca03f168904b4","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2011","","AFMC/WR-ALC","2010-12","2013-06","16","0.363","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-8e9522aedafceb96f3159f2fa08cd5482f796a604b66564f29561b49fcf5ecd4","","","","","","","","","0-296a8220b2ece12cffc716bdbc84d78e2b50649b304a69ed3c8654e9aec47853","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2011","","AFMC/WR-ALC","2010-12","2013-04","18","0.483","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-2609d38c7d454d0e59439dea719c18546b44cd3962a9f85559af010e2730168e","","","","","","","","","0-ced7100d1e63a8ae858a4921fac84129788ce24c3d009a2642ff71072e6f2721","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2011","","AFMC/WR-ALC","2011-03","2012-06","1","13.380","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","0-2dd72fed6b3ee761fa4276db9b1b61f52cbd4fed5b441a646f697f16d31e5893","","","","","","","","","0-45a95d30f8a88c60413eda59bf473af652809fc0df9f2b5fb7ae586113553c80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/WR-ALC","2012-04","2013-09","4","0.471","","true","C","TBD","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","0-000dc8b9c6746c334937ef60b00bb2acc24f505df0863078e660d2a27e62682f","","","","","","","","","0-52196ed8098043ad39e46ae5ea8bcdf90016b097ffa73a276d7e3e4ac50955d1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2013","","AFMC/WR-ALC","2013-01","2014-06","4","0.471","","true","C","BA","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","1-6dc16dd920f3154f3d6822f91060113ef38cef46e3c3bfdf77545c802bcaaf0a","","","","","","","","","0-52196ed8098043ad39e46ae5ea8bcdf90016b097ffa73a276d7e3e4ac50955d1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/OO-ALC","2012-06","2013-06","26","0.279","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","0-1a5690d6446e29683e69916f94cb975991bcd24fa467d1949ebc47fd1a1329bb","","","","","","","","","0-1cb65ef4f6e1f7d7382ea17bc0f2998f965130bd2ab97b86cf4143f15b0757fd","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2013","","AFMC/OO-ALC","2013-06","2014-06","25","0.282","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","1-3ae9b40f05f3cfc1783886a654c5ce623ee69200d9ad4d43d3960bd9ac9e5902","","","","","","","","","0-1cb65ef4f6e1f7d7382ea17bc0f2998f965130bd2ab97b86cf4143f15b0757fd","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/OO-ALC","2012-04","2013-10","5","2.540","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","0-361bb7067fe1fd2972b9c5a38734c4c5982819005bb2f8e7e9dcf3a168841522","","","","","","","","","0-7b34e02e8d23ecc8ab4798b91f2f854ec031af6126b0f983df1bd44368cf9593","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2013","","AFMC/OO-ALC","2013-04","2014-10","3","2.600","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","1-26045e1a9c8abb1de52e895a48443208d11e495f07301e8f30c81bdde76342d5","","","","","","","","","0-7b34e02e8d23ecc8ab4798b91f2f854ec031af6126b0f983df1bd44368cf9593","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/OO-ALC","2012-04","2013-10","1","9.500","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","0-ac166061e490238ff93203210421c2511a18ad93867cd62e12acc2cf74453cb8","2011-11","","","","","","","","0-0e4e8ed5ed5d3614f9fb03e794ccf833b3baa6944b9d4148572c11558b1b161e","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2011","","AFMC/WR-ALC","2010-12","2012-09","10","0.480","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","0-6d347be971a6f195db1722781515d56ddf53eb726a1153b733d58fdd29438fb1","","","","","","","","","0-bc67894281abcfbd485a4edc041f27ed3a7e6f38460b55a662ec350a56cede5d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2011","","AFMC/WR-ALC","2010-12","2013-06","16","0.363","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","0-669ad1f77b7caec0c4bb2ef64b8f33f4b1f68d6beeb5257519f191f87ea7babe","","","","","","","","","0-43f5c243e463a5fe783520735e82f993afe0801d9bd75a5f7a397dc275abed6c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2011","","AFMC/WR-ALC","2010-12","2013-04","18","0.483","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","0-7de7b14774c220d912ac7d769d3ef59ab22a9e60d32fec2b10aad87077b91b7c","","","","","","","","","0-3bf3c88c3b41a3acc9749c74b13ae97278ecc59be22e16acee4b9e8cef338d74","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2010","","AFMC/OO-ALC","2010-03","2011-09","21239534","0.430","","true","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","0-b7c09c8ad6d4c56707ad136e9dafb538e166c59656b2eb8af8a9a64b2010599d","","MIPR","","","","","","","0-a1fa25121b0468c7f4471b247d9b369650506df65620135a420394afa2221f55","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2011","","AFMC/OO-ALC","2011-09","2012-09","6476316","0.380","","true","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","0-07d34dab1a937018ae7c624054052baef0436b71f946b5f72882a86ea7904c01","","MIPR","","","","","","","1-875ef1b0a508eeb74d1720f6caf1fd524e651cb95c03d9f324178d1814ef0258","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/OO-ALC","2012-03","2013-09","13863636","0.440","","true","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","1-e67221524a35329b819685bc8b8993675606184c6ac6848844a49970b6fea4a8","","MIPR","","","","","","","1-875ef1b0a508eeb74d1720f6caf1fd524e651cb95c03d9f324178d1814ef0258","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2013","","AFMC/OO-ALC","2013-03","2014-09","23255814","0.430","","true","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","2-4f352bdb1d0b6159a111dea07634d8e2331769dd7cb568f9fa173c181999a601","","MIPR","","","","","","","1-875ef1b0a508eeb74d1720f6caf1fd524e651cb95c03d9f324178d1814ef0258","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2009","","AFMC/OO-ALC","2010-02","2011-09","51876","60.620","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2f1ebecc971e25b74dda9553e089878e02519bb8834541deb86c47de4bbb4e88","0-e890359f59c35cf1065c5a8258b9c398033f853879ae60eb064ee44e6882549a","","","","","","","","","0-4970d079be0d0fea519d6e73f8026c43934f23078a83c758629ec8838556ebd0","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2011","","AFMC/OO-ALC","2012-02","2013-03","131675","60.300","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2f1ebecc971e25b74dda9553e089878e02519bb8834541deb86c47de4bbb4e88","0-79b141db86040e966dfa96ee18a486157431899412244963309890c57e7a2a18","","","","","","","","","1-2ec3c4501d154f5ccf9659c900c7e67e57ffb859ddf32668e7b21f90fc0c4d40","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2013","","AFMC/OO-ALC","2013-03","2014-03","25871","62.000","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2f1ebecc971e25b74dda9553e089878e02519bb8834541deb86c47de4bbb4e88","1-4aa22b210975445d53d72f17ff091573de5bbdad4d6b86b70cff938d35b2fdf9","","","true","","","","","","1-2ec3c4501d154f5ccf9659c900c7e67e57ffb859ddf32668e7b21f90fc0c4d40","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
