Name_val,IdCode_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_Total_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_ToComplete_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_MinimumSustainingRate_val,ManufacturerList_Manufacturer_MaximumProductionRate_val,ManufacturerList_Manufacturer_Rate185_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"Consolidated Sensor Support and Services--CLIN 1","A","","","482.158","19.823","","","27.973","","","16.577","","","0.000","16.577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Northrop Grumman","Baltimore, MD","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d15fb990f8b482f5f872799d52c5c6fd07e2fbb73e9cc84357ce2ec1c4aaf90d","3-bc43dac267e6eb5c3f957d5a1f07348d7d92b1ce1531777e7d56c88034629c38","","0-dee78045acd731071ccced4fc78a2da2ad73237a38a9585ee61bd1bb970eb2d1","root.record.ItemExhibitList.P5Item"
"NGC Hardware Sensor Spt--CLIN 2","A","","","153.507","4.524","","","1.32","","","0.33","","","0.000","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d15fb990f8b482f5f872799d52c5c6fd07e2fbb73e9cc84357ce2ec1c4aaf90d","4-bf1337fc79c6649413397ceec937b14cafad55b39399ea15de9cd416bb696752","","0-dee78045acd731071ccced4fc78a2da2ad73237a38a9585ee61bd1bb970eb2d1","root.record.ItemExhibitList.P5Item"
"NGC Total Award Fee","A","","","52.775","1.892","","","1.169","","","0.378","","","0.000","0.378","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d15fb990f8b482f5f872799d52c5c6fd07e2fbb73e9cc84357ce2ec1c4aaf90d","5-ddb736fdb18a1dbdb3d633e2e4c2f73ca66ecc175f1e30df7cbba15bc28964a7","","0-dee78045acd731071ccced4fc78a2da2ad73237a38a9585ee61bd1bb970eb2d1","root.record.ItemExhibitList.P5Item"
"Sensor Lab Support","A","","","104.31","0.792","","","2.505","","","4.962","","","0.000","4.962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d15fb990f8b482f5f872799d52c5c6fd07e2fbb73e9cc84357ce2ec1c4aaf90d","6-47d36be3da61f52e21abfb0271f567ba29348904b9dc7ae896a966bc6429171b","","0-dee78045acd731071ccced4fc78a2da2ad73237a38a9585ee61bd1bb970eb2d1","root.record.ItemExhibitList.P5Item"
"Space Vehicle 3","A","842.445","1","842.445","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","842.445","1","842.445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0","0","0","0","4","82","86","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","da12645c0c53b30cf6f22f46f3ec3fa2c163308f130f7633de8d0206bcc27b8d","0-1eae966b0797312b0306d72a3971449a393d9ee56e5099fbb43fd96f9e1a0743","","0-810faab371803935c0160f94979f903605d7c4ee5d2f505fa9758c79cd250367","root.record.ItemExhibitList.P5Item"
"Space Vehicle 4","A","1703.712","1","1703.712","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","1703.712","1","1703.712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0","0","0","0","3","87","90","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","da12645c0c53b30cf6f22f46f3ec3fa2c163308f130f7633de8d0206bcc27b8d","1-d2133a2c3ca96860db7b7b6c6112c33b124f258f2781e82b6c8070e86c262c15","","0-810faab371803935c0160f94979f903605d7c4ee5d2f505fa9758c79cd250367","root.record.ItemExhibitList.P5Item"
"Space Vehicle 5-6 Block Buy","A","","","0.000","0.000","","","475.3","237.65","2","2394.9","","","0.000","2394.9","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","1435.1","2","2870.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0","0","0","0","0","0","0","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","da12645c0c53b30cf6f22f46f3ec3fa2c163308f130f7633de8d0206bcc27b8d","2-7b39aa3fd7120c87e0f8d1affe0618416e1adb420903047245895a25f116fbc9","","0-810faab371803935c0160f94979f903605d7c4ee5d2f505fa9758c79cd250367","root.record.ItemExhibitList.P5Item"
"AEHF Space Vehicle Follow-On","A","","","0.000","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","da12645c0c53b30cf6f22f46f3ec3fa2c163308f130f7633de8d0206bcc27b8d","3-ce49bdf3b762fdafb43eb32e56c13fad30fa766baa721188af667cbab57a948e","","0-810faab371803935c0160f94979f903605d7c4ee5d2f505fa9758c79cd250367","root.record.ItemExhibitList.P5Item"
"GPS Block IIA Space Vehicle","A","31.063","28","869.768","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","31.063","28","869.768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","52913fd3b8fb058f105ecd904109d2025cd3c4204020339f41275aaaec31f0e0","0-1fcbe766c52139da50823e28637f7096bc33e2c08216212c0603b41b1340023f","","0-0865829a28cb5f5ff8ffcb51e6fb2f9148fbae560723673f1b535f8207c779b7","root.record.ItemExhibitList.P5Item"
"GPS Block IIR Space Vehicle","A","51.826","21","1088.345","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","51.826","21","1088.345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","52913fd3b8fb058f105ecd904109d2025cd3c4204020339f41275aaaec31f0e0","1-9698fe04712c295d5884a464f8690d468b3cbc63d71215f9dfb546e68198b2dc","","0-0865829a28cb5f5ff8ffcb51e6fb2f9148fbae560723673f1b535f8207c779b7","root.record.ItemExhibitList.P5Item"
"GPS Block IIF Space Vehicle","A","82.061","12","984.726","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","82.061","12","984.726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing","El Segundo, CA","0","0","0","1","1","89","90","1","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","52913fd3b8fb058f105ecd904109d2025cd3c4204020339f41275aaaec31f0e0","2-c6999517cef83f5d478ce56e486d0dc2210d947ce312a9cfd8da85c0088bb5f7","","0-0865829a28cb5f5ff8ffcb51e6fb2f9148fbae560723673f1b535f8207c779b7","root.record.ItemExhibitList.P5Item"
"Spacecraft Integration and Test--CLIN 1","A","","","1249.446","39.227","","","38.413","","","40.553","","","0.000","40.553","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a65a1f1ae54a5d345d80f3ca17e9ada935dce4641675e4c421ede8399b22f7ec","0-aa90c7c4501a7efb628ae080d0bfb91aa93fe66a7998bcde3b5f345f1cf87147","","0-91e5e2b937938bdcb6ac7b84ead185333772f2cb76a98be30ac6449edc5d3c0b","root.record.ItemExhibitList.P5Item"
"LM Spacecraft Integ & Test--Total Awd Fee","A","","","142.208","3.647","","","7.815","","","3.844","","","0.000","3.844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a65a1f1ae54a5d345d80f3ca17e9ada935dce4641675e4c421ede8399b22f7ec","1-faa4a4cdc4c344afb5893995e3e9aa7652a9d0c8cdfad77927be5afa625c6437","","0-91e5e2b937938bdcb6ac7b84ead185333772f2cb76a98be30ac6449edc5d3c0b","root.record.ItemExhibitList.P5Item"
"Independent Verif & Validation Tech Spt","A","","","37.87","1.282","","","1.394","","","1.434","","","0.000","1.434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Integral Systems","Lanham, MD","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a65a1f1ae54a5d345d80f3ca17e9ada935dce4641675e4c421ede8399b22f7ec","2-5d96e91a22a0bf5f10ea2d47e83c5274b1eb18b0529c0b8759eef710d1d0e1dc","","0-91e5e2b937938bdcb6ac7b84ead185333772f2cb76a98be30ac6449edc5d3c0b","root.record.ItemExhibitList.P5Item"
"Consolidated Sensor Support and Services--CLIN 1","A","","","482.158","19.823","","","27.973","","","16.577","","","0.000","16.577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Northrop Grumman","Baltimore, MD","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a65a1f1ae54a5d345d80f3ca17e9ada935dce4641675e4c421ede8399b22f7ec","3-ecac087e1a1f48ca076aa23511d30b4a483f7a9415616db73a9838b293e73ce7","","0-91e5e2b937938bdcb6ac7b84ead185333772f2cb76a98be30ac6449edc5d3c0b","root.record.ItemExhibitList.P5Item"
"NGC Hardware Sensor Spt--CLIN 2","A","","","153.507","4.524","","","1.32","","","0.33","","","0.000","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a65a1f1ae54a5d345d80f3ca17e9ada935dce4641675e4c421ede8399b22f7ec","4-bb27a4772e96fb6edf2d68812e7277c8068378862b106a9e69cbf1d8b4b46099","","0-91e5e2b937938bdcb6ac7b84ead185333772f2cb76a98be30ac6449edc5d3c0b","root.record.ItemExhibitList.P5Item"
