Name_val,Name_@footnote,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_Quantity_Total_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","27.642","7.703","6.86","3.225","3.225","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-bb50559bbde502d869d79f96a73dff3d24ad1e19a87a862e611633799bdd9faf","6-e290f9673c5b8d9fe6f7e7735dc265f480bb22077dd3a8965108892b88543d3b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.1) ADS-B OUT B Kits - Organic","","","1","10","5","5","","","","","","","","","0.016","0.102","0.086","0.086","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-01de1ee0f6d032889a17b12ee24145a9acff35f5a9752a3bb1ba96f30478b582","7-3b27b7ac4c0825401dd7fabead5a05b327aba4a83d937523798ae94688a3a4ef","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.4) E-Told B Kits - Organic","","","","","16","16","","","","","","","","","","","0.1","0.1","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-e01eb0355938fead61212c87da80a4fe1e58fe51e887c72fbd46c4f7ed39294f","8-4c83a587a4151e35d7c10866a0f04aea99bec81cec4535b3ecb5860e1f6091e1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.5) Archived ECPs - Organic","","144","","","","","","","","","","","","14.505","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-1a89d5c693e18ae2a4678cd7c7964479f3da25f5343df656ae4f0f87169a4e37","9-3aa14c35edca403b163a651a1dba1b5580b9a000aa11e52299cd4e1077b01c88","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","3.468","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-f31e9ad90d0b8a3364c1ae96b6941928726fcc514c44be90aeee0fb0c3e343b1","10-0177e9bab8726816189e37421bae3692415aafb4a5a2ac14d74a35a08755e853","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.1) SLEP Phase 1 A Kits - NonOrganic","","13","1","1","1","1","","","","","","","","10.558","0.95","0.981","1.01","1.01","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-cd1f7aee06a94d531932c6828261385c56a233ffb47b16acba62c33920541722","0-93bc69e89ec627a7984cf1ca6e51050f67e31900e8e6a0a54afdee298105ecb9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.3) SLEP Phase 1B A  Kits - NonOrganic","","","","","2","2","","","","","","","","","","","0.153","0.153","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-85e652ceae59e05b5e662d161e7a75c13ac8051790b4b4eb4a14f8df79ac4e41","1-0bde862c98c4c0d178cc3795e79eadb2ee9fac922612c563a0cbb84c8a42e34d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.2.1) Installation Kits N/R - NonOrganic","Non-Recurring Engineering funding in FY18 and FY19 is for CSFIRs Phase 2 and SLEP Phase 1B.","","","","","","","","","","","","","6.357","","2.58","2.066","2.066","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-b999a3ab0c2732aa79c8a2bc3d03e98cfa6c4ffceed5f6278e79ea0379774768","2-ed95e289cdde51dc8e5e51fad5a9489b45092462aab99fd8a60b04cb2e2e59cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.1) Phase 1 A Kit - NonOrganic","","13","1","2","","","","","","","","","","5.493","0.474","0.966","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-677839ec1ccfc6cf9bc17978d091dfc366459852f8cbfd455aec51f472d50c36","0-7d1a74f5fbb76ae19459dde58651fb31bb630529a5575e09628c08a3492f2827","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.2) Phase 3 A Kit - NonOrganic","","13","1","2","","","","","","","","","","7.518","0.684","1.396","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","1-5fc84913a76b3d86cefcc1963f75f2ba1266dd167d708e19ed865c87a5cfa162","0-7d1a74f5fbb76ae19459dde58651fb31bb630529a5575e09628c08a3492f2827","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.5) Wideband Satellite Communication (SATCOM) A Kits - NonOrganic","","","","4","4","4","","","","","","","","","","1.227","1.252","1.252","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-c68752166c38b5fd968d3c0378e4bb50d28e08c3ffa850b8b5d73c13ad91d9c3","1-9e8ff6b7b63db600729806e8abe51abbc1ab2d6e8c32762e733516622d9b956c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
