Name_val,Name_@footnote,WhenRequiredInMonths_val,Cost_AllPriorYears_val,Cost_CurrentYear_val,Cost_Total_val,Cost_PriorYear_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_ToComplete_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,QuantityPerAssembly_val,QuantityForBudgetYearList_QuantityForBudgetYear_BudgetYear_val,QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearOne_val,QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearTwo_val,QuantityForBudgetYearList_QuantityForBudgetYear_Cost_Total_val,QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearThree_val,QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearFive_val,@PARENTROWID,@PARENT
"Equipment","","30","130","92","222","","","","","","","","Lockheed Martin","Marietta GA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","0-809689fe9ed1989af682f37dcc37200949eaa4b48704fa30bdc63ff90dc20738","","","","","","","","0-362e0c59a0ff0a9bc49072ba15e1230633dee6b5bedd7e9a5e909f88d8daaa1a","root.record.ItemExhibitList.P5Item"
"Equipment","","12","","48","48","","","","","","","","Lockheed Martin","Marietta GA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","0-bcfb1d454d7e4afc017da4fbd5eaf2bb77b89f10f4c6350a797e84c100f8c241","","","","","","","","0-4e189f7497dcaa89ac7fe2090e123971c45b4e9c3006109ed08b6870f1f7bfd3","root.record.ItemExhibitList.P5Item"
"Equipment","","12","0.000","84","84","","","","","","","","Lockheed Martin","Marietta GA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","0-da633f10f08a0f20d489b0258296c2d3b670a1b6260e4c671b8ec4fb5daf9b0d","","","","","","","","0-8fab09e7f1dd613f6ef75bc08e0e8622f13f57e0fecd801d69bb717f8ca07e42","root.record.ItemExhibitList.P5Item"
"Airframe For FY 2014 EOQ/Long Lead","","0","3.037","","","50.688","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","06680dc3836a209524618651e0446b6a8dc3c6f52cea62a6d53ecda252f45665","1-0915c68f3927173f5c4c8c8980bd320e02a170155bc067bd30c3eb04b235c3f1","0","","","","","","","0-fbe99530fb9f67ed43eb9fd4d3794fd3a61ea8ea994bf23b997cb40918dc2f00","root.record.ItemExhibitList.P5Item"
"Airframe For FY 2015 EOQ/Long Lead","","0","1.961","80.734","","4.047","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","06680dc3836a209524618651e0446b6a8dc3c6f52cea62a6d53ecda252f45665","2-566054c8500c871b36943848b24d49bcdf30c29e5ed42f21beec9a52060ad100","0","","","","","","","0-fbe99530fb9f67ed43eb9fd4d3794fd3a61ea8ea994bf23b997cb40918dc2f00","root.record.ItemExhibitList.P5Item"
"Airframe For FY 2016 EOQ/Long Lead","","0","2.338","3.692","","3.737","85.828","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","06680dc3836a209524618651e0446b6a8dc3c6f52cea62a6d53ecda252f45665","3-52598e4bf518d33278207d604e5c4780cb61244b45083db41e6b10c95632d6cc","0","","","","","","","0-fbe99530fb9f67ed43eb9fd4d3794fd3a61ea8ea994bf23b997cb40918dc2f00","root.record.ItemExhibitList.P5Item"
"CC/Avionics For FY 2013 EOQ/Long Lead","","0","59","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","06680dc3836a209524618651e0446b6a8dc3c6f52cea62a6d53ecda252f45665","4-0cd78d24795c3a2e0b217dcefedd37dd1e6cdfd0390012f39470a515336c87bc","0","","","","","","","0-fbe99530fb9f67ed43eb9fd4d3794fd3a61ea8ea994bf23b997cb40918dc2f00","root.record.ItemExhibitList.P5Item"
"CC/Avionics For FY 2014 EOQ/Long Lead","","0","55.586","","","25.249","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","06680dc3836a209524618651e0446b6a8dc3c6f52cea62a6d53ecda252f45665","5-fa89263a14951e265ff0be3dad4401fb074ff1d1c9492d75eb9e0256566f1980","0","","","","","","","0-fbe99530fb9f67ed43eb9fd4d3794fd3a61ea8ea994bf23b997cb40918dc2f00","root.record.ItemExhibitList.P5Item"
"CC/Avionics For FY 2015 EOQ/Long Lead","","0","4.5","30.89","","70.673","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","06680dc3836a209524618651e0446b6a8dc3c6f52cea62a6d53ecda252f45665","6-8ff0863dff3dc023827713f76245b28dc5e4dfabfc9acf3757dc4c3d8b066862","0","","","","","","","0-fbe99530fb9f67ed43eb9fd4d3794fd3a61ea8ea994bf23b997cb40918dc2f00","root.record.ItemExhibitList.P5Item"
"CC/Avionics For FY 2016 EOQ/Long Lead","","0","4.5","92.479","","2","20.858","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","06680dc3836a209524618651e0446b6a8dc3c6f52cea62a6d53ecda252f45665","7-1a5c42c6fe80554060818c3dda2df0cb409239849b92cdf7edb5b1b51ceaf882","0","","","","","","","0-fbe99530fb9f67ed43eb9fd4d3794fd3a61ea8ea994bf23b997cb40918dc2f00","root.record.ItemExhibitList.P5Item"
"For FY 2016 EOQ/Long Lead","","0","","","","","6.003","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","bc51cf9c7ef20a4a48f48ba81c9080474af6a035686ec3cd2b33ede6e16af224","0-21715cbe37e7fbae14018d5adc627c4e2a9ea1fc18cd1d851ae3a9dbd822a073","0","","","","","","","0-5e361e277f041493af639c9d134f541cb9095b6536fc942809999c4e0023eea4","root.record.ItemExhibitList.P5Item"
"For FY 2017 EOQ/Long Lead","","0","","","","","5.203","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","bc51cf9c7ef20a4a48f48ba81c9080474af6a035686ec3cd2b33ede6e16af224","1-dfae8f1e9e3cea4b3bee4db3d42ed46e702951fccbe4eb051cac72150c64e907","0","","","","","","","0-5e361e277f041493af639c9d134f541cb9095b6536fc942809999c4e0023eea4","root.record.ItemExhibitList.P5Item"
"For FY 2018 EOQ/Long Lead","","0","","","","","5.203","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","bc51cf9c7ef20a4a48f48ba81c9080474af6a035686ec3cd2b33ede6e16af224","2-c4a562fb880746f7491301acedb61ea550833aff6ded774020a5f445fd5fbcc1","0","","","","","","","0-5e361e277f041493af639c9d134f541cb9095b6536fc942809999c4e0023eea4","root.record.ItemExhibitList.P5Item"
"For FY 2019 EOQ/Long Lead","","0","","","","","2.802","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","bc51cf9c7ef20a4a48f48ba81c9080474af6a035686ec3cd2b33ede6e16af224","3-1ce68ef83f960aa6019f3e5c2c70a02effc7a6b1bac065a317ee1e5dca46ed36","0","","","","","","","0-5e361e277f041493af639c9d134f541cb9095b6536fc942809999c4e0023eea4","root.record.ItemExhibitList.P5Item"
"EOQ/Long Lead (Prior Years)","","0","364.235","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","0ac4b5f78aaaccf3d3fdc58990ee0a291fcfec67f3de84643b6709e8c898a0ea","0-48c0f3273b6305a7bcbb0758e89f7972df1b9979cb4198a15d6af4fd5517edd6","0","","","","","","","0-055adcfd51b7cbc06c1d50c78f95fb1d1e19f01d804e81ae2e4bfdf317c0e34a","root.record.ItemExhibitList.P5Item"
"EOQ","","0","","20","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","af02057f64346f857e82214e93a4300fb19bdef7f350300012d090f02a8b8f12","0-0e91d1ad5a6daf06bb4e3bd69b3ab079196e312d56393475b85419bf70777e23","0","","","","","","","0-e07beeb7bd6e14c233ef086eeb3535f619e151f5ca272b5955c5a56c2d411b76","root.record.ItemExhibitList.P5Item"
"Airframe For FY 2013 EOQ/Long Lead","","0","38.984","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","cea084fd8ee4e3bf6cb6c9380da29fdb1faafd7e10de563f640e535d1b29edec","0-df1035c35f29a9b5dd2013ebada4f9f4d1b7e1530ddb10a280f4086965729888","0","","","","","","","0-942a5211d9bfa820fc90246b7734beabcd4c91598b479a4a254745109a172a30","root.record.ItemExhibitList.P5Item"
"Airframe For FY 2014 EOQ/Long Lead","","0","3.037","","","50.688","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","cea084fd8ee4e3bf6cb6c9380da29fdb1faafd7e10de563f640e535d1b29edec","1-930b222fa996ba2cecdc2c4f7eb93ef56c50ab75797f60b14c15dae4e6e007c1","0","","","","","","","0-942a5211d9bfa820fc90246b7734beabcd4c91598b479a4a254745109a172a30","root.record.ItemExhibitList.P5Item"
"Airframe For FY 2015 EOQ/Long Lead","","0","1.961","80.734","","4.047","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","cea084fd8ee4e3bf6cb6c9380da29fdb1faafd7e10de563f640e535d1b29edec","2-2ec39325401714f0aa592df7794a0c3dcf5c9998484153cf792de19049b4f2f4","0","","","","","","","0-942a5211d9bfa820fc90246b7734beabcd4c91598b479a4a254745109a172a30","root.record.ItemExhibitList.P5Item"
"Airframe For FY 2016 EOQ/Long Lead","","0","2.338","3.692","","3.737","85.828","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","cea084fd8ee4e3bf6cb6c9380da29fdb1faafd7e10de563f640e535d1b29edec","3-bf14783f01293b545d8f22dabfd7344834cae7c3bd527950dc8b3bac8fb7636a","0","","","","","","","0-942a5211d9bfa820fc90246b7734beabcd4c91598b479a4a254745109a172a30","root.record.ItemExhibitList.P5Item"
"CC/Avionics For FY 2013 EOQ/Long Lead","","0","59","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","cea084fd8ee4e3bf6cb6c9380da29fdb1faafd7e10de563f640e535d1b29edec","4-9307d7b1a087ce470eafbff81a27e6b45523c1b3dae718b6ccc16a9da371fe65","0","","","","","","","0-942a5211d9bfa820fc90246b7734beabcd4c91598b479a4a254745109a172a30","root.record.ItemExhibitList.P5Item"
"CC/Avionics For FY 2014 EOQ/Long Lead","","0","55.586","","","25.249","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","cea084fd8ee4e3bf6cb6c9380da29fdb1faafd7e10de563f640e535d1b29edec","5-853d71747f5eb03eaec35487974ef292659c7379551d5a1d3354f7e9abc21b16","0","","","","","","","0-942a5211d9bfa820fc90246b7734beabcd4c91598b479a4a254745109a172a30","root.record.ItemExhibitList.P5Item"
"CC/Avionics For FY 2015 EOQ/Long Lead","","0","4.5","30.89","","70.673","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","cea084fd8ee4e3bf6cb6c9380da29fdb1faafd7e10de563f640e535d1b29edec","6-d8bbca91247926a60ab9fdb0c1ac60b77d647ee9b0aaf5a6088e9d259af4f3cd","0","","","","","","","0-942a5211d9bfa820fc90246b7734beabcd4c91598b479a4a254745109a172a30","root.record.ItemExhibitList.P5Item"
"CC/Avionics For FY 2016 EOQ/Long Lead","","0","4.5","92.479","","2","20.858","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","cea084fd8ee4e3bf6cb6c9380da29fdb1faafd7e10de563f640e535d1b29edec","7-b45ad2820ee3ca09c080ed4d799f40eb8ff9c6f6a16a7f6be602f92233b9e56e","0","","","","","","","0-942a5211d9bfa820fc90246b7734beabcd4c91598b479a4a254745109a172a30","root.record.ItemExhibitList.P5Item"
"For FY 2016 EOQ/Long Lead","","0","","","","","6.003","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","bf7ebbfab3226f50869a8760354004fa2c21381752edac9caf2f75dfda987fe9","0-151ee8dda2c60eef30adbac70217e11ff2c586cb62394e8032fdc90e06a26f2c","0","","","","","","","0-8588ab1662b2b26db8145099922fe22cff10f4608c7372f716f563da39a502d8","root.record.ItemExhibitList.P5Item"
"For FY 2017 EOQ/Long Lead","","0","","","","","5.203","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","bf7ebbfab3226f50869a8760354004fa2c21381752edac9caf2f75dfda987fe9","1-1f65e2767b262ec926c896563f498fbd2dbc839c75b0cf4f60c7d0146a29604e","0","","","","","","","0-8588ab1662b2b26db8145099922fe22cff10f4608c7372f716f563da39a502d8","root.record.ItemExhibitList.P5Item"
"For FY 2018 EOQ/Long Lead","","0","","","","","5.203","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","bf7ebbfab3226f50869a8760354004fa2c21381752edac9caf2f75dfda987fe9","2-ba8358f3f04976e979d7527a217cfba61c0ce0cee6b04e9fe6962745e58dd635","0","","","","","","","0-8588ab1662b2b26db8145099922fe22cff10f4608c7372f716f563da39a502d8","root.record.ItemExhibitList.P5Item"
