Name_val,Name_@footnote,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_ToComplete_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_Continuing_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"EQUIP NONREC Group B (Guard)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-b593b5f9c757a8728b6f0843e03b1959491a80b98dc7ccfcb7d681c88653cfa5","0-3d372fb39c863cf75d2fb5fb94afbcc4932c8a25cde80ce2c2aee12fb5490512","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Reserve)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","1-bad2ecc0ca8fd8ab65516c8347af160e3af3d8aea368cdfd90b34030144f8caf","0-3d372fb39c863cf75d2fb5fb94afbcc4932c8a25cde80ce2c2aee12fb5490512","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-f9dc7ad847c29c27ff2012ab8e05c765ab0fc1a81d1a211f0b211f9d9ca281ed","0-59560b21bfcc35366d87f805a810bb21514ddf8670a3d91a1dc45a093b4b3f70","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Guard)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","1-55a043d4e8239dae4c43f3523fe7caff39f4f8686bf25171da4644960a018a27","0-59560b21bfcc35366d87f805a810bb21514ddf8670a3d91a1dc45a093b4b3f70","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Reserve)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-bf2367fcd7deccb84530b9da79dbbf9e9b5b1a219177a011930530051f771cd2","0-d58524ce9bb322c5699e97a510bfbcc8963b21b7bf88f024c340a927976d4576","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","4","0.203","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","4","0.203","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","0-58ac102291e3d6c4b77ea7ec5925d5444a18b47b7b029ec05d9d23dca8571b45","0-5479066eab9b912bb9782f431275c17918377e3363c603413509638d92cb0551","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Guard)","","0","0.000","0","0.000","2","0.172","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2","0.172","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","1-5dbf3edc5695cb2a481fab8011a77f6e5d7145581629fcc7216c163df6ea087c","0-5479066eab9b912bb9782f431275c17918377e3363c603413509638d92cb0551","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Reserve)","","0","0.000","0","0.000","2","0.172","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2","0.172","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","2-c3f734eb020ad35c3a569da7dddbb7a8fb1494720fc7ddd6c26f67fdb916be1a","0-5479066eab9b912bb9782f431275c17918377e3363c603413509638d92cb0551","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","3.227","0","0.000","0","8.145","0","0.000","0","8.145","0","7.545","0","0.000","0","0.000","0","0.000","0","0.000","0","18.917","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2735bdb4da25959b8b4abecc00898757f40a9e86e5f583f7a85fe0b1e7420326","0-7d81459ff4aa025c8104b50eee247097aa6feb14da5c1a67590a86f53cb4d05c","0-2d7a00842e2e58bc6fded4cf48e1e78dc9e32f378aa8506003ff722975b24efc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","78e2884d018f5c61b9f3aa102f3ee0123bfb3460e832ac75daa9d44670eb2be7","0-de83403ff76dde9ec768a05ee7d3d56d69865d16d5386266b388e41bf9c49818","0-730e706ee51def81b0e4a077e0b2a01fb675162c00f84cfcd69efba0b64c33bd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","2","15.445","2","34.665","2","29.406","2","13.776","0","0.000","2","13.776","2","18.972","2","16.464","2","18.105","2","19.139","0","0.000","16","165.972","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8a13fe62ec4f7c8fb1a395fe3c95a9da56a7659c28f1303bbf32769f2e9c4bbb","0-462273cc47cb211258727d5aa7f572a25e5fa23d456231b243ad0c0bb3d85ac5","0-0780291dc7f8cd1cd1267dfecad373f1a1a4f58ce9d7664b571a17ffb1ae0b20","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","8","0","8","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","8","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","028ffa7fcb4f7f7ad6864d6215a5a707b8bf3d6d8c656eb33777540924aa790a","0-b0fa8bdf50f8d56623e8f3463552ec2ecbb3929a348feb6920b00505a3a02c8b","0-6fc0fc75dd3ed9fc8a8aa9d459d1965d4519c93fcaa90be5896af190a31589b4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","1.974","0","1.784","0","1.849","0","0.000","0","1.849","0","2.045","0","2.196","0","2.262","0","2.358","0","0.000","0","14.468","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","028ffa7fcb4f7f7ad6864d6215a5a707b8bf3d6d8c656eb33777540924aa790a","0-0ee6b7eae84ea0eba6b381e95bed89cd9dd8e531a0e223263181ea1292c32d5b","0-742614f30b12e2770339927cae08eec8d21c9a2b296f8de649a97f24010f1e2d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","7.363","0","22.567","0","16.126","0","7.997","0","0.000","0","7.997","0","10.857","0","10.043","0","29.295","0","30.115","0","25","0","159.363","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b01865c9a4319b1f4459a7b6687c852884ba93995a0a60013558c68b2a00e34e","0-ccbfb0e8582a3f8406132d291866cb5a8aabda85674eadd2c1ea94b76abde66b","0-70756cbd49f96443c4d925d7035ca92a0f7fd111d42fec83ffa2a814a60d1548","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","6.921","0","0.642","0","1.142","0","0.000","0","1.142","0","1.328","0","0.582","0","0.000","0","0.000","0","1.459","0","12.074","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b01865c9a4319b1f4459a7b6687c852884ba93995a0a60013558c68b2a00e34e","0-c450be720e8fa15dad74266777e7f661ff3585854f00773beb87c9c0796d3796","0-c58869438409b5df0be54ad109248d0ea306ba1db6b88d61b8dbc610bd6f0715","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","beedc27ca541947adf319bb5b1b581dfd5214e64502e92cc1fff70badf58b344","0-8f79bda1b22a7e41b86fbdd892f429c4de4cc94776948ddde7e08b0f77662afa","0-e3e3fbb7ed5f9538e4fab33866d26369a5a786f23f557b3973b0ab7683b80394","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Guard)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","2.19","0","1.042","0","1.051","0","1.821","0","0.000","0","6.104","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","beedc27ca541947adf319bb5b1b581dfd5214e64502e92cc1fff70badf58b344","1-dc629ead1d0686be041b7ec9912d237457bb7d3cf4461d25f02699baa3490ea8","0-e3e3fbb7ed5f9538e4fab33866d26369a5a786f23f557b3973b0ab7683b80394","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","28","4.635","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","28","4.635","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1b69f888ea8ce167d58a275c92aa54a5c14d3e3ce7280432298742ab6fb44e8e","0-9430c3621564f84985b50f3483eda16b313e65d830332fe2673c2103239c3d1a","0-f17cf6c0adbad53a3831c231975f32cb7dd3ebe44f06e5e76d247c22b627a705","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","36","3.934","0","0.000","36","3.814","36","3.936","0","0.000","36","3.936","12","1.388","0","0.000","0","0.000","0","0.000","0","0.000","120","13.072","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","60bd12752d8da3f7c649c390a52b291802bbdf071d2080acee252db350245178","0-90cec09386317545d97aa72f5bd0bab7c93efc495c35004222bb951ede46992b","0-89bb3f985f6f31c07225af0d8b56b9437e026c37be17a08f56082bcb694c4567","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4f0ab9d14578cc6bfee3e9148e7219945f7080d5198ad3b238d32931844eb009","0-56df41803edca0c8ae5230cd69c0d6a9ecd8241d63fe15e64cfe426fd044c212","0-7503da5fc8dc1826cd8d7472fe8ced1217f185406f9f7d3f52ff1474c12afeaf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4f0ab9d14578cc6bfee3e9148e7219945f7080d5198ad3b238d32931844eb009","0-933e661544e88cb54dbd1e6c4f02d5b94140daf17018cfcc471317c73ec460bd","0-4076484354891ad79756b54bbd3d1cf8d3234b5eb9d62f4bd1bd521b117fba53","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
